date,당진부동산
2021-09-26,20.02958
2021-09-27,24.85207
2021-09-28,27.2781
2021-09-29,25.14792
2021-09-30,22.6923
2021-10-01,21.8639
2021-10-02,19.37869
2021-10-03,18.04733
2021-10-04,22.81065
2021-10-05,22.66272
2021-10-06,19.97041
2021-10-07,23.16568
2021-10-08,21.47928
2021-10-09,19.79289
2021-10-10,18.87573
2021-10-11,19.82248
2021-10-12,20.71005
2021-10-13,21.83431
2021-10-14,22.13017
2021-10-15,20.32544
2021-10-16,17.84023
2021-10-17,15.59171
2021-10-18,30.50295
2021-10-19,26.62721
2021-10-20,25.56213
2021-10-21,23.57988
2021-10-22,21.92307
2021-10-23,19.52662
2021-10-24,18.22485
2021-10-25,22.60355
2021-10-26,23.22485
2021-10-27,22.81065
2021-10-28,20.08875
2021-10-29,22.57396
2021-10-30,16.92307
2021-10-31,16.68639
2021-11-01,23.84615
2021-11-02,22.04142
2021-11-03,22.51479
2021-11-04,23.84615
2021-11-05,19.28994
2021-11-06,19.34911
2021-11-07,14.49704
2021-11-08,21.09467
2021-11-09,20.59171
2021-11-10,22.57396
2021-11-11,20.8284
2021-11-12,22.4852
2021-11-13,16.00591
2021-11-14,15.35502
2021-11-15,22.98816
2021-11-16,23.19526
2021-11-17,21.56804
2021-11-18,18.84615
2021-11-19,17.66272
2021-11-20,15.97633
2021-11-21,16.89349
2021-11-22,20.32544
2021-11-23,20.59171
2021-11-24,21.74556
2021-11-25,25.11834
2021-11-26,26.15384
2021-11-27,17.66272
2021-11-28,16.89349
2021-11-29,21.95266
2021-11-30,21.71597
2021-12-01,21.83431
2021-12-02,21.98224
2021-12-03,22.30769
2021-12-04,26.36094
2021-12-05,26.27218
2021-12-06,28.55029
2021-12-07,28.25443
2021-12-08,32.81065
2021-12-09,26.4497
2021-12-10,22.33727
2021-12-11,20.08875
2021-12-12,21.4497
2021-12-13,23.75739
2021-12-14,22.24852
2021-12-15,29.85207
2021-12-16,25.68047
2021-12-17,22.60355
2021-12-18,21.53846
2021-12-19,22.42603
2021-12-20,25.35502
2021-12-21,22.39644
2021-12-22,23.43195
2021-12-23,21.89349
2021-12-24,24.52662
2021-12-25,17.72189
2021-12-26,19.46745
2021-12-27,22.13017
2021-12-28,23.46153
2021-12-29,22.95857
2021-12-30,22.15976
2021-12-31,19.52662
2022-01-01,19.61538
2022-01-02,20.73964
2022-01-03,22.54437
2022-01-04,22.24852
2022-01-05,22.84023
2022-01-06,22.78106
2022-01-07,23.19526
2022-01-08,19.23076
2022-01-09,18.34319
2022-01-10,22.071
2022-01-11,23.19526
2022-01-12,24.88165
2022-01-13,23.69822
2022-01-14,23.49112
2022-01-15,22.78106
2022-01-16,19.28994
2022-01-17,24.14201
2022-01-18,22.39644
2022-01-19,22.92899
2022-01-20,20.73964
2022-01-21,18.81656
2022-01-22,19.28994
2022-01-23,18.04733
2022-01-24,20.47337
2022-01-25,20.88757
2022-01-26,23.84615
2022-01-27,22.10059
2022-01-28,21.74556
2022-01-29,19.49704
2022-01-30,24.02366
2022-01-31,19.61538
2022-02-01,17.98816
2022-02-02,24.94082
2022-02-03,27.04142
2022-02-04,26.68639
2022-02-05,26.95266
2022-02-06,24.08284
2022-02-07,28.25443
2022-02-08,27.92899
2022-02-09,23.28402
2022-02-10,23.72781
2022-02-11,23.37278
2022-02-12,22.54437
2022-02-13,22.78106
2022-02-14,22.4852
2022-02-15,26.27218
2022-02-16,22.42603
2022-02-17,26.4497
2022-02-18,24.79289
2022-02-19,24.31952
2022-02-20,22.66272
2022-02-21,24.14201
2022-02-22,27.51479
2022-02-23,26.59763
2022-02-24,24.91124
2022-02-25,23.28402
2022-02-26,20.79881
2022-02-27,20.0
2022-02-28,23.34319
2022-03-01,24.82248
2022-03-02,23.19526
2022-03-03,23.63905
2022-03-04,24.76331
2022-03-05,23.96449
2022-03-06,23.04733
2022-03-07,22.86982
2022-03-08,25.88757
2022-03-09,21.39053
2022-03-10,24.49704
2022-03-11,24.97041
2022-03-12,22.15976
2022-03-13,25.65088
2022-03-14,29.61538
2022-03-15,30.6213
2022-03-16,29.52662
2022-03-17,25.59171
2022-03-18,23.72781
2022-03-19,24.17159
2022-03-20,22.13017
2022-03-21,25.53254
2022-03-22,35.97633
2022-03-23,30.14792
2022-03-24,25.02958
2022-03-25,22.18934
2022-03-26,22.54437
2022-03-27,22.071
2022-03-28,24.79289
2022-03-29,25.85798
