date,MMF금리
2022-08-09,2.53456
2022-08-10,4.37788
2022-08-11,3.68663
2022-08-12,3.2258
2022-08-14,1.6129
2022-08-15,1.38248
2022-08-17,2.07373
2022-08-18,3.2258
2022-08-19,2.53456
2022-08-21,1.6129
2022-08-22,3.45622
2022-08-23,3.45622
2022-08-24,2.99539
2022-08-25,3.45622
2022-08-26,3.91705
2022-08-27,2.07373
2022-08-29,5.29953
2022-08-30,4.60829
2022-08-31,2.07373
2022-09-01,3.2258
2022-09-03,1.15207
2022-09-04,2.07373
2022-09-05,1.6129
2022-09-06,2.53456
2022-09-07,2.30414
2022-09-08,4.60829
2022-09-11,1.15207
2022-09-12,1.6129
2022-09-13,4.8387
2022-09-14,2.76497
2022-09-15,4.8387
2022-09-16,4.60829
2022-09-17,1.15207
2022-09-18,1.15207
2022-09-19,3.45622
2022-09-20,4.60829
2022-09-21,6.91244
2022-09-22,5.06912
2022-09-23,5.76036
2022-09-24,1.15207
2022-09-25,1.6129
2022-09-26,6.68202
2022-09-27,5.76036
2022-09-28,5.99078
2022-09-29,7.60368
2022-09-30,8.29493
2022-10-01,5.06912
2022-10-02,7.8341
2022-10-03,9.67741
2022-10-04,18.894
2022-10-05,15.89861
2022-10-06,17.74193
2022-10-07,12.44239
2022-10-08,6.68202
2022-10-09,8.06451
2022-10-10,10.82949
2022-10-11,16.58986
2022-10-12,25.57603
2022-10-13,34.33179
2022-10-14,23.5023
2022-10-15,11.98156
2022-10-16,11.29032
2022-10-17,24.19354
2022-10-18,21.8894
2022-10-19,31.10599
2022-10-20,32.48847
2022-10-21,33.64055
2022-10-22,10.13824
2022-10-23,14.97695
2022-10-24,27.88018
2022-10-25,31.3364
2022-10-26,37.5576
2022-10-27,33.17972
2022-10-28,26.03686
2022-10-29,10.36866
2022-10-30,10.36866
2022-10-31,24.42396
2022-11-01,27.18894
2022-11-02,23.5023
2022-11-03,30.87557
2022-11-04,21.42857
2022-11-05,12.44239
2022-11-06,12.67281
2022-11-07,26.03686
2022-11-08,29.95391
2022-11-09,30.18433
2022-11-10,25.57603
2022-11-11,17.97235
2022-11-12,10.36866
2022-11-13,16.12903
2022-11-14,20.73732
2022-11-15,18.43317
2022-11-16,17.05069
2022-11-17,20.50691
2022-11-18,16.12903
2022-11-19,7.14285
2022-11-20,9.90783
2022-11-21,17.05069
2022-11-22,19.35483
2022-11-23,16.35944
2022-11-24,24.19354
2022-11-25,20.27649
2022-11-26,9.90783
2022-11-27,6.45161
2022-11-28,14.97695
2022-11-29,21.8894
2022-11-30,21.8894
2022-12-01,15.20737
2022-12-02,14.05529
2022-12-03,5.99078
2022-12-04,5.52995
2022-12-05,14.28571
2022-12-06,12.90322
2022-12-07,17.05069
2022-12-08,15.6682
2022-12-09,12.21198
2022-12-10,7.37327
2022-12-11,7.14285
2022-12-12,12.44239
2022-12-13,13.82488
2022-12-14,15.6682
2022-12-15,12.90322
2022-12-16,14.97695
2022-12-17,7.60368
2022-12-18,9.21658
2022-12-19,18.66359
2022-12-20,15.89861
2022-12-21,17.51152
2022-12-22,14.74654
2022-12-23,20.50691
2022-12-24,8.06451
2022-12-25,8.98617
2022-12-26,15.89861
2022-12-27,22.35023
2022-12-28,16.58986
2022-12-29,19.12442
2022-12-30,14.74654
2022-12-31,5.06912
2023-01-01,6.91244
2023-01-02,18.20276
2023-01-03,15.20737
2023-01-04,11.75115
2023-01-05,14.74654
2023-01-06,15.89861
2023-01-07,5.52995
2023-01-08,6.45161
2023-01-09,12.90322
2023-01-10,11.98156
2023-01-11,19.81566
2023-01-12,14.97695
2023-01-13,14.05529
2023-01-14,8.52534
2023-01-15,9.447
2023-01-16,14.74654
2023-01-17,12.44239
2023-01-18,15.20737
2023-01-19,10.59907
2023-01-20,10.13824
2023-01-21,4.37788
2023-01-22,3.91705
2023-01-23,6.45161
2023-01-24,8.29493
2023-01-25,15.6682
2023-01-26,13.82488
2023-01-27,14.97695
2023-01-28,5.99078
2023-01-29,7.8341
2023-01-30,17.05069
2023-01-31,13.13364
2023-02-01,17.2811
2023-02-02,12.21198
2023-02-03,11.0599
2023-02-04,4.8387
2023-02-05,5.52995
2023-02-06,12.21198
2023-02-07,9.90783
2023-02-08,14.05529
2023-02-09,16.35944
2023-02-10,36.17511
2023-02-11,14.97695
2023-02-12,10.36866
2023-02-13,23.5023
2023-02-14,35.9447
2023-02-15,38.94009
2023-02-16,28.11059
2023-02-17,21.65898
2023-02-18,16.82027
2023-02-19,10.59907
2023-02-20,18.894
2023-02-21,21.42857
2023-02-22,16.58986
2023-02-23,15.20737
2023-02-24,18.43317
2023-02-25,8.52534
2023-02-26,8.75576
2023-02-27,13.82488
2023-02-28,16.58986
2023-03-01,20.50691
2023-03-02,14.74654
2023-03-03,15.89861
2023-03-04,9.90783
2023-03-05,13.82488
2023-03-06,15.6682
2023-03-07,15.43778
2023-03-08,18.894
2023-03-09,17.2811
2023-03-10,14.74654
2023-03-11,8.52534
2023-03-12,7.37327
2023-03-13,14.51612
2023-03-14,17.97235
2023-03-15,13.82488
2023-03-16,11.75115
2023-03-17,21.65898
2023-03-18,14.28571
2023-03-19,11.29032
2023-03-20,10.36866
2023-03-21,15.20737
2023-03-22,15.89861
2023-03-23,12.44239
2023-03-24,17.05069
2023-03-25,11.75115
2023-03-26,12.44239
2023-03-27,34.33179
2023-03-28,100.0
2023-03-29,48.15668
2023-03-30,33.87096
2023-03-31,29.7235
2023-04-01,17.51152
2023-04-02,16.82027
2023-04-03,29.95391
2023-04-04,30.87557
2023-04-05,29.03225
2023-04-06,23.96313
2023-04-07,21.65898
2023-04-08,12.90322
2023-04-09,10.59907
2023-04-10,26.26728
2023-04-11,20.50691
2023-04-12,23.04147
2023-04-13,21.8894
2023-04-14,24.88479
2023-04-15,13.36405
2023-04-16,12.90322
2023-04-17,19.12442
2023-04-18,21.65898
2023-04-19,23.04147
2023-04-20,15.6682
2023-04-21,18.66359
2023-04-22,6.68202
2023-04-23,9.90783
2023-04-24,12.90322
2023-04-25,17.51152
2023-04-26,19.12442
2023-04-27,14.97695
2023-04-28,15.89861
2023-04-29,9.21658
2023-04-30,8.75576
2023-05-01,10.36866
2023-05-02,9.21658
2023-05-03,16.58986
2023-05-04,14.97695
2023-05-05,6.45161
2023-05-06,7.8341
2023-05-07,6.91244
2023-05-08,17.2811
2023-05-09,18.43317
2023-05-10,16.58986
2023-05-11,19.81566
2023-05-12,17.2811
2023-05-13,11.0599
2023-05-14,12.44239
2023-05-15,17.97235
2023-05-16,19.12442
2023-05-17,15.89861
2023-05-18,31.56682
2023-05-19,24.42396
2023-05-20,11.98156
2023-05-21,7.8341
2023-05-22,16.82027
2023-05-23,14.74654
2023-05-24,18.894
2023-05-25,16.35944
2023-05-26,11.52073
2023-05-27,2.76497
2023-05-28,7.14285
2023-05-29,12.21198
2023-05-30,22.35023
2023-05-31,14.74654
2023-06-01,16.58986
2023-06-02,18.43317
