date,압구정재건축
2022-04-18,11.77644
2022-04-19,10.12974
2022-04-20,11.07784
2022-04-21,10.37924
2022-04-22,10.32934
2022-04-23,8.33333
2022-04-24,9.28143
2022-04-25,10.67864
2022-04-26,13.02395
2022-04-27,10.47904
2022-04-28,10.92814
2022-04-29,9.68063
2022-04-30,8.63273
2022-05-01,7.98403
2022-05-02,10.57884
2022-05-03,10.22954
2022-05-04,10.82834
2022-05-05,9.33133
2022-05-06,10.72854
2022-05-07,10.87824
2022-05-08,9.18163
2022-05-09,13.67265
2022-05-10,11.47704
2022-05-11,16.41716
2022-05-12,16.61676
2022-05-13,12.07584
2022-05-14,8.48303
2022-05-15,9.53093
2022-05-16,12.62475
2022-05-17,12.92415
2022-05-18,11.82634
2022-05-19,13.82235
2022-05-20,11.92614
2022-05-21,10.67864
2022-05-22,8.68263
2022-05-23,12.07584
2022-05-24,11.92614
2022-05-25,12.07584
2022-05-26,12.97405
2022-05-27,11.17764
2022-05-28,9.58083
2022-05-29,7.33532
2022-05-30,11.92614
2022-05-31,11.87624
2022-06-01,8.13373
2022-06-02,13.72255
2022-06-03,12.37524
2022-06-04,10.52894
2022-06-05,9.18163
2022-06-06,10.37924
2022-06-07,12.12574
2022-06-08,10.82834
2022-06-09,11.27744
2022-06-10,11.17764
2022-06-11,9.03193
2022-06-12,8.43313
2022-06-13,11.77644
2022-06-14,11.32734
2022-06-15,10.62874
2022-06-16,11.32734
2022-06-17,9.68063
2022-06-18,7.78443
2022-06-19,7.93413
2022-06-20,10.17964
2022-06-21,10.37924
2022-06-22,9.53093
2022-06-23,11.07784
2022-06-24,9.63073
2022-06-25,7.78443
2022-06-26,8.38323
2022-06-27,10.42914
2022-06-28,10.97804
2022-06-29,11.37724
2022-06-30,10.02994
2022-07-01,8.93213
2022-07-02,8.88223
2022-07-03,7.68463
2022-07-04,9.58083
2022-07-05,9.88023
2022-07-06,10.42914
2022-07-07,10.52894
2022-07-08,9.78043
2022-07-09,7.38522
2022-07-10,9.98003
2022-07-11,11.82634
2022-07-12,10.32934
2022-07-13,9.03193
2022-07-14,8.83233
2022-07-15,7.68463
2022-07-16,7.93413
2022-07-17,7.53493
2022-07-18,10.12974
2022-07-19,9.53093
2022-07-20,9.13173
2022-07-21,8.83233
2022-07-22,8.08383
2022-07-23,6.63672
2022-07-24,5.83832
2022-07-25,7.63473
2022-07-26,9.63073
2022-07-27,8.38323
2022-07-28,8.98203
2022-07-29,7.43512
2022-07-30,5.93812
2022-07-31,7.38522
2022-08-01,9.88023
2022-08-02,9.48103
2022-08-03,9.33133
2022-08-04,8.63273
2022-08-05,8.23353
2022-08-06,7.28542
2022-08-07,6.53692
2022-08-08,9.53093
2022-08-09,8.88223
2022-08-10,8.78243
2022-08-11,8.13373
2022-08-12,7.28542
2022-08-13,6.73652
2022-08-14,5.93812
2022-08-15,8.08383
2022-08-16,12.52495
2022-08-17,12.77445
2022-08-18,12.27544
2022-08-19,9.43113
2022-08-20,7.68463
2022-08-21,6.38722
2022-08-22,9.88023
2022-08-23,8.83233
2022-08-24,9.33133
2022-08-25,8.83233
2022-08-26,7.13572
2022-08-27,6.63672
2022-08-28,7.08582
2022-08-29,9.28143
2022-08-30,8.98203
2022-08-31,7.68463
2022-09-01,7.53493
2022-09-02,6.68662
2022-09-03,6.18762
2022-09-04,5.38922
2022-09-05,7.78443
2022-09-06,7.48502
2022-09-07,7.48502
2022-09-08,6.13772
2022-09-09,5.23952
2022-09-10,4.84031
2022-09-11,5.48902
2022-09-12,6.98602
2022-09-13,7.58483
2022-09-14,5.48902
2022-09-15,8.48303
2022-09-16,7.33532
2022-09-17,7.03592
2022-09-18,4.99001
2022-09-19,7.53493
2022-09-20,9.08183
2022-09-21,9.48103
2022-09-22,8.98203
2022-09-23,7.43512
2022-09-24,6.88622
2022-09-25,6.13772
2022-09-26,9.03193
2022-09-27,10.87824
2022-09-28,11.17764
2022-09-29,11.87624
2022-09-30,9.68063
2022-10-01,8.18363
2022-10-02,6.68662
2022-10-03,7.83433
2022-10-04,7.88423
2022-10-05,8.18363
2022-10-06,7.93413
2022-10-07,7.43512
2022-10-08,6.23752
2022-10-09,6.63672
2022-10-10,7.68463
2022-10-11,7.98403
2022-10-12,6.68662
2022-10-13,7.28542
2022-10-14,7.93413
2022-10-15,5.53892
2022-10-16,5.48902
2022-10-17,8.43313
2022-10-18,7.53493
2022-10-19,11.97604
2022-10-20,12.77445
2022-10-21,9.48103
2022-10-22,6.18762
2022-10-23,9.33133
2022-10-24,9.68063
2022-10-25,10.17964
2022-10-26,10.07984
2022-10-27,9.48103
2022-10-28,9.73053
2022-10-29,8.43313
2022-10-30,8.08383
2022-10-31,9.73053
2022-11-01,7.53493
2022-11-02,7.58483
2022-11-03,9.03193
2022-11-04,7.73453
2022-11-05,6.18762
2022-11-06,6.33732
2022-11-07,7.58483
2022-11-08,8.78243
2022-11-09,9.43113
2022-11-10,10.07984
2022-11-11,8.38323
2022-11-12,7.43512
2022-11-13,6.33732
2022-11-14,8.18363
2022-11-15,7.03592
2022-11-16,7.88423
2022-11-17,8.38323
2022-11-18,7.13572
2022-11-19,6.33732
2022-11-20,6.68662
2022-11-21,11.12774
2022-11-22,8.48303
2022-11-23,8.53293
2022-11-24,7.63473
2022-11-25,8.38323
2022-11-26,6.53692
2022-11-27,5.53892
2022-11-28,7.33532
2022-11-29,6.88622
2022-11-30,6.53692
2022-12-01,8.18363
2022-12-02,6.63672
2022-12-03,4.79041
2022-12-04,6.58682
2022-12-05,8.03393
2022-12-06,8.58283
2022-12-07,7.78443
2022-12-08,9.08183
2022-12-09,10.57884
2022-12-10,7.48502
2022-12-11,7.43512
2022-12-12,8.53293
2022-12-13,7.78443
2022-12-14,9.08183
2022-12-15,7.83433
2022-12-16,6.68662
2022-12-17,8.28343
2022-12-18,5.88822
2022-12-19,7.43512
2022-12-20,6.63672
2022-12-21,7.38522
2022-12-22,7.08582
2022-12-23,6.83632
2022-12-24,5.58882
2022-12-25,5.83832
2022-12-26,8.03393
2022-12-27,6.93612
2022-12-28,6.93612
2022-12-29,6.78642
2022-12-30,6.98602
2022-12-31,3.94211
2023-01-01,5.18962
2023-01-02,7.78443
2023-01-03,7.08582
2023-01-04,7.43512
2023-01-05,8.83233
2023-01-06,8.28343
2023-01-07,6.03792
2023-01-08,5.63872
2023-01-09,8.73253
2023-01-10,7.93413
2023-01-11,5.93812
2023-01-12,7.38522
2023-01-13,7.13572
2023-01-14,5.03992
2023-01-15,5.03992
2023-01-16,6.78642
2023-01-17,6.43712
2023-01-18,7.28542
2023-01-19,6.93612
2023-01-20,7.18562
2023-01-21,5.33932
2023-01-22,3.89221
2023-01-23,6.73652
2023-01-24,6.78642
2023-01-25,7.08582
2023-01-26,7.33532
2023-01-27,6.43712
2023-01-28,5.48902
2023-01-29,6.33732
2023-01-30,6.18762
2023-01-31,7.58483
2023-02-01,8.28343
2023-02-02,9.18163
2023-02-03,7.78443
2023-02-04,5.58882
2023-02-05,5.33932
2023-02-06,8.53293
2023-02-07,8.43313
2023-02-08,9.08183
2023-02-09,8.88223
2023-02-10,7.73453
2023-02-11,5.68862
2023-02-12,6.08782
2023-02-13,6.68662
2023-02-14,7.18562
2023-02-15,8.78243
2023-02-16,8.43313
2023-02-17,8.33333
2023-02-18,5.83832
2023-02-19,6.73652
2023-02-20,11.92614
2023-02-21,9.73053
2023-02-22,8.88223
2023-02-23,7.98403
2023-02-24,7.83433
2023-02-25,6.13772
2023-02-26,5.68862
2023-02-27,9.28143
2023-02-28,8.28343
2023-03-01,7.88423
2023-03-02,10.17964
2023-03-03,8.68263
2023-03-04,6.38722
2023-03-05,6.83632
2023-03-06,10.02994
2023-03-07,12.97405
2023-03-08,12.87425
2023-03-09,13.12375
2023-03-10,9.68063
2023-03-11,8.08383
2023-03-12,6.68662
2023-03-13,10.37924
2023-03-14,11.57684
2023-03-15,9.03193
2023-03-16,8.38323
2023-03-17,8.83233
2023-03-18,5.43912
2023-03-19,6.78642
2023-03-20,9.33133
2023-03-21,8.93213
2023-03-22,8.93213
2023-03-23,7.88423
2023-03-24,8.28343
2023-03-25,7.13572
2023-03-26,6.43712
2023-03-27,12.92415
2023-03-28,11.97604
2023-03-29,10.07984
2023-03-30,12.77445
2023-03-31,10.12974
2023-04-01,7.63473
2023-04-02,8.38323
2023-04-03,11.57684
2023-04-04,10.27944
2023-04-05,12.22554
2023-04-06,9.03193
2023-04-07,8.53293
2023-04-08,6.48702
2023-04-09,7.33532
2023-04-10,8.68263
2023-04-11,8.73253
2023-04-12,6.88622
2023-04-13,8.58283
2023-04-14,7.28542
2023-04-15,7.88423
2023-04-16,7.23552
2023-04-17,8.88223
2023-04-18,10.77844
2023-04-19,16.66666
2023-04-20,12.57485
2023-04-21,10.17964
2023-04-22,6.73652
2023-04-23,7.68463
2023-04-24,12.12574
2023-04-25,44.21157
2023-04-26,100.0
2023-04-27,42.51497
2023-04-28,27.99401
2023-04-29,19.96007
2023-04-30,15.46906
2023-05-01,16.81636
2023-05-02,17.41516
2023-05-03,17.46506
2023-05-04,16.96606
2023-05-05,15.51896
2023-05-06,14.92015
2023-05-07,10.77844
2023-05-08,20.20958
2023-05-09,17.46506
2023-05-10,14.07185
2023-05-11,14.37125
2023-05-12,13.22355
2023-05-13,11.07784
2023-05-14,9.98003
2023-05-15,14.47105
2023-05-16,15.66866
2023-05-17,16.21756
2023-05-18,14.77045
2023-05-19,13.12375
2023-05-20,9.53093
2023-05-21,9.13173
2023-05-22,16.06786
2023-05-23,14.47105
2023-05-24,12.92415
2023-05-25,13.72255
2023-05-26,13.22355
