date,주식매매방
2021-12-11,0.92421
2021-12-12,1.10905
2021-12-13,2.77264
2021-12-14,2.21811
2021-12-15,0.92421
2021-12-16,1.10905
2021-12-18,1.2939
2021-12-19,0.92421
2021-12-22,1.10905
2021-12-23,2.40295
2021-12-25,1.2939
2021-12-26,0.92421
2021-12-27,2.40295
2021-12-28,1.47874
2021-12-29,0.92421
2021-12-30,17.92975
2021-12-31,1.66358
2022-01-01,2.5878
2022-01-02,4.43622
2022-01-03,4.62107
2022-01-04,6.83918
2022-01-05,0.92421
2022-01-06,2.5878
2022-01-07,3.51201
2022-01-08,3.51201
2022-01-09,2.95748
2022-01-10,4.43622
2022-01-11,1.10905
2022-01-12,2.03327
2022-01-13,2.21811
2022-01-15,1.47874
2022-01-16,83.17929
2022-01-17,35.48983
2022-01-18,7.39371
2022-01-19,5.91497
2022-01-20,4.06654
2022-01-21,2.95748
2022-01-22,1.66358
2022-01-23,1.47874
2022-01-24,1.2939
2022-01-25,2.5878
2022-01-26,2.40295
2022-01-27,1.84842
2022-01-28,1.2939
2022-01-29,4.25138
2022-01-31,1.84842
2022-02-01,1.66358
2022-02-02,1.84842
2022-02-03,1.10905
2022-02-04,3.14232
2022-02-05,2.40295
2022-02-06,2.95748
2022-02-07,2.03327
2022-02-08,5.73012
2022-02-09,2.40295
2022-02-10,1.10905
2022-02-11,2.21811
2022-02-12,0.92421
2022-02-13,2.77264
2022-02-14,2.40295
2022-02-15,1.2939
2022-02-16,2.5878
2022-02-17,1.10905
2022-02-18,2.5878
2022-02-19,2.03327
2022-02-20,1.84842
2022-02-21,3.14232
2022-02-22,1.66358
2022-02-23,1.47874
2022-02-26,1.2939
2022-02-27,0.92421
2022-02-28,0.92421
2022-03-01,0.92421
2022-03-02,2.21811
2022-03-03,2.40295
2022-03-04,3.14232
2022-03-05,1.10905
2022-03-06,2.21811
2022-03-07,1.47874
2022-03-08,1.2939
2022-03-09,0.92421
2022-03-10,2.40295
2022-03-11,1.47874
2022-03-13,2.03327
2022-03-14,1.84842
2022-03-16,2.03327
2022-03-17,2.21811
2022-03-18,2.40295
2022-03-19,2.77264
2022-03-20,2.95748
2022-03-21,1.84842
2022-03-22,0.92421
2022-03-23,2.40295
2022-03-24,0.92421
2022-03-27,1.10905
2022-03-29,2.5878
2022-03-31,3.14232
2022-04-01,3.14232
2022-04-02,3.14232
2022-04-03,1.84842
2022-04-04,1.10905
2022-04-08,2.5878
2022-04-13,1.10905
2022-04-14,2.95748
2022-04-15,1.10905
2022-04-16,1.10905
2022-04-17,1.84842
2022-04-18,2.03327
2022-04-20,1.47874
2022-04-23,3.32717
2022-04-25,1.10905
2022-04-26,1.10905
2022-04-27,1.10905
2022-04-28,1.10905
2022-04-29,1.10905
2022-04-30,0.92421
2022-05-01,1.2939
2022-05-02,2.5878
2022-05-03,1.47874
2022-05-04,0.92421
2022-05-06,1.10905
2022-05-07,1.2939
2022-05-08,0.92421
2022-05-09,0.92421
2022-05-10,0.92421
2022-05-11,3.14232
2022-05-16,1.2939
2022-05-17,0.92421
2022-05-21,0.92421
2022-05-22,1.47874
2022-05-23,2.5878
2022-05-25,1.10905
2022-05-27,1.2939
2022-05-28,1.2939
2022-05-30,1.84842
2022-05-31,0.92421
2022-06-02,0.92421
2022-06-03,0.92421
2022-06-04,4.80591
2022-06-05,2.95748
2022-06-07,0.92421
2022-06-08,1.84842
2022-06-10,1.47874
2022-06-11,1.47874
2022-06-12,1.66358
2022-06-17,0.92421
2022-06-18,0.92421
2022-06-19,1.2939
2022-06-22,0.92421
2022-06-25,1.10905
2022-06-27,2.03327
2022-06-30,1.10905
2022-07-11,2.21811
2022-07-12,0.92421
2022-07-15,2.40295
2022-07-17,1.66358
2022-07-21,0.92421
2022-07-22,1.2939
2022-07-23,1.10905
2022-07-25,0.92421
2022-07-27,1.10905
2022-07-28,0.92421
2022-07-31,2.03327
2022-08-03,0.92421
2022-08-07,0.92421
2022-08-10,1.10905
2022-08-15,1.10905
2022-08-17,2.21811
2022-08-20,1.47874
2022-08-21,2.77264
2022-08-24,0.92421
2022-08-25,0.92421
2022-08-27,2.77264
2022-08-28,1.10905
2022-08-29,1.10905
2022-08-30,0.92421
2022-09-04,1.2939
2022-09-05,1.2939
2022-09-10,1.10905
2022-09-11,2.03327
2022-09-12,2.77264
2022-09-13,2.21811
2022-09-14,0.92421
2022-09-16,1.10905
2022-09-17,2.5878
2022-09-19,0.92421
2022-09-20,1.10905
2022-09-22,0.92421
2022-09-23,1.2939
2022-09-24,1.2939
2022-09-25,2.5878
2022-09-26,0.92421
2022-09-28,1.47874
2022-10-02,0.92421
2022-10-03,0.92421
2022-10-06,1.2939
2022-10-07,1.2939
2022-10-09,1.2939
2022-10-12,1.47874
2022-10-13,1.66358
2022-10-14,0.92421
2022-10-17,50.09242
2022-10-18,10.16635
2022-10-19,3.8817
2022-10-20,2.21811
2022-10-23,2.21811
2022-10-27,1.10905
2022-10-29,1.66358
2022-10-30,1.10905
2022-10-31,1.2939
2022-11-03,0.92421
2022-11-07,0.92421
2022-11-08,2.03327
2022-11-09,2.03327
2022-11-10,1.47874
2022-11-12,1.10905
2022-11-13,1.10905
2022-11-14,0.92421
2022-11-15,1.2939
2022-11-21,1.10905
2022-11-24,0.92421
2022-11-25,2.5878
2022-11-26,1.10905
2022-11-27,0.92421
2022-11-29,1.2939
2022-12-01,0.92421
2022-12-02,1.66358
2022-12-04,0.92421
2022-12-06,1.66358
2022-12-08,0.92421
2022-12-09,1.66358
2022-12-10,1.2939
2022-12-11,0.92421
2022-12-18,1.47874
2022-12-21,1.10905
2022-12-23,1.66358
2022-12-24,0.92421
2022-12-27,2.40295
2022-12-28,0.92421
2023-01-03,1.47874
2023-01-06,1.84842
2023-01-07,1.47874
2023-01-08,0.92421
2023-01-12,1.10905
2023-01-17,2.5878
2023-01-19,1.47874
2023-01-25,1.66358
2023-01-26,2.77264
2023-01-29,1.10905
2023-02-02,0.92421
2023-02-04,2.03327
2023-02-07,1.10905
2023-02-10,1.10905
2023-02-14,1.47874
2023-02-19,1.10905
2023-02-20,1.66358
2023-02-21,1.10905
2023-02-25,1.47874
2023-02-28,1.2939
2023-03-02,1.66358
2023-03-10,1.2939
2023-03-14,1.47874
2023-03-15,0.92421
2023-03-17,1.66358
2023-03-19,1.10905
2023-03-21,0.92421
2023-03-25,1.2939
2023-03-28,2.40295
2023-03-29,1.66358
2023-04-01,1.47874
2023-04-04,2.5878
2023-04-07,1.10905
2023-04-08,1.84842
2023-04-10,1.47874
2023-04-11,1.47874
2023-04-12,1.10905
2023-04-15,2.21811
2023-04-17,1.2939
2023-04-18,3.14232
2023-04-19,1.66358
2023-04-21,1.2939
2023-04-22,0.92421
2023-04-23,1.10905
2023-04-25,1.47874
2023-04-26,1.84842
2023-04-28,1.47874
2023-04-30,0.92421
2023-05-01,1.10905
2023-05-03,1.2939
2023-05-04,1.10905
2023-05-05,1.2939
2023-05-08,1.10905
2023-05-09,0.92421
2023-05-13,0.92421
2023-05-16,1.84842
2023-05-17,0.92421
2023-05-18,2.03327
2023-05-19,0.92421
2023-05-20,1.10905
2023-05-21,0.92421
2023-05-22,1.47874
2023-05-24,2.21811
2023-05-25,1.2939
2023-05-28,1.84842
2023-05-29,1.66358
2023-06-01,1.2939
2023-06-03,1.2939
2023-06-04,1.2939
2023-06-05,3.14232
2023-06-06,3.32717
2023-06-07,1.66358
2023-06-08,1.84842
