date,개인연금
2022-04-13,21.4767
2022-04-14,23.26399
2022-04-15,18.19513
2022-04-16,12.65748
2022-04-17,18.92762
2022-04-18,22.32639
2022-04-19,21.506
2022-04-20,21.8576
2022-04-21,21.8869
2022-04-22,18.28303
2022-04-23,13.38997
2022-04-24,16.08555
2022-04-25,26.75065
2022-04-26,23.76208
2022-04-27,24.14298
2022-04-28,22.35569
2022-04-29,19.83592
2022-04-30,15.26516
2022-05-01,16.58365
2022-05-02,21.6232
2022-05-03,24.20158
2022-05-04,19.74802
2022-05-05,16.26135
2022-05-06,22.092
2022-05-07,18.34163
2022-05-08,20.48051
2022-05-09,24.84617
2022-05-10,27.16085
2022-05-11,24.67037
2022-05-12,24.46527
2022-05-13,19.30852
2022-05-14,16.55435
2022-05-15,16.55435
2022-05-16,21.3888
2022-05-17,22.092
2022-05-18,21.2423
2022-05-19,20.74421
2022-05-20,20.45121
2022-05-21,14.12247
2022-05-22,15.41166
2022-05-23,23.14679
2022-05-24,22.092
2022-05-25,51.18663
2022-05-26,24.28948
2022-05-27,61.00205
2022-05-28,21.03721
2022-05-29,21.6525
2022-05-30,26.19396
2022-05-31,22.29709
2022-06-01,19.54292
2022-06-02,22.76589
2022-06-03,20.86141
2022-06-04,12.92118
2022-06-05,18.66393
2022-06-06,17.37474
2022-06-07,22.1799
2022-06-08,25.69586
2022-06-09,23.23469
2022-06-10,24.37738
2022-06-11,13.82947
2022-06-12,19.92382
2022-06-13,25.60796
2022-06-14,25.46147
2022-06-15,27.89334
2022-06-16,26.13536
2022-06-17,23.73278
2022-06-18,15.47026
2022-06-19,17.11104
2022-06-20,25.34427
2022-06-21,25.46147
2022-06-22,22.35569
2022-06-23,24.93407
2022-06-24,21.7111
2022-06-25,13.62437
2022-06-26,17.99003
2022-06-27,23.26399
2022-06-28,24.99267
2022-06-29,24.34808
2022-06-30,25.90096
2022-07-01,21.2423
2022-07-02,16.37855
2022-07-03,17.31614
2022-07-04,21.7697
2022-07-05,21.9748
2022-07-06,21.09581
2022-07-07,20.21681
2022-07-08,19.13272
2022-07-09,14.50336
2022-07-10,17.99003
2022-07-11,20.39261
2022-07-12,24.34808
2022-07-13,20.09961
2022-07-14,21.1251
2022-07-15,18.69323
2022-07-16,14.21037
2022-07-17,20.68561
2022-07-18,22.67799
2022-07-19,23.87928
2022-07-20,28.59654
2022-07-21,27.48315
2022-07-22,28.56724
2022-07-23,16.81804
2022-07-24,19.95312
2022-07-25,27.42455
2022-07-26,28.91883
2022-07-27,29.27043
2022-07-28,21.8576
2022-07-29,20.45121
2022-07-30,15.76325
2022-07-31,21.5353
2022-08-01,29.15323
2022-08-02,24.99267
2022-08-03,24.96337
2022-08-04,22.092
2022-08-05,22.0041
2022-08-06,16.58365
2022-08-07,20.42191
2022-08-08,21.6232
2022-08-09,19.68942
2022-08-10,22.79519
2022-08-11,20.42191
2022-08-12,19.19132
2022-08-13,13.24348
2022-08-14,14.50336
2022-08-15,17.02314
2022-08-16,25.31497
2022-08-17,24.05508
2022-08-18,20.89071
2022-08-19,22.1799
2022-08-20,17.34544
2022-08-21,20.07031
2022-08-22,23.17609
2022-08-23,23.35188
2022-08-24,25.52007
2022-08-25,27.33665
2022-08-26,25.72516
2022-08-27,16.34925
2022-08-28,17.34544
2022-08-29,25.28567
2022-08-30,25.05127
2022-08-31,23.38118
2022-09-01,23.00029
2022-09-02,18.22443
2022-09-03,17.43334
2022-09-04,21.3302
2022-09-05,25.16847
2022-09-06,24.31878
2022-09-07,22.0627
2022-09-08,19.48432
2022-09-09,13.91737
2022-09-10,15.96835
2022-09-11,17.75564
2022-09-12,23.58628
2022-09-13,32.11251
2022-09-14,27.33665
2022-09-15,26.83855
2022-09-16,21.213
2022-09-17,15.38236
2022-09-18,17.40404
2022-09-19,25.60796
2022-09-20,24.26018
2022-09-21,27.07295
2022-09-22,23.35188
2022-09-23,22.41429
2022-09-24,14.64986
2022-09-25,17.46264
2022-09-26,20.97861
2022-09-27,23.29329
2022-09-28,23.84998
2022-09-29,21.1251
2022-09-30,22.26779
2022-10-01,15.20656
2022-10-02,13.94667
2022-10-03,24.34808
2022-10-04,25.90096
2022-10-05,21.06651
2022-10-06,20.33401
2022-10-07,19.30852
2022-10-08,12.80398
2022-10-09,14.91356
2022-10-10,15.79255
2022-10-11,23.43978
2022-10-12,20.65631
2022-10-13,20.50981
2022-10-14,19.57222
2022-10-15,12.54028
2022-10-16,17.75564
2022-10-17,23.93788
2022-10-18,24.05508
2022-10-19,21.09581
2022-10-20,38.99794
2022-10-21,21.2423
2022-10-22,14.62056
2022-10-23,17.40404
2022-10-24,21.799
2022-10-25,26.63346
2022-10-26,25.87166
2022-10-27,24.37738
2022-10-28,19.98242
2022-10-29,13.47787
2022-10-30,13.09698
2022-10-31,21.7404
2022-11-01,20.50981
2022-11-02,25.63726
2022-11-03,21.9162
2022-11-04,22.73659
2022-11-05,19.74802
2022-11-06,19.54292
2022-11-07,25.16847
2022-11-08,24.28948
2022-11-09,22.0627
2022-11-10,24.90477
2022-11-11,21.1837
2022-11-12,16.31995
2022-11-13,19.13272
2022-11-14,24.14298
2022-11-15,21.7404
2022-11-16,24.46527
2022-11-17,23.14679
2022-11-18,19.74802
2022-11-19,16.55435
2022-11-20,22.0041
2022-11-21,27.21945
2022-11-22,26.66276
2022-11-23,30.85262
2022-11-24,28.27424
2022-11-25,24.90477
2022-11-26,21.7697
2022-11-27,31.46791
2022-11-28,29.18253
2022-11-29,29.73923
2022-11-30,30.06152
2022-12-01,28.36214
2022-12-02,25.31497
2022-12-03,16.70084
2022-12-04,23.52768
2022-12-05,30.64752
2022-12-06,34.57368
2022-12-07,32.4055
2022-12-08,38.06035
2022-12-09,32.7278
2022-12-10,23.70348
2022-12-11,24.96337
2022-12-12,36.77116
2022-12-13,34.01699
2022-12-14,31.14561
2022-12-15,29.27043
2022-12-16,28.36214
2022-12-17,22.23849
2022-12-18,24.20158
2022-12-19,35.10108
2022-12-20,35.48198
2022-12-21,34.77878
2022-12-22,31.17491
2022-12-23,33.34309
2022-12-24,21.799
2022-12-25,22.79519
2022-12-26,35.39408
2022-12-27,37.62086
2022-12-28,35.27688
2022-12-29,35.62847
2022-12-30,33.81189
2022-12-31,22.092
2023-01-01,43.15851
2023-01-02,36.00937
2023-01-03,39.90624
2023-01-04,39.55464
2023-01-05,41.51772
2023-01-06,31.84881
2023-01-07,33.84119
2023-01-08,31.87811
2023-01-09,38.29475
2023-01-10,40.16993
2023-01-11,37.15206
2023-01-12,41.63492
2023-01-13,35.36478
2023-01-14,24.84617
2023-01-15,34.80808
2023-01-16,57.13448
2023-01-17,58.98036
2023-01-18,61.35364
2023-01-19,54.8784
2023-01-20,54.35101
2023-01-21,31.67301
2023-01-22,62.90653
2023-01-23,49.98535
2023-01-24,51.74333
2023-01-25,90.27248
