date,VOO주가
2023-04-28,19.78021
2023-04-29,17.21611
2023-04-30,7.326
2023-05-01,9.5238
2023-05-02,16.84981
2023-05-03,12.82051
2023-05-04,18.68131
2023-05-05,15.75091
2023-05-06,8.4249
2023-05-07,7.6923
2023-05-08,9.5238
2023-05-09,14.65201
2023-05-10,11.35531
2023-05-11,15.38461
2023-05-12,11.72161
2023-05-13,11.72161
2023-05-14,3.663
2023-05-15,11.72161
2023-05-16,16.48351
2023-05-17,15.38461
2023-05-18,16.84981
2023-05-19,21.24542
2023-05-20,10.25641
2023-05-21,4.3956
2023-05-22,7.6923
2023-05-23,15.38461
2023-05-24,18.31501
2023-05-25,20.87912
2023-05-26,32.23443
2023-05-27,17.58241
2023-05-28,9.8901
2023-05-29,9.8901
2023-05-30,16.48351
2023-05-31,21.61172
2023-06-01,18.31501
2023-06-02,21.97802
2023-06-03,18.31501
2023-06-04,12.08791
2023-06-05,16.48351
2023-06-06,16.11721
2023-06-07,18.68131
2023-06-08,20.87912
2023-06-09,19.41391
2023-06-10,13.18681
2023-06-11,4.0293
2023-06-12,7.326
2023-06-13,23.07692
2023-06-14,27.83882
2023-06-15,26.73992
2023-06-16,25.27472
2023-06-17,16.84981
2023-06-18,12.08791
2023-06-19,13.91941
2023-06-20,22.71062
2023-06-21,25.64102
2023-06-22,23.07692
2023-06-23,24.90842
2023-06-24,13.55311
2023-06-25,9.1575
2023-06-26,22.71062
2023-06-27,23.44322
2023-06-28,24.17582
2023-06-29,24.54212
2023-06-30,25.64102
2023-07-01,17.58241
2023-07-02,13.18681
2023-07-03,12.45421
2023-07-04,19.78021
2023-07-05,19.04761
2023-07-06,27.83882
2023-07-07,19.04761
2023-07-08,21.24542
2023-07-09,15.01831
2023-07-10,16.48351
2023-07-11,35.16483
2023-07-12,32.96703
2023-07-13,40.65934
2023-07-14,33.33333
2023-07-15,32.96703
2023-07-16,11.35531
2023-07-17,29.67032
2023-07-18,40.29304
2023-07-19,36.99633
2023-07-20,39.19413
2023-07-21,27.83882
2023-07-22,26.37362
2023-07-23,10.62271
2023-07-24,19.04761
2023-07-25,28.57142
2023-07-26,21.24542
2023-07-27,29.67032
2023-07-28,22.71062
2023-07-29,23.44322
2023-07-30,16.11721
2023-07-31,28.93772
2023-08-01,32.60073
2023-08-02,27.47252
2023-08-03,29.67032
2023-08-04,19.78021
2023-08-05,19.78021
2023-08-06,14.65201
2023-08-07,18.68131
2023-08-08,26.00732
2023-08-09,28.20512
2023-08-10,31.50183
2023-08-11,27.47252
2023-08-12,21.97802
2023-08-13,16.11721
2023-08-14,14.28571
2023-08-15,24.90842
2023-08-16,26.73992
2023-08-17,24.17582
2023-08-18,24.54212
2023-08-19,17.94871
2023-08-20,8.4249
2023-08-21,10.98901
2023-08-22,26.37362
2023-08-23,24.17582
2023-08-24,28.93772
2023-08-25,22.34432
2023-08-26,18.68131
2023-08-27,7.6923
2023-08-28,14.28571
2023-08-29,24.90842
2023-08-30,25.27472
