date,박물관
2021-12-11,26.86348
2021-12-12,31.40703
2021-12-13,17.44137
2021-12-14,15.85008
2021-12-15,15.93383
2021-12-16,16.43634
2021-12-17,18.7814
2021-12-18,23.59715
2021-12-19,21.41959
2021-12-20,16.79229
2021-12-21,17.44137
2021-12-22,17.60887
2021-12-23,17.83919
2021-12-24,17.39949
2021-12-25,32.93551
2021-12-26,33.66834
2021-12-27,24.76968
2021-12-28,25.14656
2021-12-29,29.41792
2021-12-30,29.94137
2021-12-31,25.27219
2022-01-01,39.34254
2022-01-02,37.41624
2022-01-03,27.74288
2022-01-04,28.55946
2022-01-05,27.63819
2022-01-06,26.90536
2022-01-07,32.11892
2022-01-08,41.54103
2022-01-09,45.43551
2022-01-10,28.89447
2022-01-11,31.93048
2022-01-12,27.701
2022-01-13,28.35008
2022-01-14,32.3283
2022-01-15,48.82747
2022-01-16,46.67085
2022-01-17,44.01172
2022-01-18,35.99246
2022-01-19,26.75879
2022-01-20,27.84757
2022-01-21,33.6474
2022-01-22,50.56532
2022-01-23,44.01172
2022-01-24,23.76465
2022-01-25,22.90619
2022-01-26,20.22613
2022-01-27,21.77554
2022-01-28,23.34589
2022-01-29,36.47403
2022-01-30,40.70351
2022-01-31,34.02428
2022-02-01,29.16666
2022-02-02,40.61976
2022-02-03,26.73785
2022-02-04,33.6474
2022-02-05,46.25209
2022-02-06,37.96063
2022-02-07,20.33082
2022-02-08,20.07956
2022-02-09,19.55611
2022-02-10,18.59296
2022-02-11,22.40368
2022-02-12,37.91876
2022-02-13,36.66247
2022-02-14,22.34087
2022-02-15,22.86432
2022-02-16,21.48241
2022-02-17,21.92211
2022-02-18,23.74371
2022-02-19,40.45226
2022-02-20,42.77638
2022-02-21,25.08375
2022-02-22,22.71775
2022-02-23,23.0737
2022-02-24,20.74958
2022-02-25,23.34589
2022-02-26,36.03433
2022-02-27,41.72948
2022-02-28,33.0402
2022-03-01,38.08626
2022-03-02,13.52596
2022-03-03,14.00753
2022-03-04,21.37772
2022-03-05,36.47403
2022-03-06,36.03433
2022-03-07,18.46733
2022-03-08,22.90619
2022-03-09,27.47068
2022-03-10,15.99664
2022-03-11,23.36683
2022-03-12,36.43216
2022-03-13,37.26968
2022-03-14,16.20603
2022-03-15,16.64572
2022-03-16,17.04355
2022-03-17,18.69765
2022-03-18,25.6072
2022-03-19,43.25795
2022-03-20,36.0134
2022-03-21,16.95979
2022-03-22,17.52512
2022-03-23,18.88609
2022-03-24,17.75544
2022-03-25,24.03685
2022-03-26,40.11725
2022-03-27,35.46901
2022-03-28,17.83919
2022-03-29,16.45728
2022-03-30,17.92294
2022-03-31,18.11139
2022-04-01,22.65494
2022-04-02,32.20268
2022-04-03,29.56448
2022-04-04,16.03852
2022-04-05,17.00167
2022-04-06,17.567
2022-04-07,17.10636
2022-04-08,19.40954
2022-04-09,27.07286
2022-04-10,26.63316
2022-04-11,16.95979
2022-04-12,16.89698
2022-04-13,18.27889
2022-04-14,18.53015
2022-04-15,23.30402
2022-04-16,32.66331
2022-04-17,30.75795
2022-04-18,20.24706
2022-04-19,17.567
2022-04-20,18.3417
2022-04-21,19.63986
2022-04-22,23.19932
2022-04-23,36.47403
2022-04-24,32.74706
2022-04-25,19.0536
2022-04-26,19.6608
2022-04-27,18.44639
2022-04-28,20.83333
2022-04-29,24.18341
2022-04-30,37.0603
2022-05-01,37.31155
2022-05-02,23.93216
2022-05-03,23.93216
2022-05-04,34.23366
2022-05-05,45.45644
2022-05-06,34.42211
2022-05-07,34.00335
2022-05-08,25.90033
2022-05-09,19.87018
2022-05-10,19.36767
2022-05-11,19.80737
2022-05-12,19.17922
2022-05-13,24.47654
2022-05-14,33.8149
2022-05-15,33.35427
2022-05-16,21.27303
2022-05-17,19.63986
2022-05-18,20.95896
2022-05-19,20.79145
2022-05-20,26.36097
2022-05-21,37.45812
2022-05-22,36.76716
2022-05-23,20.58207
2022-05-24,20.268
2022-05-25,19.8283
2022-05-26,19.59798
2022-05-27,24.30904
2022-05-28,35.69932
2022-05-29,37.60469
2022-05-30,23.91122
2022-05-31,31.07202
2022-06-01,38.94472
2022-06-02,22.55025
2022-06-03,30.10887
2022-06-04,49.79061
2022-06-05,76.69597
2022-06-06,58.56365
2022-06-07,20.1005
2022-06-08,19.3886
2022-06-09,18.63484
2022-06-10,25.27219
2022-06-11,38.67252
2022-06-12,37.12311
2022-06-13,22.69681
2022-06-14,20.45644
2022-06-15,21.46147
2022-06-16,20.28894
2022-06-17,26.25628
2022-06-18,36.91373
2022-06-19,37.5
2022-06-20,21.50335
2022-06-21,23.17839
2022-06-22,22.90619
2022-06-23,20.12144
2022-06-24,27.42881
2022-06-25,41.01758
2022-06-26,41.79229
2022-06-27,21.60804
2022-06-28,20.81239
2022-06-29,20.62395
2022-06-30,21.54522
2022-07-01,29.77386
2022-07-02,49.85343
2022-07-03,52.76381
2022-07-04,24.95812
2022-07-05,22.88525
2022-07-06,22.11055
2022-07-07,22.44556
2022-07-08,30.94639
2022-07-09,48.28308
2022-07-10,55.59045
2022-07-11,26.25628
2022-07-12,24.14154
2022-07-13,23.13651
2022-07-14,23.99497
2022-07-15,32.55862
2022-07-16,49.05778
2022-07-17,51.90536
2022-07-18,29.85762
2022-07-19,29.33417
2022-07-20,29.58542
2022-07-21,32.07705
2022-07-22,38.56783
2022-07-23,52.47068
2022-07-24,67.25293
2022-07-25,50.73283
2022-07-26,51.52847
2022-07-27,50.06281
2022-07-28,54.75293
2022-07-29,59.29648
2022-07-30,76.63316
2022-07-31,99.47654
2022-08-01,84.38023
2022-08-02,75.6072
2022-08-03,63.81909
2022-08-04,54.75293
2022-08-05,60.36432
2022-08-06,72.98994
2022-08-07,71.37772
2022-08-08,38.79815
2022-08-09,30.79983
2022-08-10,37.26968
2022-08-11,41.72948
2022-08-12,49.49748
2022-08-13,82.87269
2022-08-14,96.67085
2022-08-15,79.0201
2022-08-16,40.59882
2022-08-17,33.6474
2022-08-18,32.93551
2022-08-19,37.08123
2022-08-20,60.84589
2022-08-21,56.59547
2022-08-22,27.17755
2022-08-23,23.05276
2022-08-24,22.67587
2022-08-25,23.47152
2022-08-26,26.25628
2022-08-27,40.22194
2022-08-28,38.7144
2022-08-29,21.90117
2022-08-30,20.41457
2022-08-31,16.95979
2022-09-01,18.1742
2022-09-02,22.06867
2022-09-03,37.62562
2022-09-04,36.39028
2022-09-05,15.34757
2022-09-06,20.01675
2022-09-07,16.49916
2022-09-08,18.6139
2022-09-09,23.45058
2022-09-10,27.17755
2022-09-11,39.90787
2022-09-12,40.11725
2022-09-13,22.50837
2022-09-14,18.25795
2022-09-15,20.60301
2022-09-16,22.15242
2022-09-17,38.42127
2022-09-18,37.68844
2022-09-19,20.62395
2022-09-20,19.6608
2022-09-21,19.40954
2022-09-22,19.01172
2022-09-23,22.88525
2022-09-24,32.28643
2022-09-25,33.79396
2022-09-26,19.51423
2022-09-27,18.99078
2022-09-28,18.09045
2022-09-29,21.39865
2022-09-30,23.47152
2022-10-01,41.98073
2022-10-02,65.24288
2022-10-03,65.66164
2022-10-04,22.08961
2022-10-05,18.23701
2022-10-06,20.39363
2022-10-07,24.93718
2022-10-08,43.27889
2022-10-09,100.0
2022-10-10,57.99832
2022-10-11,17.90201
2022-10-12,18.06951
2022-10-13,17.16917
2022-10-14,20.5402
2022-10-15,30.52763
2022-10-16,30.21356
2022-10-17,19.97487
2022-10-18,18.02763
2022-10-19,17.52512
2022-10-20,17.75544
2022-10-21,20.39363
2022-10-22,29.12479
2022-10-23,29.1876
2022-10-24,18.50921
2022-10-25,18.02763
2022-10-26,17.96482
2022-10-27,16.6876
2022-10-28,20.12144
2022-10-29,27.99413
2022-10-30,24.58123
2022-10-31,18.44639
2022-11-01,18.3417
2022-11-02,19.47236
2022-11-03,20.18425
2022-11-04,23.2412
2022-11-05,36.66247
2022-11-06,32.87269
2022-11-07,20.56113
2022-11-08,18.36264
2022-11-09,18.69765
2022-11-10,18.53015
2022-11-11,24.30904
2022-11-12,37.31155
2022-11-13,39.90787
2022-11-14,19.2211
2022-11-15,19.3886
2022-11-16,18.82328
2022-11-17,20.12144
2022-11-18,22.25711
2022-11-19,32.99832
2022-11-20,32.1608
2022-11-21,19.78643
2022-11-22,19.01172
