date,KEC주가
2023-04-06,9.16949
2023-04-07,12.58485
2023-04-08,1.86147
2023-04-09,1.80313
2023-04-10,14.76983
2023-04-11,25.07955
2023-04-12,29.13131
2023-04-13,16.18582
2023-04-14,13.20534
2023-04-15,2.13725
2023-04-16,1.7501
2023-04-17,11.8795
2023-04-18,10.34683
2023-04-19,9.66801
2023-04-20,8.76644
2023-04-21,8.077
2023-04-22,1.25159
2023-04-23,1.12431
2023-04-24,7.94972
2023-04-25,7.17013
2023-04-26,7.5997
2023-04-27,8.00806
2023-04-28,7.67925
2023-04-29,1.03945
2023-04-30,0.73186
2023-05-01,1.80844
2023-05-02,8.22549
2023-05-03,6.91026
2023-05-04,6.46478
2023-05-05,1.07658
2023-05-06,0.73186
2023-05-07,0.78489
2023-05-08,7.6103
2023-05-09,6.82541
2023-05-10,6.75647
2023-05-11,8.83538
2023-05-12,8.60733
2023-05-13,1.35765
2023-05-14,1.15613
2023-05-15,6.87844
2023-05-16,10.73928
2023-05-17,7.86487
2023-05-18,7.81714
2023-05-19,7.85426
2023-05-20,1.00763
2023-05-21,1.119
2023-05-22,6.78298
2023-05-23,6.59206
2023-05-24,5.97687
2023-05-25,7.40878
2023-05-26,6.62388
2023-05-27,1.07127
