date,예금금리높은은행
2023-09-20,10.59322
2023-09-21,13.42894
2023-09-22,11.34289
2023-09-23,7.17079
2023-09-24,7.98565
2023-09-25,15.4498
2023-09-26,16.26466
2023-09-27,14.34159
2023-09-28,6.25814
2023-09-29,6.45371
2023-09-30,6.58409
2023-10-01,8.01825
2023-10-02,11.01694
2023-10-03,16.29726
2023-10-04,30.57366
2023-10-05,23.23989
2023-10-06,21.15384
2023-10-07,9.32203
2023-10-08,9.19165
2023-10-09,10.20208
2023-10-10,21.61016
2023-10-11,20.73011
2023-10-12,22.65319
2023-10-13,17.17731
2023-10-14,10.0717
2023-10-15,9.74576
2023-10-16,22.0013
2023-10-17,24.90221
2023-10-18,25.13037
2023-10-19,28.74837
2023-10-20,32.75749
2023-10-21,13.16818
2023-10-22,13.10299
2023-10-23,29.1395
2023-10-24,31.5189
2023-10-25,27.9335
2023-10-26,25.5867
2023-10-27,26.01043
2023-10-28,11.57105
2023-10-29,17.47066
2023-10-30,37.4837
2023-10-31,31.77966
2023-11-01,32.95306
2023-11-02,30.41069
2023-11-03,25.35853
2023-11-04,14.2764
2023-11-05,14.63494
2023-11-06,27.9335
2023-11-07,25.29335
2023-11-08,25.84745
2023-11-09,20.7953
2023-11-10,20.69752
2023-11-11,11.08213
2023-11-12,11.50586
2023-11-13,23.98956
2023-11-14,24.73924
2023-11-15,23.33767
2023-11-16,21.47979
2023-11-17,20.01303
2023-11-18,9.77835
2023-11-19,10.0717
2023-11-20,23.82659
2023-11-21,19.29595
2023-11-22,18.90482
2023-11-23,17.34028
2023-11-24,18.87222
2023-11-25,8.80052
2023-11-26,9.64797
2023-11-27,21.382
2023-11-28,23.01173
2023-11-29,20.24119
2023-11-30,21.77314
2023-12-01,18.25293
2023-12-02,8.63754
2023-12-03,9.485
2023-12-04,21.51238
2023-12-05,20.07822
2023-12-06,18.64406
2023-12-07,17.27509
2023-12-08,15.28683
2023-12-09,8.14863
2023-12-10,7.95306
2023-12-11,19.78487
2023-12-12,16.75358
2023-12-13,15.61277
2023-12-14,14.73272
2023-12-15,14.73272
2023-12-16,7.07301
2023-12-17,7.33376
2023-12-18,16.75358
2023-12-19,14.17861
2023-12-20,15.51499
2023-12-21,14.50456
2023-12-22,15.09126
2023-12-23,8.80052
2023-12-24,7.00782
2023-12-25,10.00651
2023-12-26,17.89439
2023-12-27,16.78617
2023-12-28,16.78617
2023-12-29,17.07953
2023-12-30,8.01825
2023-12-31,7.26857
2024-01-01,9.485
2024-01-02,21.83833
2024-01-03,18.64406
2024-01-04,18.90482
2024-01-05,15.28683
2024-01-06,9.28943
2024-01-07,9.77835
2024-01-08,16.59061
2024-01-09,16.59061
2024-01-10,15.84093
2024-01-11,17.40547
2024-01-12,14.8305
2024-01-13,7.56192
2024-01-14,7.95306
2024-01-15,15.77574
2024-01-16,15.51499
2024-01-17,14.53715
2024-01-18,14.30899
2024-01-19,12.35332
2024-01-20,9.15906
2024-01-21,8.99608
2024-01-22,15.54758
2024-01-23,13.00521
2024-01-24,13.85267
2024-01-25,15.28683
2024-01-26,14.8305
2024-01-27,7.59452
2024-01-28,7.33376
2024-01-29,14.50456
2024-01-30,17.66623
2024-01-31,16.85136
2024-02-01,18.67666
2024-02-02,13.10299
2024-02-03,6.87744
2024-02-04,7.79009
2024-02-05,14.47196
2024-02-06,12.97262
2024-02-07,12.94002
2024-02-08,9.97392
2024-02-09,4.62842
2024-02-10,5.01955
2024-02-11,6.02998
2024-02-12,8.14863
2024-02-13,18.64406
2024-02-14,15.25423
2024-02-15,14.40677
2024-02-16,13.42894
2024-02-17,6.48631
2024-02-18,8.40938
2024-02-19,13.6571
2024-02-20,15.25423
2024-02-21,17.92698
2024-02-22,18.83963
2024-02-23,18.02477
2024-02-24,8.73533
2024-02-25,11.04954
2024-02-26,22.42503
2024-02-27,16.46023
2024-02-28,14.76531
2024-02-29,14.08083
2024-03-01,8.86571
2024-03-02,8.08344
2024-03-03,7.59452
2024-03-04,18.22033
2024-03-05,13.95045
2024-03-06,13.6897
2024-03-07,12.35332
2024-03-08,11.57105
2024-03-09,6.55149
2024-03-10,6.5189
2024-03-11,15.74315
2024-03-12,12.15775
2024-03-13,10.691
2024-03-14,9.84354
2024-03-15,11.17992
2024-03-16,4.62842
2024-03-17,6.29074
2024-03-18,12.35332
2024-03-19,10.52803
2024-03-20,12.4837
