date,전자단기사채
2022-02-28,9.74358
2022-03-01,3.07692
2022-03-02,12.82051
2022-03-03,14.35897
2022-03-04,13.33333
2022-03-07,15.38461
2022-03-08,10.25641
2022-03-09,3.58974
2022-03-10,13.33333
2022-03-11,17.43589
2022-03-14,16.41025
2022-03-15,17.94871
2022-03-16,22.5641
2022-03-17,19.48717
2022-03-18,17.94871
2022-03-19,3.58974
2022-03-21,13.33333
2022-03-22,13.84615
2022-03-23,12.30769
2022-03-24,21.02564
2022-03-25,18.46153
2022-03-26,2.5641
2022-03-28,16.92307
2022-03-29,11.28205
2022-03-30,15.89743
2022-03-31,11.79487
2022-04-01,11.79487
2022-04-04,16.92307
2022-04-05,19.48717
2022-04-06,15.89743
2022-04-07,13.84615
2022-04-08,13.33333
2022-04-10,4.61538
2022-04-11,11.28205
2022-04-12,24.10256
2022-04-13,13.33333
2022-04-14,17.43589
2022-04-15,17.94871
2022-04-17,4.10256
2022-04-18,15.38461
2022-04-19,21.53846
2022-04-20,26.15384
2022-04-21,17.94871
2022-04-22,19.48717
2022-04-23,3.07692
2022-04-25,17.43589
2022-04-26,18.46153
2022-04-27,17.94871
2022-04-28,23.07692
2022-04-29,9.23076
2022-04-30,2.5641
2022-05-02,16.92307
2022-05-03,15.38461
2022-05-04,14.35897
2022-05-06,15.89743
2022-05-09,20.51282
2022-05-10,11.79487
2022-05-11,15.38461
2022-05-12,11.79487
2022-05-13,13.33333
2022-05-14,4.61538
2022-05-15,2.5641
2022-05-16,21.02564
2022-05-17,20.51282
2022-05-18,24.10256
2022-05-19,21.53846
2022-05-20,12.30769
2022-05-22,4.61538
2022-05-23,25.1282
2022-05-24,26.66666
2022-05-25,17.43589
2022-05-26,17.94871
2022-05-27,23.58974
2022-05-29,3.07692
2022-05-30,15.89743
2022-05-31,18.97435
2022-06-02,18.97435
2022-06-03,15.89743
2022-06-05,2.5641
2022-06-06,2.5641
2022-06-07,12.30769
2022-06-08,21.02564
2022-06-09,23.07692
2022-06-10,14.87179
2022-06-11,5.1282
2022-06-12,3.07692
2022-06-13,17.43589
2022-06-14,25.1282
2022-06-15,19.48717
2022-06-16,23.07692
2022-06-17,10.76923
2022-06-19,7.6923
2022-06-20,18.46153
2022-06-21,22.05128
2022-06-22,23.07692
2022-06-23,17.43589
2022-06-24,15.38461
2022-06-25,2.5641
2022-06-26,3.58974
2022-06-27,16.92307
2022-06-28,27.17948
2022-06-29,24.10256
2022-06-30,34.35897
2022-07-01,24.61538
2022-07-02,6.15384
2022-07-03,4.10256
2022-07-04,17.43589
2022-07-05,29.74358
2022-07-06,32.30769
2022-07-07,27.17948
2022-07-08,23.07692
2022-07-11,24.61538
2022-07-12,28.20512
2022-07-13,26.66666
2022-07-14,31.28205
2022-07-15,30.76923
2022-07-16,4.10256
2022-07-17,3.07692
2022-07-18,20.0
2022-07-19,27.6923
2022-07-20,28.71794
2022-07-21,27.6923
2022-07-22,29.23076
2022-07-23,5.64102
2022-07-25,26.66666
2022-07-26,35.89743
2022-07-27,30.76923
2022-07-28,27.17948
2022-07-29,27.6923
2022-07-30,5.64102
2022-08-01,23.58974
2022-08-02,25.1282
2022-08-03,33.33333
2022-08-04,25.1282
