date,증시현황
2022-07-25,13.00012
2022-07-26,16.10773
2022-07-27,16.80694
2022-07-28,16.92347
2022-07-29,16.54797
2022-07-30,4.55781
2022-07-31,1.37252
2022-08-01,13.77702
2022-08-02,17.35077
2022-08-03,16.37964
2022-08-04,16.49618
2022-08-05,14.99417
2022-08-06,4.6096
2022-08-07,1.08766
2022-08-08,12.8059
2022-08-09,16.01709
2022-08-10,15.90055
2022-08-11,16.36669
2022-08-12,15.47326
2022-08-13,4.06577
2022-08-14,0.98407
2022-08-15,4.40243
2022-08-16,15.47326
2022-08-17,16.30195
2022-08-18,15.58979
2022-08-19,16.30195
2022-08-20,4.16936
2022-08-21,1.46316
2022-08-22,13.90651
2022-08-23,17.07885
2022-08-24,15.97824
2022-08-25,15.05891
2022-08-26,14.41149
2022-08-27,5.36061
2022-08-28,1.46316
2022-08-29,17.01411
2022-08-30,16.67745
2022-08-31,16.79399
2022-09-01,19.15058
2022-09-02,16.72925
2022-09-03,4.40243
2022-09-04,1.54085
2022-09-05,14.52803
2022-09-06,15.97824
2022-09-07,18.6715
2022-09-08,15.64159
2022-09-09,5.83969
2022-09-10,3.70322
2022-09-11,1.47611
2022-09-12,3.98808
2022-09-13,18.59381
2022-09-14,21.55897
2022-09-15,17.59678
2022-09-16,16.65156
2022-09-17,4.70024
2022-09-18,1.69623
2022-09-19,15.1625
2022-09-20,15.03301
2022-09-21,16.06888
2022-09-22,17.66153
2022-09-23,17.82985
2022-09-24,4.82972
2022-09-25,1.70918
2022-09-26,21.74025
2022-09-27,21.24821
2022-09-28,26.90664
2022-09-29,20.14761
2022-09-30,21.92153
2022-10-01,7.19927
2022-10-02,3.37951
2022-10-03,7.32875
2022-10-04,23.86378
2022-10-05,26.71241
2022-10-06,22.33587
2022-10-07,20.76913
2022-10-08,7.08273
2022-10-09,2.60261
2022-10-10,7.53593
2022-10-11,28.20147
2022-10-12,25.05503
2022-10-13,28.14968
2022-10-14,25.48232
2022-10-15,8.1704
2022-10-16,3.4313
2022-10-17,31.67163
2022-10-18,33.71746
2022-10-19,30.63576
2022-10-20,24.60183
2022-10-21,22.40062
2022-10-22,6.51301
2022-10-23,2.58966
2022-10-24,21.30001
2022-10-25,23.37174
2022-10-26,22.77612
2022-10-27,24.5112
2022-10-28,21.98627
2022-10-29,7.18632
2022-10-30,2.47313
2022-10-31,18.68444
2022-11-01,22.65958
2022-11-02,23.3329
2022-11-03,25.17156
2022-11-04,21.68846
2022-11-05,7.00504
2022-11-06,2.66735
2022-11-07,18.6456
2022-11-08,21.80499
2022-11-09,24.47235
2022-11-10,24.64068
2022-11-11,32.70749
2022-11-12,9.71125
2022-11-13,3.56079
2022-11-14,22.29703
2022-11-15,22.49125
2022-11-16,25.19746
2022-11-17,34.50731
2022-11-18,19.28007
2022-11-19,6.52596
2022-11-20,2.80978
2022-11-21,20.66554
2022-11-22,20.12171
2022-11-23,18.68444
2022-11-24,18.2442
2022-11-25,16.40554
2022-11-26,4.85562
2022-11-27,2.21416
2022-11-28,17.42846
2022-11-29,17.92049
2022-11-30,16.76809
2022-12-01,19.75916
2022-12-02,22.43946
2022-12-03,5.77495
2022-12-04,2.48608
2022-12-05,15.70633
2022-12-06,20.09581
2022-12-07,19.57788
2022-12-08,19.70736
2022-12-09,18.33484
2022-12-10,5.80085
2022-12-11,2.38249
2022-12-12,15.74517
2022-12-13,17.75216
2022-12-14,18.02408
2022-12-15,20.5749
2022-12-16,19.53903
2022-12-17,5.99507
2022-12-18,2.40839
2022-12-19,14.11368
2022-12-20,20.43247
2022-12-21,18.42548
2022-12-22,17.27308
2022-12-23,27.17855
2022-12-24,7.01799
2022-12-25,2.31775
2022-12-26,14.25611
2022-12-27,14.65751
2022-12-28,20.549
2022-12-29,21.05399
2022-12-30,12.81885
2022-12-31,3.53489
2023-01-01,1.8775
2023-01-02,19.4225
2023-01-03,19.17648
2023-01-04,18.81393
2023-01-05,18.37368
2023-01-06,17.58384
2023-01-07,5.98213
2023-01-08,1.68328
2023-01-09,16.09478
2023-01-10,19.50019
2023-01-11,17.73922
2023-01-12,17.77806
2023-01-13,17.23423
2023-01-14,5.36061
2023-01-15,1.51495
2023-01-16,12.67642
2023-01-17,16.19836
2023-01-18,15.79697
2023-01-19,16.74219
2023-01-20,14.13958
2023-01-21,4.46717
2023-01-22,1.43726
2023-01-23,2.84863
2023-01-24,6.43532
