date,영진약품주가
2023-02-01,3.50624
2023-02-02,3.87437
2023-02-03,3.07375
2023-02-04,0.36555
2023-02-05,0.30377
2023-02-06,2.81632
2023-02-07,2.79057
2023-02-08,2.84463
2023-02-09,2.40185
2023-02-10,2.24739
2023-02-11,0.26258
2023-02-12,0.1802
2023-02-13,2.28085
2023-02-14,1.94877
2023-02-15,1.7351
2023-02-16,2.17788
2023-02-17,1.94877
2023-02-18,0.24198
2023-02-19,0.13386
2023-02-20,2.11352
2023-02-21,2.00798
2023-02-22,1.7248
2023-02-23,1.8046
2023-02-24,1.58836
2023-02-25,0.18277
2023-02-26,0.16733
2023-02-27,1.55747
2023-02-28,1.67846
2023-03-01,0.24713
2023-03-02,1.87668
2023-03-03,1.74024
2023-03-04,0.16475
2023-03-05,0.15446
2023-03-06,1.75569
2023-03-07,1.74797
2023-03-08,1.60381
2023-03-09,1.61668
2023-03-10,1.53172
2023-03-11,0.1699
2023-03-12,0.17762
2023-03-13,1.87154
2023-03-14,1.74797
2023-03-15,2.01055
2023-03-16,1.81233
2023-03-17,2.03114
2023-03-18,0.23683
2023-03-19,0.18535
2023-03-20,1.8046
2023-03-21,1.60381
2023-03-22,1.76856
2023-03-23,1.82262
2023-03-24,1.99253
2023-03-25,0.23683
2023-03-26,0.19822
2023-03-27,1.8046
2023-03-28,1.89728
2023-03-29,1.70935
2023-03-30,1.76084
2023-03-31,1.82777
2023-04-01,0.20079
2023-04-02,0.19564
2023-04-03,1.98481
2023-04-04,2.407
2023-04-05,2.6078
2023-04-06,2.24481
2023-04-07,2.14184
2023-04-08,0.24713
2023-04-09,0.31149
2023-04-10,1.96936
2023-04-11,2.32462
2023-04-12,2.34006
2023-04-13,2.43789
2023-04-14,2.96048
2023-04-15,0.4814
2023-04-16,0.24198
2023-04-17,4.312
2023-04-18,3.03256
2023-04-19,2.83176
2023-04-20,2.55888
2023-04-21,2.25769
2023-04-22,0.22396
2023-04-23,0.19564
2023-04-24,2.12897
2023-04-25,2.26798
2023-04-26,2.18818
2023-04-27,2.13412
2023-04-28,1.94877
2023-04-29,0.25743
2023-04-30,0.21624
2023-05-01,0.47625
2023-05-02,2.19333
2023-05-03,2.04144
2023-05-04,2.23709
2023-05-05,0.39387
2023-05-06,0.32436
2023-05-07,0.24456
2023-05-08,2.06719
2023-05-09,2.07748
2023-05-10,1.86124
2023-05-11,1.89728
2023-05-12,1.71193
2023-05-13,0.25743
2023-05-14,0.14931
2023-05-15,1.83807
2023-05-16,1.81747
2023-05-17,2.00798
2023-05-18,1.89985
2023-05-19,2.03372
2023-05-20,0.27802
2023-05-21,0.21109
2023-05-22,2.34006
2023-05-23,2.32977
2023-05-24,1.96679
2023-05-25,1.78143
2023-05-26,2.17016
2023-05-27,0.32951
