date,유한양행주가
2021-11-17,8.0491
2021-11-18,7.91644
2021-11-19,8.41333
2021-11-20,0.99618
2021-11-21,1.03478
2021-11-22,9.08148
2021-11-23,7.89232
2021-11-24,8.2276
2021-11-25,7.75001
2021-11-26,7.54016
2021-11-27,1.14091
2021-11-28,0.83457
2021-11-29,8.18177
2021-11-30,8.67866
2021-12-01,9.08389
2021-12-02,9.95947
2021-12-03,9.19484
2021-12-04,1.19639
2021-12-05,0.919
2021-12-06,8.91022
2021-12-07,10.93878
2021-12-08,11.04008
2021-12-09,11.61175
2021-12-10,10.31164
2021-12-11,1.62332
2021-12-12,1.16985
2021-12-13,10.51425
2021-12-14,10.51907
2021-12-15,10.74581
2021-12-16,11.18963
2021-12-17,11.48149
2021-12-18,1.77529
2021-12-19,1.48825
2021-12-20,10.78199
2021-12-21,10.15485
2021-12-22,9.7858
2021-12-23,9.63143
2021-12-24,9.07665
2021-12-25,1.23498
2021-12-26,1.11679
2021-12-27,15.58685
2021-12-28,14.15408
2021-12-29,12.41979
2021-12-30,10.14761
2021-12-31,3.47098
2022-01-01,1.20121
2022-01-02,1.35076
2022-01-03,10.95325
2022-01-04,10.84229
2022-01-05,10.0246
2022-01-06,9.63384
2022-01-07,9.49153
2022-01-08,1.43277
2022-01-09,1.07819
2022-01-10,9.38781
2022-01-11,13.44493
2022-01-12,12.20753
2022-01-13,9.4867
2022-01-14,8.58217
2022-01-15,1.47378
2022-01-16,1.01548
2022-01-17,7.52568
2022-01-18,7.55463
2022-01-19,8.13835
2022-01-20,7.70659
2022-01-21,7.60287
2022-01-22,1.09749
2022-01-23,0.89005
2022-01-24,8.40609
2022-01-25,8.50981
2022-01-26,7.73795
2022-01-27,8.95605
2022-01-28,9.06941
2022-01-29,1.24222
2022-01-30,0.76462
2022-01-31,0.8804
2022-02-01,1.00583
2022-02-02,1.02995
2022-02-03,9.53977
2022-02-04,8.79685
2022-02-05,1.31217
2022-02-06,0.95035
2022-02-07,7.68006
2022-02-08,8.53393
2022-02-09,8.43021
2022-02-10,8.13594
2022-02-11,7.06015
2022-02-12,1.14573
2022-02-13,0.98654
2022-02-14,7.11322
2022-02-15,6.85995
2022-02-16,8.14318
2022-02-17,8.52428
2022-02-18,7.37855
2022-02-19,1.39418
2022-02-20,1.42312
2022-02-21,7.7283
2022-02-22,6.96367
2022-02-23,7.12769
2022-02-24,7.56428
2022-02-25,6.98779
2022-02-26,1.03478
2022-02-27,0.80804
2022-02-28,7.20005
2022-03-01,1.3194
2022-03-02,6.93231
2022-03-03,7.26035
2022-03-04,6.63563
2022-03-05,0.93106
2022-03-06,0.67779
2022-03-07,6.28346
2022-03-08,6.74899
2022-03-09,1.21086
2022-03-10,7.30618
2022-03-11,7.00226
2022-03-12,1.10955
2022-03-13,0.84905
2022-03-14,7.0891
2022-03-15,7.77895
2022-03-16,7.81031
2022-03-17,8.6473
2022-03-18,7.73071
2022-03-19,1.23016
2022-03-20,1.10714
2022-03-21,6.6694
2022-03-22,6.64527
2022-03-23,6.65975
2022-03-24,6.28105
2022-03-25,6.19422
2022-03-26,1.04684
2022-03-27,0.68744
2022-03-28,6.53432
2022-03-29,6.55362
2022-03-30,6.57774
2022-03-31,6.6308
2022-04-01,6.23763
2022-04-02,0.95035
2022-04-03,0.80322
2022-04-04,6.46196
2022-04-05,5.84446
2022-04-06,6.17009
2022-04-07,6.06879
2022-04-08,11.42843
2022-04-09,1.42071
2022-04-10,1.06372
2022-04-11,8.1287
2022-04-12,7.17352
2022-04-13,7.36649
2022-04-14,7.06739
2022-04-15,6.84065
2022-04-16,0.87558
2022-04-17,0.69226
2022-04-18,6.16045
2022-04-19,7.37131
2022-04-20,6.65975
2022-04-21,6.65492
2022-04-22,5.52366
2022-04-23,0.70915
2022-04-24,0.60301
2022-04-25,5.68768
2022-04-26,6.29552
2022-04-27,8.28549
2022-04-28,7.27724
2022-04-29,6.91784
2022-04-30,0.97448
2022-05-01,0.63437
2022-05-02,6.01813
2022-05-03,6.07844
2022-05-04,5.22215
2022-05-05,0.93588
2022-05-06,5.1329
2022-05-07,0.58131
2022-05-08,0.48
2022-05-09,5.21491
2022-05-10,4.75179
2022-05-11,5.04607
2022-05-12,5.13049
2022-05-13,5.26074
2022-05-14,0.64643
2022-05-15,0.55477
2022-05-16,4.77591
2022-05-17,5.06054
2022-05-18,5.08225
