date,주식초보
2021-12-05,5.46623
2021-12-06,8.14576
2021-12-07,6.85959
2021-12-08,8.19935
2021-12-09,8.19935
2021-12-10,7.71704
2021-12-11,6.85959
2021-12-12,6.00214
2021-12-13,7.98499
2021-12-14,8.94962
2021-12-15,6.85959
2021-12-16,8.14576
2021-12-17,5.57341
2021-12-18,4.12647
2021-12-19,5.41264
2021-12-20,6.806
2021-12-21,8.84244
2021-12-22,7.98499
2021-12-23,7.39549
2021-12-24,5.30546
2021-12-25,3.91211
2021-12-26,6.43086
2021-12-27,7.98499
2021-12-28,7.87781
2021-12-29,8.25294
2021-12-30,7.39549
2021-12-31,6.2165
2022-01-01,5.0911
2022-01-02,7.9314
2022-01-03,8.84244
2022-01-04,10.1822
2022-01-05,10.45016
2022-01-06,10.23579
2022-01-07,9.59271
2022-01-08,6.64523
2022-01-09,11.3076
2022-01-10,12.37942
2022-01-11,10.98606
2022-01-12,10.55734
2022-01-13,10.28938
2022-01-14,7.77063
2022-01-15,7.9314
2022-01-16,8.30653
2022-01-17,13.39764
2022-01-18,13.82636
2022-01-19,12.91532
2022-01-20,15.59485
2022-01-21,12.70096
2022-01-22,8.78885
2022-01-23,7.77063
2022-01-24,9.48553
2022-01-25,10.50375
2022-01-26,10.02143
2022-01-27,14.09431
2022-01-28,10.34297
2022-01-29,6.75241
2022-01-30,6.2165
2022-01-31,7.28831
2022-02-01,17.20257
2022-02-02,17.89924
2022-02-03,16.34512
2022-02-04,12.16505
2022-02-05,9.43193
2022-02-06,10.98606
2022-02-07,11.41479
2022-02-08,12.00428
2022-02-09,9.75348
2022-02-10,9.59271
2022-02-11,7.87781
2022-02-12,7.82422
2022-02-13,6.37727
2022-02-14,8.89603
2022-02-15,7.9314
2022-02-16,9.59271
2022-02-17,7.77063
2022-02-18,8.19935
2022-02-19,5.84137
2022-02-20,7.60986
2022-02-21,8.41371
2022-02-22,7.9314
2022-02-23,6.37727
2022-02-24,12.54019
2022-02-25,11.09324
2022-02-26,9.16398
2022-02-27,4.98392
2022-02-28,6.37727
2022-03-01,5.0911
2022-03-02,6.48445
2022-03-03,5.94855
2022-03-04,5.51982
2022-03-05,3.32261
2022-03-06,4.55519
2022-03-07,5.46623
2022-03-08,6.10932
2022-03-09,3.75133
2022-03-10,4.39442
2022-03-11,7.28831
2022-03-12,4.71596
2022-03-13,6.10932
2022-03-14,6.75241
2022-03-15,5.627
2022-03-16,5.6806
2022-03-17,9.00321
2022-03-18,5.46623
2022-03-19,6.2165
2022-03-20,5.30546
2022-03-21,7.87781
2022-03-22,6.27009
2022-03-23,5.73419
2022-03-24,7.60986
2022-03-25,8.41371
2022-03-26,4.71596
2022-03-27,5.89496
2022-03-28,5.46623
2022-03-29,7.66345
2022-03-30,6.32368
2022-03-31,5.14469
2022-04-01,5.41264
2022-04-02,4.18006
2022-04-03,2.7867
2022-04-04,6.48445
2022-04-05,6.91318
2022-04-06,5.73419
2022-04-07,6.10932
2022-04-08,4.34083
2022-04-09,3.91211
2022-04-10,2.8403
2022-04-11,5.14469
2022-04-12,5.6806
2022-04-13,5.57341
2022-04-14,4.66237
2022-04-15,5.6806
2022-04-16,2.7867
2022-04-17,4.28724
2022-04-18,5.03751
2022-04-19,7.50267
2022-04-20,6.2165
2022-04-21,6.85959
2022-04-22,6.27009
2022-04-23,3.26902
2022-04-24,4.34083
2022-04-25,5.41264
2022-04-26,4.87674
2022-04-27,6.27009
2022-04-28,6.85959
2022-04-29,4.93033
2022-04-30,3.10825
2022-05-01,3.21543
2022-05-02,4.60878
2022-05-03,4.60878
2022-05-04,4.39442
2022-05-05,3.42979
2022-05-06,4.34083
2022-05-07,3.00107
2022-05-08,3.32261
2022-05-09,3.80493
2022-05-10,4.18006
2022-05-11,4.18006
2022-05-12,4.66237
2022-05-13,3.9657
2022-05-14,2.8403
2022-05-15,2.46516
2022-05-16,4.12647
2022-05-17,3.85852
2022-05-18,4.07288
2022-05-19,4.12647
2022-05-20,4.55519
2022-05-21,2.19721
2022-05-22,2.51875
2022-05-23,4.28724
2022-05-24,4.01929
2022-05-25,4.55519
2022-05-26,4.98392
2022-05-27,5.41264
2022-05-28,2.73311
2022-05-29,2.89389
2022-05-30,3.59056
2022-05-31,5.0911
2022-06-01,3.21543
2022-06-02,4.5016
2022-06-03,4.12647
2022-06-04,1.92926
2022-06-05,3.64415
2022-06-06,3.75133
2022-06-07,4.23365
2022-06-08,5.94855
2022-06-09,3.91211
2022-06-10,3.91211
2022-06-11,2.46516
2022-06-12,3.9657
2022-06-13,5.35905
2022-06-14,6.27009
2022-06-15,5.30546
2022-06-16,4.87674
2022-06-17,4.34083
2022-06-18,3.26902
2022-06-19,2.62593
2022-06-20,5.0911
2022-06-21,4.55519
2022-06-22,4.71596
2022-06-23,4.12647
2022-06-24,4.34083
2022-06-25,2.73311
2022-06-26,3.05466
2022-06-27,3.85852
2022-06-28,4.28724
2022-06-29,5.30546
2022-06-30,3.21543
2022-07-01,3.69774
2022-07-02,1.60771
2022-07-03,2.19721
2022-07-04,2.73311
2022-07-05,5.19828
2022-07-06,2.51875
2022-07-07,2.7867
2022-07-08,2.8403
2022-07-09,2.14362
2022-07-10,2.09003
2022-07-11,3.26902
2022-07-12,3.91211
2022-07-13,3.48338
2022-07-14,3.10825
2022-07-15,2.51875
2022-07-16,1.98285
2022-07-17,1.50053
2022-07-18,3.53697
2022-07-19,2.57234
2022-07-20,2.46516
2022-07-21,3.42979
2022-07-22,3.26902
2022-07-23,1.60771
2022-07-24,2.67952
2022-07-25,2.51875
2022-07-26,3.21543
2022-07-27,2.46516
2022-07-28,2.8403
2022-07-29,2.94748
2022-07-30,2.51875
2022-07-31,2.09003
2022-08-01,3.05466
2022-08-02,2.62593
2022-08-03,3.10825
2022-08-04,2.94748
2022-08-05,3.91211
2022-08-06,2.41157
2022-08-07,2.2508
2022-08-08,3.59056
2022-08-09,3.32261
2022-08-10,3.26902
2022-08-11,3.10825
2022-08-12,2.67952
2022-08-13,2.7867
2022-08-14,2.67952
2022-08-15,2.62593
2022-08-16,4.34083
2022-08-17,4.28724
2022-08-18,3.26902
2022-08-19,3.59056
2022-08-20,2.2508
2022-08-21,2.89389
2022-08-22,3.53697
2022-08-23,4.18006
2022-08-24,4.87674
2022-08-25,3.59056
2022-08-26,3.26902
2022-08-27,1.71489
2022-08-28,1.92926
2022-08-29,3.05466
2022-08-30,2.94748
2022-08-31,3.59056
2022-09-01,3.32261
2022-09-02,2.73311
2022-09-03,1.07181
2022-09-04,1.50053
2022-09-05,2.51875
2022-09-06,2.8403
2022-09-07,3.05466
2022-09-08,2.8403
2022-09-09,1.60771
2022-09-10,2.03644
2022-09-11,2.35798
2022-09-12,2.67952
2022-09-13,3.9657
2022-09-14,3.00107
2022-09-15,4.01929
2022-09-16,4.07288
2022-09-17,2.51875
2022-09-18,1.92926
2022-09-19,3.3762
2022-09-20,2.89389
2022-09-21,3.16184
2022-09-22,3.59056
2022-09-23,2.62593
2022-09-24,1.17899
2022-09-25,1.71489
2022-09-26,2.94748
2022-09-27,3.48338
2022-09-28,3.10825
2022-09-29,3.69774
2022-09-30,2.30439
2022-10-01,2.09003
2022-10-02,1.55412
2022-10-03,2.89389
2022-10-04,4.39442
2022-10-05,3.26902
2022-10-06,2.51875
2022-10-07,3.53697
2022-10-08,1.28617
2022-10-09,1.82207
2022-10-10,2.35798
2022-10-11,2.57234
2022-10-12,3.59056
2022-10-13,3.53697
2022-10-14,2.14362
2022-10-15,2.62593
2022-10-16,2.8403
2022-10-17,3.80493
2022-10-18,3.05466
2022-10-19,3.85852
2022-10-20,2.51875
2022-10-21,2.41157
2022-10-22,1.50053
2022-10-23,1.55412
2022-10-24,2.30439
2022-10-25,3.59056
2022-10-26,3.26902
2022-10-27,3.85852
2022-10-28,2.7867
2022-10-29,1.82207
2022-10-30,1.1254
2022-10-31,2.67952
2022-11-01,3.64415
2022-11-02,2.62593
2022-11-03,2.89389
2022-11-04,2.2508
2022-11-05,1.87566
2022-11-06,1.55412
2022-11-07,2.73311
2022-11-08,2.94748
2022-11-09,2.46516
2022-11-10,3.32261
2022-11-11,3.16184
2022-11-12,2.35798
2022-11-13,2.62593
2022-11-14,3.59056
2022-11-15,3.48338
2022-11-16,4.23365
2022-11-17,3.21543
2022-11-18,2.62593
2022-11-19,2.09003
2022-11-20,2.19721
2022-11-21,2.7867
2022-11-22,2.89389
2022-11-23,2.46516
2022-11-24,2.57234
2022-11-25,1.6613
2022-11-26,1.60771
2022-11-27,1.01822
2022-11-28,1.92926
2022-11-29,3.53697
2022-11-30,2.30439
2022-12-01,2.35798
2022-12-02,2.30439
2022-12-03,1.1254
2022-12-04,1.60771
2022-12-05,2.94748
2022-12-06,2.7867
2022-12-07,2.67952
2022-12-08,2.35798
2022-12-09,2.51875
2022-12-10,1.60771
2022-12-11,2.35798
2022-12-12,2.09003
2022-12-13,2.94748
2022-12-14,3.05466
2022-12-15,2.51875
2022-12-16,2.51875
2022-12-17,1.92926
2022-12-18,1.92926
2022-12-19,2.94748
2022-12-20,2.89389
2022-12-21,3.05466
2022-12-22,2.2508
2022-12-23,1.92926
2022-12-24,1.01822
2022-12-25,1.76848
2022-12-26,2.19721
2022-12-27,2.8403
2022-12-28,2.7867
2022-12-29,3.21543
2022-12-30,1.87566
2022-12-31,1.1254
2023-01-01,1.17899
2023-01-02,2.30439
2023-01-03,2.67952
2023-01-04,3.32261
2023-01-05,2.51875
2023-01-06,3.05466
2023-01-07,2.94748
2023-01-08,2.35798
2023-01-09,2.51875
2023-01-10,2.8403
2023-01-11,2.67952
2023-01-12,3.26902
2023-01-13,2.89389
2023-01-14,1.71489
2023-01-15,3.32261
2023-01-16,3.42979
2023-01-17,2.7867
2023-01-18,2.41157
2023-01-19,2.51875
2023-01-20,2.46516
2023-01-21,1.01822
2023-01-22,1.55412
2023-01-23,2.41157
2023-01-24,2.03644
2023-01-25,3.3762
2023-01-26,4.76956
2023-01-27,4.82315
2023-01-28,4.55519
2023-01-29,2.7867
2023-01-30,4.01929
2023-01-31,4.07288
2023-02-01,3.64415
2023-02-02,3.53697
2023-02-03,4.23365
2023-02-04,2.57234
2023-02-05,2.51875
2023-02-06,4.39442
2023-02-07,4.60878
2023-02-08,4.12647
2023-02-09,3.48338
2023-02-10,3.00107
2023-02-11,2.30439
2023-02-12,3.05466
2023-02-13,3.59056
2023-02-14,4.44801
2023-02-15,3.53697
2023-02-16,4.71596
2023-02-17,3.05466
2023-02-18,2.14362
2023-02-19,1.87566
2023-02-20,3.75133
2023-02-21,4.12647
2023-02-22,3.16184
2023-02-23,3.69774
2023-02-24,3.75133
2023-02-25,2.94748
2023-02-26,2.09003
2023-02-27,2.8403
2023-02-28,3.64415
2023-03-01,3.3762
2023-03-02,3.53697
2023-03-03,4.01929
2023-03-04,2.30439
2023-03-05,2.67952
2023-03-06,3.91211
2023-03-07,4.66237
2023-03-08,3.3762
2023-03-09,3.69774
2023-03-10,3.9657
2023-03-11,2.2508
2023-03-12,2.57234
2023-03-13,2.94748
2023-03-14,3.21543
2023-03-15,3.48338
2023-03-16,4.71596
2023-03-17,3.91211
2023-03-18,1.60771
2023-03-19,2.46516
2023-03-20,3.85852
2023-03-21,2.94748
2023-03-22,4.23365
2023-03-23,3.75133
2023-03-24,3.26902
2023-03-25,3.05466
2023-03-26,2.03644
2023-03-27,4.18006
2023-03-28,3.59056
2023-03-29,5.30546
2023-03-30,4.34083
2023-03-31,4.18006
2023-04-01,2.03644
2023-04-02,2.09003
2023-04-03,3.80493
2023-04-04,4.07288
2023-04-05,4.55519
2023-04-06,4.87674
2023-04-07,3.80493
2023-04-08,3.21543
2023-04-09,3.9657
2023-04-10,5.25187
2023-04-11,5.03751
2023-04-12,5.78778
2023-04-13,4.93033
2023-04-14,4.23365
2023-04-15,2.8403
2023-04-16,2.62593
2023-04-17,5.35905
2023-04-18,5.35905
2023-04-19,4.71596
2023-04-20,4.98392
2023-04-21,5.41264
2023-04-22,2.51875
2023-04-23,1.71489
2023-04-24,3.9657
2023-04-25,3.80493
2023-04-26,4.71596
2023-04-27,3.26902
2023-04-28,2.41157
2023-04-29,3.10825
2023-04-30,2.8403
2023-05-01,2.03644
2023-05-02,2.51875
2023-05-03,2.89389
2023-05-04,2.94748
2023-05-05,1.87566
2023-05-06,1.55412
2023-05-07,1.87566
2023-05-08,4.18006
2023-05-09,3.00107
2023-05-10,3.16184
2023-05-11,3.05466
2023-05-12,2.89389
2023-05-13,1.92926
2023-05-14,1.60771
2023-05-15,2.35798
2023-05-16,3.42979
2023-05-17,4.23365
2023-05-18,3.59056
2023-05-19,2.94748
2023-05-20,1.87566
2023-05-21,2.2508
2023-05-22,2.73311
2023-05-23,3.64415
2023-05-24,2.7867
2023-05-25,2.73311
2023-05-26,2.51875
2023-05-27,1.87566
2023-05-28,1.55412
