date,법인세
2022-08-16,14.038
2022-08-17,16.45452
2022-08-18,12.59915
2022-08-19,11.34477
2022-08-20,4.24275
2022-08-21,3.81848
2022-08-22,11.82438
2022-08-23,13.04187
2022-08-24,12.32244
2022-08-25,11.45545
2022-08-26,9.55543
2022-08-27,3.26508
2022-08-28,4.15052
2022-08-29,11.17874
2022-08-30,11.91662
2022-08-31,13.52149
2022-09-01,11.17874
2022-09-02,8.52241
2022-09-03,3.92916
2022-09-04,3.37576
2022-09-05,8.37483
2022-09-06,9.24183
2022-09-07,10.49621
2022-09-08,6.76996
2022-09-09,2.60099
2022-09-10,2.8408
2022-09-11,2.74857
2022-09-12,3.72624
2022-09-13,9.703
2022-09-14,10.25641
2022-09-15,10.07194
2022-09-16,8.65154
2022-09-17,4.16897
2022-09-18,3.76314
2022-09-19,9.55543
2022-09-20,9.1127
2022-09-21,9.1496
2022-09-22,9.99815
2022-09-23,8.13503
2022-09-24,3.61556
2022-09-25,3.30197
2022-09-26,9.83213
2022-09-27,9.29717
2022-09-28,10.93894
2022-09-29,9.77679
2022-09-30,8.50396
2022-10-01,4.16897
2022-10-02,3.80003
2022-10-03,4.8146
2022-10-04,10.45932
2022-10-05,15.05257
2022-10-06,15.31082
2022-10-07,8.8729
2022-10-08,4.44567
2022-10-09,8.52241
2022-10-10,5.97675
2022-10-11,11.84283
2022-10-12,10.36709
2022-10-13,17.50599
2022-10-14,13.11566
2022-10-15,6.41947
2022-10-16,5.36801
2022-10-17,10.42243
2022-10-18,12.96808
2022-10-19,13.18944
2022-10-20,10.92049
2022-10-21,11.32632
2022-10-22,4.20586
2022-10-23,4.40878
2022-10-24,10.73602
2022-10-25,12.54381
2022-10-26,10.05349
2022-10-27,10.31175
2022-10-28,8.836
2022-10-29,3.59712
2022-10-30,3.52333
2022-10-31,10.64379
2022-11-01,10.25641
2022-11-02,8.85445
2022-11-03,10.69913
2022-11-04,9.02047
2022-11-05,3.68935
2022-11-06,4.02139
2022-11-07,11.27098
2022-11-08,11.54768
2022-11-09,9.83213
2022-11-10,11.38166
2022-11-11,8.30105
2022-11-12,4.72237
2022-11-13,4.02139
2022-11-14,15.21859
2022-11-15,12.5807
2022-11-16,10.71757
2022-11-17,10.33019
2022-11-18,8.54085
2022-11-19,4.90684
2022-11-20,4.44567
2022-11-21,10.20106
2022-11-22,12.08264
2022-11-23,11.7137
2022-11-24,10.53311
2022-11-25,7.969
2022-11-26,4.86995
2022-11-27,5.18354
2022-11-28,10.12728
2022-11-29,11.58457
2022-11-30,11.65836
2022-12-01,10.31175
2022-12-02,10.18262
2022-12-03,4.15052
2022-12-04,4.88839
2022-12-05,11.30787
2022-12-06,10.62534
2022-12-07,12.94964
2022-12-08,14.92344
2022-12-09,20.93709
2022-12-10,17.1555
2022-12-11,13.83508
2022-12-12,49.60339
2022-12-13,63.69673
2022-12-14,40.67515
2022-12-15,100.0
2022-12-16,62.88507
2022-12-17,25.23519
2022-12-18,22.43128
2022-12-19,38.12949
2022-12-20,32.68769
2022-12-21,32.17118
2022-12-22,63.30935
2022-12-23,56.18889
2022-12-24,28.68474
2022-12-25,11.437
2022-12-26,24.47887
2022-12-27,21.10311
2022-12-28,19.46135
2022-12-29,18.70503
2022-12-30,16.49142
2022-12-31,7.39715
2023-01-01,6.91754
2023-01-02,16.3254
2023-01-03,18.83416
2023-01-04,19.27688
2023-01-05,16.15938
2023-01-06,15.62442
2023-01-07,5.84762
2023-01-08,5.9952
2023-01-09,16.50986
2023-01-10,15.77199
2023-01-11,13.92731
2023-01-12,12.93119
2023-01-13,11.27098
2023-01-14,5.58937
2023-01-15,4.90684
2023-01-16,12.37779
2023-01-17,13.96421
2023-01-18,14.51761
2023-01-19,14.62829
2023-01-20,10.66223
2023-01-21,4.96218
2023-01-22,4.05829
2023-01-23,4.48256
2023-01-24,5.9952
2023-01-25,14.66519
2023-01-26,16.73123
2023-01-27,14.18557
2023-01-28,5.75539
2023-01-29,5.1282
2023-01-30,13.39236
2023-01-31,14.60985
2023-02-01,14.88655
2023-02-02,13.09721
2023-02-03,11.51079
2023-02-04,5.55248
2023-02-05,5.38646
2023-02-06,11.65836
2023-02-07,14.09334
2023-02-08,14.13023
2023-02-09,13.76129
2023-02-10,11.93506
2023-02-11,5.20199
2023-02-12,5.6816
2023-02-13,13.74285
2023-02-14,13.26323
2023-02-15,13.18944
2023-02-16,13.87197
2023-02-17,12.50691
2023-02-18,4.99907
2023-02-19,5.10975
2023-02-20,13.4477
2023-02-21,14.11178
2023-02-22,13.87197
2023-02-23,14.92344
2023-02-24,11.91662
2023-02-25,4.42722
2023-02-26,4.88839
2023-02-27,15.47684
2023-02-28,15.56908
2023-03-01,7.17579
2023-03-02,14.88655
2023-03-03,14.60985
2023-03-04,5.01752
2023-03-05,5.55248
2023-03-06,25.45655
2023-03-07,21.7303
2023-03-08,21.23224
2023-03-09,19.88562
2023-03-10,16.82346
2023-03-11,5.34956
2023-03-12,5.95831
2023-03-13,19.86718
2023-03-14,21.25069
2023-03-15,21.98856
2023-03-16,19.55358
2023-03-17,19.35067
2023-03-18,6.51171
2023-03-19,6.34569
2023-03-20,22.98468
2023-03-21,23.90702
2023-03-22,25.08762
2023-03-23,24.09149
2023-03-24,24.64489
2023-03-25,7.39715
2023-03-26,7.36026
2023-03-27,32.18963
2023-03-28,30.6401
2023-03-29,32.52167
2023-03-30,32.24497
2023-03-31,31.58088
2023-04-01,6.41947
2023-04-02,5.79228
2023-04-03,14.16712
2023-04-04,12.70983
2023-04-05,12.11953
2023-04-06,12.21176
2023-04-07,11.78749
2023-04-08,5.82918
2023-04-09,4.50101
2023-04-10,12.70983
2023-04-11,12.82051
2023-04-12,12.72827
2023-04-13,10.57
2023-04-14,9.53698
2023-04-15,4.88839
2023-04-16,5.07286
2023-04-17,11.62147
2023-04-18,12.13798
2023-04-19,11.69525
2023-04-20,11.67681
2023-04-21,10.86515
2023-04-22,4.22431
2023-04-23,4.29809
2023-04-24,11.52923
2023-04-25,11.27098
2023-04-26,12.17487
2023-04-27,10.53311
2023-04-28,10.14572
2023-04-29,4.59324
2023-04-30,3.35731
2023-05-01,6.2719
2023-05-02,11.51079
2023-05-03,10.09038
2023-05-04,8.92824
2023-05-05,4.16897
2023-05-06,3.46799
2023-05-07,3.96605
2023-05-08,9.75834
2023-05-09,10.27485
2023-05-10,10.66223
2023-05-11,8.94668
2023-05-12,8.22726
2023-05-13,3.87382
2023-05-14,4.29809
2023-05-15,9.81368
2023-05-16,9.22339
2023-05-17,9.9797
2023-05-18,10.09038
2023-05-19,9.77679
2023-05-20,4.50101
2023-05-21,4.59324
2023-05-22,10.25641
2023-05-23,10.51466
2023-05-24,10.38553
2023-05-25,8.90979
2023-05-26,7.89522
2023-05-27,3.48644
2023-05-28,3.81848
