date,골절보험
2021-10-19,23.91304
2021-10-20,26.08695
2021-10-21,26.08695
2021-10-22,45.65217
2021-10-23,21.73913
2021-10-24,26.08695
2021-10-25,30.43478
2021-10-26,23.91304
2021-10-27,65.21739
2021-10-28,39.13043
2021-10-29,26.08695
2021-10-30,23.91304
2021-10-31,43.47826
2021-11-01,47.82608
2021-11-02,23.91304
2021-11-03,21.73913
2021-11-04,32.60869
2021-11-05,19.56521
2021-11-06,34.7826
2021-11-07,15.21739
2021-11-08,52.17391
2021-11-09,50.0
2021-11-10,32.60869
2021-11-11,30.43478
2021-11-12,47.82608
2021-11-13,21.73913
2021-11-14,19.56521
2021-11-15,56.52173
2021-11-16,54.34782
2021-11-17,41.30434
2021-11-18,34.7826
2021-11-19,47.82608
2021-11-20,30.43478
2021-11-21,34.7826
2021-11-22,78.26086
2021-11-23,47.82608
2021-11-24,52.17391
2021-11-25,45.65217
2021-11-26,39.13043
2021-11-27,19.56521
2021-11-28,23.91304
2021-11-29,56.52173
2021-11-30,56.52173
2021-12-01,54.34782
2021-12-02,30.43478
2021-12-03,71.73913
2021-12-04,13.04347
2021-12-05,21.73913
2021-12-06,32.60869
2021-12-07,45.65217
2021-12-08,30.43478
2021-12-09,32.60869
2021-12-10,34.7826
2021-12-11,32.60869
2021-12-12,23.91304
2021-12-13,39.13043
2021-12-14,36.95652
2021-12-15,28.26086
2021-12-16,47.82608
2021-12-17,52.17391
2021-12-18,26.08695
2021-12-19,36.95652
2021-12-20,78.26086
2021-12-21,28.26086
2021-12-22,26.08695
2021-12-23,50.0
2021-12-24,26.08695
2021-12-25,23.91304
2021-12-26,39.13043
2021-12-27,28.26086
2021-12-28,54.34782
2021-12-29,47.82608
2021-12-30,52.17391
2021-12-31,17.3913
2022-01-01,10.86956
2022-01-02,19.56521
2022-01-03,58.69565
2022-01-04,67.3913
2022-01-05,26.08695
2022-01-06,39.13043
2022-01-07,54.34782
2022-01-08,26.08695
2022-01-09,28.26086
2022-01-10,43.47826
2022-01-11,50.0
2022-01-12,41.30434
2022-01-13,19.56521
2022-01-14,41.30434
2022-01-15,30.43478
2022-01-16,17.3913
2022-01-17,36.95652
2022-01-18,43.47826
2022-01-19,30.43478
2022-01-20,93.47826
2022-01-21,43.47826
2022-01-22,23.91304
2022-01-23,26.08695
2022-01-24,84.7826
2022-01-25,19.56521
2022-01-26,30.43478
2022-01-27,56.52173
2022-01-28,19.56521
2022-01-29,10.86956
2022-01-30,21.73913
2022-01-31,13.04347
2022-02-01,23.91304
2022-02-02,23.91304
2022-02-03,50.0
2022-02-04,36.95652
2022-02-05,15.21739
2022-02-06,21.73913
2022-02-07,39.13043
2022-02-08,43.47826
2022-02-09,34.7826
2022-02-10,47.82608
2022-02-11,60.86956
2022-02-12,39.13043
2022-02-13,19.56521
2022-02-14,73.91304
2022-02-15,43.47826
2022-02-16,56.52173
2022-02-17,47.82608
2022-02-18,47.82608
2022-02-19,32.60869
2022-02-20,28.26086
2022-02-21,52.17391
2022-02-22,45.65217
