date,자동차보험
2021-11-12,53.84784
2021-11-13,34.19085
2021-11-14,39.07211
2021-11-15,70.31662
2021-11-16,65.39138
2021-11-17,61.16974
2021-11-18,59.1029
2021-11-19,55.49692
2021-11-20,35.81794
2021-11-21,37.52198
2021-11-22,67.15039
2021-11-23,65.74318
2021-11-24,60.03737
2021-11-25,57.29991
2021-11-26,53.90281
2021-11-27,34.96042
2021-11-28,37.6649
2021-11-29,66.79859
2021-11-30,65.23746
2021-12-01,67.54617
2021-12-02,61.11477
2021-12-03,60.63104
2021-12-04,39.47889
2021-12-05,39.46789
2021-12-06,75.39577
2021-12-07,68.70052
2021-12-08,66.19393
2021-12-09,63.11565
2021-12-10,59.53166
2021-12-11,39.73175
2021-12-12,43.46965
2021-12-13,74.97801
2021-12-14,68.0299
2021-12-15,65.62225
2021-12-16,67.04045
2021-12-17,58.77308
2021-12-18,38.50043
2021-12-19,41.9635
2021-12-20,69.07431
2021-12-21,65.36939
2021-12-22,61.11477
2021-12-23,58.94898
2021-12-24,51.63808
2021-12-25,33.17941
2021-12-26,42.16138
2021-12-27,73.75769
2021-12-28,63.67634
2021-12-29,55.80474
2021-12-30,54.01275
2021-12-31,52.81442
2022-01-01,38.59938
2022-01-02,42.54617
2022-01-03,77.50659
2022-01-04,69.10729
2022-01-05,66.82058
2022-01-06,64.16007
2022-01-07,60.13632
2022-01-08,37.96174
2022-01-09,42.77704
2022-01-10,74.36235
2022-01-11,67.39226
2022-01-12,66.43579
2022-01-13,67.99692
2022-01-14,58.70712
2022-01-15,36.13676
2022-01-16,38.92919
2022-01-17,68.27176
2022-01-18,64.03913
2022-01-19,61.11477
2022-01-20,61.26868
2022-01-21,54.39753
2022-01-22,34.85048
2022-01-23,37.28012
2022-01-24,64.92963
2022-01-25,62.76385
2022-01-26,63.40149
2022-01-27,56.51934
2022-01-28,55.32102
2022-01-29,33.927
2022-01-30,27.70448
2022-01-31,28.78188
2022-02-01,31.7722
2022-02-02,38.32453
2022-02-03,77.34168
2022-02-04,65.80914
2022-02-05,37.8408
2022-02-06,40.32541
2022-02-07,70.80035
2022-02-08,66.6007
2022-02-09,60.91688
2022-02-10,59.13588
2022-02-11,56.50835
2022-02-12,38.5664
2022-02-13,38.9182
2022-02-14,65.78715
2022-02-15,66.4138
2022-02-16,65.56728
2022-02-17,62.74186
2022-02-18,58.79507
2022-02-19,37.91776
2022-02-20,38.72031
2022-02-21,72.55936
2022-02-22,66.4248
2022-02-23,61.87335
2022-02-24,58.61917
2022-02-25,56.31046
2022-02-26,37.09322
2022-02-27,36.0598
2022-02-28,65.86411
2022-03-01,45.38258
2022-03-02,70.67941
2022-03-03,64.21503
2022-03-04,62.02726
2022-03-05,37.92875
2022-03-06,40.90809
2022-03-07,69.49208
2022-03-08,61.14775
2022-03-09,38.66534
2022-03-10,65.45734
2022-03-11,65.00659
2022-03-12,39.61081
2022-03-13,39.78671
2022-03-14,72.3065
2022-03-15,72.33948
2022-03-16,65.29243
2022-03-17,62.37906
2022-03-18,60.47713
2022-03-19,38.32453
2022-03-20,39.23702
2022-03-21,70.07475
2022-03-22,64.55584
2022-03-23,60.00439
2022-03-24,58.99296
2022-03-25,54.51846
2022-03-26,35.5321
2022-03-27,39.31398
2022-03-28,69.22823
2022-03-29,65.00659
2022-03-30,62.11521
2022-03-31,58.3773
2022-04-01,57.72867
2022-04-02,35.91688
2022-04-03,39.50087
2022-04-04,71.9547
2022-04-05,67.22735
2022-04-06,62.26912
2022-04-07,60.67502
2022-04-08,55.50791
2022-04-09,33.01451
2022-04-10,38.01671
2022-04-11,72.15259
2022-04-12,68.09586
2022-04-13,61.63148
2022-04-14,63.29155
2022-04-15,55.57387
2022-04-16,33.45426
2022-04-17,38.40149
2022-04-18,71.72383
2022-04-19,64.79771
2022-04-20,60.97185
2022-04-21,57.25593
2022-04-22,52.64951
2022-04-23,30.62884
2022-04-24,36.5985
2022-04-25,67.19437
2022-04-26,63.66534
2022-04-27,58.52022
2022-04-28,57.3109
2022-04-29,53.96877
2022-04-30,33.93799
2022-05-01,38.83025
2022-05-02,69.33817
2022-05-03,63.66534
2022-05-04,58.45426
2022-05-05,34.76253
2022-05-06,55.21108
2022-05-07,33.04749
2022-05-08,36.93931
2022-05-09,72.68029
2022-05-10,68.62357
2022-05-11,65.22647
2022-05-12,61.58751
2022-05-13,57.89357
2022-05-14,34.1029
2022-05-15,37.25813
2022-05-16,70.51451
2022-05-17,64.48988
2022-05-18,62.23614
2022-05-19,62.79683
2022-05-20,55.80474
