date,중소기업청년지원금
2021-10-13,26.78783
2021-10-14,25.68154
2021-10-15,28.32872
2021-10-16,10.94429
2021-10-17,9.95653
2021-10-18,17.89806
2021-10-19,18.29316
2021-10-20,15.92256
2021-10-21,16.79178
2021-10-22,12.9593
2021-10-23,8.17858
2021-10-24,8.81074
2021-10-25,18.41169
2021-10-26,17.50296
2021-10-27,17.42394
2021-10-28,17.38443
2021-10-29,21.92809
2021-10-30,10.90478
2021-10-31,10.94429
2021-11-01,22.56025
2021-11-02,20.70327
2021-11-03,17.06835
2021-11-04,16.79178
2021-11-05,14.5397
2021-11-06,9.0478
2021-11-07,8.06005
2021-11-08,18.25365
2021-11-09,17.77953
2021-11-10,15.84354
2021-11-11,16.12011
2021-11-12,13.55195
2021-11-13,7.94152
2021-11-14,9.36388
2021-11-15,17.62149
2021-11-16,16.83129
2021-11-17,15.725
2021-11-18,16.91031
2021-11-19,12.60371
2021-11-20,6.75622
2021-11-21,8.49466
2021-11-22,16.39668
2021-11-23,16.23864
2021-11-24,15.76451
2021-11-25,16.0806
2021-11-26,15.25088
2021-11-27,8.81074
2021-11-28,8.85025
2021-11-29,16.59423
2021-11-30,17.81904
2021-12-01,19.51797
2021-12-02,16.83129
2021-12-03,17.661
2021-12-04,9.99604
2021-12-05,9.99604
2021-12-06,16.71276
2021-12-07,16.71276
2021-12-08,16.00158
2021-12-09,15.80403
2021-12-10,14.73725
2021-12-11,8.6527
2021-12-12,10.11457
2021-12-13,17.10786
2021-12-14,16.4757
2021-12-15,16.12011
2021-12-16,14.97431
2021-12-17,12.12959
2021-12-18,8.6527
2021-12-19,9.00829
2021-12-20,17.42394
2021-12-21,18.21414
2021-12-22,16.27815
2021-12-23,15.68549
2021-12-24,12.1691
2021-12-25,6.51916
2021-12-26,9.20584
2021-12-27,16.55472
2021-12-28,18.53022
2021-12-29,29.71157
2021-12-30,32.5563
2021-12-31,22.12564
2022-01-01,17.70051
2022-01-02,18.13512
2022-01-03,36.8629
2022-01-04,29.59304
2022-01-05,27.26195
2022-01-06,23.07388
2022-01-07,23.46898
2022-01-08,12.60371
2022-01-09,12.28763
2022-01-10,28.01264
2022-01-11,26.19517
2022-01-12,23.19241
2022-01-13,20.58474
2022-01-14,17.97708
2022-01-15,11.49743
2022-01-16,11.93204
2022-01-17,25.08889
2022-01-18,22.20466
2022-01-19,22.67878
2022-01-20,22.04662
2022-01-21,20.74278
2022-01-22,11.53694
2022-01-23,12.32714
2022-01-24,21.1774
2022-01-25,23.62702
2022-01-26,24.69379
2022-01-27,21.77005
2022-01-28,17.97708
2022-01-29,9.32437
2022-01-30,8.77123
2022-01-31,9.95653
2022-02-01,11.89253
2022-02-02,11.93204
2022-02-03,20.97984
2022-02-04,19.35993
2022-02-05,11.06282
2022-02-06,12.60371
2022-02-07,26.90636
2022-02-08,28.48676
2022-02-09,29.35598
2022-02-10,27.49901
2022-02-11,25.04938
2022-02-12,13.94705
2022-02-13,14.73725
2022-02-14,22.08613
2022-02-15,24.65428
2022-02-16,25.00987
2022-02-17,20.58474
2022-02-18,21.88858
2022-02-19,12.52469
2022-02-20,15.84354
2022-02-21,44.17226
2022-02-22,41.76214
2022-02-23,38.00869
2022-02-24,31.05491
2022-02-25,26.3137
2022-02-26,12.36665
2022-02-27,12.84077
2022-02-28,22.99486
2022-03-01,15.40892
2022-03-02,26.39273
2022-03-03,22.56025
2022-03-04,20.74278
2022-03-05,12.52469
2022-03-06,13.31489
2022-03-07,19.99209
2022-03-08,17.58198
2022-03-09,10.15408
2022-03-10,18.49071
2022-03-11,16.91031
2022-03-12,9.67996
2022-03-13,10.62821
2022-03-14,18.33267
2022-03-15,17.34492
2022-03-16,18.17463
2022-03-17,14.65823
2022-03-18,15.36941
2022-03-19,8.17858
2022-03-20,9.52192
2022-03-21,15.80403
2022-03-22,15.76451
2022-03-23,15.25088
2022-03-24,13.78901
2022-03-25,12.52469
2022-03-26,7.82299
2022-03-27,7.4674
2022-03-28,15.25088
2022-03-29,14.73725
2022-03-30,15.60647
2022-03-31,16.12011
2022-04-01,13.43342
2022-04-02,7.4674
2022-04-03,7.54642
2022-04-04,14.85578
2022-04-05,14.81627
2022-04-06,14.38166
2022-04-07,13.3544
2022-04-08,13.19636
2022-04-09,7.54642
2022-04-10,7.42789
2022-04-11,14.65823
2022-04-12,13.70999
2022-04-13,13.03832
2022-04-14,13.11734
2022-04-15,11.45792
2022-04-16,7.70446
2022-04-17,6.47965
2022-04-18,13.39391
2022-04-19,14.34215
2022-04-20,15.01382
2022-04-21,15.13235
2022-04-22,13.51244
2022-04-23,6.47965
2022-04-24,7.78348
2022-04-25,16.15962
2022-04-26,14.9348
