date,재단법인
2023-03-28,61.23778
2023-03-29,59.93485
2023-03-30,68.72964
2023-03-31,55.70032
2023-04-01,21.17263
2023-04-02,19.54397
2023-04-03,52.44299
2023-04-04,57.98045
2023-04-05,53.74592
2023-04-06,50.81433
2023-04-07,50.48859
2023-04-08,19.21824
2023-04-09,21.49837
2023-04-10,56.67752
2023-04-11,69.3811
2023-04-12,63.19218
2023-04-13,67.42671
2023-04-14,55.70032
2023-04-15,26.71009
2023-04-16,26.71009
2023-04-17,58.63192
2023-04-18,51.79153
2023-04-19,59.28338
2023-04-20,48.85993
2023-04-21,60.91205
2023-04-22,30.29315
2023-04-23,24.42996
2023-04-24,52.44299
2023-04-25,66.12377
2023-04-26,64.49511
2023-04-27,50.81433
2023-04-28,50.16286
2023-04-29,25.73289
2023-04-30,19.8697
2023-05-01,38.43648
2023-05-02,50.16286
2023-05-03,65.14657
2023-05-04,49.83713
2023-05-05,26.05863
2023-05-06,22.47557
2023-05-07,49.5114
2023-05-08,91.20521
2023-05-09,87.62214
2023-05-10,76.54723
2023-05-11,59.93485
2023-05-12,56.67752
2023-05-13,24.7557
2023-05-14,25.73289
2023-05-15,53.09446
2023-05-16,61.88925
2023-05-17,58.63192
2023-05-18,53.09446
2023-05-19,53.42019
2023-05-20,23.7785
2023-05-21,28.01302
2023-05-22,52.11726
2023-05-23,58.95765
2023-05-24,58.95765
2023-05-25,44.29967
2023-05-26,37.45928
2023-05-27,21.17263
