date,레버리지ETF교육
2022-08-18,0.68183
2022-08-19,0.54393
2022-08-20,0.16088
2022-08-21,0.21451
2022-08-22,0.55159
2022-08-23,1.13383
2022-08-24,0.92698
2022-08-25,0.75078
2022-08-26,0.98827
2022-08-27,0.32942
2022-08-28,0.32176
2022-08-29,1.60116
2022-08-30,0.904
2022-08-31,1.07255
2022-09-01,1.57052
2022-09-02,1.34834
2022-09-03,0.20684
2022-09-04,0.1762
2022-09-05,1.33302
2022-09-06,1.10319
2022-09-07,1.67777
2022-09-08,0.73546
2022-09-09,0.21451
2022-09-10,0.25281
2022-09-11,0.1762
2022-09-12,0.32176
2022-09-13,1.18746
2022-09-14,1.70075
2022-09-15,1.17214
2022-09-16,1.19512
2022-09-17,0.30644
2022-09-18,0.28345
2022-09-19,0.98827
2022-09-20,0.98061
2022-09-21,1.01126
2022-09-22,1.52455
2022-09-23,2.66605
2022-09-24,0.79675
2022-09-25,0.6282
2022-09-26,4.09101
2022-09-27,3.09507
2022-09-28,4.14464
2022-09-29,2.62008
2022-09-30,2.21405
2022-10-01,0.69715
2022-10-02,0.54393
2022-10-03,0.89634
2022-10-04,2.74266
2022-10-05,2.03784
2022-10-06,1.38665
2022-10-07,1.11851
2022-10-08,0.38305
2022-10-09,0.28345
2022-10-10,0.42902
2022-10-11,1.95357
2022-10-12,1.35601
2022-10-13,1.70841
2022-10-14,1.51689
2022-10-15,0.3524
2022-10-16,0.46732
2022-10-17,1.51689
2022-10-18,1.24109
2022-10-19,1.04956
2022-10-20,1.1798
2022-10-21,0.78909
2022-10-22,0.23749
2022-10-23,0.36773
2022-10-24,1.06488
2022-10-25,0.62054
2022-10-26,0.91166
2022-10-27,1.15682
2022-10-28,0.84271
2022-10-29,0.26047
2022-10-30,0.16854
2022-10-31,0.7278
2022-11-01,1.16448
2022-11-02,0.98061
2022-11-03,1.04956
2022-11-04,1.28706
2022-11-05,0.25281
2022-11-06,0.3524
2022-11-07,1.40197
2022-11-08,1.55519
2022-11-09,1.77736
2022-11-10,1.4939
2022-11-11,2.48984
2022-11-12,0.49796
2022-11-13,0.62054
2022-11-14,2.06849
2022-11-15,1.24109
2022-11-16,1.1798
2022-11-17,1.23343
2022-11-18,1.1415
2022-11-19,0.26047
2022-11-20,0.26813
2022-11-21,1.14916
2022-11-22,0.83505
2022-11-23,0.77376
2022-11-24,0.85804
2022-11-25,0.61288
2022-11-26,0.28345
2022-11-27,0.25281
2022-11-28,0.92698
2022-11-29,0.69715
2022-11-30,0.81207
2022-12-01,1.11085
2022-12-02,0.91932
2022-12-03,0.20684
2022-12-04,0.36773
2022-12-05,0.85804
2022-12-06,1.07255
2022-12-07,0.84271
2022-12-08,1.11851
2022-12-09,0.68183
2022-12-10,0.20684
2022-12-11,0.23749
2022-12-12,1.26407
2022-12-13,0.77376
2022-12-14,1.01892
2022-12-15,0.8657
2022-12-16,0.99593
2022-12-17,0.1762
2022-12-18,0.21451
2022-12-19,0.68183
2022-12-20,0.97295
2022-12-21,0.78142
2022-12-22,0.7278
2022-12-23,1.34068
2022-12-24,0.27579
2022-12-25,0.26047
2022-12-26,0.78909
2022-12-27,1.04956
2022-12-28,1.08787
2022-12-29,1.32536
2022-12-30,0.52861
2022-12-31,0.32942
2023-01-01,0.3141
2023-01-02,1.04956
2023-01-03,1.74672
2023-01-04,1.33302
2023-01-05,1.14916
2023-01-06,1.21811
2023-01-07,0.42902
2023-01-08,0.41369
2023-01-09,2.02252
2023-01-10,1.44794
2023-01-11,1.37133
2023-01-12,1.09553
2023-01-13,0.91932
2023-01-14,0.34474
2023-01-15,0.3141
2023-01-16,1.28706
2023-01-17,1.08021
2023-01-18,1.09553
2023-01-19,0.93465
2023-01-20,0.65119
2023-01-21,0.32176
2023-01-22,0.42902
2023-01-23,0.61288
2023-01-24,0.72014
2023-01-25,1.71608
2023-01-26,1.63946
2023-01-27,1.57818
2023-01-28,0.51329
2023-01-29,0.52095
2023-01-30,1.78503
2023-01-31,1.48624
2023-02-01,1.18746
2023-02-02,1.48624
2023-02-03,1.4556
2023-02-04,0.49796
2023-02-05,0.39071
2023-02-06,1.37899
2023-02-07,1.21811
2023-02-08,1.52455
2023-02-09,1.1415
2023-02-10,0.96529
2023-02-11,0.36007
2023-02-12,0.34474
2023-02-13,0.88102
2023-02-14,0.92698
2023-02-15,1.1415
2023-02-16,1.13383
2023-02-17,0.96529
2023-02-18,0.26813
2023-02-19,0.28345
2023-02-20,0.87336
2023-02-21,0.5899
2023-02-22,1.37133
2023-02-23,0.98061
2023-02-24,0.89634
2023-02-25,0.22983
2023-02-26,0.4903
2023-02-27,1.53987
2023-02-28,0.904
2023-03-01,0.51329
2023-03-02,0.93465
2023-03-03,0.62054
2023-03-04,0.19152
2023-03-05,0.32176
2023-03-06,0.75078
2023-03-07,0.83505
2023-03-08,0.97295
2023-03-09,0.81207
2023-03-10,1.22577
2023-03-11,0.39071
2023-03-12,0.45966
2023-03-13,1.24109
2023-03-14,2.01486
2023-03-15,1.27939
2023-03-16,1.1798
2023-03-17,1.09553
2023-03-18,0.55925
2023-03-19,0.47498
2023-03-20,1.12617
2023-03-21,0.79675
2023-03-22,0.8657
2023-03-23,0.88102
2023-03-24,0.63586
2023-03-25,0.34474
2023-03-26,0.28345
2023-03-27,0.81973
2023-03-28,0.62054
2023-03-29,0.78909
2023-03-30,0.88102
2023-03-31,0.94231
2023-04-01,0.29878
2023-04-02,0.40603
2023-04-03,0.81973
2023-04-04,0.87336
2023-04-05,0.99593
2023-04-06,1.17214
2023-04-07,0.96529
2023-04-08,0.28345
2023-04-09,0.4903
2023-04-10,1.37133
2023-04-11,1.37133
2023-04-12,1.22577
2023-04-13,1.11851
2023-04-14,1.14916
2023-04-15,0.26813
2023-04-16,0.30644
2023-04-17,0.81973
2023-04-18,1.11085
2023-04-19,1.0036
2023-04-20,1.47092
2023-04-21,1.44028
2023-04-22,0.22217
2023-04-23,0.19152
2023-04-24,1.17214
2023-04-25,1.47858
2023-04-26,1.21811
2023-04-27,1.06488
2023-04-28,1.1415
2023-04-29,0.3524
2023-04-30,0.3141
2023-05-01,0.36773
2023-05-02,0.94997
2023-05-03,1.08787
2023-05-04,0.68949
2023-05-05,0.27579
2023-05-06,0.21451
2023-05-07,0.19918
2023-05-08,0.78142
2023-05-09,0.59756
2023-05-10,0.6282
2023-05-11,0.452
2023-05-12,0.61288
2023-05-13,0.13023
2023-05-14,0.16854
2023-05-15,0.8657
2023-05-16,0.67417
2023-05-17,0.84271
2023-05-18,0.72014
2023-05-19,0.99593
2023-05-20,0.22217
2023-05-21,0.20684
2023-05-22,0.89634
2023-05-23,1.01892
2023-05-24,0.68949
2023-05-25,0.65885
2023-05-26,0.99593
2023-05-27,0.3524
2023-05-28,0.16854
2023-05-29,0.3141
2023-05-30,1.11085
2023-05-31,1.0036
2023-06-01,0.83505
2023-06-02,0.84271
2023-06-03,0.20684
2023-06-04,0.3524
2023-06-05,0.78142
2023-06-06,0.19918
2023-06-07,0.6282
2023-06-08,0.83505
2023-06-09,1.11851
2023-06-10,0.22217
2023-06-11,0.25281
2023-06-12,0.63586
2023-06-13,1.0036
2023-06-14,1.01126
2023-06-15,0.85037
2023-06-16,0.79675
2023-06-17,0.21451
2023-06-18,0.24515
2023-06-19,0.70481
2023-06-20,0.61288
2023-06-21,0.78909
2023-06-22,0.58224
2023-06-23,0.54393
2023-06-24,0.13023
2023-06-25,0.39837
2023-06-26,0.904
2023-06-27,0.68183
2023-06-28,0.68949
2023-06-29,0.74312
2023-06-30,0.63586
2023-07-01,0.32176
2023-07-02,0.39071
2023-07-03,0.91166
2023-07-04,0.98827
2023-07-05,0.64353
2023-07-06,0.88102
2023-07-07,1.06488
2023-07-08,0.28345
2023-07-09,0.25281
2023-07-10,0.88868
2023-07-11,0.7278
2023-07-12,0.52095
2023-07-13,0.96529
2023-07-14,0.81973
2023-07-15,0.14556
2023-07-16,0.25281
2023-07-17,0.5899
2023-07-18,0.85804
2023-07-19,1.22577
2023-07-20,0.60522
2023-07-21,0.96529
2023-07-22,0.20684
2023-07-23,0.22983
2023-07-24,1.01892
2023-07-25,1.17214
2023-07-26,2.12211
2023-07-27,0.94997
2023-07-28,0.78909
2023-07-29,0.23749
2023-07-30,0.34474
2023-07-31,1.03424
2023-08-01,1.04956
2023-08-02,0.94997
2023-08-03,0.92698
2023-08-04,0.78909
2023-08-05,0.19152
2023-08-06,0.19918
2023-08-07,0.65119
2023-08-08,0.63586
2023-08-09,0.66651
2023-08-10,0.55925
2023-08-11,0.51329
2023-08-12,0.10725
2023-08-13,0.11491
2023-08-14,0.7661
2023-08-15,0.26047
2023-08-16,1.22577
2023-08-17,1.36367
2023-08-18,0.83505
2023-08-19,0.26813
2023-08-20,0.25281
2023-08-21,1.1415
2023-08-22,0.77376
2023-08-23,0.68949
2023-08-24,0.74312
2023-08-25,0.63586
2023-08-26,0.23749
2023-08-27,0.12257
2023-08-28,0.7278
2023-08-29,0.45966
2023-08-30,0.59756
2023-08-31,0.4903
2023-09-01,0.38305
2023-09-02,0.29112
2023-09-03,0.26047
2023-09-04,0.45966
2023-09-05,0.50563
2023-09-06,0.57458
2023-09-07,0.50563
2023-09-08,0.452
2023-09-09,0.08427
2023-09-10,0.11491
2023-09-11,0.53627
2023-09-12,0.70481
2023-09-13,0.56691
2023-09-14,0.56691
2023-09-15,0.6282
2023-09-16,0.23749
2023-09-17,0.1762
2023-09-18,0.50563
2023-09-19,0.4903
2023-09-20,0.52095
2023-09-21,0.77376
2023-09-22,0.92698
2023-09-23,0.10725
2023-09-24,0.20684
2023-09-25,0.73546
2023-09-26,1.06488
2023-09-27,0.88102
2023-09-28,0.1762
2023-09-29,0.15322
2023-09-30,0.09193
2023-10-01,0.12257
2023-10-02,0.08427
2023-10-03,0.22217
2023-10-04,1.60116
2023-10-05,1.07255
2023-10-06,0.88868
2023-10-07,0.20684
2023-10-08,0.11491
2023-10-09,0.24515
2023-10-10,0.87336
2023-10-11,0.98827
2023-10-12,0.64353
2023-10-13,0.51329
2023-10-14,0.28345
2023-10-15,0.19152
