date,가맹점
2022-07-09,7.77422
2022-07-10,8.09371
2022-07-11,12.51331
2022-07-12,13.89776
2022-07-13,12.46006
2022-07-14,14.0575
2022-07-15,12.24707
2022-07-16,7.98722
2022-07-17,8.20021
2022-07-18,13.15228
2022-07-19,13.47177
2022-07-20,11.34185
2022-07-21,14.64323
2022-07-22,11.82108
2022-07-23,7.82747
2022-07-24,8.46645
2022-07-25,12.6198
2022-07-26,12.08732
2022-07-27,12.56656
2022-07-28,12.03407
2022-07-29,9.8509
2022-07-30,7.29499
2022-07-31,7.77422
2022-08-01,11.02236
2022-08-02,13.15228
2022-08-03,13.15228
2022-08-04,13.31203
2022-08-05,13.57827
2022-08-06,6.76251
2022-08-07,7.50798
2022-08-08,12.7263
2022-08-09,10.86261
2022-08-10,13.41853
2022-08-11,13.04579
2022-08-12,12.30031
2022-08-13,6.869
2022-08-14,7.93397
2022-08-15,9.21192
2022-08-16,12.93929
2022-08-17,12.46006
2022-08-18,12.35356
2022-08-19,12.08732
2022-08-20,7.77422
2022-08-21,8.83919
2022-08-22,12.35356
2022-08-23,12.7263
2022-08-24,13.63152
2022-08-25,11.71458
2022-08-26,9.9574
2022-08-27,8.20021
2022-08-28,7.45473
2022-08-29,10.75612
2022-08-30,11.55484
2022-08-31,13.09904
2022-09-01,13.41853
2022-09-02,10.70287
2022-09-03,7.88072
2022-09-04,8.20021
2022-09-05,12.19382
2022-09-06,13.47177
2022-09-07,12.88604
2022-09-08,7.82747
2022-09-09,7.29499
2022-09-10,5.16506
2022-09-11,5.27156
2022-09-12,7.77422
2022-09-13,12.19382
2022-09-14,10.54313
2022-09-15,10.91586
2022-09-16,11.12886
2022-09-17,6.17678
2022-09-18,8.04046
2022-09-19,11.98083
2022-09-20,11.1821
2022-09-21,11.98083
2022-09-22,11.55484
2022-09-23,9.42492
2022-09-24,6.92225
2022-09-25,5.59105
2022-09-26,11.02236
2022-09-27,12.14057
2022-09-28,10.43663
2022-09-29,12.24707
2022-09-30,12.19382
2022-10-01,8.4132
2022-10-02,5.96379
2022-10-03,8.35995
2022-10-04,12.19382
2022-10-05,12.14057
2022-10-06,11.98083
2022-10-07,11.87433
2022-10-08,6.38977
2022-10-09,7.29499
2022-10-10,7.93397
2022-10-11,11.98083
2022-10-12,12.77955
2022-10-13,11.71458
2022-10-14,9.31842
2022-10-15,6.92225
2022-10-16,8.25346
2022-10-17,10.80937
2022-10-18,13.15228
2022-10-19,12.35356
