date,비과세종합저축
2022-03-31,7.46753
2022-04-01,7.2849
2022-04-02,4.38311
2022-04-03,4.09902
2022-04-04,6.53409
2022-04-05,7.08198
2022-04-06,6.27029
2022-04-07,5.82386
2022-04-08,6.79788
2022-04-09,3.8961
2022-04-10,4.11931
2022-04-11,8.46185
2022-04-12,7.30519
2022-04-13,7.06168
2022-04-14,6.65584
2022-04-15,6.7573
2022-04-16,4.34253
2022-04-17,4.6672
2022-04-18,6.79788
2022-04-19,7.42694
2022-04-20,7.2849
2022-04-21,7.18344
2022-04-22,8.64448
2022-04-23,4.6875
2022-04-24,4.70779
2022-04-25,8.96915
2022-04-26,7.93425
2022-04-27,6.87905
2022-04-28,7.10227
2022-04-29,6.29058
2022-04-30,4.18019
2022-05-01,4.56574
2022-05-02,7.36607
2022-05-03,6.85876
2022-05-04,5.43831
2022-05-05,4.34253
2022-05-06,6.33116
2022-05-07,3.46996
2022-05-08,4.30194
2022-05-09,6.91964
2022-05-10,8.86769
2022-05-11,7.0211
2022-05-12,7.60957
2022-05-13,5.84415
2022-05-14,3.24675
2022-05-15,3.81493
2022-05-16,6.31087
2022-05-17,6.93993
2022-05-18,6.43262
2022-05-19,5.88474
2022-05-20,6.45292
2022-05-21,3.38879
2022-05-22,4.11931
2022-05-23,6.51379
2022-05-24,6.39204
2022-05-25,8.40097
2022-05-26,6.85876
2022-05-27,7.0211
2022-05-28,3.59172
2022-05-29,4.03814
2022-05-30,7.22402
2022-05-31,8.42126
2022-06-01,7.04139
2022-06-02,9.65909
2022-06-03,7.62987
2022-06-04,4.18019
2022-06-05,4.26136
2022-06-06,4.46428
2022-06-07,8.27922
2022-06-08,8.96915
2022-06-09,8.62418
2022-06-10,8.70535
2022-06-11,3.93668
2022-06-12,5.4586
2022-06-13,8.94886
2022-06-14,7.65016
2022-06-15,8.8474
2022-06-16,7.97483
2022-06-17,8.15746
2022-06-18,5.23538
2022-06-19,4.60633
2022-06-20,8.3198
2022-06-21,9.13149
2022-06-22,9.05032
2022-06-23,7.99512
2022-06-24,8.46185
2022-06-25,4.95129
2022-06-26,5.1948
2022-06-27,8.68506
2022-06-28,8.15746
2022-06-29,7.22402
2022-06-30,8.23863
2022-07-01,8.46185
2022-07-02,4.84983
2022-07-03,5.74269
2022-07-04,8.86769
2022-07-05,8.8474
2022-07-06,8.80681
2022-07-07,7.20373
2022-07-08,7.7922
2022-07-09,4.4237
2022-07-10,5.1948
2022-07-11,8.54301
2022-07-12,7.85308
2022-07-13,9.23295
2022-07-14,8.34009
2022-07-15,8.52272
2022-07-16,5.56006
2022-07-17,5.23538
2022-07-18,11.07954
2022-07-19,10.04464
2022-07-20,10.02435
2022-07-21,10.71428
2022-07-22,9.51704
2022-07-23,5.66152
2022-07-24,5.53977
2022-07-25,12.37824
2022-07-26,10.1461
2022-07-27,10.26785
2022-07-28,9.0909
2022-07-29,8.72564
2022-07-30,5.49918
2022-07-31,5.29626
2022-08-01,10.55194
2022-08-02,9.92288
2022-08-03,9.6185
2022-08-04,9.1112
2022-08-05,8.78652
2022-08-06,4.70779
2022-08-07,5.29626
2022-08-08,9.27353
2022-08-09,7.8125
2022-08-10,10.00405
2022-08-11,8.21834
2022-08-12,9.00974
2022-08-13,4.62662
2022-08-14,3.97727
2022-08-15,5.13392
2022-08-16,8.86769
2022-08-17,9.82142
2022-08-18,9.57792
2022-08-19,8.03571
2022-08-20,4.54545
2022-08-21,5.21509
2022-08-22,9.76055
2022-08-23,8.07629
2022-08-24,8.19805
2022-08-25,10.89691
2022-08-26,10.43019
2022-08-27,4.13961
2022-08-28,4.4034
2022-08-29,9.55762
2022-08-30,9.15178
2022-08-31,10.83603
2022-09-01,9.21266
2022-09-02,7.87337
2022-09-03,4.80925
2022-09-04,5.1948
2022-09-05,8.8474
2022-09-06,9.76055
2022-09-07,9.19237
2022-09-08,9.74025
2022-09-09,5.70211
2022-09-10,9.29383
2022-09-11,7.69074
2022-09-12,7.48782
2022-09-13,14.20454
2022-09-14,11.68831
2022-09-15,9.29383
2022-09-16,9.80113
2022-09-17,5.27597
2022-09-18,5.74269
2022-09-19,9.74025
2022-09-20,9.6185
2022-09-21,10.97808
2022-09-22,9.78084
2022-09-23,10.38961
2022-09-24,6.37175
2022-09-25,6.37175
2022-09-26,11.40422
2022-09-27,14.16396
2022-09-28,13.0073
2022-09-29,13.04788
2022-09-30,14.34659
2022-10-01,8.50243
2022-10-02,7.22402
2022-10-03,8.70535
2022-10-04,14.306
2022-10-05,16.98457
2022-10-06,15.70616
2022-10-07,14.0625
2022-10-08,7.04139
2022-10-09,6.81818
2022-10-10,8.8474
2022-10-11,12.68262
2022-10-12,14.85389
2022-10-13,17.02516
2022-10-14,15.99025
2022-10-15,11.4448
2022-10-16,12.94642
2022-10-17,21.10389
2022-10-18,17.97889
2022-10-19,20.2922
2022-10-20,20.65746
2022-10-21,18.93262
2022-10-22,9.0909
2022-10-23,9.92288
2022-10-24,18.70941
2022-10-25,21.53003
2022-10-26,19.03409
