date,집값
2022-07-05,47.08451
2022-07-06,46.2882
2022-07-07,47.36706
2022-07-08,46.10839
2022-07-09,40.53429
2022-07-10,41.07372
2022-07-11,53.76316
2022-07-12,52.81274
2022-07-13,67.76265
2022-07-14,60.57025
2022-07-15,55.79244
2022-07-16,44.23323
2022-07-17,44.97816
2022-07-18,55.56126
2022-07-19,52.01643
2022-07-20,52.24762
2022-07-21,47.701
2022-07-22,43.05163
2022-07-23,40.38016
2022-07-24,43.07731
2022-07-25,50.93758
2022-07-26,44.28461
2022-07-27,41.63883
2022-07-28,45.82584
2022-07-29,41.15078
2022-07-30,35.37117
2022-07-31,37.45183
2022-08-01,46.39095
2022-08-02,45.26072
2022-08-03,43.97636
2022-08-04,43.05163
2022-08-05,40.09761
2022-08-06,34.60056
2022-08-07,40.91959
2022-08-08,48.00924
2022-08-09,38.06832
2022-08-10,41.89571
2022-08-11,40.86822
2022-08-12,41.17647
2022-08-13,38.94169
2022-08-14,39.14718
2022-08-15,40.91959
2022-08-16,48.39455
2022-08-17,52.65861
2022-08-18,47.93218
2022-08-19,43.07731
2022-08-20,34.65193
2022-08-21,42.35807
2022-08-22,55.2787
2022-08-23,49.62753
2022-08-24,46.72489
2022-08-25,55.63832
2022-08-26,52.50449
2022-08-27,46.21114
2022-08-28,44.92679
2022-08-29,57.79604
2022-08-30,48.47161
2022-08-31,47.52119
2022-09-01,45.72309
2022-09-02,48.77986
2022-09-03,44.28461
2022-09-04,46.00565
2022-09-05,47.701
2022-09-06,42.92319
2022-09-07,44.46442
2022-09-08,49.44772
2022-09-09,39.1215
2022-09-10,38.35088
2022-09-11,44.28461
2022-09-12,48.54867
2022-09-13,60.90418
2022-09-14,59.15746
2022-09-15,59.77395
2022-09-16,57.8731
2022-09-17,47.23863
2022-09-18,48.75417
2022-09-19,57.84741
2022-09-20,48.00924
2022-09-21,58.69509
2022-09-22,62.93347
2022-09-23,59.79964
2022-09-24,47.52119
2022-09-25,50.44952
2022-09-26,64.19213
2022-09-27,57.69329
2022-09-28,60.05651
2022-09-29,55.25301
2022-09-30,47.31569
2022-10-01,37.83714
2022-10-02,42.48651
2022-10-03,50.11559
2022-10-04,46.95607
2022-10-05,48.0863
2022-10-06,49.01104
2022-10-07,42.40945
2022-10-08,37.37477
2022-10-09,41.53609
2022-10-10,43.51399
2022-10-11,51.01464
2022-10-12,60.62162
2022-10-13,58.61803
2022-10-14,50.14127
2022-10-15,46.59645
2022-10-16,47.59825
2022-10-17,53.78885
2022-10-18,49.83303
2022-10-19,51.2972
2022-10-20,53.37785
2022-10-21,50.03853
2022-10-22,39.99486
2022-10-23,43.25712
2022-10-24,50.26971
2022-10-25,49.01104
2022-10-26,49.65322
2022-10-27,50.73208
2022-10-28,47.34138
2022-10-29,40.22604
2022-10-30,32.5199
2022-10-31,43.59106
2022-11-01,42.61494
2022-11-02,44.74698
2022-11-03,49.83303
2022-11-04,44.20755
2022-11-05,36.83534
2022-11-06,41.53609
2022-11-07,45.97996
2022-11-08,42.17826
2022-11-09,43.28281
2022-11-10,46.31389
2022-11-11,44.54148
2022-11-12,35.70511
2022-11-13,36.96378
2022-11-14,46.87901
2022-11-15,44.33598
2022-11-16,46.93038
2022-11-17,44.56717
2022-11-18,41.35628
2022-11-19,33.34189
2022-11-20,36.65553
2022-11-21,43.56537
2022-11-22,45.38916
2022-11-23,39.5068
2022-11-24,36.96378
2022-11-25,35.96198
2022-11-26,34.34369
2022-11-27,34.24094
2022-11-28,39.19856
2022-11-29,38.73619
2022-11-30,34.42075
2022-12-01,36.62984
2022-12-02,32.9309
2022-12-03,24.60827
2022-12-04,32.46853
2022-12-05,34.42075
2022-12-06,34.67762
2022-12-07,34.70331
2022-12-08,38.45363
2022-12-09,36.96378
2022-12-10,31.18417
2022-12-11,34.44644
2022-12-12,44.64423
2022-12-13,40.45723
2022-12-14,39.5068
2022-12-15,41.63883
2022-12-16,56.25481
2022-12-17,42.28101
2022-12-18,42.46082
2022-12-19,45.87721
2022-12-20,40.07192
2022-12-21,42.76907
2022-12-22,41.40765
2022-12-23,35.88492
2022-12-24,31.7236
2022-12-25,35.19136
2022-12-26,38.24813
2022-12-27,39.81505
2022-12-28,38.96737
2022-12-29,34.93449
2022-12-30,32.75109
2022-12-31,27.38248
2023-01-01,35.5253
2023-01-02,42.25533
2023-01-03,43.33418
2023-01-04,39.89211
2023-01-05,41.76727
2023-01-06,40.86822
2023-01-07,34.13819
2023-01-08,37.42614
2023-01-09,45.15797
2023-01-10,37.37477
2023-01-11,38.09401
2023-01-12,39.66092
2023-01-13,35.93629
2023-01-14,31.98047
2023-01-15,33.26483
2023-01-16,39.94348
2023-01-17,37.29771
2023-01-18,35.26843
2023-01-19,34.65193
2023-01-20,33.11071
2023-01-21,29.05214
2023-01-22,29.20626
2023-01-23,33.34189
2023-01-24,34.21525
2023-01-25,40.25173
2023-01-26,36.57847
2023-01-27,35.93629
2023-01-28,32.95658
2023-01-29,33.88132
2023-01-30,39.24993
2023-01-31,38.916
2023-02-01,36.78397
2023-02-02,38.96737
2023-02-03,34.26663
2023-02-04,30.54199
2023-02-05,34.08682
2023-02-06,37.3234
2023-02-07,39.78936
2023-02-08,36.21885
2023-02-09,38.27382
2023-02-10,33.3162
2023-02-11,32.36578
2023-02-12,34.03544
2023-02-13,42.58926
2023-02-14,38.22245
2023-02-15,35.13999
2023-02-16,35.39686
2023-02-17,33.90701
2023-02-18,30.02825
2023-02-19,29.3347
2023-02-20,37.40046
2023-02-21,35.1143
2023-02-22,33.98407
2023-02-23,35.98767
2023-02-24,32.41715
2023-02-25,26.86873
2023-02-26,28.51271
2023-02-27,33.85563
2023-02-28,33.3162
2023-03-01,29.9255
2023-03-02,31.59517
2023-03-03,29.77138
2023-03-04,28.15309
2023-03-05,30.90161
2023-03-06,32.7254
2023-03-07,33.49601
2023-03-08,31.95479
2023-03-09,40.63704
2023-03-10,30.00256
2023-03-11,25.01926
2023-03-12,26.58618
2023-03-13,33.03365
2023-03-14,34.08682
2023-03-15,31.44104
2023-03-16,36.55278
2023-03-17,33.88132
2023-03-18,26.97148
2023-03-19,26.71461
2023-03-20,35.37117
2023-03-21,33.75288
2023-03-22,33.57307
2023-03-23,33.3162
2023-03-24,30.77318
2023-03-25,25.43025
2023-03-26,27.97328
2023-03-27,31.67223
2023-03-28,29.89982
2023-03-29,30.87593
2023-03-30,32.08322
2023-03-31,28.76958
2023-04-01,24.91651
2023-04-02,28.69252
2023-04-03,32.05753
2023-04-04,34.90881
2023-04-05,31.26123
2023-04-06,31.1328
2023-04-07,28.28153
2023-04-08,27.27973
2023-04-09,27.51091
2023-04-10,34.18957
2023-04-11,33.18777
2023-04-12,32.46853
2023-04-13,29.95119
2023-04-14,29.25764
2023-04-15,24.45414
2023-04-16,27.04854
2023-04-17,31.7236
2023-04-18,29.00077
2023-04-19,29.38607
2023-04-20,29.82275
2023-04-21,30.77318
2023-04-22,24.01746
2023-04-23,27.76778
2023-04-24,30.43924
2023-04-25,28.71821
2023-04-26,28.5384
2023-04-27,28.69252
2023-04-28,26.5348
2023-04-29,23.11841
2023-04-30,22.98998
2023-05-01,26.38068
2023-05-02,26.89442
2023-05-03,26.92011
2023-05-04,27.12561
2023-05-05,24.78808
2023-05-06,22.88723
2023-05-07,30.36218
2023-05-08,32.28872
2023-05-09,28.71821
2023-05-10,29.30901
2023-05-11,28.25584
2023-05-12,27.61366
2023-05-13,24.68533
2023-05-14,26.5348
2023-05-15,32.08322
2023-05-16,33.08502
2023-05-17,27.30541
2023-05-18,29.82275
2023-05-19,27.04854
2023-05-20,20.80657
2023-05-21,23.91471
2023-05-22,30.38787
2023-05-23,29.28332
2023-05-24,32.75109
2023-05-25,30.38787
2023-05-26,28.40996
2023-05-27,19.70202
2023-05-28,21.44875
2023-05-29,26.99717
