date,P2P대출
2022-09-17,4.29587
2022-09-18,3.81223
2022-09-19,10.46941
2022-09-20,9.35988
2022-09-21,8.93314
2022-09-22,8.3357
2022-09-23,6.40113
2022-09-24,4.35277
2022-09-25,4.35277
2022-09-26,9.72972
2022-09-27,8.70554
2022-09-28,8.4495
2022-09-29,7.96586
2022-09-30,6.08819
2022-10-01,3.21479
2022-10-02,3.64153
2022-10-03,4.49502
2022-10-04,8.25035
2022-10-05,7.68136
2022-10-06,8.99004
2022-10-07,8.19345
2022-10-08,4.18207
2022-10-09,4.32432
2022-10-10,5.5192
2022-10-11,10.44096
2022-10-12,9.18918
2022-10-13,8.76244
2022-10-14,6.77098
2022-10-15,4.86486
2022-10-16,3.38549
2022-10-17,10.29871
2022-10-18,9.13229
2022-10-19,9.44523
2022-10-20,8.0512
2022-10-21,7.88051
2022-10-22,4.49502
2022-10-23,4.83641
2022-10-24,9.55903
2022-10-25,9.72972
2022-10-26,10.35561
2022-10-27,8.3357
2022-10-28,7.53911
2022-10-29,4.69416
2022-10-30,4.32432
2022-10-31,8.64864
2022-11-01,8.67709
2022-11-02,8.0512
2022-11-03,8.76244
2022-11-04,7.93741
2022-11-05,4.21052
2022-11-06,3.41394
2022-11-07,11.55049
2022-11-08,9.38833
2022-11-09,9.38833
2022-11-10,9.55903
2022-11-11,7.93741
2022-11-12,4.55192
2022-11-13,4.77951
2022-11-14,10.66856
2022-11-15,9.30298
2022-11-16,9.41678
2022-11-17,7.59601
2022-11-18,6.34423
2022-11-19,4.49502
2022-11-20,4.15362
2022-11-21,12.40398
2022-11-22,8.87624
2022-11-23,9.95732
2022-11-24,9.01849
2022-11-25,7.36842
2022-11-26,4.77951
2022-11-27,3.81223
2022-11-28,9.61593
2022-11-29,9.01849
2022-11-30,8.0512
2022-12-01,7.85206
2022-12-02,7.19772
2022-12-03,3.49928
2022-12-04,5.6899
2022-12-05,9.27453
2022-12-06,8.90469
2022-12-07,8.79089
2022-12-08,8.0512
2022-12-09,6.85633
2022-12-10,4.77951
2022-12-11,4.60881
2022-12-12,7.73826
2022-12-13,10.04267
2022-12-14,16.7852
2022-12-15,11.18065
2022-12-16,10.21337
2022-12-17,6.20199
2022-12-18,7.28307
2022-12-19,11.80654
2022-12-20,16.64295
2022-12-21,11.49359
2022-12-22,8.93314
2022-12-23,7.82361
2022-12-24,4.12517
2022-12-25,5.37695
2022-12-26,8.76244
2022-12-27,9.07539
2022-12-28,9.47368
2022-12-29,7.08392
2022-12-30,5.633
2022-12-31,3.12944
2023-01-01,3.15789
2023-01-02,7.25462
2023-01-03,7.62446
2023-01-04,8.47795
2023-01-05,8.02275
2023-01-06,7.53911
2023-01-07,4.77951
2023-01-08,4.29587
2023-01-09,8.5633
2023-01-10,8.4495
2023-01-11,8.07965
2023-01-12,9.01849
2023-01-13,9.07539
2023-01-14,4.55192
2023-01-15,5.09246
2023-01-16,9.44523
2023-01-17,8.19345
2023-01-18,8.5633
2023-01-19,7.39687
2023-01-20,5.83214
2023-01-21,3.15789
2023-01-22,3.30014
2023-01-23,3.30014
2023-01-24,4.92176
2023-01-25,8.64864
2023-01-26,9.55903
2023-01-27,7.59601
2023-01-28,4.92176
2023-01-29,5.12091
2023-01-30,9.95732
2023-01-31,9.07539
2023-02-01,8.62019
2023-02-02,8.165
2023-02-03,6.60028
2023-02-04,4.40967
2023-02-05,3.01564
2023-02-06,7.31152
2023-02-07,8.73399
2023-02-08,8.93314
2023-02-09,8.3926
2023-02-10,7.90896
2023-02-11,4.60881
2023-02-12,6.34423
2023-02-13,10.09957
2023-02-14,9.33143
2023-02-15,8.96159
2023-02-16,7.70981
2023-02-17,8.47795
2023-02-18,3.44238
2023-02-19,3.84068
2023-02-20,9.67283
2023-02-21,8.5064
2023-02-22,8.47795
2023-02-23,8.4495
2023-02-24,6.82788
2023-02-25,4.38122
2023-02-26,3.98293
2023-02-27,8.93314
2023-02-28,7.39687
2023-03-01,4.40967
2023-03-02,7.39687
2023-03-03,7.28307
2023-03-04,3.55618
2023-03-05,3.95448
2023-03-06,8.13655
2023-03-07,6.57183
2023-03-08,8.0512
2023-03-09,6.79943
2023-03-10,7.28307
2023-03-11,3.44238
2023-03-12,2.93029
2023-03-13,8.5064
2023-03-14,7.70981
2023-03-15,8.02275
2023-03-16,8.30725
2023-03-17,6.99857
2023-03-18,3.64153
2023-03-19,7.48221
2023-03-20,9.21763
2023-03-21,8.76244
2023-03-22,8.3926
2023-03-23,6.45803
2023-03-24,6.62873
2023-03-25,4.55192
2023-03-26,3.89758
2023-03-27,8.13655
2023-03-28,7.76671
2023-03-29,8.4495
2023-03-30,7.59601
2023-03-31,5.5761
2023-04-01,3.24324
2023-04-02,3.47083
2023-04-03,7.65291
2023-04-04,7.70981
2023-04-05,7.85206
2023-04-06,7.76671
2023-04-07,6.14509
2023-04-08,3.24324
2023-04-09,2.6458
2023-04-10,7.65291
2023-04-11,6.79943
2023-04-12,7.82361
2023-04-13,8.19345
2023-04-14,7.39687
2023-04-15,4.26742
2023-04-16,4.72261
2023-04-17,7.96586
2023-04-18,8.81934
2023-04-19,8.165
2023-04-20,7.22617
2023-04-21,6.99857
2023-04-22,4.26742
2023-04-23,4.35277
2023-04-24,8.36415
2023-04-25,7.88051
2023-04-26,8.70554
2023-04-27,6.74253
2023-04-28,5.66145
2023-04-29,3.24324
2023-04-30,3.24324
2023-05-01,4.97866
2023-05-02,7.53911
2023-05-03,6.77098
2023-05-04,6.42958
2023-05-05,3.10099
2023-05-06,3.01564
2023-05-07,4.32432
2023-05-08,7.28307
2023-05-09,7.88051
2023-05-10,7.59601
2023-05-11,8.53485
2023-05-12,7.59601
2023-05-13,3.98293
2023-05-14,4.12517
2023-05-15,8.47795
2023-05-16,10.27027
2023-05-17,8.3926
2023-05-18,8.59174
2023-05-19,6.85633
2023-05-20,3.61308
2023-05-21,3.89758
2023-05-22,9.04694
2023-05-23,8.19345
2023-05-24,8.2788
2023-05-25,8.19345
2023-05-26,6.00284
2023-05-27,3.15789
2023-05-28,3.21479
