date,법정상속인
2021-07-17,20.89552
2021-07-18,14.92537
2021-07-19,50.74626
2021-07-20,49.25373
2021-07-21,36.56716
2021-07-22,31.34328
2021-07-23,26.1194
2021-07-24,10.44776
2021-07-25,16.41791
2021-07-26,29.85074
2021-07-27,41.04477
2021-07-28,61.19402
2021-07-29,56.71641
2021-07-30,38.0597
2021-07-31,16.41791
2021-08-01,29.85074
2021-08-02,54.47761
2021-08-03,65.67164
2021-08-04,58.95522
2021-08-05,44.77611
2021-08-06,39.55223
2021-08-07,27.61194
2021-08-08,19.40298
2021-08-09,50.74626
2021-08-10,52.98507
2021-08-11,52.2388
2021-08-12,48.50746
2021-08-13,41.04477
2021-08-14,33.58208
2021-08-15,22.38805
2021-08-16,28.3582
2021-08-17,44.02985
2021-08-18,50.0
2021-08-19,67.16417
2021-08-20,51.49253
2021-08-21,24.62686
2021-08-22,20.89552
2021-08-23,53.73134
2021-08-24,46.26865
2021-08-25,47.76119
2021-08-26,48.50746
2021-08-27,66.41791
2021-08-28,18.65671
2021-08-29,28.3582
2021-08-30,38.0597
2021-08-31,35.07462
2021-09-01,43.28358
2021-09-02,73.13432
2021-09-03,55.22388
2021-09-04,29.85074
2021-09-05,25.37313
2021-09-06,47.76119
2021-09-07,58.20895
2021-09-08,43.28358
2021-09-09,44.77611
2021-09-10,44.77611
2021-09-11,16.41791
2021-09-12,32.08955
2021-09-13,58.20895
2021-09-14,47.76119
2021-09-15,60.44776
2021-09-16,52.98507
2021-09-17,35.07462
2021-09-18,18.65671
2021-09-19,22.38805
2021-09-20,21.64179
2021-09-21,23.88059
2021-09-22,43.28358
2021-09-23,65.67164
2021-09-24,73.13432
2021-09-25,41.79104
2021-09-26,32.08955
2021-09-27,55.97014
2021-09-28,53.73134
2021-09-29,64.1791
2021-09-30,64.1791
2021-10-01,49.25373
2021-10-02,17.16417
2021-10-03,25.37313
2021-10-04,26.86567
2021-10-05,47.76119
2021-10-06,64.92537
2021-10-07,47.01492
2021-10-08,50.74626
2021-10-09,15.67164
2021-10-10,35.82089
2021-10-11,35.07462
2021-10-12,56.71641
2021-10-13,51.49253
2021-10-14,66.41791
2021-10-15,41.04477
2021-10-16,13.43283
2021-10-17,32.83582
2021-10-18,57.46268
2021-10-19,53.73134
2021-10-20,50.0
2021-10-21,41.04477
2021-10-22,33.58208
2021-10-23,32.83582
2021-10-24,35.07462
2021-10-25,49.25373
2021-10-26,62.68656
2021-10-27,53.73134
2021-10-28,40.2985
2021-10-29,58.20895
2021-10-30,15.67164
2021-10-31,14.1791
2021-11-01,41.04477
2021-11-02,53.73134
2021-11-03,44.02985
2021-11-04,57.46268
2021-11-05,41.79104
2021-11-06,24.62686
2021-11-07,26.86567
2021-11-08,47.01492
2021-11-09,57.46268
2021-11-10,69.40298
2021-11-11,64.1791
2021-11-12,52.2388
2021-11-13,23.13432
2021-11-14,36.56716
2021-11-15,44.02985
2021-11-16,60.44776
2021-11-17,56.71641
2021-11-18,45.52238
2021-11-19,45.52238
2021-11-20,22.38805
2021-11-21,20.89552
2021-11-22,35.82089
2021-11-23,30.59701
2021-11-24,52.2388
2021-11-25,34.32835
2021-11-26,50.74626
2021-11-27,20.14925
2021-11-28,20.14925
2021-11-29,76.1194
2021-11-30,46.26865
2021-12-01,41.04477
2021-12-02,42.53731
2021-12-03,50.0
2021-12-04,22.38805
2021-12-05,18.65671
2021-12-06,44.77611
2021-12-07,61.94029
2021-12-08,46.26865
2021-12-09,64.1791
2021-12-10,46.26865
2021-12-11,17.91044
2021-12-12,26.1194
2021-12-13,59.70149
2021-12-14,61.19402
2021-12-15,75.37313
2021-12-16,74.62686
2021-12-17,39.55223
2021-12-18,21.64179
2021-12-19,29.85074
2021-12-20,56.71641
2021-12-21,37.31343
2021-12-22,49.25373
2021-12-23,38.0597
2021-12-24,39.55223
2021-12-25,16.41791
2021-12-26,14.1791
2021-12-27,44.77611
2021-12-28,47.76119
2021-12-29,34.32835
2021-12-30,54.47761
2021-12-31,44.02985
2022-01-01,18.65671
2022-01-02,17.91044
2022-01-03,44.77611
2022-01-04,51.49253
2022-01-05,55.97014
2022-01-06,58.20895
2022-01-07,50.0
2022-01-08,13.43283
2022-01-09,26.86567
2022-01-10,50.0
2022-01-11,48.50746
2022-01-12,59.70149
2022-01-13,61.19402
2022-01-14,50.0
2022-01-15,28.3582
2022-01-16,21.64179
2022-01-17,47.01492
2022-01-18,53.73134
2022-01-19,52.98507
2022-01-20,44.77611
2022-01-21,35.07462
2022-01-22,28.3582
2022-01-23,35.07462
2022-01-24,58.20895
2022-01-25,60.44776
2022-01-26,52.2388
2022-01-27,48.50746
2022-01-28,55.22388
2022-01-29,26.86567
2022-01-30,16.41791
2022-01-31,27.61194
2022-02-01,36.56716
2022-02-02,35.82089
2022-02-03,79.10447
2022-02-04,71.64179
2022-02-05,29.85074
2022-02-06,28.3582
2022-02-07,61.94029
2022-02-08,57.46268
2022-02-09,50.74626
2022-02-10,61.94029
2022-02-11,55.97014
2022-02-12,52.2388
2022-02-13,23.88059
2022-02-14,63.43283
2022-02-15,62.68656
2022-02-16,49.25373
2022-02-17,62.68656
2022-02-18,56.71641
2022-02-19,20.89552
2022-02-20,29.10447
2022-02-21,67.16417
2022-02-22,47.76119
2022-02-23,49.25373
2022-02-24,50.74626
2022-02-25,46.26865
2022-02-26,28.3582
2022-02-27,28.3582
2022-02-28,38.0597
2022-03-01,20.89552
2022-03-02,47.01492
2022-03-03,51.49253
2022-03-04,34.32835
2022-03-05,14.1791
2022-03-06,17.16417
2022-03-07,61.94029
2022-03-08,57.46268
2022-03-09,30.59701
2022-03-10,38.80597
2022-03-11,50.0
2022-03-12,13.43283
2022-03-13,21.64179
2022-03-14,61.19402
2022-03-15,49.25373
2022-03-16,47.76119
2022-03-17,55.97014
2022-03-18,51.49253
2022-03-19,15.67164
2022-03-20,16.41791
2022-03-21,47.01492
2022-03-22,59.70149
2022-03-23,51.49253
2022-03-24,53.73134
2022-03-25,35.07462
2022-03-26,11.94029
2022-03-27,21.64179
2022-03-28,61.94029
2022-03-29,59.70149
2022-03-30,58.95522
2022-03-31,50.0
2022-04-01,47.76119
2022-04-02,15.67164
2022-04-03,23.88059
2022-04-04,54.47761
2022-04-05,51.49253
2022-04-06,48.50746
2022-04-07,67.91044
2022-04-08,38.80597
2022-04-09,27.61194
2022-04-10,32.83582
2022-04-11,49.25373
2022-04-12,51.49253
2022-04-13,59.70149
2022-04-14,43.28358
2022-04-15,52.2388
2022-04-16,35.07462
2022-04-17,27.61194
2022-04-18,84.32835
2022-04-19,73.13432
