date,아트포스터
2022-06-30,33.33333
2022-07-01,16.91542
2022-07-02,20.398
2022-07-03,23.88059
2022-07-04,20.398
2022-07-05,27.86069
2022-07-06,37.81094
2022-07-07,24.3781
2022-07-08,20.89552
2022-07-09,21.89054
2022-07-10,27.86069
2022-07-11,28.3582
2022-07-12,25.37313
2022-07-13,25.37313
2022-07-14,25.87064
2022-07-15,24.87562
2022-07-16,18.90547
2022-07-17,34.32835
2022-07-18,38.80597
2022-07-19,21.89054
2022-07-20,32.83582
2022-07-21,23.38308
2022-07-22,23.88059
2022-07-23,30.84577
2022-07-24,30.34825
2022-07-25,29.35323
2022-07-26,25.87064
2022-07-27,28.85572
2022-07-28,33.33333
2022-07-29,17.91044
2022-07-30,24.87562
2022-07-31,30.34825
2022-08-01,31.34328
2022-08-02,25.37313
2022-08-03,25.37313
2022-08-04,36.3184
2022-08-05,24.87562
2022-08-06,29.35323
2022-08-07,20.89552
2022-08-08,28.3582
2022-08-09,28.85572
2022-08-10,24.3781
2022-08-11,24.3781
2022-08-12,25.87064
2022-08-13,29.35323
2022-08-14,24.87562
2022-08-15,36.3184
2022-08-16,28.3582
2022-08-17,26.36815
2022-08-18,32.3383
2022-08-19,28.3582
2022-08-20,25.87064
2022-08-21,37.31343
2022-08-22,25.87064
2022-08-23,26.86567
2022-08-24,25.87064
2022-08-25,27.36318
2022-08-26,23.88059
2022-08-27,27.36318
2022-08-28,29.35323
2022-08-29,41.79104
2022-08-30,25.87064
2022-08-31,27.86069
2022-09-01,22.88557
2022-09-02,22.38805
2022-09-03,23.38308
2022-09-04,31.34328
2022-09-05,37.81094
2022-09-06,31.84079
2022-09-07,26.86567
2022-09-08,19.90049
2022-09-09,14.92537
2022-09-10,8.95522
2022-09-11,23.88059
2022-09-12,27.36318
2022-09-13,27.86069
2022-09-14,34.32835
2022-09-15,27.36318
2022-09-16,24.3781
2022-09-17,24.3781
2022-09-18,24.87562
2022-09-19,38.30845
2022-09-20,49.25373
2022-09-21,35.32338
2022-09-22,29.35323
2022-09-23,20.398
2022-09-24,26.36815
2022-09-25,22.88557
2022-09-26,28.3582
2022-09-27,30.84577
2022-09-28,28.3582
2022-09-29,18.90547
2022-09-30,25.87064
2022-10-01,26.86567
2022-10-02,21.39303
2022-10-03,31.34328
2022-10-04,22.38805
2022-10-05,25.87064
2022-10-06,31.84079
2022-10-07,22.88557
2022-10-08,19.90049
2022-10-09,32.3383
2022-10-10,29.35323
2022-10-11,41.79104
2022-10-12,31.34328
2022-10-13,24.3781
2022-10-14,21.39303
2022-10-15,23.38308
2022-10-16,24.3781
2022-10-17,37.81094
2022-10-18,29.85074
2022-10-19,28.85572
2022-10-20,15.92039
