date,오늘의환율
2021-10-19,31.49038
2021-10-20,32.37795
2021-10-21,31.00961
2021-10-22,26.83062
2021-10-23,8.67233
2021-10-24,6.5551
2021-10-25,32.24852
2021-10-26,31.60133
2021-10-27,31.93417
2021-10-28,29.39164
2021-10-29,29.19748
2021-10-30,9.70784
2021-10-31,6.82322
2021-11-01,30.90791
2021-11-02,28.80917
2021-11-03,29.00332
2021-11-04,31.37019
2021-11-05,30.46412
2021-11-06,9.60613
2021-11-07,6.99889
2021-11-08,29.50258
2021-11-09,31.63831
2021-11-10,29.20673
2021-11-11,30.52884
2021-11-12,27.2744
2021-11-13,8.79252
2021-11-14,6.04659
2021-11-15,27.96782
2021-11-16,29.72448
2021-11-17,28.42085
2021-11-18,28.48557
2021-11-19,27.53328
2021-11-20,9.48594
2021-11-21,7.24852
2021-11-22,31.41642
2021-11-23,31.68454
2021-11-24,29.94637
2021-11-25,30.28846
2021-11-26,29.24371
2021-11-27,10.95599
2021-11-28,7.43343
2021-11-29,32.82174
2021-11-30,32.87721
2021-12-01,33.95894
2021-12-02,31.64755
2021-12-03,29.38239
2021-12-04,10.2071
2021-12-05,6.93417
2021-12-06,29.93713
2021-12-07,27.46856
2021-12-08,27.40384
2021-12-09,27.32063
2021-12-10,26.34985
2021-12-11,8.99593
2021-12-12,6.47189
2021-12-13,26.07248
2021-12-14,26.5625
2021-12-15,26.59023
2021-12-16,27.20968
2021-12-17,25.02773
2021-12-18,8.51516
2021-12-19,6.6568
2021-12-20,34.01442
2021-12-21,33.57988
2021-12-22,31.41642
2021-12-23,29.17899
2021-12-24,24.95377
2021-12-25,7.86797
2021-12-26,6.57359
2021-12-27,26.85835
2021-12-28,26.22041
2021-12-29,24.46375
2021-12-30,25.07396
2021-12-31,20.81176
2022-01-01,7.75702
2022-01-02,7.03587
2022-01-03,28.45784
2022-01-04,32.23927
2022-01-05,37.06545
2022-01-06,41.49408
2022-01-07,38.8406
2022-01-08,12.30584
2022-01-09,8.71856
2022-01-10,36.99149
2022-01-11,33.36723
2022-01-12,31.5551
2022-01-13,30.96338
2022-01-14,30.08505
2022-01-15,10.5122
2022-01-16,7.60909
2022-01-17,30.27921
2022-01-18,29.88165
2022-01-19,30.63979
2022-01-20,27.94933
2022-01-21,29.8909
2022-01-22,9.38424
2022-01-23,7.03587
2022-01-24,30.83394
2022-01-25,35.34578
2022-01-26,30.43639
2022-01-27,37.31508
2022-01-28,35.78957
2022-01-29,13.13794
2022-01-30,8.17307
2022-01-31,8.58912
2022-02-01,9.69859
2022-02-02,11.63091
2022-02-03,32.01738
2022-02-04,29.01257
2022-02-05,11.02071
2022-02-06,7.29474
2022-02-07,31.3517
2022-02-08,30.11279
2022-02-09,27.95857
2022-02-10,28.07877
2022-02-11,27.85687
2022-02-12,9.59689
2022-02-13,6.67529
2022-02-14,29.49334
2022-02-15,28.92011
2022-02-16,28.125
2022-02-17,28.27292
2022-02-18,26.01701
2022-02-19,8.59837
2022-02-20,6.37943
2022-02-21,29.65051
2022-02-22,30.14053
2022-02-23,29.63202
2022-02-24,43.7315
2022-02-25,38.17492
2022-02-26,11.446
2022-02-27,8.33025
2022-02-28,34.19933
2022-03-01,14.8761
2022-03-02,34.09763
2022-03-03,29.58579
2022-03-04,38.24889
2022-03-05,13.52625
2022-03-06,8.61686
2022-03-07,46.20007
2022-03-08,46.61612
2022-03-09,18.06582
2022-03-10,39.42307
2022-03-11,36.99149
2022-03-12,13.11945
2022-03-13,10.37352
2022-03-14,42.80695
2022-03-15,42.83468
2022-03-16,40.42159
2022-03-17,44.17529
2022-03-18,41.20747
2022-03-19,13.45229
2022-03-20,9.0514
2022-03-21,36.64016
2022-03-22,36.27958
2022-03-23,35.73409
2022-03-24,33.38572
2022-03-25,31.51812
2022-03-26,11.47374
2022-03-27,7.93269
2022-03-28,35.46597
2022-03-29,32.33173
2022-03-30,34.33801
2022-03-31,33.48742
2022-04-01,29.53957
2022-04-02,10.79881
2022-04-03,7.85872
2022-04-04,29.22522
2022-04-05,29.73372
2022-04-06,31.22226
2022-04-07,31.53661
2022-04-08,31.21301
2022-04-09,10.1886
2022-04-10,6.80473
2022-04-11,34.63387
2022-04-12,36.01146
2022-04-13,33.89423
2022-04-14,32.10983
2022-04-15,30.96338
2022-04-16,9.80029
2022-04-17,6.99889
2022-04-18,31.90643
2022-04-19,35.09615
2022-04-20,36.90828
2022-04-21,32.96967
2022-04-22,37.01923
2022-04-23,11.61242
2022-04-24,8.00665
2022-04-25,43.70377
2022-04-26,40.95784
2022-04-27,46.88424
2022-04-28,48.77958
2022-04-29,46.51442
2022-04-30,14.08099
2022-05-01,9.53217
2022-05-02,40.26442
2022-05-03,38.03624
2022-05-04,35.86353
2022-05-05,16.99334
2022-05-06,40.03328
2022-05-07,12.10244
2022-05-08,9.21782
2022-05-09,41.56804
2022-05-10,41.29068
2022-05-11,39.0625
2022-05-12,51.35909
2022-05-13,45.33099
2022-05-14,12.54622
2022-05-15,8.7463
2022-05-16,40.65273
2022-05-17,38.46153
2022-05-18,42.41863
2022-05-19,41.16124
2022-05-20,38.70192
2022-05-21,12.37056
2022-05-22,8.45968
2022-05-23,38.3136
2022-05-24,38.93306
2022-05-25,36.06693
2022-05-26,34.33801
2022-05-27,34.17159
2022-05-28,10.56767
2022-05-29,7.30399
2022-05-30,39.59874
2022-05-31,39.91309
2022-06-01,16.99334
2022-06-02,37.54622
2022-06-03,33.94045
2022-06-04,11.92677
2022-06-05,7.794
2022-06-06,12.9068
2022-06-07,35.5122
2022-06-08,36.05769
2022-06-09,35.02218
2022-06-10,36.43676
2022-06-11,14.17344
2022-06-12,9.39349
2022-06-13,51.20192
2022-06-14,51.46079
2022-06-15,47.06915
2022-06-16,48.13239
2022-06-17,45.54363
2022-06-18,14.13646
2022-06-19,9.46745
2022-06-20,44.76701
2022-06-21,39.98705
2022-06-22,47.59615
2022-06-23,51.57174
2022-06-24,45.23853
2022-06-25,13.23039
2022-06-26,9.32877
2022-06-27,43.82396
2022-06-28,40.80066
2022-06-29,42.45562
2022-06-30,45.06286
2022-07-01,42.40014
2022-07-02,12.65717
2022-07-03,8.57063
2022-07-04,39.35835
2022-07-05,42.40014
2022-07-06,52.38535
2022-07-07,45.83949
2022-07-08,42.8994
2022-07-09,12.96227
2022-07-10,8.70007
2022-07-11,42.95488
2022-07-12,47.64238
2022-07-13,48.6409
2022-07-14,50.04622
2022-07-15,55.24223
2022-07-16,16.16124
2022-07-17,10.05917
2022-07-18,49.2696
2022-07-19,45.84874
2022-07-20,48.07692
2022-07-21,46.08912
2022-07-22,42.31693
2022-07-23,12.50924
2022-07-24,9.10687
2022-07-25,39.83912
2022-07-26,39.48779
2022-07-27,38.15643
2022-07-28,43.16752
2022-07-29,42.15051
2022-07-30,13.45229
2022-07-31,8.848
2022-08-01,39.31213
2022-08-02,38.85909
2022-08-03,40.15347
2022-08-04,40.21819
2022-08-05,39.45081
2022-08-06,13.02699
2022-08-07,8.38572
2022-08-08,39.76516
2022-08-09,38.64644
2022-08-10,36.973
2022-08-11,37.63868
2022-08-12,34.67085
2022-08-13,11.36279
2022-08-14,7.84948
2022-08-15,13.22115
2022-08-16,39.03476
2022-08-17,36.33505
2022-08-18,39.571
2022-08-19,46.29252
2022-08-20,16.2352
2022-08-21,10.40125
2022-08-22,54.87241
2022-08-23,53.76294
2022-08-24,48.87204
2022-08-25,46.42196
2022-08-26,41.29068
2022-08-27,15.53254
2022-08-28,10.58616
2022-08-29,55.96338
2022-08-30,46.875
2022-08-31,47.9105
2022-09-01,51.48853
2022-09-02,52.15421
2022-09-03,16.93786
2022-09-04,11.49223
2022-09-05,56.6568
2022-09-06,53.29142
2022-09-07,62.12093
2022-09-08,51.43306
2022-09-09,19.40643
2022-09-10,13.79437
2022-09-11,11.15939
2022-09-12,16.15199
2022-09-13,53.20821
2022-09-14,62.72189
2022-09-15,58.45044
2022-09-16,56.89718
2022-09-17,18.30621
2022-09-18,12.56471
2022-09-19,55.57507
2022-09-20,48.57618
2022-09-21,50.04622
2022-09-22,70.73779
2022-09-23,61.88979
2022-09-24,22.96597
2022-09-25,15.48631
2022-09-26,73.6409
2022-09-27,66.98409
2022-09-28,75.23113
2022-09-29,67.98261
2022-09-30,61.52921
2022-10-01,20.30325
2022-10-02,14.96856
2022-10-03,21.2463
2022-10-04,58.78328
2022-10-05,58.69082
2022-10-06,58.33025
2022-10-07,54.93713
2022-10-08,20.56213
2022-10-09,14.23816
2022-10-10,21.69933
2022-10-11,60.90051
2022-10-12,54.55806
2022-10-13,52.54252
2022-10-14,50.73039
2022-10-15,20.96893
2022-10-16,15.17196
2022-10-17,55.75998
2022-10-18,52.26516
2022-10-19,51.4423
2022-10-20,50.56397
2022-10-21,52.73668
2022-10-22,19.31397
2022-10-23,12.65717
2022-10-24,50.70266
2022-10-25,50.17566
2022-10-26,50.37906
2022-10-27,51.3406
2022-10-28,44.37869
2022-10-29,16.17048
2022-10-30,10.45673
2022-10-31,43.31545
2022-11-01,45.93195
2022-11-02,46.26479
2022-11-03,49.99075
2022-11-04,44.51738
2022-11-05,16.89164
2022-11-06,12.09319
2022-11-07,47.84578
2022-11-08,58.22855
