date,코인만들기
2022-08-18,6.54205
2022-08-19,2.80373
2022-08-20,3.73831
2022-08-21,2.80373
2022-08-22,4.2056
2022-08-23,2.33644
2022-08-24,3.73831
2022-08-25,6.54205
2022-08-26,3.73831
2022-08-29,2.80373
2022-08-30,2.33644
2022-09-02,2.33644
2022-09-03,2.33644
2022-09-05,8.8785
2022-09-07,2.80373
2022-09-09,2.80373
2022-09-11,3.73831
2022-09-14,5.14018
2022-09-17,2.33644
2022-09-18,5.14018
2022-09-20,2.80373
2022-09-21,2.33644
2022-09-22,4.2056
2022-09-25,2.33644
2022-09-29,2.33644
2022-09-30,5.60747
2022-10-01,4.67289
2022-10-02,3.27102
2022-10-04,7.00934
2022-10-05,5.60747
2022-10-06,9.81308
2022-10-07,6.54205
2022-10-08,4.67289
2022-10-09,7.47663
2022-10-10,14.01869
2022-10-11,10.28037
2022-10-12,5.60747
2022-10-13,3.73831
2022-10-14,6.07476
2022-10-15,4.67289
2022-10-16,4.2056
2022-10-17,4.2056
2022-10-18,4.2056
2022-10-19,2.80373
2022-10-20,7.94392
2022-10-21,7.00934
2022-10-22,3.27102
2022-10-23,2.33644
2022-10-24,4.2056
2022-10-25,8.41121
2022-10-27,5.14018
2022-10-28,5.14018
2022-10-29,7.47663
2022-10-31,2.80373
2022-11-01,4.67289
2022-11-02,8.41121
2022-11-03,7.00934
2022-11-04,7.94392
2022-11-05,4.67289
2022-11-06,6.54205
2022-11-07,8.8785
2022-11-08,7.94392
2022-11-09,10.74766
2022-11-10,12.61682
2022-11-11,7.47663
2022-11-12,4.2056
2022-11-13,4.67289
2022-11-14,7.94392
2022-11-15,13.5514
2022-11-16,7.94392
2022-11-17,10.28037
2022-11-18,7.94392
2022-11-19,3.73831
2022-11-20,7.00934
2022-11-21,4.2056
2022-11-22,6.07476
2022-11-23,9.81308
2022-11-24,6.07476
2022-11-25,11.68224
2022-11-26,6.07476
2022-11-27,6.54205
2022-11-28,4.67289
2022-11-29,3.73831
2022-11-30,8.41121
2022-12-01,3.27102
2022-12-02,4.67289
2022-12-03,3.27102
2022-12-04,3.73831
2022-12-05,4.67289
2022-12-06,7.00934
2022-12-07,6.07476
