date,퇴직금IRP
2023-01-13,33.22884
2023-01-14,11.28526
2023-01-15,10.6583
2023-01-16,33.54231
2023-01-17,28.99686
2023-01-18,30.87774
2023-01-19,26.17554
2023-01-20,22.88401
2023-01-21,8.62068
2023-01-22,6.58307
2023-01-23,7.36677
2023-01-24,12.06896
2023-01-25,36.83385
2023-01-26,33.85579
2023-01-27,27.11598
2023-01-28,10.6583
2023-01-29,8.62068
2023-01-30,36.20689
2023-01-31,41.53605
2023-02-01,33.69905
2023-02-02,31.5047
2023-02-03,25.70532
2023-02-04,9.24764
2023-02-05,9.0909
2023-02-06,32.44514
2023-02-07,35.89341
2023-02-08,30.56426
2023-02-09,34.79623
2023-02-10,34.32601
2023-02-11,11.12852
2023-02-12,9.40438
2023-02-13,35.89341
2023-02-14,35.57993
2023-02-15,39.02821
2023-02-16,36.52037
2023-02-17,31.19122
2023-02-18,8.62068
2023-02-19,10.50156
2023-02-20,36.36363
2023-02-21,31.97492
2023-02-22,33.85579
2023-02-23,28.99686
2023-02-24,24.13793
2023-02-25,9.40438
2023-02-26,10.03134
2023-02-27,36.52037
2023-02-28,38.24451
2023-03-01,13.94984
2023-03-02,33.0721
2023-03-03,30.25078
2023-03-04,7.68025
2023-03-05,10.81504
2023-03-06,31.34796
2023-03-07,32.91536
2023-03-08,31.66144
2023-03-09,28.21316
2023-03-10,31.97492
2023-03-11,10.97178
2023-03-12,7.83699
2023-03-13,30.56426
2023-03-14,37.61755
2023-03-15,37.30407
2023-03-16,33.69905
2023-03-17,31.19122
2023-03-18,9.24764
2023-03-19,7.99373
2023-03-20,33.85579
2023-03-21,30.40752
2023-03-22,27.42946
2023-03-23,26.95924
2023-03-24,26.64576
2023-03-25,11.12852
2023-03-26,5.95611
2023-03-27,30.56426
2023-03-28,31.19122
2023-03-29,31.03448
2023-03-30,27.11598
2023-03-31,29.9373
2023-04-01,6.58307
2023-04-02,9.40438
2023-04-03,30.09404
2023-04-04,29.9373
2023-04-05,31.03448
2023-04-06,25.70532
2023-04-07,27.74294
2023-04-08,8.93416
2023-04-09,8.30721
2023-04-10,39.96865
2023-04-11,34.32601
2023-04-12,34.63949
2023-04-13,36.36363
2023-04-14,34.01253
2023-04-15,9.71786
2023-04-16,7.83699
2023-04-17,27.11598
2023-04-18,28.21316
2023-04-19,24.76489
2023-04-20,23.04075
2023-04-21,21.15987
2023-04-22,7.99373
2023-04-23,7.52351
2023-04-24,28.99686
2023-04-25,29.9373
2023-04-26,26.8025
2023-04-27,28.84012
2023-04-28,26.0188
2023-04-29,7.21003
2023-04-30,6.73981
2023-05-01,11.28526
2023-05-02,29.1536
2023-05-03,27.27272
2023-05-04,24.29467
2023-05-05,8.46394
2023-05-06,7.21003
2023-05-07,6.58307
2023-05-08,28.84012
2023-05-09,29.62382
2023-05-10,34.63949
2023-05-11,29.1536
2023-05-12,28.21316
2023-05-13,8.62068
2023-05-14,6.89655
