date,인테리어어플
2021-11-28,11.55963
2021-11-29,10.6422
2021-11-30,10.55045
2021-12-01,9.08256
2021-12-02,10.27522
2021-12-03,11.83486
2021-12-04,10.82568
2021-12-05,11.2844
2021-12-06,11.46788
2021-12-07,10.0
2021-12-08,10.27522
2021-12-09,10.45871
2021-12-10,9.90825
2021-12-11,8.53211
2021-12-12,10.18348
2021-12-13,9.54128
2021-12-14,11.19266
2021-12-15,10.18348
2021-12-16,9.26605
2021-12-17,8.80733
2021-12-18,8.07339
2021-12-19,9.26605
2021-12-20,10.18348
2021-12-21,11.10091
2021-12-22,11.00917
2021-12-23,10.73394
2021-12-24,8.34862
2021-12-25,8.53211
2021-12-26,11.46788
2021-12-27,10.91743
2021-12-28,11.83486
2021-12-29,11.2844
2021-12-30,9.35779
2021-12-31,8.62385
2022-01-01,8.99082
2022-01-02,12.20183
2022-01-03,9.54128
2022-01-04,13.02752
2022-01-05,8.07339
2022-01-06,11.55963
2022-01-07,10.45871
2022-01-08,10.73394
2022-01-09,14.12844
2022-01-10,10.91743
2022-01-11,14.58715
2022-01-12,12.11009
2022-01-13,11.74311
2022-01-14,11.9266
2022-01-15,10.82568
2022-01-16,16.6055
2022-01-17,12.5688
2022-01-18,12.84403
2022-01-19,11.00917
2022-01-20,9.72477
2022-01-21,10.45871
2022-01-22,10.6422
2022-01-23,16.51376
2022-01-24,13.85321
2022-01-25,12.84403
2022-01-26,12.93577
2022-01-27,8.07339
2022-01-28,9.72477
2022-01-29,14.22018
2022-01-30,11.83486
2022-01-31,11.19266
2022-02-01,14.49541
2022-02-02,11.83486
2022-02-03,13.39449
2022-02-04,9.90825
2022-02-05,100.0
2022-02-06,50.18348
2022-02-07,22.47706
2022-02-08,19.81651
2022-02-09,15.68807
2022-02-10,11.83486
2022-02-11,10.36697
2022-02-12,13.211
2022-02-13,15.59633
2022-02-14,12.01834
2022-02-15,12.93577
2022-02-16,12.11009
2022-02-17,12.38532
2022-02-18,9.08256
2022-02-19,9.72477
2022-02-20,12.47706
2022-02-21,14.40366
2022-02-22,12.11009
2022-02-23,10.91743
2022-02-24,11.74311
2022-02-25,7.43119
2022-02-26,9.90825
2022-02-27,14.03669
2022-02-28,9.90825
2022-03-01,13.39449
2022-03-02,11.10091
2022-03-03,7.98165
2022-03-04,10.18348
2022-03-05,10.82568
2022-03-06,10.73394
2022-03-07,11.46788
2022-03-08,9.26605
2022-03-09,9.54128
2022-03-10,8.53211
2022-03-11,9.44954
2022-03-12,9.90825
2022-03-13,12.66055
2022-03-14,11.74311
2022-03-15,10.45871
2022-03-16,8.80733
2022-03-17,8.99082
2022-03-18,8.80733
2022-03-19,9.81651
2022-03-20,9.72477
2022-03-21,9.35779
2022-03-22,8.16513
2022-03-23,9.90825
2022-03-24,9.63302
2022-03-25,8.80733
2022-03-26,11.37614
2022-03-27,10.27522
2022-03-28,10.27522
2022-03-29,10.27522
2022-03-30,8.53211
2022-03-31,13.39449
2022-04-01,10.09174
2022-04-02,7.8899
2022-04-03,9.26605
2022-04-04,8.99082
2022-04-05,9.44954
2022-04-06,10.82568
2022-04-07,9.35779
2022-04-08,8.89908
2022-04-09,7.79816
2022-04-10,10.55045
2022-04-11,7.98165
2022-04-12,7.79816
2022-04-13,8.44036
2022-04-14,8.25688
2022-04-15,6.33027
2022-04-16,6.51376
2022-04-17,7.8899
2022-04-18,8.89908
2022-04-19,8.53211
2022-04-20,6.97247
2022-04-21,8.80733
2022-04-22,6.78899
2022-04-23,7.33944
2022-04-24,9.54128
2022-04-25,9.90825
2022-04-26,8.07339
2022-04-27,7.98165
2022-04-28,9.08256
2022-04-29,7.06422
2022-04-30,7.06422
2022-05-01,8.34862
2022-05-02,9.08256
2022-05-03,5.22935
2022-05-04,7.8899
2022-05-05,5.9633
2022-05-06,6.78899
2022-05-07,6.51376
2022-05-08,8.53211
2022-05-09,8.53211
2022-05-10,7.98165
2022-05-11,7.8899
2022-05-12,9.26605
2022-05-13,6.51376
2022-05-14,5.9633
2022-05-15,7.8899
2022-05-16,7.79816
2022-05-17,8.99082
2022-05-18,8.53211
2022-05-19,8.53211
2022-05-20,8.25688
2022-05-21,5.22935
2022-05-22,6.23853
2022-05-23,9.72477
2022-05-24,7.61467
2022-05-25,7.52293
2022-05-26,7.33944
2022-05-27,5.50458
2022-05-28,5.04587
2022-05-29,8.34862
2022-05-30,8.16513
2022-05-31,6.42201
2022-06-01,6.97247
2022-06-02,6.51376
2022-06-03,6.14678
2022-06-04,6.42201
2022-06-05,7.2477
2022-06-06,7.61467
2022-06-07,9.17431
2022-06-08,5.04587
2022-06-09,7.98165
2022-06-10,5.59633
2022-06-11,6.69724
2022-06-12,7.52293
2022-06-13,7.33944
2022-06-14,8.34862
2022-06-15,7.15596
2022-06-16,7.98165
2022-06-17,6.14678
2022-06-18,6.6055
2022-06-19,7.52293
2022-06-20,8.53211
2022-06-21,7.61467
2022-06-22,7.15596
2022-06-23,9.81651
2022-06-24,7.06422
2022-06-25,7.43119
2022-06-26,23.94495
2022-06-27,9.08256
2022-06-28,9.17431
2022-06-29,8.53211
2022-06-30,5.87155
2022-07-01,6.69724
2022-07-02,6.78899
2022-07-03,6.97247
2022-07-04,7.8899
2022-07-05,6.69724
2022-07-06,6.6055
2022-07-07,6.97247
2022-07-08,5.9633
2022-07-09,8.44036
2022-07-10,7.06422
2022-07-11,7.52293
2022-07-12,7.8899
2022-07-13,5.9633
2022-07-14,6.51376
2022-07-15,7.52293
2022-07-16,6.69724
2022-07-17,5.59633
2022-07-18,8.25688
2022-07-19,8.71559
2022-07-20,7.2477
2022-07-21,6.05504
2022-07-22,7.2477
2022-07-23,7.43119
2022-07-24,9.26605
2022-07-25,9.72477
2022-07-26,7.98165
2022-07-27,7.15596
2022-07-28,6.6055
2022-07-29,6.6055
2022-07-30,7.79816
2022-07-31,8.44036
2022-08-01,8.53211
2022-08-02,8.34862
2022-08-03,7.8899
2022-08-04,8.16513
2022-08-05,7.33944
2022-08-06,6.78899
2022-08-07,10.27522
2022-08-08,8.53211
2022-08-09,7.98165
2022-08-10,7.70642
2022-08-11,6.97247
2022-08-12,6.69724
2022-08-13,6.05504
2022-08-14,7.33944
2022-08-15,9.63302
2022-08-16,8.34862
2022-08-17,8.89908
2022-08-18,7.33944
2022-08-19,6.78899
2022-08-20,7.43119
2022-08-21,7.15596
2022-08-22,10.36697
2022-08-23,6.88073
2022-08-24,7.8899
2022-08-25,6.78899
2022-08-26,6.88073
2022-08-27,5.77981
2022-08-28,8.16513
2022-08-29,6.88073
2022-08-30,7.06422
2022-08-31,7.79816
2022-09-01,7.43119
2022-09-02,6.05504
2022-09-03,5.50458
2022-09-04,6.88073
2022-09-05,8.44036
2022-09-06,8.80733
2022-09-07,6.42201
2022-09-08,4.12844
2022-09-09,5.77981
2022-09-10,3.57798
2022-09-11,5.68807
2022-09-12,6.97247
2022-09-13,7.70642
2022-09-14,7.2477
2022-09-15,8.44036
2022-09-16,6.51376
2022-09-17,6.88073
2022-09-18,8.25688
2022-09-19,8.99082
2022-09-20,7.43119
2022-09-21,7.79816
2022-09-22,6.51376
2022-09-23,4.95412
2022-09-24,5.87155
2022-09-25,6.6055
2022-09-26,8.71559
2022-09-27,7.8899
2022-09-28,6.6055
2022-09-29,6.42201
2022-09-30,6.78899
2022-10-01,6.14678
2022-10-02,6.78899
2022-10-03,8.80733
2022-10-04,9.44954
2022-10-05,6.78899
2022-10-06,8.16513
2022-10-07,7.06422
2022-10-08,5.77981
2022-10-09,6.33027
2022-10-10,9.26605
2022-10-11,8.07339
2022-10-12,7.15596
2022-10-13,10.09174
2022-10-14,6.88073
2022-10-15,6.05504
2022-10-16,8.16513
2022-10-17,9.26605
2022-10-18,7.8899
2022-10-19,7.2477
2022-10-20,6.05504
2022-10-21,6.78899
2022-10-22,5.41284
2022-10-23,6.42201
2022-10-24,8.80733
2022-10-25,5.87155
2022-10-26,8.25688
2022-10-27,5.3211
2022-10-28,5.9633
2022-10-29,5.04587
2022-10-30,8.25688
2022-10-31,7.33944
2022-11-01,7.98165
2022-11-02,7.15596
2022-11-03,5.68807
2022-11-04,6.78899
2022-11-05,6.69724
2022-11-06,6.23853
2022-11-07,6.6055
2022-11-08,6.23853
2022-11-09,7.98165
2022-11-10,6.69724
2022-11-11,5.87155
2022-11-12,7.2477
2022-11-13,6.6055
2022-11-14,7.61467
2022-11-15,8.16513
2022-11-16,8.53211
2022-11-17,6.69724
2022-11-18,5.41284
2022-11-19,5.9633
2022-11-20,8.34862
2022-11-21,8.44036
2022-11-22,8.53211
2022-11-23,7.06422
2022-11-24,5.3211
2022-11-25,5.68807
2022-11-26,6.33027
2022-11-27,7.15596
2022-11-28,8.80733
2022-11-29,6.97247
2022-11-30,6.42201
2022-12-01,7.8899
2022-12-02,5.22935
2022-12-03,5.22935
2022-12-04,8.44036
2022-12-05,6.6055
2022-12-06,6.33027
2022-12-07,6.69724
2022-12-08,8.16513
2022-12-09,6.69724
2022-12-10,7.61467
2022-12-11,8.34862
2022-12-12,7.70642
2022-12-13,8.71559
2022-12-14,7.06422
2022-12-15,8.53211
2022-12-16,5.9633
2022-12-17,7.06422
2022-12-18,8.71559
2022-12-19,7.70642
2022-12-20,7.70642
2022-12-21,6.88073
2022-12-22,5.04587
2022-12-23,6.33027
2022-12-24,5.9633
2022-12-25,5.9633
2022-12-26,7.33944
2022-12-27,5.59633
2022-12-28,5.77981
2022-12-29,6.05504
2022-12-30,6.33027
2022-12-31,6.23853
2023-01-01,8.34862
2023-01-02,7.70642
2023-01-03,7.15596
2023-01-04,8.16513
2023-01-05,7.70642
2023-01-06,7.43119
2023-01-07,8.07339
2023-01-08,10.09174
2023-01-09,11.46788
2023-01-10,9.35779
2023-01-11,8.16513
2023-01-12,7.15596
2023-01-13,9.54128
2023-01-14,8.62385
2023-01-15,10.0
2023-01-16,9.90825
2023-01-17,9.08256
2023-01-18,8.71559
2023-01-19,8.34862
2023-01-20,7.52293
2023-01-21,5.9633
2023-01-22,6.78899
2023-01-23,9.81651
2023-01-24,11.46788
2023-01-25,10.18348
2023-01-26,9.72477
2023-01-27,8.16513
2023-01-28,7.43119
2023-01-29,12.47706
2023-01-30,11.2844
2023-01-31,9.44954
2023-02-01,7.52293
2023-02-02,8.16513
2023-02-03,8.53211
2023-02-04,10.82568
2023-02-05,9.81651
2023-02-06,10.82568
2023-02-07,9.81651
2023-02-08,9.44954
2023-02-09,10.45871
2023-02-10,8.53211
2023-02-11,8.53211
2023-02-12,12.11009
2023-02-13,11.46788
2023-02-14,13.94495
2023-02-15,8.80733
2023-02-16,8.80733
2023-02-17,7.79816
2023-02-18,10.18348
2023-02-19,10.91743
2023-02-20,10.55045
2023-02-21,10.45871
2023-02-22,9.63302
2023-02-23,9.54128
2023-02-24,8.89908
2023-02-25,8.89908
2023-02-26,12.47706
2023-02-27,8.89908
2023-02-28,7.61467
2023-03-01,9.81651
2023-03-02,12.93577
2023-03-03,19.35779
2023-03-04,45.87155
2023-03-05,38.44036
2023-03-06,30.18348
2023-03-07,25.9633
2023-03-08,20.0
2023-03-09,15.9633
2023-03-10,11.2844
2023-03-11,12.29357
2023-03-12,14.31192
2023-03-13,15.3211
2023-03-14,13.39449
2023-03-15,10.91743
2023-03-16,11.55963
2023-03-17,11.19266
2023-03-18,11.46788
2023-03-19,13.02752
2023-03-20,11.00917
2023-03-21,8.89908
2023-03-22,9.35779
2023-03-23,8.62385
2023-03-24,10.0
2023-03-25,10.09174
2023-03-26,12.84403
2023-03-27,11.37614
2023-03-28,10.82568
2023-03-29,8.62385
2023-03-30,9.81651
2023-03-31,5.59633
2023-04-01,8.89908
2023-04-02,8.25688
2023-04-03,8.62385
2023-04-04,10.18348
2023-04-05,9.35779
2023-04-06,8.16513
2023-04-07,7.33944
2023-04-08,8.44036
2023-04-09,9.81651
2023-04-10,9.17431
2023-04-11,7.43119
2023-04-12,9.63302
2023-04-13,7.70642
2023-04-14,7.43119
2023-04-15,8.07339
2023-04-16,9.72477
2023-04-17,9.90825
2023-04-18,8.89908
2023-04-19,9.35779
2023-04-20,7.70642
2023-04-21,7.61467
2023-04-22,7.52293
2023-04-23,8.16513
2023-04-24,9.44954
2023-04-25,7.52293
2023-04-26,7.98165
2023-04-27,7.43119
2023-04-28,6.23853
2023-04-29,7.43119
2023-04-30,6.97247
2023-05-01,7.61467
2023-05-02,8.07339
2023-05-03,6.69724
2023-05-04,5.77981
2023-05-05,5.3211
2023-05-06,7.15596
2023-05-07,6.88073
2023-05-08,10.6422
2023-05-09,6.78899
2023-05-10,8.16513
2023-05-11,9.17431
2023-05-12,8.99082
2023-05-13,6.23853
2023-05-14,7.2477
2023-05-15,8.62385
2023-05-16,7.8899
2023-05-17,7.8899
2023-05-18,6.97247
2023-05-19,7.43119
2023-05-20,6.14678
2023-05-21,9.35779
2023-05-22,6.97247
2023-05-23,8.80733
2023-05-24,6.69724
2023-05-25,7.2477
2023-05-26,6.88073
2023-05-27,7.52293
2023-05-28,7.8899
