date,유럽증시
2022-02-07,20.69695
2022-02-08,30.82967
2022-02-09,28.33911
2022-02-10,28.70746
2022-02-11,28.58335
2022-02-12,12.84102
2022-02-13,2.34436
2022-02-14,38.31945
2022-02-15,52.04425
2022-02-16,45.07651
2022-02-17,48.91946
2022-02-18,41.63593
2022-02-19,16.83678
2022-02-20,2.64602
2022-02-21,40.77115
2022-02-22,78.27794
2022-02-23,58.14146
2022-02-24,100.0
2022-02-25,73.82682
2022-02-26,23.39376
2022-02-27,4.0916
2022-02-28,36.67027
2022-03-01,53.52074
2022-03-02,56.73078
2022-03-03,47.46726
2022-03-04,48.77106
2022-03-05,21.96276
2022-03-06,3.73826
2022-03-07,49.50378
2022-03-08,59.31674
2022-03-09,51.73155
2022-03-10,59.34279
2022-03-11,50.67685
2022-03-12,22.53251
2022-03-13,3.9485
2022-03-14,40.54634
2022-03-15,59.30614
2022-03-16,55.5449
2022-03-17,56.27365
2022-03-18,43.77315
2022-03-19,16.6844
2022-03-20,2.72155
2022-03-21,29.78822
2022-03-22,40.78307
2022-03-23,41.41554
2022-03-24,43.12479
2022-03-25,34.68321
2022-03-26,13.54503
2022-03-27,2.29843
2022-03-28,25.93909
2022-03-29,41.12227
2022-03-30,40.25175
2022-03-31,38.38482
2022-04-01,33.56447
2022-04-02,12.70763
2022-04-03,2.12176
2022-04-04,22.90572
2022-04-05,33.23101
2022-04-06,40.69518
2022-04-07,44.34026
2022-04-08,35.77589
2022-04-09,12.80303
2022-04-10,2.08157
2022-04-11,26.72349
2022-04-12,41.7459
2022-04-13,40.39087
2022-04-14,34.45752
2022-04-15,27.51805
2022-04-16,9.91718
2022-04-17,2.32935
2022-04-18,19.83481
2022-04-19,31.77837
2022-04-20,31.17858
2022-04-21,29.94501
2022-04-22,28.83952
2022-04-23,13.15195
2022-04-24,2.11028
2022-04-25,31.45551
2022-04-26,39.07956
2022-04-27,46.53976
2022-04-28,39.00006
2022-04-29,31.183
2022-04-30,15.07188
2022-05-01,2.4486
2022-05-02,25.96338
2022-05-03,34.84398
2022-05-04,29.70121
2022-05-05,32.43689
2022-05-06,40.21995
2022-05-07,14.04456
2022-05-08,2.32051
2022-05-09,33.51412
2022-05-10,45.39981
2022-05-11,47.24642
2022-05-12,50.47766
2022-05-13,36.56383
2022-05-14,12.09372
2022-05-15,2.08952
2022-05-16,26.23412
2022-05-17,34.21548
2022-05-18,34.1404
2022-05-19,43.11905
2022-05-20,31.05845
2022-05-21,13.90676
2022-05-22,1.99589
2022-05-23,22.81871
2022-05-24,34.85148
2022-05-25,35.04979
2022-05-26,31.65249
2022-05-27,25.83044
2022-05-28,9.30724
2022-05-29,1.49415
2022-05-30,20.85374
2022-05-31,30.44762
2022-06-01,28.09796
2022-06-02,31.38661
2022-06-03,24.46171
2022-06-04,9.82046
2022-06-05,1.91418
2022-06-06,18.20815
2022-06-07,30.27582
2022-06-08,31.48731
2022-06-09,31.40737
2022-06-10,32.33045
2022-06-11,13.17138
2022-06-12,2.11381
2022-06-13,38.42766
2022-06-14,52.86089
2022-06-15,51.49879
2022-06-16,52.87988
2022-06-17,41.45485
2022-06-18,13.79502
2022-06-19,2.33067
2022-06-20,32.20723
2022-06-21,42.81783
2022-06-22,42.87878
2022-06-23,44.18656
2022-06-24,31.61186
2022-06-25,11.27972
2022-06-26,1.88945
2022-06-27,26.65945
2022-06-28,36.55411
2022-06-29,39.46337
2022-06-30,40.56356
2022-07-01,36.8275
2022-07-02,12.40156
2022-07-03,1.9504
2022-07-04,25.15601
2022-07-05,46.35867
2022-07-06,45.44531
2022-07-07,38.19623
2022-07-08,32.4603
2022-07-09,11.71256
2022-07-10,2.04491
2022-07-11,25.22226
2022-07-12,38.21169
2022-07-13,42.3289
2022-07-14,40.11439
2022-07-15,32.03012
2022-07-16,11.29297
2022-07-17,1.75739
2022-07-18,23.3178
2022-07-19,36.50111
2022-07-20,37.77399
2022-07-21,37.43921
2022-07-22,30.20824
2022-07-23,10.69628
2022-07-24,1.74458
2022-07-25,21.79316
2022-07-26,31.54958
2022-07-27,31.60877
2022-07-28,32.05706
2022-07-29,26.18024
2022-07-30,9.26131
2022-07-31,1.56261
2022-08-01,20.20405
2022-08-02,31.68915
2022-08-03,29.7467
2022-08-04,28.63237
2022-08-05,26.36618
2022-08-06,9.72064
2022-08-07,1.57763
2022-08-08,18.86049
2022-08-09,29.44637
2022-08-10,32.60782
2022-08-11,30.86235
2022-08-12,24.86893
2022-08-13,8.46719
2022-08-14,1.39213
2022-08-15,18.36097
2022-08-16,28.12534
2022-08-17,30.53242
2022-08-18,30.88399
2022-08-19,27.02868
2022-08-20,9.34611
2022-08-21,1.50829
2022-08-22,24.09071
2022-08-23,34.98708
2022-08-24,32.87988
2022-08-25,30.29437
2022-08-26,27.08786
2022-08-27,12.85913
2022-08-28,1.7384
2022-08-29,28.07146
2022-08-30,35.45657
2022-08-31,36.53335
2022-09-01,37.27491
2022-09-02,31.81237
2022-09-03,14.12229
2022-09-04,2.05242
2022-09-05,26.28271
2022-09-06,36.60004
2022-09-07,36.72283
2022-09-08,27.54366
2022-09-09,20.45977
2022-09-10,8.74323
2022-09-11,2.2282
2022-09-12,19.89753
2022-09-13,42.46538
2022-09-14,48.10635
2022-09-15,39.43996
2022-09-16,34.6969
2022-09-17,11.3155
2022-09-18,1.80685
2022-09-19,27.02426
2022-09-20,38.07168
2022-09-21,41.32765
2022-09-22,43.2966
2022-09-23,39.63694
2022-09-24,13.15902
2022-09-25,1.749
2022-09-26,39.91254
2022-09-27,47.99196
2022-09-28,55.17611
2022-09-29,50.54877
2022-09-30,40.28708
2022-10-01,14.51405
2022-10-02,2.13987
2022-10-03,33.27959
2022-10-04,41.94995
2022-10-05,43.91802
2022-10-06,42.7635
2022-10-07,35.30508
2022-10-08,12.58618
2022-10-09,2.07627
2022-10-10,35.27504
2022-10-11,48.34617
2022-10-12,44.58936
2022-10-13,54.92171
2022-10-14,44.30801
2022-10-15,16.67115
2022-10-16,2.43888
2022-10-17,31.03813
2022-10-18,43.07046
2022-10-19,43.1005
2022-10-20,39.37062
2022-10-21,34.99679
2022-10-22,11.65602
2022-10-23,1.69688
2022-10-24,28.45968
2022-10-25,36.52231
2022-10-26,35.79753
2022-10-27,36.45518
2022-10-28,31.25455
2022-10-29,10.5841
2022-10-30,1.51535
2022-10-31,24.92061
2022-11-01,34.75167
2022-11-02,35.89205
2022-11-03,37.64679
2022-11-04,31.30048
2022-11-05,11.53589
2022-11-06,1.6536
2022-11-07,26.37413
2022-11-08,35.09749
2022-11-09,36.3876
2022-11-10,41.5423
2022-11-11,39.87412
2022-11-12,13.50131
2022-11-13,1.9314
2022-11-14,25.60784
2022-11-15,36.86549
2022-11-16,35.74012
2022-11-17,35.54181
2022-11-18,29.94589
2022-11-19,11.26559
2022-11-20,1.59441
2022-11-21,21.27376
2022-11-22,31.72625
2022-11-23,28.93889
2022-11-24,28.65048
2022-11-25,25.5968
2022-11-26,8.85807
2022-11-27,1.65669
2022-11-28,18.75317
2022-11-29,28.65269
2022-11-30,27.60947
2022-12-01,28.80153
2022-12-02,25.45281
2022-12-03,10.75237
2022-12-04,1.5741
2022-12-05,16.85754
2022-12-06,28.74279
2022-12-07,29.53072
2022-12-08,29.22112
2022-12-09,24.47629
2022-12-10,10.34692
2022-12-11,1.51668
2022-12-12,18.51158
2022-12-13,30.91402
2022-12-14,31.45197
2022-12-15,31.81282
2022-12-16,29.01088
2022-12-17,11.23202
2022-12-18,1.4332
2022-12-19,18.89053
2022-12-20,32.49033
2022-12-21,30.73073
2022-12-22,30.00861
2022-12-23,30.51299
2022-12-24,11.18874
2022-12-25,1.47075
2022-12-26,14.95793
2022-12-27,24.76205
2022-12-28,28.86513
2022-12-29,25.64759
2022-12-30,18.56988
2022-12-31,7.67661
2023-01-01,1.6399
2023-01-02,20.43857
2023-01-03,34.67835
2023-01-04,34.40363
2023-01-05,32.99913
2023-01-06,28.59042
2023-01-07,10.77799
2023-01-08,1.5847
2023-01-09,20.39882
2023-01-10,31.69533
2023-01-11,31.01782
2023-01-12,32.43115
2023-01-13,28.97555
2023-01-14,11.29827
2023-01-15,1.59706
2023-01-16,18.6613
2023-01-17,30.53463
2023-01-18,28.71585
2023-01-19,30.37828
2023-01-20,24.00591
2023-01-21,9.27456
2023-01-22,1.68672
2023-01-23,11.77174
2023-01-24,26.41476
2023-01-25,31.01605
2023-01-26,31.6706
2023-01-27,26.50045
2023-01-28,10.5099
2023-01-29,1.696
2023-01-30,19.28714
2023-01-31,29.63849
2023-02-01,29.55678
2023-02-02,30.90784
2023-02-03,27.48492
2023-02-04,11.01472
2023-02-05,1.69158
2023-02-06,19.82995
2023-02-07,28.83068
2023-02-08,28.2362
2023-02-09,29.05593
2023-02-10,25.83795
2023-02-11,9.74228
2023-02-12,1.51668
2023-02-13,18.15471
2023-02-14,30.12123
2023-02-15,31.87686
2023-02-16,30.60707
2023-02-17,27.685
2023-02-18,10.49842
2023-02-19,1.4893
2023-02-20,17.53196
2023-02-21,30.59867
2023-02-22,32.80215
2023-02-23,30.20736
2023-02-24,25.47931
2023-02-25,10.30806
2023-02-26,1.4968
2023-02-27,18.87065
2023-02-28,25.22182
2023-03-01,25.35211
2023-03-02,29.27058
2023-03-03,23.80893
2023-03-04,9.02678
2023-03-05,1.40361
2023-03-06,17.2356
2023-03-07,26.80211
2023-03-08,29.58593
2023-03-09,28.19159
2023-03-10,27.78261
2023-03-11,11.62555
2023-03-12,1.88415
2023-03-13,31.0611
2023-03-14,47.29191
2023-03-15,55.88852
2023-03-16,53.94077
2023-03-17,39.01464
2023-03-18,14.77243
2023-03-19,2.17741
2023-03-20,31.35834
2023-03-21,37.24399
2023-03-22,36.14513
2023-03-23,38.41309
2023-03-24,36.28514
2023-03-25,13.98493
2023-03-26,2.08466
2023-03-27,24.03639
2023-03-28,35.16374
2023-03-29,32.14009
2023-03-30,29.72727
2023-03-31,25.61005
2023-04-01,9.14382
2023-04-02,1.4173
2023-04-03,20.09407
2023-04-04,29.75553
2023-04-05,30.6583
2023-04-06,32.18382
2023-04-07,22.57226
2023-04-08,7.36921
2023-04-09,1.64432
2023-04-10,16.17295
2023-04-11,24.74791
2023-04-12,27.71989
2023-04-13,27.11613
2023-04-14,21.63946
2023-04-15,8.74367
2023-04-16,1.50387
2023-04-17,17.12695
2023-04-18,25.54556
2023-04-19,26.43552
2023-04-20,27.15058
2023-04-21,23.86767
2023-04-22,8.65578
2023-04-23,1.35547
2023-04-24,17.54344
2023-04-25,26.96111
2023-04-26,28.60013
2023-04-27,27.56442
2023-04-28,19.37592
2023-04-29,7.09979
2023-04-30,1.10019
2023-05-01,10.92065
2023-05-02,21.5794
2023-05-03,25.51288
2023-05-04,21.86825
2023-05-05,17.40829
2023-05-06,7.65187
2023-05-07,1.37402
2023-05-08,15.39694
2023-05-09,23.44941
2023-05-10,25.94571
2023-05-11,24.134
2023-05-12,19.81096
2023-05-13,7.75964
2023-05-14,1.28304
2023-05-15,15.01402
2023-05-16,21.95658
2023-05-17,21.89695
2023-05-18,21.51889
2023-05-19,18.61272
2023-05-20,7.52688
2023-05-21,1.26581
2023-05-22,14.92789
2023-05-23,21.60413
2023-05-24,25.59945
2023-05-25,25.46562
2023-05-26,19.06587
2023-05-27,7.06136
2023-05-28,1.15142
