date,한국조선해양주가
2021-12-19,4.01308
2021-12-20,34.96489
2021-12-21,33.73623
2021-12-22,32.79479
2021-12-23,33.35327
2021-12-24,30.38136
2021-12-25,3.82559
2021-12-26,3.16738
2021-12-27,29.84681
2021-12-28,32.18046
2021-12-29,38.0485
2021-12-30,30.25769
2021-12-31,9.43832
2022-01-01,2.18605
2022-01-02,2.19403
2022-01-03,33.11791
2022-01-04,47.4629
2022-01-05,52.44933
2022-01-06,59.85319
2022-01-07,48.93888
2022-01-08,5.10212
2022-01-09,4.4838
2022-01-10,49.99601
2022-01-11,45.5481
2022-01-12,48.4921
2022-01-13,39.12557
2022-01-14,42.0217
2022-01-15,4.71118
2022-01-16,3.21126
2022-01-17,34.21892
2022-01-18,33.22562
2022-01-19,34.85319
2022-01-20,37.19084
2022-01-21,32.55943
2022-01-22,3.87745
2022-01-23,3.05967
2022-01-24,33.91973
2022-01-25,32.45173
2022-01-26,33.81602
2022-01-27,33.8958
2022-01-28,36.96744
2022-01-29,4.11281
2022-01-30,2.85623
2022-01-31,2.28179
2022-02-01,2.48524
2022-02-02,3.1235
2022-02-03,38.65884
2022-02-04,34.34657
2022-02-05,4.9625
2022-02-06,3.45061
2022-02-07,32.79479
2022-02-08,35.11249
2022-02-09,35.98212
2022-02-10,32.1685
2022-02-11,27.1661
2022-02-12,3.39077
2022-02-13,2.42141
2022-02-14,26.46002
2022-02-15,26.37625
2022-02-16,30.26567
2022-02-17,29.95851
2022-02-18,29.41199
2022-02-19,3.76974
2022-02-20,3.31897
2022-02-21,28.90138
2022-02-22,28.19131
2022-02-23,49.65693
2022-02-24,42.18525
2022-02-25,41.43529
2022-02-26,4.62342
2022-02-27,3.41471
2022-02-28,35.28402
2022-03-01,6.66586
2022-03-02,48.57587
2022-03-03,42.64799
2022-03-04,45.32072
2022-03-05,4.75506
2022-03-06,3.78969
2022-03-07,36.44088
2022-03-08,31.37067
2022-03-09,3.73384
2022-03-10,33.62055
2022-03-11,34.23089
2022-03-12,4.89867
2022-03-13,3.39476
2022-03-14,33.26551
2022-03-15,30.00239
2022-03-16,30.65262
2022-03-17,31.76559
2022-03-18,29.48779
2022-03-19,2.77644
2022-03-20,2.25386
2022-03-21,27.84426
2022-03-22,31.58209
2022-03-23,31.59007
2022-03-24,29.45588
2022-03-25,27.48524
2022-03-26,3.00781
2022-03-27,1.77916
2022-03-28,28.43864
2022-03-29,27.09829
2022-03-30,26.69139
2022-03-31,27.24589
2022-04-01,26.14488
2022-04-02,2.97191
2022-04-03,2.61289
2022-04-04,27.87617
2022-04-05,27.93601
2022-04-06,24.47742
2022-04-07,25.27525
2022-04-08,25.53853
2022-04-09,2.48125
2022-04-10,1.57571
2022-04-11,27.7565
2022-04-12,29.92659
2022-04-13,47.4629
2022-04-14,46.71294
2022-04-15,56.16323
2022-04-16,7.61927
2022-04-17,5.64863
2022-04-18,43.16658
2022-04-19,51.47199
2022-04-20,42.50837
2022-04-21,39.42476
2022-04-22,37.52991
2022-04-23,3.674
2022-04-24,2.67671
2022-04-25,31.64592
2022-04-26,33.51284
2022-04-27,32.91048
2022-04-28,35.78666
2022-04-29,33.14185
2022-04-30,3.07563
2022-05-01,2.48125
2022-05-02,29.68725
2022-05-03,28.05169
2022-05-04,27.05042
2022-05-05,3.70193
2022-05-06,26.12892
2022-05-07,2.61289
2022-05-08,1.95867
2022-05-09,25.64624
2022-05-10,25.61831
2022-05-11,25.4388
2022-05-12,28.70591
2022-05-13,36.40896
2022-05-14,3.7099
2022-05-15,2.58496
2022-05-16,30.20982
2022-05-17,32.12063
2022-05-18,29.88271
2022-05-19,25.98133
2022-05-20,28.82559
2022-05-21,2.8283
2022-05-22,1.93473
2022-05-23,26.48795
2022-05-24,24.73272
2022-05-25,25.0718
2022-05-26,29.08089
2022-05-27,27.59294
2022-05-28,2.34561
2022-05-29,1.82304
2022-05-30,30.26567
2022-05-31,32.6831
2022-06-01,4.20456
2022-06-02,25.96537
2022-06-03,29.4838
2022-06-04,2.86819
2022-06-05,2.07834
2022-06-06,2.70464
2022-06-07,30.77229
2022-06-08,33.86787
2022-06-09,30.50901
2022-06-10,28.45061
2022-06-11,3.10754
2022-06-12,2.20998
2022-06-13,26.78314
2022-06-14,25.6223
2022-06-15,23.26471
2022-06-16,28.66203
2022-06-17,29.34418
2022-06-18,2.99585
2022-06-19,2.17807
2022-06-20,28.05568
2022-06-21,34.97686
2022-06-22,33.54874
2022-06-23,30.10212
2022-06-24,29.64735
2022-06-25,2.54906
2022-06-26,1.99457
2022-06-27,35.4037
2022-06-28,30.9558
2022-06-29,29.779
2022-06-30,39.31705
2022-07-01,30.8441
2022-07-02,3.05169
2022-07-03,2.11424
2022-07-04,29.86676
2022-07-05,31.05552
2022-07-06,34.63379
2022-07-07,34.96489
2022-07-08,31.94909
2022-07-09,2.69267
2022-07-10,2.74852
2022-07-11,28.79767
2022-07-12,25.01994
2022-07-13,27.05042
2022-07-14,26.7632
2022-07-15,26.14089
2022-07-16,2.40944
2022-07-17,2.16211
2022-07-18,33.52082
2022-07-19,27.58895
2022-07-20,28.16339
2022-07-21,27.71661
2022-07-22,24.87633
2022-07-23,2.52114
2022-07-24,1.96665
2022-07-25,25.2912
2022-07-26,23.42029
2022-07-27,21.95228
2022-07-28,25.29519
2022-07-29,26.75921
2022-07-30,2.81633
2022-07-31,1.9467
2022-08-01,30.5848
2022-08-02,31.70177
2022-08-03,35.30796
2022-08-04,30.12206
2022-08-05,29.36811
2022-08-06,2.93601
2022-08-07,1.91479
2022-08-08,31.18318
2022-08-09,34.0793
2022-08-10,41.72251
2022-08-11,41.99776
2022-08-12,38.35966
2022-08-13,3.52241
2022-08-14,3.27908
2022-08-15,3.95723
2022-08-16,32.92644
2022-08-17,30.02233
2022-08-18,28.53837
2022-08-19,29.3721
2022-08-20,2.77644
2022-08-21,2.0185
2022-08-22,26.58369
2022-08-23,36.92755
2022-08-24,50.73799
2022-08-25,48.80724
2022-08-26,42.83149
2022-08-27,3.95324
2022-08-28,3.32296
2022-08-29,34.17105
2022-08-30,34.67368
2022-08-31,34.37051
2022-09-01,28.90138
2022-09-02,28.53438
2022-09-03,2.76448
2022-09-04,2.1661
2022-09-05,29.93058
2022-09-06,27.72458
2022-09-07,28.10754
2022-09-08,24.58911
2022-09-09,3.04771
2022-09-10,1.73926
2022-09-11,1.77517
2022-09-12,3.29104
2022-09-13,32.86261
2022-09-14,27.24988
2022-09-15,25.73799
2022-09-16,22.59853
2022-09-17,2.58895
2022-09-18,1.87888
2022-09-19,23.78729
2022-09-20,24.26998
2022-09-21,25.53055
2022-09-22,25.13164
2022-09-23,22.56262
2022-09-24,2.20599
2022-09-25,1.7273
2022-09-26,24.80852
2022-09-27,23.95484
2022-09-28,23.62773
2022-09-29,24.90027
2022-09-30,21.44167
2022-10-01,2.18206
2022-10-02,1.98659
2022-10-03,2.52513
2022-10-04,26.60762
2022-10-05,24.34577
2022-10-06,30.01037
2022-10-07,26.44407
2022-10-08,2.60092
2022-10-09,2.00255
2022-10-10,3.04771
2022-10-11,21.44965
2022-10-12,30.22179
2022-10-13,30.30955
2022-10-14,33.39715
2022-10-15,4.39604
2022-10-16,2.85224
2022-10-17,29.59151
2022-10-18,30.50103
2022-10-19,28.33093
2022-10-20,24.42157
2022-10-21,22.48683
2022-10-22,2.6807
2022-10-23,1.84298
2022-10-24,24.25003
2022-10-25,24.64097
2022-10-26,23.22881
2022-10-27,27.71661
2022-10-28,28.94925
2022-10-29,3.09956
2022-10-30,1.93473
2022-10-31,24.19818
2022-11-01,27.45731
2022-11-02,26.75123
2022-11-03,23.88303
2022-11-04,27.35359
2022-11-05,2.95994
2022-11-06,1.99058
2022-11-07,27.26583
2022-11-08,28.12749
2022-11-09,28.18334
2022-11-10,23.79128
2022-11-11,32.21238
2022-11-12,3.20727
2022-11-13,2.36157
2022-11-14,27.85623
2022-11-15,25.4747
2022-11-16,29.94654
2022-11-17,25.16754
2022-11-18,25.21142
2022-11-19,2.17807
2022-11-20,1.62757
2022-11-21,21.57332
2022-11-22,22.84585
2022-11-23,23.40434
2022-11-24,21.77277
2022-11-25,19.81011
2022-11-26,2.27381
2022-11-27,1.7991
2022-11-28,20.6239
2022-11-29,21.07068
2022-11-30,22.43896
2022-12-01,22.21557
2022-12-02,19.17584
2022-12-03,1.93872
2022-12-04,1.57571
2022-12-05,19.65055
2022-12-06,20.55608
2022-12-07,18.22243
2022-12-08,18.58145
2022-12-09,18.98037
2022-12-10,2.05042
2022-12-11,1.54779
2022-12-12,19.17584
2022-12-13,20.42444
2022-12-14,20.5122
2022-12-15,20.08137
