date,채권투자
2021-07-20,6.1354
2021-07-21,6.69957
2021-07-22,6.62905
2021-07-23,4.30183
2021-07-24,4.37235
2021-07-25,5.21861
2021-07-26,4.37235
2021-07-27,4.79548
2021-07-28,5.28913
2021-07-29,5.71227
2021-07-30,5.35966
2021-07-31,3.244
2021-08-01,4.16078
2021-08-02,5.64174
2021-08-03,6.20592
2021-08-04,6.34696
2021-08-05,5.35966
2021-08-06,6.69957
2021-08-07,5.92383
2021-08-08,4.72496
2021-08-09,5.85331
2021-08-10,6.06488
2021-08-11,13.46967
2021-08-12,7.68688
2021-08-13,8.81523
2021-08-14,6.41748
2021-08-15,4.79548
2021-08-16,7.05218
2021-08-17,7.61636
2021-08-18,6.1354
2021-08-19,8.11001
2021-08-20,7.19322
2021-08-21,4.93653
2021-08-22,7.1227
2021-08-23,7.40479
2021-08-24,7.40479
2021-08-25,7.96897
2021-08-26,8.88575
2021-08-27,7.89844
2021-08-28,6.20592
2021-08-29,5.35966
2021-08-30,7.7574
2021-08-31,6.77009
2021-09-01,6.06488
2021-09-02,6.41748
2021-09-03,6.27644
2021-09-04,5.14809
2021-09-05,4.72496
2021-09-06,6.91114
2021-09-07,7.19322
2021-09-08,5.99435
2021-09-09,7.19322
2021-09-10,5.64174
2021-09-11,4.01974
2021-09-12,4.866
2021-09-13,6.48801
2021-09-14,7.1227
2021-09-15,5.92383
2021-09-16,6.48801
2021-09-17,4.93653
2021-09-18,4.866
2021-09-19,3.73765
2021-09-20,3.03244
2021-09-21,5.35966
2021-09-22,5.57122
2021-09-23,6.55853
2021-09-24,8.74471
2021-09-25,6.69957
2021-09-26,5.43018
2021-09-27,7.96897
2021-09-28,9.3794
2021-09-29,9.23836
2021-09-30,7.61636
2021-10-01,5.5007
2021-10-02,4.09026
2021-10-03,5.43018
2021-10-04,5.71227
2021-10-05,7.68688
2021-10-06,8.60366
2021-10-07,5.99435
2021-10-08,6.06488
2021-10-09,3.94922
2021-10-10,5.07757
2021-10-11,5.21861
2021-10-12,7.82792
2021-10-13,6.98166
2021-10-14,7.40479
2021-10-15,5.07757
2021-10-16,5.14809
2021-10-17,4.93653
2021-10-18,6.62905
2021-10-19,6.98166
2021-10-20,5.35966
2021-10-21,4.44287
2021-10-22,5.99435
2021-10-23,3.94922
2021-10-24,5.64174
2021-10-25,8.46262
2021-10-26,7.47531
2021-10-27,7.1227
2021-10-28,7.47531
2021-10-29,7.26375
2021-10-30,4.866
2021-10-31,6.06488
2021-11-01,7.33427
2021-11-02,7.54583
2021-11-03,8.32157
2021-11-04,7.33427
2021-11-05,6.41748
2021-11-06,4.93653
2021-11-07,4.23131
2021-11-08,6.06488
2021-11-09,6.48801
2021-11-10,7.19322
2021-11-11,6.48801
2021-11-12,5.99435
2021-11-13,4.79548
2021-11-14,4.93653
2021-11-15,6.91114
2021-11-16,5.92383
2021-11-17,5.64174
2021-11-18,4.72496
2021-11-19,4.79548
2021-11-20,2.46826
2021-11-21,4.16078
2021-11-22,5.14809
2021-11-23,4.93653
2021-11-24,5.78279
2021-11-25,7.1227
2021-11-26,5.57122
2021-11-27,5.35966
2021-11-28,4.30183
2021-11-29,6.27644
2021-11-30,6.27644
2021-12-01,5.43018
2021-12-02,5.5007
2021-12-03,5.14809
2021-12-04,4.01974
2021-12-05,5.00705
2021-12-06,5.85331
2021-12-07,5.64174
2021-12-08,7.82792
2021-12-09,6.84062
2021-12-10,5.28913
2021-12-11,3.38504
2021-12-12,4.866
2021-12-13,6.55853
2021-12-14,4.30183
2021-12-15,5.57122
2021-12-16,5.64174
2021-12-17,5.43018
2021-12-18,3.45557
2021-12-19,3.80818
2021-12-20,5.85331
2021-12-21,4.44287
2021-12-22,5.35966
2021-12-23,5.35966
2021-12-24,4.58392
2021-12-25,3.73765
2021-12-26,5.5007
2021-12-27,5.78279
2021-12-28,6.48801
2021-12-29,5.57122
2021-12-30,5.85331
2021-12-31,4.37235
2022-01-01,5.35966
2022-01-02,4.65444
2022-01-03,7.19322
2022-01-04,7.33427
2022-01-05,7.33427
2022-01-06,9.3794
2022-01-07,7.47531
2022-01-08,6.69957
2022-01-09,7.33427
2022-01-10,9.80253
2022-01-11,10.08462
2022-01-12,8.46262
2022-01-13,9.23836
2022-01-14,9.09732
2022-01-15,6.41748
2022-01-16,7.33427
2022-01-17,7.68688
2022-01-18,10.29619
2022-01-19,10.29619
2022-01-20,10.0141
2022-01-21,8.60366
2022-01-22,6.48801
2022-01-23,8.18053
2022-01-24,13.46967
2022-01-25,14.5275
2022-01-26,11.98871
2022-01-27,10.86036
2022-01-28,10.57827
2022-01-29,7.19322
2022-01-30,6.1354
2022-01-31,7.7574
2022-02-01,5.5007
2022-02-02,9.02679
2022-02-03,8.25105
2022-02-04,7.96897
2022-02-05,8.03949
2022-02-06,6.98166
2022-02-07,7.33427
2022-02-08,10.36671
2022-02-09,8.53314
2022-02-10,10.29619
2022-02-11,12.69393
2022-02-12,7.26375
2022-02-13,7.40479
2022-02-14,9.3794
2022-02-15,10.57827
2022-02-16,8.46262
2022-02-17,7.26375
2022-02-18,6.34696
2022-02-19,5.00705
2022-02-20,4.72496
2022-02-21,8.60366
2022-02-22,7.40479
2022-02-23,6.34696
2022-02-24,7.89844
