date,환율계산기
2021-11-01,56.34842
2021-11-02,55.63453
2021-11-03,54.1899
2021-11-04,55.83828
2021-11-05,52.74986
2021-11-06,34.1565
2021-11-07,32.32428
2021-11-08,57.05159
2021-11-09,82.62148
2021-11-10,59.81371
2021-11-11,63.16869
2021-11-12,56.05888
2021-11-13,34.69268
2021-11-14,30.97616
2021-11-15,53.84061
2021-11-16,54.23279
2021-11-17,55.32814
2021-11-18,54.54837
2021-11-19,52.97812
2021-11-20,36.42686
2021-11-21,35.13082
2021-11-22,60.6042
2021-11-23,59.37097
2021-11-24,60.43262
2021-11-25,65.03921
2021-11-26,64.0128
2021-11-27,41.74734
2021-11-28,39.17366
2021-11-29,61.95079
2021-11-30,62.48851
2021-12-01,61.44218
2021-12-02,58.58048
2021-12-03,53.24468
2021-12-04,38.09976
2021-12-05,32.76089
2021-12-06,56.0742
2021-12-07,56.16306
2021-12-08,54.8517
2021-12-09,54.12555
2021-12-10,51.78932
2021-12-11,33.58048
2021-12-12,32.56326
2021-12-13,51.83528
2021-12-14,51.85826
2021-12-15,51.55953
2021-12-16,51.83375
2021-12-17,47.53048
2021-12-18,28.92487
2021-12-19,28.2263
2021-12-20,51.24241
2021-12-21,52.43121
2021-12-22,50.62503
2021-12-23,49.26925
2021-12-24,44.52938
2021-12-25,28.62307
2021-12-26,31.37906
2021-12-27,49.18193
2021-12-28,48.45119
2021-12-29,45.71818
2021-12-30,45.35357
2021-12-31,37.05956
2022-01-01,28.21557
2022-01-02,29.61425
2022-01-03,47.16434
2022-01-04,55.58551
2022-01-05,56.57209
2022-01-06,60.78037
2022-01-07,55.95931
2022-01-08,38.48428
2022-01-09,34.62375
2022-01-10,57.94013
2022-01-11,53.65524
2022-01-12,53.46528
2022-01-13,54.39977
2022-01-14,51.93332
2022-01-15,34.0125
2022-01-16,33.09639
2022-01-17,51.97316
2022-01-18,52.75905
2022-01-19,50.04136
2022-01-20,48.44353
2022-01-21,51.17347
2022-01-22,36.78534
2022-01-23,33.34303
2022-01-24,55.14584
2022-01-25,58.03051
2022-01-26,54.86549
2022-01-27,56.11403
2022-01-28,53.31974
2022-01-29,34.67583
2022-01-30,30.36797
2022-01-31,29.77664
2022-02-01,34.46442
2022-02-02,37.19437
