date,천보주가
2022-06-30,24.01746
2022-07-01,21.7918
2022-07-02,2.72221
2022-07-03,2.09888
2022-07-04,19.82673
2022-07-05,20.98182
2022-07-06,20.17537
2022-07-07,19.01676
2022-07-08,17.71024
2022-07-09,1.85941
2022-07-10,1.35934
2022-07-11,19.09423
2022-07-12,15.99168
2022-07-13,19.5767
2022-07-14,19.90421
2022-07-15,17.60107
2022-07-16,2.09536
2022-07-17,1.73616
2022-07-18,18.25609
2022-07-19,16.82983
2022-07-20,16.38611
2022-07-21,15.67474
2022-07-22,20.929
2022-07-23,2.42287
2022-07-24,1.87702
2022-07-25,16.26989
2022-07-26,14.65699
2022-07-27,13.19199
2022-07-28,18.27722
2022-07-29,16.01634
2022-07-30,1.91576
2022-07-31,1.62698
2022-08-01,20.48175
2022-08-02,15.78743
2022-08-03,19.43935
2022-08-04,18.60473
2022-08-05,17.92858
2022-08-06,1.97915
2022-08-07,1.62346
2022-08-08,16.87209
2022-08-09,16.39315
2022-08-10,17.82997
2022-08-11,20.71066
2022-08-12,19.72108
2022-08-13,2.64826
2022-08-14,1.91576
2022-08-15,2.54261
2022-08-16,18.44273
2022-08-17,17.17143
2022-08-18,15.38949
2022-08-19,16.10085
2022-08-20,2.01436
2022-08-21,1.57064
2022-08-22,14.26257
2022-08-23,14.40343
2022-08-24,19.85138
2022-08-25,17.29468
2022-08-26,15.41414
2022-08-27,2.06014
2022-08-28,1.54247
2022-08-29,14.45273
2022-08-30,16.98126
2022-08-31,17.97436
2022-09-01,14.54782
2022-09-02,13.72376
2022-09-03,1.65164
2022-09-04,1.36286
2022-09-05,13.8118
2022-09-06,14.32243
2022-09-07,14.99506
2022-09-08,14.95633
2022-09-09,1.62346
2022-09-10,1.20087
2022-09-11,1.21143
2022-09-12,1.57064
2022-09-13,16.00225
2022-09-14,14.10409
2022-09-15,12.80109
2022-09-16,11.20228
2022-09-17,1.23608
2022-09-18,1.21495
2022-09-19,11.64952
2022-09-20,11.73052
2022-09-21,11.58261
2022-09-22,12.63558
2022-09-23,11.96647
2022-09-24,1.50725
2022-09-25,1.14804
2022-09-26,12.74827
2022-09-27,14.03014
2022-09-28,13.65685
2022-09-29,13.71319
2022-09-30,11.88195
2022-10-01,1.67629
2022-10-02,1.12691
2022-10-03,1.44738
2022-10-04,13.8118
2022-10-05,11.92773
2022-10-06,13.62868
2022-10-07,12.17777
2022-10-08,1.31356
2022-10-09,0.93323
2022-10-10,1.48964
2022-10-11,11.31497
2022-10-12,11.46288
2022-10-13,10.59304
2022-10-14,11.30088
2022-10-15,1.32765
2022-10-16,1.20791
2022-10-17,13.79419
2022-10-18,16.75235
2022-10-19,20.95717
2022-10-20,14.9352
2022-10-21,13.19552
2022-10-22,1.83476
2022-10-23,1.5319
2022-10-24,14.0231
2022-10-25,14.26609
2022-10-26,12.75179
2022-10-27,15.33314
2022-10-28,15.36836
2022-10-29,1.80307
2022-10-30,1.20791
2022-10-31,13.00535
2022-11-01,13.94562
2022-11-02,12.26933
2022-11-03,14.07944
2022-11-04,25.51767
2022-11-05,2.8349
2022-11-06,2.88068
2022-11-07,17.84054
2022-11-08,17.17143
2022-11-09,18.5836
2022-11-10,15.27327
2022-11-11,19.62248
2022-11-12,2.45457
2022-11-13,2.04958
2022-11-14,23.47513
2022-11-15,30.27539
2022-11-16,29.22946
2022-11-17,21.90449
2022-11-18,18.56599
2022-11-19,1.96154
2022-11-20,1.84533
2022-11-21,15.7663
2022-11-22,16.92844
2022-11-23,18.6329
2022-11-24,21.73193
2022-11-25,17.18551
2022-11-26,2.63769
2022-11-27,2.15523
2022-11-28,16.15368
2022-11-29,15.11128
2022-11-30,14.98098
2022-12-01,17.24186
2022-12-02,12.71657
2022-12-03,1.51077
2022-12-04,1.32413
2022-12-05,13.9421
2022-12-06,11.89956
2022-12-07,13.77306
2022-12-08,13.54768
2022-12-09,17.00591
2022-12-10,1.77841
2022-12-11,1.4016
2022-12-12,16.2382
2022-12-13,15.31553
2022-12-14,17.31581
2022-12-15,13.92449
2022-12-16,11.96999
2022-12-17,1.37343
2022-12-18,1.35934
2022-12-19,12.17777
2022-12-20,12.01577
2022-12-21,12.76588
2022-12-22,14.06888
2022-12-23,12.72362
2022-12-24,1.70094
2022-12-25,1.49668
2022-12-26,15.4247
2022-12-27,14.78729
2022-12-28,18.36526
2022-12-29,15.60078
2022-12-30,4.31398
2022-12-31,1.77489
2023-01-01,1.43682
2023-01-02,15.70291
2023-01-03,14.54782
2023-01-04,15.555
2023-01-05,13.3716
2023-01-06,13.11452
2023-01-07,2.11297
2023-01-08,1.33469
2023-01-09,14.5126
2023-01-10,14.47386
2023-01-11,12.61445
2023-01-12,13.2096
2023-01-13,13.23073
2023-01-14,2.3137
2023-01-15,3.06029
2023-01-16,14.56543
2023-01-17,12.11086
2023-01-18,12.14959
2023-01-19,11.49457
2023-01-20,10.77968
2023-01-21,1.47908
2023-01-22,1.49668
2023-01-23,1.63403
2023-01-24,1.65868
2023-01-25,14.94576
2023-01-26,23.42583
2023-01-27,19.464
2023-01-28,3.23989
2023-01-29,2.17988
2023-01-30,17.44259
2023-01-31,15.90717
2023-02-01,18.47091
2023-02-02,18.54838
2023-02-03,15.26975
2023-02-04,1.76081
2023-02-05,2.29257
2023-02-06,16.09029
2023-02-07,17.6398
2023-02-08,16.9707
2023-02-09,22.88702
2023-02-10,20.767
2023-02-11,2.39822
2023-02-12,2.7363
2023-02-13,17.79475
2023-02-14,17.70671
2023-02-15,22.12635
2023-02-16,21.7108
2023-02-17,18.53782
2023-02-18,2.7363
2023-02-19,2.30666
2023-02-20,16.14311
2023-02-21,22.87293
2023-02-22,21.50655
2023-02-23,20.6367
2023-02-24,17.35455
2023-02-25,2.8666
2023-02-26,2.09888
2023-02-27,17.0693
2023-02-28,28.40188
2023-03-01,5.96915
2023-03-02,22.8835
2023-03-03,36.83265
2023-03-04,7.12424
2023-03-05,7.45527
2023-03-06,33.29342
2023-03-07,27.76095
2023-03-08,24.08437
2023-03-09,26.78194
2023-03-10,21.37977
2023-03-11,2.95111
2023-03-12,2.6553
2023-03-13,26.58473
2023-03-14,25.85927
2023-03-15,27.42639
2023-03-16,27.88068
2023-03-17,26.5812
2023-03-18,3.65896
2023-03-19,2.80673
2023-03-20,22.65812
2023-03-21,21.12621
2023-03-22,24.30624
2023-03-23,25.94379
2023-03-24,22.58416
2023-03-25,4.66262
2023-03-26,4.89857
2023-03-27,38.06522
2023-03-28,27.10945
2023-03-29,29.02873
2023-03-30,32.20171
2023-03-31,27.29961
2023-04-01,5.69446
2023-04-02,4.04634
2023-04-03,28.64487
2023-04-04,31.66291
2023-04-05,27.86307
2023-04-06,24.40836
2023-04-07,36.1248
2023-04-08,7.59614
2023-04-09,6.66291
2023-04-10,45.01338
2023-04-11,38.44203
2023-04-12,33.07508
2023-04-13,27.56726
2023-04-14,27.06014
2023-04-15,4.39498
2023-04-16,3.8773
2023-04-17,25.21481
2023-04-18,25.59867
2023-04-19,23.30257
2023-04-20,24.45062
2023-04-21,21.65797
2023-04-22,3.21171
2023-04-23,3.1272
2023-04-24,23.03141
2023-04-25,50.96844
2023-04-26,42.86519
2023-04-27,39.19566
2023-04-28,30.66981
2023-04-29,4.05338
2023-04-30,3.71531
2023-05-01,6.10297
2023-05-02,24.64079
2023-05-03,20.56979
2023-05-04,18.36526
2023-05-05,3.6484
2023-05-06,2.69404
2023-05-07,2.0848
2023-05-08,18.5836
2023-05-09,17.60459
2023-05-10,16.77348
2023-05-11,18.60473
2023-05-12,15.78743
2023-05-13,3.78926
2023-05-14,1.96506
2023-05-15,17.32638
2023-05-16,18.242
2023-05-17,18.96746
2023-05-18,16.41076
2023-05-19,16.01634
2023-05-20,3.51105
2023-05-21,3.35258
2023-05-22,16.86857
2023-05-23,19.37244
2023-05-24,15.00915
2023-05-25,13.93506
2023-05-26,13.09691
2023-05-27,3.72939
2023-05-28,1.67629
