date,미국ETF
2022-05-23,15.73129
2022-05-24,20.49319
2022-05-25,21.17346
2022-05-26,17.2619
2022-05-27,15.22108
2022-05-28,12.24489
2022-05-29,10.37414
2022-05-30,18.53741
2022-05-31,17.7721
2022-06-01,17.2619
2022-06-02,16.7517
2022-06-03,16.58163
2022-06-04,10.37414
2022-06-05,9.5238
2022-06-06,14.88095
2022-06-07,14.96598
2022-06-08,17.34693
2022-06-09,14.88095
2022-06-10,16.32653
2022-06-11,13.43537
2022-06-12,9.35374
2022-06-13,19.30272
2022-06-14,26.87074
2022-06-15,24.57482
2022-06-16,23.55442
2022-06-17,26.0204
2022-06-18,14.54081
2022-06-19,11.05442
2022-06-20,19.04761
2022-06-21,21.42857
2022-06-22,19.89795
2022-06-23,20.91836
2022-06-24,17.34693
2022-06-25,11.81972
2022-06-26,12.58503
2022-06-27,18.87755
2022-06-28,18.70748
2022-06-29,16.41156
2022-06-30,16.58163
2022-07-01,15.22108
2022-07-02,10.03401
2022-07-03,8.24829
2022-07-04,12.41496
2022-07-05,15.05102
2022-07-06,13.5204
2022-07-07,14.79591
2022-07-08,14.71088
2022-07-09,7.65306
2022-07-10,7.39795
2022-07-11,13.0102
2022-07-12,15.05102
2022-07-13,15.98639
2022-07-14,14.28571
2022-07-15,14.20068
2022-07-16,10.54421
2022-07-17,8.92857
2022-07-18,13.94557
2022-07-19,17.43197
2022-07-20,19.98299
2022-07-21,18.11224
2022-07-22,18.36734
2022-07-23,8.92857
2022-07-24,11.73469
2022-07-25,13.09523
2022-07-26,17.43197
2022-07-27,20.23809
2022-07-28,20.57823
2022-07-29,18.87755
2022-07-30,13.35034
2022-07-31,9.5238
2022-08-01,17.17687
2022-08-02,20.32312
2022-08-03,22.78911
2022-08-04,22.87414
2022-08-05,20.91836
2022-08-06,11.47959
2022-08-07,11.98979
2022-08-08,19.81292
2022-08-09,18.87755
2022-08-10,20.74829
2022-08-11,24.48979
2022-08-12,18.45238
2022-08-13,15.30612
2022-08-14,11.22448
2022-08-15,17.60204
2022-08-16,26.0204
2022-08-17,28.91156
2022-08-18,23.89455
2022-08-19,23.46938
2022-08-20,15.13605
2022-08-21,15.64625
2022-08-22,22.19387
2022-08-23,21.7687
2022-08-24,21.68367
2022-08-25,20.32312
2022-08-26,18.62244
2022-08-27,15.64625
2022-08-28,10.96938
2022-08-29,22.19387
2022-08-30,22.36394
2022-08-31,19.55782
2022-09-01,16.41156
2022-09-02,17.43197
2022-09-03,9.2687
2022-09-04,9.35374
2022-09-05,15.30612
2022-09-06,15.90136
2022-09-07,15.30612
2022-09-08,14.28571
2022-09-09,11.56462
2022-09-10,11.81972
2022-09-11,11.22448
2022-09-12,17.43197
2022-09-13,27.72108
2022-09-14,27.04081
2022-09-15,19.04761
2022-09-16,20.40816
2022-09-17,14.37074
2022-09-18,9.18367
2022-09-19,16.83673
2022-09-20,18.19727
2022-09-21,18.36734
2022-09-22,19.13265
2022-09-23,16.92176
2022-09-24,9.43877
2022-09-25,9.0136
2022-09-26,16.92176
2022-09-27,17.09183
2022-09-28,20.06802
2022-09-29,14.71088
2022-09-30,17.09183
2022-10-01,10.71428
2022-10-02,8.33333
2022-10-03,12.84013
2022-10-04,14.20068
2022-10-05,15.73129
2022-10-06,14.79591
2022-10-07,12.7551
2022-10-08,10.20408
2022-10-09,8.67346
2022-10-10,11.56462
2022-10-11,14.96598
2022-10-12,14.28571
2022-10-13,13.94557
2022-10-14,11.90476
