date,배당
2022-07-04,5.12328
2022-07-05,6.19178
2022-07-06,5.12328
2022-07-07,5.86301
2022-07-08,4.9863
2022-07-09,3.9178
2022-07-10,2.9041
2022-07-11,5.39726
2022-07-12,5.50684
2022-07-13,4.46575
2022-07-14,5.20547
2022-07-15,5.06849
2022-07-16,2.35616
2022-07-17,2.60273
2022-07-18,5.89041
2022-07-19,5.09589
2022-07-20,5.64383
2022-07-21,6.32876
2022-07-22,5.45205
2022-07-23,2.9863
2022-07-24,2.9863
2022-07-25,5.06849
2022-07-26,6.41095
2022-07-27,5.12328
2022-07-28,5.80821
2022-07-29,5.42465
2022-07-30,3.34246
2022-07-31,3.15068
2022-08-01,4.9315
2022-08-02,5.80821
2022-08-03,5.69863
2022-08-04,5.80821
2022-08-05,5.9726
2022-08-06,2.32876
2022-08-07,3.12328
2022-08-08,4.9589
2022-08-09,6.35616
2022-08-10,6.82191
2022-08-11,5.61643
2022-08-12,5.64383
2022-08-13,7.15068
2022-08-14,4.57534
2022-08-15,4.65753
2022-08-16,8.13698
2022-08-17,5.9178
2022-08-18,5.47945
2022-08-19,5.50684
2022-08-20,3.26027
2022-08-21,3.78082
2022-08-22,5.83561
2022-08-23,6.43835
2022-08-24,5.28767
2022-08-25,5.69863
2022-08-26,5.23287
2022-08-27,3.04109
2022-08-28,3.50684
2022-08-29,5.12328
2022-08-30,4.84931
2022-08-31,5.28767
2022-09-01,5.56164
2022-09-02,4.41095
2022-09-03,3.36986
2022-09-04,2.73972
2022-09-05,4.79452
2022-09-06,5.45205
2022-09-07,5.75342
2022-09-08,5.47945
2022-09-09,3.17808
2022-09-10,2.82191
2022-09-11,2.9589
2022-09-12,4.24657
2022-09-13,5.50684
2022-09-14,6.16438
2022-09-15,6.82191
2022-09-16,4.79452
2022-09-17,3.20547
2022-09-18,3.80821
2022-09-19,5.89041
2022-09-20,11.83561
2022-09-21,7.80821
2022-09-22,6.35616
2022-09-23,6.16438
2022-09-24,3.9178
2022-09-25,4.35616
2022-09-26,7.72602
2022-09-27,7.58904
2022-09-28,8.57534
2022-09-29,7.06849
2022-09-30,5.53424
2022-10-01,4.02739
2022-10-02,3.80821
2022-10-03,5.31506
2022-10-04,7.39726
2022-10-05,26.41095
2022-10-06,13.80821
2022-10-07,19.56164
2022-10-08,27.72602
2022-10-09,16.10958
2022-10-10,11.17808
2022-10-11,9.64383
2022-10-12,10.43835
2022-10-13,9.01369
2022-10-14,8.9589
2022-10-15,8.08219
2022-10-16,8.71232
2022-10-17,10.35616
2022-10-18,9.15068
2022-10-19,9.9726
2022-10-20,7.67123
2022-10-21,7.9452
2022-10-22,6.71232
2022-10-23,6.79452
2022-10-24,7.75342
2022-10-25,8.49315
2022-10-26,8.05479
2022-10-27,7.50684
2022-10-28,6.65753
2022-10-29,4.57534
2022-10-30,4.84931
2022-10-31,6.08219
2022-11-01,7.01369
2022-11-02,7.56164
2022-11-03,7.06849
2022-11-04,6.82191
2022-11-05,4.65753
2022-11-06,5.04109
2022-11-07,6.73972
2022-11-08,7.67123
2022-11-09,6.19178
2022-11-10,7.28767
2022-11-11,6.84931
2022-11-12,4.71232
2022-11-13,4.30136
2022-11-14,6.76712
2022-11-15,9.9726
2022-11-16,8.57534
2022-11-17,6.76712
2022-11-18,6.24657
2022-11-19,4.52054
2022-11-20,5.9452
2022-11-21,7.58904
2022-11-22,11.53424
2022-11-23,13.15068
2022-11-24,20.43835
2022-11-25,10.0
2022-11-26,5.15068
2022-11-27,6.76712
2022-11-28,15.50684
2022-11-29,13.09589
2022-11-30,11.75342
2022-12-01,10.32876
2022-12-02,12.27397
2022-12-03,8.82191
2022-12-04,7.15068
2022-12-05,13.31506
2022-12-06,10.63013
2022-12-07,9.83561
2022-12-08,9.09589
2022-12-09,10.32876
2022-12-10,8.49315
2022-12-11,7.67123
2022-12-12,11.56164
2022-12-13,12.16438
2022-12-14,12.52054
2022-12-15,12.84931
2022-12-16,12.43835
2022-12-17,6.76712
2022-12-18,9.31506
2022-12-19,13.80821
2022-12-20,13.28767
2022-12-21,12.30136
2022-12-22,13.58904
2022-12-23,13.23287
2022-12-24,5.9726
2022-12-25,5.45205
2022-12-26,24.08219
2022-12-27,36.9589
2022-12-28,30.9041
2022-12-29,13.12328
2022-12-30,7.89041
2022-12-31,4.49315
2023-01-01,4.57534
2023-01-02,10.19178
2023-01-03,9.80821
2023-01-04,9.39726
2023-01-05,9.12328
2023-01-06,8.30136
2023-01-07,4.71232
2023-01-08,4.60273
2023-01-09,8.57534
2023-01-10,8.79452
2023-01-11,8.57534
2023-01-12,8.30136
2023-01-13,8.13698
2023-01-14,4.73972
2023-01-15,4.54794
2023-01-16,7.9726
2023-01-17,8.32876
2023-01-18,8.27397
2023-01-19,8.76712
2023-01-20,6.68493
2023-01-21,3.9726
2023-01-22,3.72602
2023-01-23,4.08219
2023-01-24,5.26027
2023-01-25,11.17808
2023-01-26,16.24657
2023-01-27,16.30136
2023-01-28,8.19178
2023-01-29,6.30136
2023-01-30,14.87671
2023-01-31,20.19178
2023-02-01,19.23287
2023-02-02,16.63013
2023-02-03,15.17808
2023-02-04,6.16438
2023-02-05,5.9452
2023-02-06,15.64383
2023-02-07,19.01369
2023-02-08,17.67123
2023-02-09,16.46575
2023-02-10,12.9041
2023-02-11,5.72602
2023-02-12,6.08219
2023-02-13,13.06849
2023-02-14,16.46575
2023-02-15,12.73972
2023-02-16,12.65753
2023-02-17,11.86301
2023-02-18,5.39726
2023-02-19,4.71232
2023-02-20,10.9041
2023-02-21,12.30136
2023-02-22,12.0
2023-02-23,11.31506
2023-02-24,11.31506
2023-02-25,4.13698
2023-02-26,5.61643
2023-02-27,10.71232
2023-02-28,10.84931
2023-03-01,6.02739
2023-03-02,10.73972
2023-03-03,9.39726
2023-03-04,4.43835
2023-03-05,5.06849
2023-03-06,11.83561
2023-03-07,11.64383
2023-03-08,10.08219
2023-03-09,10.68493
2023-03-10,8.60273
2023-03-11,4.16438
2023-03-12,4.21917
2023-03-13,10.19178
2023-03-14,10.16438
2023-03-15,9.50684
2023-03-16,9.56164
2023-03-17,8.79452
2023-03-18,4.41095
2023-03-19,4.38356
2023-03-20,9.67123
2023-03-21,9.83561
2023-03-22,9.01369
2023-03-23,9.06849
2023-03-24,8.9041
2023-03-25,5.15068
2023-03-26,4.43835
2023-03-27,9.39726
2023-03-28,9.86301
2023-03-29,10.68493
2023-03-30,9.47945
2023-03-31,8.19178
2023-04-01,4.16438
2023-04-02,4.38356
2023-04-03,9.78082
2023-04-04,9.61643
2023-04-05,9.12328
2023-04-06,8.08219
2023-04-07,7.83561
2023-04-08,4.19178
2023-04-09,4.84931
2023-04-10,8.60273
2023-04-11,8.24657
2023-04-12,8.71232
2023-04-13,8.57534
2023-04-14,9.61643
2023-04-15,5.39726
2023-04-16,5.12328
2023-04-17,8.24657
2023-04-18,7.75342
2023-04-19,8.54794
2023-04-20,8.79452
2023-04-21,8.13698
2023-04-22,4.9589
2023-04-23,5.06849
2023-04-24,7.12328
2023-04-25,7.9452
2023-04-26,7.01369
2023-04-27,6.79452
2023-04-28,5.9452
2023-04-29,3.56164
2023-04-30,3.01369
2023-05-01,4.08219
2023-05-02,6.0
2023-05-03,5.45205
2023-05-04,4.57534
2023-05-05,3.04109
2023-05-06,3.47945
2023-05-07,3.78082
2023-05-08,5.01369
2023-05-09,6.30136
2023-05-10,7.15068
2023-05-11,6.27397
2023-05-12,5.42465
2023-05-13,3.04109
2023-05-14,4.08219
2023-05-15,6.35616
2023-05-16,5.78082
2023-05-17,7.50684
2023-05-18,5.64383
2023-05-19,6.02739
2023-05-20,3.34246
2023-05-21,3.67123
2023-05-22,6.05479
2023-05-23,5.53424
2023-05-24,5.47945
2023-05-25,4.76712
2023-05-26,6.10958
2023-05-27,3.67123
2023-05-28,3.17808
2023-05-29,3.58904
