date,이수화학주가
2023-01-22,0.38941
2023-01-23,0.40959
2023-01-24,0.46003
2023-01-25,5.37721
2023-01-26,6.61003
2023-01-27,6.90664
2023-01-28,0.79699
2023-01-29,0.66382
2023-01-30,5.56687
2023-01-31,6.5495
2023-02-01,6.76338
2023-02-02,6.02893
2023-02-03,5.45186
2023-02-04,0.60733
2023-02-05,0.58715
2023-02-06,10.17332
2023-02-07,9.69915
2023-02-08,9.53572
2023-02-09,8.17376
2023-02-10,6.81786
2023-02-11,0.76673
2023-02-12,0.77883
2023-02-13,6.76136
2023-02-14,6.18631
2023-02-15,7.30413
2023-02-16,9.99979
2023-02-17,10.02602
2023-02-18,1.46687
2023-02-19,1.24291
2023-02-20,8.19797
2023-02-21,7.40703
2023-02-22,6.87839
2023-02-23,6.67056
2023-02-24,6.54345
2023-02-25,0.81515
2023-02-26,0.79901
2023-02-27,5.61933
2023-02-28,26.75894
2023-03-01,9.21288
2023-03-02,37.13403
2023-03-03,28.37916
2023-03-04,5.87558
2023-03-05,9.46913
2023-03-06,93.00861
2023-03-07,69.60916
2023-03-08,46.82714
2023-03-09,42.48501
2023-03-10,39.41001
2023-03-11,6.87032
2023-03-12,6.18429
2023-03-13,42.63836
2023-03-14,36.77488
2023-03-15,34.7612
2023-03-16,29.25082
2023-03-17,24.93291
2023-03-18,3.88813
2023-03-19,4.01727
2023-03-20,28.52848
2023-03-21,51.28024
2023-03-22,44.32113
2023-03-23,100.0
2023-03-24,87.0503
2023-03-25,13.93636
2023-03-26,12.52396
2023-03-27,63.20493
2023-03-28,53.18899
2023-03-29,48.26375
2023-03-30,40.52379
2023-03-31,42.82803
2023-04-01,5.68592
2023-04-02,5.72627
2023-04-03,45.54791
2023-04-04,37.94314
2023-04-05,37.27527
2023-04-06,36.94638
2023-04-07,37.63443
2023-04-08,6.28518
2023-04-09,5.36914
2023-04-10,49.90819
2023-04-11,53.70553
2023-04-12,43.87118
2023-04-13,38.60293
2023-04-14,36.83339
2023-04-15,5.09069
2023-04-16,4.11613
2023-04-17,35.42906
2023-04-18,44.35342
2023-04-19,32.58207
2023-04-20,66.38889
2023-04-21,74.75837
2023-04-22,10.57282
2023-04-23,7.55634
2023-04-24,48.77222
2023-04-25,36.91208
2023-04-26,37.24501
2023-04-27,25.20126
2023-04-28,14.42868
2023-04-29,2.91559
2023-04-30,2.20334
2023-05-01,3.6682
2023-05-02,11.56352
2023-05-03,8.52484
2023-05-04,6.95304
2023-05-05,1.95314
2023-05-06,1.63031
2023-05-07,1.50521
2023-05-08,7.04586
2023-05-09,5.81303
2023-05-10,5.41756
2023-05-11,6.18026
2023-05-12,5.19763
2023-05-13,1.48302
2023-05-14,1.20054
2023-05-15,5.15324
2023-05-16,4.81426
2023-05-17,4.4995
2023-05-18,4.04955
2023-05-19,4.0435
2023-05-20,1.15211
2023-05-21,1.01491
2023-05-22,4.41879
2023-05-23,4.35423
2023-05-24,3.6904
2023-05-25,3.9184
2023-05-26,3.20211
2023-05-27,0.9806
