date,압류
2021-11-04,5.95432
2021-11-05,4.89396
2021-11-06,2.58292
2021-11-07,2.93637
2021-11-08,5.00271
2021-11-09,5.98151
2021-11-10,5.92713
2021-11-11,6.30777
2021-11-12,5.05709
2021-11-13,2.3926
2021-11-14,2.77324
2021-11-15,5.24741
2021-11-16,5.70962
2021-11-17,5.30179
2021-11-18,6.60685
2021-11-19,5.84556
2021-11-20,3.48015
2021-11-21,3.07232
2021-11-22,5.43773
2021-11-23,6.30777
2021-11-24,5.49211
2021-11-25,6.4709
2021-11-26,5.11147
2021-11-27,2.90918
2021-11-28,3.01794
2021-11-29,5.00271
2021-11-30,5.22022
2021-12-01,5.84556
2021-12-02,5.46492
2021-12-03,5.0299
2021-12-04,3.18107
2021-12-05,3.26264
2021-12-06,4.67645
2021-12-07,5.70962
2021-12-08,5.24741
2021-12-09,6.06307
2021-12-10,5.57368
2021-12-11,3.18107
2021-12-12,3.01794
2021-12-13,5.73681
2021-12-14,5.16585
2021-12-15,5.70962
2021-12-16,5.73681
2021-12-17,4.97553
2021-12-18,3.88798
2021-12-19,3.01794
2021-12-20,5.79119
2021-12-21,5.68243
2021-12-22,6.06307
2021-12-23,5.19303
2021-12-24,4.73083
2021-12-25,2.44698
2021-12-26,2.80043
2021-12-27,5.57368
2021-12-28,5.16585
2021-12-29,5.0299
2021-12-30,5.30179
2021-12-31,4.21424
2022-01-01,1.98477
2022-01-02,2.69168
2022-01-03,4.81239
2022-01-04,5.08428
2022-01-05,5.81837
2022-01-06,5.764
2022-01-07,5.16585
2022-01-08,3.50734
2022-01-09,2.52854
2022-01-10,5.2746
2022-01-11,5.84556
2022-01-12,5.49211
2022-01-13,5.57368
2022-01-14,5.24741
2022-01-15,2.77324
2022-01-16,2.99075
2022-01-17,5.49211
2022-01-18,5.73681
2022-01-19,5.30179
2022-01-20,6.25339
2022-01-21,5.79119
2022-01-22,3.3442
2022-01-23,3.18107
2022-01-24,4.81239
2022-01-25,6.41653
2022-01-26,5.81837
2022-01-27,5.49211
2022-01-28,5.19303
2022-01-29,2.96356
2022-01-30,2.77324
2022-01-31,2.47417
2022-02-01,2.55573
2022-02-02,2.33822
2022-02-03,4.89396
2022-02-04,5.2746
2022-02-05,3.26264
2022-02-06,2.58292
2022-02-07,5.30179
2022-02-08,5.68243
2022-02-09,6.0087
2022-02-10,5.38336
2022-02-11,5.70962
2022-02-12,3.28983
2022-02-13,3.28983
2022-02-14,5.43773
2022-02-15,5.32898
2022-02-16,6.79717
2022-02-17,5.08428
2022-02-18,5.41054
2022-02-19,3.31702
2022-02-20,2.80043
2022-02-21,5.38336
2022-02-22,6.33496
2022-02-23,5.764
2022-02-24,5.79119
2022-02-25,5.68243
2022-02-26,3.48015
2022-02-27,3.09951
2022-02-28,4.45894
2022-03-01,3.09951
2022-03-02,4.97553
2022-03-03,5.68243
2022-03-04,5.65524
2022-03-05,3.56171
2022-03-06,3.15388
2022-03-07,5.32898
2022-03-08,6.66122
2022-03-09,3.48015
2022-03-10,5.43773
2022-03-11,6.49809
2022-03-12,4.15986
2022-03-13,3.37139
2022-03-14,5.41054
2022-03-15,5.46492
2022-03-16,6.11745
2022-03-17,5.81837
2022-03-18,4.40456
2022-03-19,3.39858
2022-03-20,3.23545
2022-03-21,5.57368
2022-03-22,5.22022
2022-03-23,5.62805
2022-03-24,5.49211
2022-03-25,5.35617
2022-03-26,2.90918
2022-03-27,3.15388
2022-03-28,5.60087
2022-03-29,5.2746
2022-03-30,6.11745
2022-03-31,5.32898
2022-04-01,6.55247
2022-04-02,2.69168
2022-04-03,2.77324
2022-04-04,5.22022
2022-04-05,5.0299
2022-04-06,6.41653
2022-04-07,5.46492
2022-04-08,5.19303
2022-04-09,2.55573
2022-04-10,3.26264
2022-04-11,6.06307
2022-04-12,5.70962
2022-04-13,5.11147
2022-04-14,6.09026
2022-04-15,5.68243
2022-04-16,2.74605
2022-04-17,3.07232
2022-04-18,5.05709
2022-04-19,5.08428
2022-04-20,5.98151
2022-04-21,6.74279
2022-04-22,5.81837
2022-04-23,3.04513
2022-04-24,30.20663
2022-04-25,42.3056
2022-04-26,21.42468
2022-04-27,11.22892
2022-04-28,8.70038
2022-04-29,6.2262
2022-04-30,4.02392
2022-05-01,3.88798
2022-05-02,5.22022
2022-05-03,6.0087
2022-05-04,5.43773
2022-05-05,3.28983
2022-05-06,4.35019
2022-05-07,4.15986
2022-05-08,3.15388
2022-05-09,5.46492
2022-05-10,6.09026
2022-05-11,5.08428
2022-05-12,5.92713
2022-05-13,5.13866
2022-05-14,3.01794
2022-05-15,3.31702
2022-05-16,5.49211
2022-05-17,5.81837
2022-05-18,5.41054
2022-05-19,5.54649
2022-05-20,5.60087
2022-05-21,3.12669
2022-05-22,3.39858
2022-05-23,6.06307
2022-05-24,5.24741
2022-05-25,5.84556
2022-05-26,5.62805
2022-05-27,4.70364
2022-05-28,2.44698
2022-05-29,3.01794
2022-05-30,4.86677
2022-05-31,5.98151
2022-06-01,3.5889
2022-06-02,5.60087
2022-06-03,5.73681
2022-06-04,3.56171
2022-06-05,2.85481
2022-06-06,3.04513
2022-06-07,5.11147
2022-06-08,6.76998
2022-06-09,6.30777
2022-06-10,5.08428
2022-06-11,3.42577
2022-06-12,3.31702
2022-06-13,5.73681
2022-06-14,6.44371
2022-06-15,5.87275
2022-06-16,5.84556
2022-06-17,5.49211
2022-06-18,2.85481
2022-06-19,2.1479
2022-06-20,5.95432
2022-06-21,5.13866
2022-06-22,5.30179
2022-06-23,5.60087
2022-06-24,4.70364
2022-06-25,3.07232
2022-06-26,3.01794
2022-06-27,4.89396
2022-06-28,5.81837
2022-06-29,7.53126
2022-06-30,6.33496
2022-07-01,4.29581
2022-07-02,2.28384
2022-07-03,2.44698
2022-07-04,4.7852
2022-07-05,4.48613
2022-07-06,5.98151
2022-07-07,5.32898
2022-07-08,4.67645
2022-07-09,2.71886
2022-07-10,2.50135
2022-07-11,5.84556
2022-07-12,5.30179
2022-07-13,5.70962
2022-07-14,5.11147
2022-07-15,5.54649
2022-07-16,3.28983
2022-07-17,3.75203
2022-07-18,5.95432
2022-07-19,6.30777
2022-07-20,6.57966
2022-07-21,6.49809
2022-07-22,4.97553
2022-07-23,3.75203
2022-07-24,2.17509
2022-07-25,6.38934
2022-07-26,6.33496
2022-07-27,5.32898
2022-07-28,6.33496
2022-07-29,6.44371
2022-07-30,4.0783
2022-07-31,3.31702
2022-08-01,5.16585
2022-08-02,6.17183
2022-08-03,5.54649
2022-08-04,6.11745
2022-08-05,5.2746
2022-08-06,3.3442
2022-08-07,2.96356
2022-08-08,5.81837
2022-08-09,5.764
2022-08-10,5.73681
2022-08-11,6.41653
2022-08-12,5.35617
2022-08-13,3.5889
2022-08-14,3.23545
2022-08-15,3.69766
2022-08-16,5.73681
2022-08-17,5.81837
2022-08-18,6.28058
2022-08-19,5.54649
2022-08-20,3.31702
2022-08-21,3.3442
2022-08-22,7.06905
2022-08-23,6.36215
2022-08-24,5.87275
2022-08-25,6.17183
2022-08-26,6.30777
2022-08-27,3.37139
2022-08-28,3.20826
2022-08-29,5.16585
2022-08-30,6.30777
2022-08-31,6.30777
2022-09-01,4.64926
2022-09-02,5.62805
2022-09-03,2.66449
2022-09-04,2.82762
2022-09-05,5.13866
2022-09-06,5.13866
2022-09-07,5.68243
2022-09-08,4.24143
2022-09-09,2.85481
2022-09-10,2.41979
2022-09-11,2.882
2022-09-12,3.18107
2022-09-13,5.0299
2022-09-14,6.0087
2022-09-15,6.33496
2022-09-16,5.54649
2022-09-17,3.20826
2022-09-18,2.90918
2022-09-19,5.2746
2022-09-20,6.79717
2022-09-21,6.55247
2022-09-22,6.7156
2022-09-23,4.43175
2022-09-24,2.71886
2022-09-25,2.55573
2022-09-26,5.08428
2022-09-27,6.44371
2022-09-28,6.19902
2022-09-29,6.82436
2022-09-30,5.00271
2022-10-01,3.01794
2022-10-02,3.09951
2022-10-03,3.39858
2022-10-04,5.41054
2022-10-05,5.68243
2022-10-06,7.4497
2022-10-07,5.70962
2022-10-08,3.23545
2022-10-09,2.96356
2022-10-10,2.93637
2022-10-11,5.79119
2022-10-12,6.4709
2022-10-13,6.98749
2022-10-14,5.43773
2022-10-15,4.35019
2022-10-16,4.02392
2022-10-17,5.98151
2022-10-18,6.82436
2022-10-19,7.99347
2022-10-20,7.53126
2022-10-21,5.95432
2022-10-22,3.61609
2022-10-23,3.45296
2022-10-24,6.93311
2022-10-25,6.36215
2022-10-26,6.66122
2022-10-27,5.89994
2022-10-28,6.19902
2022-10-29,2.82762
2022-10-30,3.07232
2022-10-31,6.25339
2022-11-01,7.25938
2022-11-02,6.87873
2022-11-03,6.60685
2022-11-04,5.49211
2022-11-05,2.58292
2022-11-06,2.85481
2022-11-07,5.92713
2022-11-08,6.19902
2022-11-09,6.25339
2022-11-10,5.11147
2022-11-11,5.68243
2022-11-12,2.90918
2022-11-13,2.882
2022-11-14,5.57368
2022-11-15,6.66122
2022-11-16,7.47688
2022-11-17,6.49809
2022-11-18,4.73083
2022-11-19,3.96954
2022-11-20,2.93637
2022-11-21,6.28058
2022-11-22,7.01468
2022-11-23,6.52528
