date,애플주가
2022-03-21,4.02933
2022-03-22,6.53975
2022-03-23,7.33565
2022-03-24,7.5996
2022-03-25,7.8409
2022-03-26,5.0
2022-03-27,2.29898
2022-03-28,4.54636
2022-03-29,7.64351
2022-03-30,8.4693
2022-03-31,7.20708
2022-04-01,6.29663
2022-04-02,4.1819
2022-04-03,1.76883
2022-04-04,3.68706
2022-04-05,7.07533
2022-04-06,6.42747
2022-04-07,6.73306
2022-04-08,6.07841
2022-04-09,3.86408
2022-04-10,1.74348
2022-04-11,3.57524
2022-04-12,6.77834
2022-04-13,6.33692
2022-04-14,6.31972
2022-04-15,5.6551
2022-04-16,2.69377
2022-04-17,1.54699
2022-04-18,3.54672
2022-04-19,5.73252
2022-04-20,5.67185
2022-04-21,6.05939
2022-04-22,5.87513
2022-04-23,4.43634
2022-04-24,1.89695
2022-04-25,4.68489
2022-04-26,6.94177
2022-04-27,8.65537
2022-04-28,7.49728
2022-04-29,8.46477
2022-04-30,5.76195
2022-05-01,2.09887
2022-05-02,4.47437
2022-05-03,7.96178
2022-05-04,6.41388
2022-05-05,6.56329
2022-05-06,8.82968
2022-05-07,4.82433
2022-05-08,2.08529
2022-05-09,4.703
2022-05-10,9.29599
2022-05-11,7.39451
2022-05-12,12.17448
2022-05-13,9.9022
2022-05-14,5.58085
2022-05-15,2.16271
2022-05-16,4.42774
2022-05-17,7.21568
2022-05-18,6.76068
2022-05-19,10.85929
2022-05-20,9.65229
2022-05-21,6.499
2022-05-22,2.37504
2022-05-23,4.96468
2022-05-24,8.85277
2022-05-25,8.22211
2022-05-26,7.26819
2022-05-27,6.7643
2022-05-28,4.75099
2022-05-29,1.81591
2022-05-30,3.72781
2022-05-31,5.35901
2022-06-01,5.45726
2022-06-02,5.53875
2022-06-03,5.95753
2022-06-04,4.06283
2022-06-05,1.76385
2022-06-06,2.92873
2022-06-07,5.79998
2022-06-08,6.0105
2022-06-09,5.60847
2022-06-10,6.43833
2022-06-11,4.96151
2022-06-12,2.99166
2022-06-13,6.81455
2022-06-14,10.10503
2022-06-15,8.61825
2022-06-16,7.96676
2022-06-17,9.09815
