date,사업자금대출
2023-01-08,26.63755
2023-01-09,55.45851
2023-01-10,49.78165
2023-01-11,51.96506
2023-01-12,62.44541
2023-01-13,53.2751
2023-01-14,31.44104
2023-01-15,26.20087
2023-01-16,65.50218
2023-01-17,68.55895
2023-01-18,44.1048
2023-01-19,51.0917
2023-01-20,34.49781
2023-01-21,14.84716
2023-01-22,17.03056
2023-01-23,14.41048
2023-01-24,27.94759
2023-01-25,52.40174
2023-01-26,61.13537
2023-01-27,54.14847
2023-01-28,29.69432
2023-01-29,34.49781
2023-01-30,71.61572
2023-01-31,63.75545
2023-02-01,76.41921
2023-02-02,55.89519
2023-02-03,45.85152
2023-02-04,31.00436
2023-02-05,39.30131
2023-02-06,74.67248
2023-02-07,65.93886
2023-02-08,64.19213
2023-02-09,46.72489
2023-02-10,60.262
2023-02-11,27.94759
2023-02-12,28.38427
2023-02-13,70.74235
2023-02-14,60.69868
2023-02-15,54.58515
2023-02-16,58.51528
2023-02-17,54.14847
2023-02-18,37.1179
2023-02-19,31.87772
2023-02-20,68.55895
2023-02-21,58.0786
2023-02-22,55.89519
2023-02-23,63.31877
2023-02-24,49.34497
2023-02-25,25.32751
2023-02-26,31.00436
2023-02-27,46.72489
2023-02-28,46.72489
2023-03-01,44.97816
2023-03-02,53.2751
2023-03-03,44.1048
2023-03-04,30.56768
2023-03-05,35.37117
2023-03-06,60.69868
2023-03-07,63.31877
2023-03-08,66.37554
2023-03-09,63.75545
2023-03-10,44.97816
2023-03-11,25.32751
2023-03-12,34.93449
2023-03-13,58.95196
2023-03-14,65.93886
2023-03-15,68.99563
2023-03-16,59.82532
2023-03-17,35.80786
2023-03-18,26.63755
2023-03-19,24.01746
2023-03-20,78.16593
2023-03-21,58.95196
2023-03-22,58.51528
2023-03-23,60.69868
2023-03-24,49.34497
2023-03-25,33.62445
2023-03-26,20.52401
2023-03-27,62.44541
2023-03-28,57.20524
2023-03-29,58.51528
2023-03-30,59.38864
2023-03-31,45.41484
2023-04-01,29.69432
2023-04-02,42.79475
2023-04-03,61.13537
2023-04-04,37.99126
2023-04-05,50.65502
2023-04-06,55.45851
2023-04-07,44.97816
2023-04-08,23.58078
2023-04-09,28.38427
2023-04-10,71.17903
2023-04-11,61.57205
2023-04-12,48.03493
2023-04-13,55.89519
2023-04-14,44.97816
2023-04-15,24.89082
2023-04-16,32.31441
2023-04-17,61.13537
2023-04-18,59.82532
2023-04-19,56.33187
2023-04-20,53.71179
2023-04-21,44.97816
2023-04-22,26.20087
2023-04-23,19.21397
2023-04-24,52.83842
2023-04-25,61.13537
2023-04-26,53.2751
2023-04-27,48.47161
2023-04-28,44.1048
2023-04-29,21.83406
2023-04-30,21.39737
2023-05-01,29.69432
2023-05-02,55.45851
2023-05-03,45.41484
2023-05-04,44.1048
2023-05-05,17.46724
2023-05-06,17.90393
2023-05-07,26.20087
2023-05-08,56.76855
2023-05-09,46.72489
2023-05-10,60.262
2023-05-11,58.95196
2023-05-12,47.16157
2023-05-13,24.89082
2023-05-14,36.68122
2023-05-15,65.93886
2023-05-16,64.19213
2023-05-17,62.00873
2023-05-18,50.21834
2023-05-19,52.83842
2023-05-20,28.82096
2023-05-21,31.44104
2023-05-22,53.71179
2023-05-23,68.99563
2023-05-24,61.13537
2023-05-25,50.65502
2023-05-26,50.65502
2023-05-27,24.45414
2023-05-28,21.83406
2023-05-29,34.49781
