date,삼부토건주가
2022-01-29,1.23981
2022-01-30,0.74159
2022-01-31,0.61908
2022-02-01,0.65829
2022-02-02,0.92618
2022-02-03,8.13309
2022-02-04,7.32452
2022-02-05,1.03725
2022-02-06,0.8249
2022-02-07,10.71562
2022-02-08,34.47132
2022-02-09,34.02865
2022-02-10,20.8677
2022-02-11,14.8957
2022-02-12,2.2444
2022-02-13,2.01081
2022-02-14,12.46835
2022-02-15,11.44252
2022-02-16,11.00311
2022-02-17,10.91491
2022-02-18,10.25171
2022-02-19,1.75435
2022-02-20,1.29534
2022-02-21,9.6702
2022-02-22,9.03641
2022-02-23,8.29807
2022-02-24,8.05305
2022-02-25,9.24712
2022-02-26,1.73965
2022-02-27,1.47666
2022-02-28,9.68653
2022-03-01,2.08268
2022-03-02,9.04131
2022-03-03,20.21431
2022-03-04,15.62423
2022-03-05,2.10555
2022-03-06,1.9226
2022-03-07,15.98359
2022-03-08,14.03649
2022-03-09,2.77201
2022-03-10,47.35947
2022-03-11,66.99554
2022-03-12,9.30103
2022-03-13,7.53034
2022-03-14,36.4364
2022-03-15,27.42449
2022-03-16,57.22079
2022-03-17,35.89245
2022-03-18,33.37362
2022-03-19,5.35291
2022-03-20,4.58844
2022-03-21,29.80447
2022-03-22,25.48228
2022-03-23,28.79661
2022-03-24,30.21284
2022-03-25,33.20211
2022-03-26,6.16311
2022-03-27,4.33362
2022-03-28,28.04684
2022-03-29,26.00499
2022-03-30,24.6394
2022-03-31,23.98111
2022-04-01,25.56232
2022-04-02,3.62795
2022-04-03,3.12811
2022-04-04,26.21735
2022-04-05,23.39306
2022-04-06,27.6058
2022-04-07,22.76254
2022-04-08,18.93529
2022-04-09,2.53352
2022-04-10,2.313
2022-04-11,17.28221
2022-04-12,16.01136
2022-04-13,16.70233
2022-04-14,15.3449
2022-04-15,18.63147
2022-04-16,2.6397
2022-04-17,2.40284
2022-04-18,19.46617
2022-04-19,16.71049
2022-04-20,15.12765
2022-04-21,15.6324
2022-04-22,13.22138
2022-04-23,2.08268
2022-04-24,1.81642
2022-04-25,13.46477
2022-04-26,12.84568
2022-04-27,11.56993
