date,실손보험
2021-10-06,7.57838
2021-10-07,8.20432
2021-10-08,6.21472
2021-10-09,3.06265
2021-10-10,2.91734
2021-10-11,3.54887
2021-10-12,7.42748
2021-10-13,6.69535
2021-10-14,6.65064
2021-10-15,5.85145
2021-10-16,2.76085
2021-10-17,2.31934
2021-10-18,5.38758
2021-10-19,5.80674
2021-10-20,6.08059
2021-10-21,5.16403
2021-10-22,4.67221
2021-10-23,3.37003
2021-10-24,2.34728
2021-10-25,6.08059
2021-10-26,6.13088
2021-10-27,6.56122
2021-10-28,5.41552
2021-10-29,5.45464
2021-10-30,2.7888
2021-10-31,5.15844
2021-11-01,5.64466
2021-11-02,6.04146
2021-11-03,5.3261
2021-11-04,5.4267
2021-11-05,4.69457
2021-11-06,2.59878
2021-11-07,2.44229
2021-11-08,5.30375
2021-11-09,9.82507
2021-11-10,6.59475
2021-11-11,6.11971
2021-11-12,4.92371
2021-11-13,2.58201
2021-11-14,2.70496
2021-11-15,6.18677
2021-11-16,5.86821
2021-11-17,5.66143
2021-11-18,5.81232
2021-11-19,4.83429
2021-11-20,2.62113
2021-11-21,2.64908
2021-11-22,5.89057
2021-11-23,5.55524
2021-11-24,7.20393
2021-11-25,8.15961
2021-11-26,5.19756
2021-11-27,3.59917
2021-11-28,2.95087
2021-11-29,5.96881
2021-11-30,5.7732
2021-12-01,5.85703
2021-12-02,7.80193
2021-12-03,6.09176
2021-12-04,2.97881
2021-12-05,2.86145
2021-12-06,6.33767
2021-12-07,6.86301
2021-12-08,6.08617
2021-12-09,6.89096
2021-12-10,7.08098
2021-12-11,3.75006
2021-12-12,2.72732
2021-12-13,6.9692
2021-12-14,16.94517
2021-12-15,21.43855
2021-12-16,20.71201
2021-12-17,9.99832
2021-12-18,4.63868
2021-12-19,4.28659
2021-12-20,17.72201
2021-12-21,11.23344
2021-12-22,10.76957
2021-12-23,8.99793
2021-12-24,6.51092
2021-12-25,4.42072
2021-12-26,13.13921
2021-12-27,28.07243
2021-12-28,29.96143
2021-12-29,26.66405
2021-12-30,18.96272
2021-12-31,24.71357
2022-01-01,11.59671
2022-01-02,9.51768
2022-01-03,14.77113
2022-01-04,12.79271
2022-01-05,10.78634
2022-01-06,9.24942
2022-01-07,10.17157
2022-01-08,6.17559
2022-01-09,8.50611
2022-01-10,24.28323
2022-01-11,14.70966
2022-01-12,13.20069
2022-01-13,9.89213
2022-01-14,9.60152
2022-01-15,5.76761
2022-01-16,4.73928
2022-01-17,9.02028
2022-01-18,8.48935
2022-01-19,8.73525
2022-01-20,14.07254
2022-01-21,9.14324
2022-01-22,4.64986
2022-01-23,6.19236
2022-01-24,8.8638
2022-01-25,10.47336
2022-01-26,8.57318
2022-01-27,7.39395
2022-01-28,5.40434
2022-01-29,3.42592
2022-01-30,2.487
2022-01-31,2.68261
2022-02-01,5.10814
2022-02-02,4.14128
2022-02-03,8.05901
2022-02-04,7.80193
2022-02-05,4.21952
2022-02-06,3.86743
2022-02-07,7.45542
2022-02-08,13.48013
2022-02-09,12.76476
2022-02-10,8.55641
2022-02-11,7.50013
2022-02-12,4.49896
2022-02-13,3.15765
2022-02-14,7.17599
2022-02-15,7.38277
2022-02-16,6.94685
2022-02-17,6.19236
2022-02-18,5.99675
2022-02-19,3.75006
2022-02-20,3.72212
2022-02-21,7.79075
2022-02-22,6.66182
2022-02-23,7.24305
2022-02-24,6.68976
2022-02-25,5.81791
2022-02-26,5.91292
2022-02-27,4.15246
2022-02-28,6.41591
2022-03-01,3.7333
2022-03-02,5.96322
2022-03-03,6.08059
2022-03-04,5.51612
2022-03-05,3.96244
2022-03-06,2.92293
2022-03-07,5.98558
2022-03-08,5.91292
2022-03-09,2.82792
2022-03-10,5.81232
2022-03-11,5.9744
2022-03-12,3.63829
2022-03-13,3.16883
2022-03-14,6.78477
2022-03-15,7.19834
2022-03-16,6.31531
2022-03-17,6.56122
2022-03-18,5.87939
2022-03-19,3.31414
2022-03-20,2.6379
2022-03-21,6.06941
2022-03-22,6.87419
2022-03-23,6.52769
2022-03-24,5.84586
2022-03-25,6.075
2022-03-26,6.97479
2022-03-27,4.6275
2022-03-28,7.1704
2022-03-29,6.30973
2022-03-30,7.62868
2022-03-31,6.89655
2022-04-01,5.66702
2022-04-02,2.68261
2022-04-03,2.62672
2022-04-04,5.46582
2022-04-05,5.91851
2022-04-06,5.80674
2022-04-07,6.11971
2022-04-08,5.21991
2022-04-09,2.45906
2022-04-10,2.35846
2022-04-11,5.7229
2022-04-12,5.85703
2022-04-13,5.70055
2022-04-14,5.5273
2022-04-15,5.01313
2022-04-16,2.78321
2022-04-17,2.49818
2022-04-18,5.74526
2022-04-19,5.39875
2022-04-20,5.39317
2022-04-21,7.27658
2022-04-22,5.09137
2022-04-23,2.98999
2022-04-24,2.89498
2022-04-25,6.075
2022-04-26,6.60034
2022-04-27,6.20354
2022-04-28,6.54445
2022-04-29,5.08578
2022-04-30,3.21913
2022-05-01,2.67143
2022-05-02,5.80674
2022-05-03,6.15324
2022-05-04,4.99077
2022-05-05,2.60437
2022-05-06,4.9796
2022-05-07,2.67702
2022-05-08,2.83909
2022-05-09,5.71731
2022-05-10,5.94645
2022-05-11,6.00234
2022-05-12,7.47219
2022-05-13,6.38238
2022-05-14,3.30855
2022-05-15,2.66584
2022-05-16,6.76242
2022-05-17,6.34885
2022-05-18,6.4718
2022-05-19,6.4718
2022-05-20,5.3764
2022-05-21,3.07941
2022-05-22,2.90616
2022-05-23,5.91292
2022-05-24,6.8183
2022-05-25,6.29855
2022-05-26,6.14206
2022-05-27,5.09696
2022-05-28,3.44268
2022-05-29,2.82233
2022-05-30,7.63427
2022-05-31,6.65623
2022-06-01,3.7333
2022-06-02,5.90733
2022-06-03,5.75085
2022-06-04,3.69977
2022-06-05,2.48141
2022-06-06,3.48739
2022-06-07,6.17001
2022-06-08,6.23707
2022-06-09,6.61711
2022-06-10,5.94645
2022-06-11,3.24149
2022-06-12,2.6882
2022-06-13,6.67858
2022-06-14,7.17599
2022-06-15,6.94685
2022-06-16,6.21472
2022-06-17,5.72849
2022-06-18,3.20795
2022-06-19,3.27502
2022-06-20,6.53328
2022-06-21,6.48298
2022-06-22,6.9189
2022-06-23,5.98558
2022-06-24,6.63946
2022-06-25,2.8838
2022-06-26,2.83909
2022-06-27,6.95802
2022-06-28,8.24344
2022-06-29,7.77398
2022-06-30,6.47739
2022-07-01,4.95165
2022-07-02,2.81115
2022-07-03,2.32493
2022-07-04,5.86821
2022-07-05,5.7732
2022-07-06,5.66702
2022-07-07,5.53847
2022-07-08,4.96283
2022-07-09,2.64349
2022-07-10,2.76644
2022-07-11,6.40473
2022-07-12,6.09176
2022-07-13,5.94645
2022-07-14,5.54965
2022-07-15,5.00195
2022-07-16,2.85027
2022-07-17,2.30816
2022-07-18,6.04146
2022-07-19,6.18118
2022-07-20,6.69535
2022-07-21,5.9744
2022-07-22,5.59436
2022-07-23,3.47063
2022-07-24,2.83909
2022-07-25,6.55563
2022-07-26,6.01352
2022-07-27,6.04705
2022-07-28,5.91851
2022-07-29,5.05784
2022-07-30,2.85027
2022-07-31,2.86145
2022-08-01,5.77879
2022-08-02,5.9744
2022-08-03,5.61113
2022-08-04,5.13608
2022-08-05,4.94047
2022-08-06,3.16324
2022-08-07,2.48141
2022-08-08,5.3764
2022-08-09,5.33169
2022-08-10,5.89616
2022-08-11,5.70614
2022-08-12,5.54406
2022-08-13,3.15207
2022-08-14,2.22992
2022-08-15,2.76085
2022-08-16,6.29296
2022-08-17,6.8686
2022-08-18,6.4718
2022-08-19,6.28737
2022-08-20,3.38121
2022-08-21,3.02911
2022-08-22,7.18716
2022-08-23,7.85782
2022-08-24,7.93606
2022-08-25,6.99714
2022-08-26,6.24266
2022-08-27,3.07941
2022-08-28,2.72732
2022-08-29,5.80115
2022-08-30,6.65623
2022-08-31,6.30973
2022-09-01,5.65025
2022-09-02,5.75644
2022-09-03,2.86704
2022-09-04,4.03509
2022-09-05,6.58358
2022-09-06,6.13647
2022-09-07,5.53288
2022-09-08,4.65545
2022-09-09,2.22992
2022-09-10,2.01195
2022-09-11,2.3864
2022-09-12,2.9844
2022-09-13,7.02509
2022-09-14,7.366
2022-09-15,6.673
2022-09-16,5.92969
2022-09-17,3.29179
2022-09-18,2.90057
2022-09-19,6.17559
2022-09-20,6.33208
2022-09-21,6.15883
2022-09-22,6.21472
2022-09-23,5.55524
2022-09-24,3.40356
2022-09-25,2.87263
2022-09-26,7.31012
2022-09-27,7.0195
2022-09-28,6.58916
2022-09-29,6.80154
2022-09-30,6.41591
2022-10-01,3.00676
2022-10-02,2.33052
2022-10-03,3.28061
2022-10-04,6.79036
2022-10-05,6.24266
2022-10-06,6.50533
2022-10-07,6.60034
2022-10-08,3.24149
2022-10-09,2.52612
2022-10-10,3.29737
2022-10-11,6.0247
2022-10-12,6.47739
2022-10-13,6.46062
2022-10-14,6.26501
2022-10-15,3.91214
2022-10-16,3.37003
2022-10-17,6.38797
2022-10-18,6.30973
2022-10-19,6.52769
2022-10-20,6.05823
2022-10-21,6.34885
2022-10-22,4.07421
2022-10-23,3.24149
2022-10-24,6.8183
2022-10-25,7.03627
2022-10-26,7.09215
2022-10-27,6.65623
2022-10-28,5.73967
2022-10-29,3.02352
2022-10-30,2.51494
2022-10-31,6.0247
2022-11-01,5.99116
2022-11-02,6.46621
2022-11-03,6.10853
2022-11-04,5.68937
2022-11-05,3.16324
2022-11-06,2.92851
2022-11-07,6.65064
2022-11-08,6.51651
2022-11-09,6.63387
2022-11-10,6.39356
2022-11-11,6.06941
2022-11-12,3.00676
2022-11-13,2.62113
2022-11-14,7.20952
2022-11-15,6.99156
2022-11-16,7.44984
2022-11-17,6.67858
2022-11-18,6.11412
2022-11-19,3.14089
2022-11-20,3.88978
2022-11-21,7.33247
2022-11-22,7.2207
2022-11-23,6.81272
2022-11-24,6.72329
2022-11-25,6.48298
2022-11-26,3.8842
2022-11-27,3.2359
2022-11-28,7.27658
2022-11-29,7.65662
2022-11-30,7.39954
2022-12-01,8.00312
2022-12-02,8.31051
2022-12-03,2.87822
2022-12-04,9.01469
2022-12-05,8.71849
2022-12-06,6.75683
2022-12-07,7.95283
2022-12-08,9.35002
2022-12-09,11.21108
2022-12-10,7.77398
2022-12-11,4.78958
2022-12-12,9.71329
2022-12-13,10.32247
2022-12-14,9.33325
2022-12-15,10.04862
2022-12-16,9.17677
2022-12-17,4.3816
2022-12-18,10.38953
2022-12-19,12.8486
2022-12-20,13.72603
2022-12-21,18.43178
2022-12-22,22.42776
2022-12-23,11.6023
2022-12-24,8.20991
2022-12-25,5.06902
2022-12-26,10.64103
2022-12-27,14.65377
2022-12-28,12.4965
2022-12-29,11.11607
2022-12-30,10.8031
2022-12-31,5.09137
2023-01-01,4.75046
2023-01-02,9.45062
2023-01-03,8.17079
2023-01-04,8.43905
2023-01-05,7.50013
2023-01-06,6.91331
2023-01-07,4.10775
2023-01-08,3.71094
2023-01-09,8.46699
2023-01-10,8.72408
2023-01-11,8.39434
2023-01-12,7.61191
2023-01-13,7.2207
2023-01-14,4.1804
2023-01-15,4.01833
