date,보험조회
2021-09-20,19.04218
2021-09-21,19.49828
2021-09-22,19.38426
2021-09-23,40.935
2021-09-24,37.05815
2021-09-25,19.38426
2021-09-26,15.62143
2021-09-27,41.16305
2021-09-28,40.70695
2021-09-29,40.25085
2021-09-30,36.03192
2021-10-01,34.43557
2021-10-02,17.67388
2021-10-03,15.62143
2021-10-04,21.66476
2021-10-05,44.69783
2021-10-06,41.04903
2021-10-07,41.8472
2021-10-08,38.6545
2021-10-09,15.84948
2021-10-10,14.36716
2021-10-11,20.52451
2021-10-12,45.38198
2021-10-13,40.935
2021-10-14,46.86431
2021-10-15,38.31242
2021-10-16,17.44583
2021-10-17,16.41961
2021-10-18,37.17217
2021-10-19,35.80387
2021-10-20,35.34777
2021-10-21,32.04104
2021-10-22,28.62029
2021-10-23,20.18244
2021-10-24,18.01596
2021-10-25,35.4618
2021-10-26,36.03192
2021-10-27,31.12884
2021-10-28,32.72519
2021-10-29,30.44469
2021-10-30,18.47206
2021-10-31,17.55986
2021-11-01,27.59407
2021-11-02,33.97947
2021-11-03,34.77765
2021-11-04,31.58494
2021-11-05,29.19042
2021-11-06,16.64766
2021-11-07,15.39338
2021-11-08,35.11972
2021-11-09,30.67274
2021-11-10,31.24287
2021-11-11,26.33979
2021-11-12,28.16419
2021-11-13,16.98973
2021-11-14,17.10376
2021-11-15,33.40935
2021-11-16,37.17217
2021-11-17,32.72519
2021-11-18,30.33067
2021-11-19,26.11174
2021-11-20,15.96351
2021-11-21,13.2269
2021-11-22,29.64652
2021-11-23,31.35689
2021-11-24,32.04104
2021-11-25,30.21664
2021-11-26,26.79589
2021-11-27,14.02508
2021-11-28,14.82326
2021-11-29,33.97947
2021-11-30,35.23375
2021-12-01,30.67274
2021-12-02,24.85746
2021-12-03,25.88369
2021-12-04,15.50741
2021-12-05,13.34093
2021-12-06,35.0057
2021-12-07,31.69897
2021-12-08,31.24287
2021-12-09,28.50627
2021-12-10,24.97149
2021-12-11,15.27936
2021-12-12,12.42873
2021-12-13,37.40022
2021-12-14,31.58494
2021-12-15,32.83922
2021-12-16,27.02394
2021-12-17,27.48004
2021-12-18,12.88483
2021-12-19,17.55986
2021-12-20,36.03192
2021-12-21,34.66362
2021-12-22,30.55872
2021-12-23,26.11174
2021-12-24,20.29646
2021-12-25,14.02508
2021-12-26,17.44583
2021-12-27,39.1106
2021-12-28,33.97947
2021-12-29,37.05815
2021-12-30,33.40935
2021-12-31,28.05017
2022-01-01,17.21778
2022-01-02,18.81413
2022-01-03,36.14595
2022-01-04,38.42645
2022-01-05,33.06727
2022-01-06,38.08437
2022-01-07,30.67274
2022-01-08,23.14709
2022-01-09,19.04218
2022-01-10,42.41733
2022-01-11,36.03192
2022-01-12,35.4618
2022-01-13,39.1106
2022-01-14,30.78677
2022-01-15,21.89281
2022-01-16,18.24401
2022-01-17,40.4789
2022-01-18,41.3911
2022-01-19,31.01482
2022-01-20,37.2862
2022-01-21,33.97947
2022-01-22,18.01596
2022-01-23,19.15621
2022-01-24,39.1106
2022-01-25,33.40935
2022-01-26,32.95324
2022-01-27,30.78677
2022-01-28,23.94526
2022-01-29,17.21778
2022-01-30,15.84948
2022-01-31,17.21778
2022-02-01,18.92816
2022-02-02,19.84036
2022-02-03,39.33865
2022-02-04,36.14595
2022-02-05,19.72633
2022-02-06,18.81413
2022-02-07,40.0228
2022-02-08,35.34777
2022-02-09,36.03192
2022-02-10,32.49714
2022-02-11,28.96237
2022-02-12,17.44583
2022-02-13,18.01596
2022-02-14,34.0935
2022-02-15,36.48802
2022-02-16,34.66362
2022-02-17,30.10262
2022-02-18,30.10262
2022-02-19,18.70011
2022-02-20,19.04218
2022-02-21,36.25997
2022-02-22,36.48802
2022-02-23,34.66362
2022-02-24,33.75142
2022-02-25,30.67274
2022-02-26,24.28734
2022-02-27,18.47206
2022-02-28,29.53249
2022-03-01,17.78791
2022-03-02,31.12884
2022-03-03,28.39224
2022-03-04,28.84834
2022-03-05,17.10376
2022-03-06,17.10376
2022-03-07,31.58494
2022-03-08,29.30444
2022-03-09,12.7708
2022-03-10,35.68985
2022-03-11,27.70809
2022-03-12,15.62143
2022-03-13,14.02508
2022-03-14,31.81299
2022-03-15,32.49714
2022-03-16,29.64652
2022-03-17,30.67274
2022-03-18,25.31356
2022-03-19,15.84948
2022-03-20,14.82326
2022-03-21,37.85632
2022-03-22,37.7423
2022-03-23,34.66362
2022-03-24,36.60205
2022-03-25,33.97947
2022-03-26,19.95438
2022-03-27,18.81413
2022-03-28,35.9179
2022-03-29,32.04104
2022-03-30,34.0935
2022-03-31,29.41847
2022-04-01,25.54161
2022-04-02,14.93728
2022-04-03,15.62143
2022-04-04,32.15507
2022-04-05,31.12884
2022-04-06,33.29532
2022-04-07,29.98859
2022-04-08,25.42759
2022-04-09,12.7708
2022-04-10,12.99885
2022-04-11,37.97035
2022-04-12,33.75142
2022-04-13,33.29532
2022-04-14,33.40935
2022-04-15,31.47092
2022-04-16,13.91106
2022-04-17,19.61231
2022-04-18,32.95324
2022-04-19,30.21664
2022-04-20,30.67274
2022-04-21,31.92702
2022-04-22,29.07639
2022-04-23,16.98973
2022-04-24,16.19156
2022-04-25,38.1984
2022-04-26,35.57582
2022-04-27,27.82212
2022-04-28,31.69897
2022-04-29,25.19954
2022-04-30,14.70923
2022-05-01,10.60433
2022-05-02,31.92702
2022-05-03,33.75142
2022-05-04,25.99771
2022-05-05,15.05131
2022-05-06,25.99771
2022-05-07,17.33181
2022-05-08,17.33181
2022-05-09,37.85632
2022-05-10,35.57582
2022-05-11,35.11972
2022-05-12,32.95324
2022-05-13,32.49714
2022-05-14,13.34093
2022-05-15,13.91106
2022-05-16,36.374
2022-05-17,34.5496
2022-05-18,29.64652
2022-05-19,30.33067
2022-05-20,29.30444
2022-05-21,12.20068
2022-05-22,13.34093
2022-05-23,31.47092
2022-05-24,30.67274
2022-05-25,30.67274
2022-05-26,27.82212
2022-05-27,24.62941
2022-05-28,14.70923
2022-05-29,11.63055
2022-05-30,33.06727
2022-05-31,29.76054
2022-06-01,17.67388
2022-06-02,25.31356
2022-06-03,25.76966
2022-06-04,12.7708
2022-06-05,13.34093
2022-06-06,15.27936
2022-06-07,31.81299
2022-06-08,31.12884
2022-06-09,31.92702
2022-06-10,25.88369
2022-06-11,15.50741
2022-06-12,13.56898
2022-06-13,32.83922
2022-06-14,33.75142
2022-06-15,32.15507
