date,종합부동산세계산기
2021-10-26,2.2822
2021-10-27,2.42944
2021-10-28,2.02453
2021-10-29,1.92638
2021-10-30,1.60736
2021-10-31,1.66871
2021-11-01,2.49079
2021-11-02,2.80981
2021-11-03,2.23312
2021-11-04,2.24539
2021-11-05,2.1595
2021-11-06,1.68098
2021-11-07,11.88957
2021-11-08,14.04907
2021-11-09,7.30061
2021-11-10,7.06748
2021-11-11,13.52147
2021-11-12,6.88343
2021-11-13,7.28834
2021-11-14,15.71779
2021-11-15,17.54601
2021-11-16,16.94478
2021-11-17,12.61349
2021-11-18,13.17791
2021-11-19,10.0
2021-11-20,9.8773
2021-11-21,42.55214
2021-11-22,85.88957
2021-11-23,44.17177
2021-11-24,25.16564
2021-11-25,29.66871
2021-11-26,35.60736
2021-11-27,14.25766
2021-11-28,10.94478
2021-11-29,22.0368
2021-11-30,15.60736
2021-12-01,11.34969
2021-12-02,8.73619
2021-12-03,7.21472
2021-12-04,4.53987
2021-12-05,4.38036
2021-12-06,7.07975
2021-12-07,8.13496
2021-12-08,6.98159
2021-12-09,5.82822
2021-12-10,4.44171
2021-12-11,3.09202
2021-12-12,3.28834
2021-12-13,6.0368
2021-12-14,5.25153
2021-12-15,5.03067
2021-12-16,3.2638
2021-12-17,2.60122
2021-12-18,1.97546
2021-12-19,2.14723
2021-12-20,3.3865
2021-12-21,2.90797
2021-12-22,2.38036
2021-12-23,2.31901
2021-12-24,1.47239
2021-12-25,1.03067
2021-12-26,1.74233
2021-12-27,2.50306
2021-12-28,2.23312
2021-12-29,1.91411
2021-12-30,2.01226
2021-12-31,2.14723
2022-01-01,1.69325
2022-01-02,1.32515
2022-01-03,2.13496
2022-01-04,2.44171
2022-01-05,2.09815
2022-01-06,2.24539
2022-01-07,1.91411
2022-01-08,1.39877
2022-01-09,1.88957
2022-01-10,2.09815
2022-01-11,2.35582
2022-01-12,2.42944
2022-01-13,2.09815
2022-01-14,2.22085
2022-01-15,1.90184
2022-01-16,1.88957
2022-01-17,2.33128
2022-01-18,2.46625
2022-01-19,2.26993
2022-01-20,2.25766
2022-01-21,2.14723
2022-01-22,1.88957
2022-01-23,1.60736
2022-01-24,2.11042
2022-01-25,2.34355
2022-01-26,2.95705
2022-01-27,2.11042
2022-01-28,1.43558
2022-01-29,1.46012
2022-01-30,2.01226
2022-01-31,1.77914
2022-02-01,1.88957
2022-02-02,2.04907
2022-02-03,3.73006
2022-02-04,3.43558
2022-02-05,2.26993
2022-02-06,2.06134
2022-02-07,2.53987
2022-02-08,2.39263
2022-02-09,2.69938
2022-02-10,2.51533
2022-02-11,2.2822
2022-02-12,1.54601
