date,공모
2022-07-20,17.49598
2022-07-21,15.08828
2022-07-22,11.34296
2022-07-23,5.45746
2022-07-24,6.26003
2022-07-25,14.71375
2022-07-26,15.46281
2022-07-27,15.67683
2022-07-28,15.3558
2022-07-29,11.12894
2022-07-30,5.40395
2022-07-31,5.56447
2022-08-01,12.09202
2022-08-02,12.84109
2022-08-03,13.0016
2022-08-04,15.24879
2022-08-05,11.28945
2022-08-06,5.08293
2022-08-07,6.09951
2022-08-08,13.0016
2022-08-09,12.52006
2022-08-10,13.75066
2022-08-11,14.39272
2022-08-12,12.35955
2022-08-13,5.8855
2022-08-14,5.08293
2022-08-15,5.67148
2022-08-16,12.30604
2022-08-17,13.85767
2022-08-18,14.49973
2022-08-19,12.62707
2022-08-20,6.90208
2022-08-21,6.31353
2022-08-22,13.0551
2022-08-23,12.57356
2022-08-24,13.26912
2022-08-25,14.07169
2022-08-26,11.34296
2022-08-27,5.51096
2022-08-28,6.20652
2022-08-29,11.66399
2022-08-30,14.1252
2022-08-31,13.0016
2022-09-01,10.75441
2022-09-02,11.23595
2022-09-03,5.29695
2022-09-04,6.84858
2022-09-05,12.78758
2022-09-06,14.76725
2022-09-07,14.2322
2022-09-08,11.23595
2022-09-09,5.61797
2022-09-10,5.08293
2022-09-11,5.77849
2022-09-12,8.82825
2022-09-13,14.98127
2022-09-14,14.55323
2022-09-15,15.62332
2022-09-16,13.80417
2022-09-17,7.54414
2022-09-18,5.45746
2022-09-19,14.92776
2022-09-20,17.87051
2022-09-21,14.49973
2022-09-22,14.28571
2022-09-23,12.41305
2022-09-24,6.47405
2022-09-25,6.31353
2022-09-26,14.76725
2022-09-27,15.89085
2022-09-28,14.87426
2022-09-29,13.91118
2022-09-30,14.87426
2022-10-01,8.2932
2022-10-02,16.4794
2022-10-03,12.19903
2022-10-04,15.73033
2022-10-05,15.94435
2022-10-06,15.3023
2022-10-07,12.14553
2022-10-08,6.36704
2022-10-09,6.74157
2022-10-10,8.13269
2022-10-11,13.69716
2022-10-12,16.05136
2022-10-13,16.69341
2022-10-14,12.57356
2022-10-15,5.45746
2022-10-16,7.27661
2022-10-17,18.56607
2022-10-18,18.45906
2022-10-19,17.01444
2022-10-20,14.33921
2022-10-21,10.5939
2022-10-22,6.84858
2022-10-23,6.95559
2022-10-24,14.76725
2022-10-25,15.19529
2022-10-26,16.74692
2022-10-27,15.14178
2022-10-28,12.89459
2022-10-29,6.04601
2022-10-30,5.77849
2022-10-31,15.14178
2022-11-01,14.76725
2022-11-02,14.92776
2022-11-03,14.82075
2022-11-04,11.39646
2022-11-05,7.54414
2022-11-06,6.52755
2022-11-07,13.69716
2022-11-08,16.85393
2022-11-09,16.31888
2022-11-10,14.76725
2022-11-11,10.96843
2022-11-12,4.7619
2022-11-13,8.07918
2022-11-14,14.39272
2022-11-15,14.39272
2022-11-16,13.32263
2022-11-17,12.35955
2022-11-18,12.78758
2022-11-19,4.86891
2022-11-20,5.56447
2022-11-21,13.64365
2022-11-22,14.66024
2022-11-23,14.60674
2022-11-24,12.30604
2022-11-25,11.07544
2022-11-26,5.72498
2022-11-27,5.61797
2022-11-28,12.09202
2022-11-29,11.98501
2022-11-30,15.94435
2022-12-01,15.03477
2022-12-02,13.59015
2022-12-03,4.60139
2022-12-04,5.83199
2022-12-05,14.07169
2022-12-06,14.2322
2022-12-07,14.39272
2022-12-08,14.33921
2022-12-09,13.32263
2022-12-10,6.47405
2022-12-11,7.22311
2022-12-12,15.78384
2022-12-13,13.0551
2022-12-14,13.64365
2022-12-15,13.80417
2022-12-16,11.61048
2022-12-17,4.86891
2022-12-18,5.02942
2022-12-19,11.34296
2022-12-20,12.41305
2022-12-21,11.8245
2022-12-22,11.44997
2022-12-23,8.98876
2022-12-24,4.28036
2022-12-25,4.54788
2022-12-26,11.02193
2022-12-27,11.98501
2022-12-28,11.771
2022-12-29,11.02193
2022-12-30,8.2932
2022-12-31,4.8154
2023-01-01,6.36704
2023-01-02,14.60674
2023-01-03,16.5864
2023-01-04,17.71
2023-01-05,19.85018
2023-01-06,17.33547
2023-01-07,10.5939
2023-01-08,10.75441
2023-01-09,19.20813
2023-01-10,20.0107
2023-01-11,21.45532
2023-01-12,20.27822
2023-01-13,15.83734
2023-01-14,8.56072
2023-01-15,8.07918
2023-01-16,16.63991
2023-01-17,17.44248
2023-01-18,17.12145
2023-01-19,17.06795
2023-01-20,12.25254
2023-01-21,6.47405
2023-01-22,5.9925
2023-01-23,6.15302
2023-01-24,6.26003
2023-01-25,16.85393
2023-01-26,16.42589
2023-01-27,16.90743
2023-01-28,6.52755
2023-01-29,6.09951
2023-01-30,16.26538
2023-01-31,17.6565
2023-02-01,16.37239
2023-02-02,17.06795
2023-02-03,15.67683
2023-02-04,7.22311
2023-02-05,6.20652
2023-02-06,15.89085
2023-02-07,17.54949
2023-02-08,18.56607
2023-02-09,19.52915
2023-02-10,17.28196
2023-02-11,6.36704
2023-02-12,7.33012
2023-02-13,18.72659
2023-02-14,18.56607
2023-02-15,18.13804
2023-02-16,19.10112
2023-02-17,14.49973
2023-02-18,6.20652
2023-02-19,6.26003
2023-02-20,17.97752
2023-02-21,18.35205
2023-02-22,16.69341
2023-02-23,16.10486
2023-02-24,13.0016
2023-02-25,6.52755
2023-02-26,7.1161
2023-02-27,15.62332
2023-02-28,17.17495
2023-03-01,7.59764
2023-03-02,15.3558
2023-03-03,15.4093
2023-03-04,7.54414
2023-03-05,6.95559
2023-03-06,17.06795
2023-03-07,17.81701
2023-03-08,15.14178
2023-03-09,17.12145
2023-03-10,14.71375
2023-03-11,7.1161
2023-03-12,7.54414
2023-03-13,17.60299
2023-03-14,18.24505
2023-03-15,15.67683
2023-03-16,18.99411
2023-03-17,14.33921
2023-03-18,7.43713
2023-03-19,8.45371
2023-03-20,14.07169
2023-03-21,17.7635
2023-03-22,16.31888
2023-03-23,14.87426
2023-03-24,15.03477
2023-03-25,5.35045
2023-03-26,5.83199
2023-03-27,11.878
2023-03-28,17.01444
2023-03-29,16.5329
2023-03-30,16.05136
2023-03-31,15.67683
2023-04-01,6.20652
2023-04-02,7.65115
2023-04-03,14.98127
2023-04-04,15.89085
2023-04-05,15.14178
2023-04-06,16.63991
2023-04-07,14.49973
2023-04-08,7.1696
2023-04-09,7.0626
2023-04-10,16.26538
2023-04-11,17.17495
2023-04-12,17.87051
2023-04-13,16.85393
2023-04-14,13.32263
2023-04-15,6.04601
2023-04-16,6.15302
2023-04-17,16.96094
2023-04-18,17.49598
2023-04-19,14.33921
2023-04-20,14.1787
2023-04-21,12.73408
2023-04-22,5.56447
2023-04-23,5.72498
2023-04-24,12.78758
2023-04-25,15.78384
2023-04-26,15.99785
2023-04-27,14.1252
2023-04-28,13.37613
2023-04-29,4.86891
2023-04-30,5.02942
2023-05-01,11.07544
2023-05-02,15.73033
2023-05-03,15.19529
2023-05-04,14.07169
2023-05-05,5.13643
2023-05-06,5.18994
2023-05-07,5.8855
2023-05-08,14.07169
2023-05-09,14.1252
2023-05-10,14.39272
2023-05-11,14.55323
2023-05-12,13.32263
2023-05-13,6.04601
2023-05-14,6.74157
2023-05-15,14.1252
2023-05-16,17.54949
2023-05-17,15.03477
2023-05-18,12.9481
2023-05-19,13.48314
2023-05-20,5.02942
2023-05-21,5.83199
2023-05-22,15.73033
2023-05-23,14.82075
2023-05-24,14.60674
2023-05-25,13.0016
2023-05-26,14.1787
2023-05-27,5.8855
2023-05-28,5.51096
