date,상속세세율
2021-09-13,4.94575
2021-09-14,5.08875
2021-09-15,4.89151
2021-09-16,6.46942
2021-09-17,4.69921
2021-09-18,4.3639
2021-09-19,4.68934
2021-09-20,5.47337
2021-09-21,6.97731
2021-09-22,6.15384
2021-09-23,7.85009
2021-09-24,6.785
2021-09-25,5.40433
2021-09-26,5.26134
2021-09-27,6.14891
2021-09-28,6.49408
2021-09-29,7.0069
2021-09-30,6.20315
2021-10-01,5.0641
2021-10-02,5.23175
2021-10-03,4.49211
2021-10-04,5.22682
2021-10-05,5.55226
2021-10-06,6.2426
2021-10-07,5.81854
2021-10-08,5.73471
2021-10-09,7.82051
2021-10-10,8.95956
2021-10-11,6.62228
2021-10-12,6.50887
2021-10-13,6.16863
2021-10-14,5.69526
2021-10-15,5.16272
2021-10-16,4.40828
2021-10-17,4.38856
2021-10-18,6.80473
2021-10-19,6.20808
2021-10-20,5.54733
2021-10-21,5.75936
2021-10-22,5.26627
2021-10-23,4.33431
2021-10-24,5.29585
2021-10-25,6.50887
2021-10-26,5.30078
2021-10-27,4.88658
2021-10-28,5.08382
2021-10-29,4.95562
2021-10-30,4.31459
2021-10-31,5.20216
2021-11-01,4.87179
2021-11-02,6.13905
2021-11-03,5.45857
2021-11-04,4.68934
2021-11-05,4.32445
2021-11-06,3.8067
2021-11-07,5.04437
2021-11-08,4.85207
2021-11-09,4.94575
2021-11-10,5.79881
2021-11-11,4.6351
2021-11-12,4.6499
2021-11-13,4.28994
2021-11-14,5.11341
2021-11-15,6.26232
2021-11-16,4.99506
2021-11-17,4.72386
2021-11-18,4.55621
2021-11-19,6.13905
2021-11-20,4.47238
2021-11-21,4.88165
2021-11-22,5.16272
2021-11-23,4.58579
2021-11-24,4.43786
2021-11-25,4.7781
2021-11-26,4.51183
2021-11-27,4.41814
2021-11-28,4.71893
2021-11-29,5.38461
2021-11-30,5.24161
2021-12-01,5.02465
2021-12-02,4.47238
2021-12-03,4.37376
2021-12-04,3.91025
2021-12-05,4.35897
2021-12-06,4.78796
2021-12-07,5.36489
2021-12-08,4.97534
2021-12-09,4.5069
2021-12-10,4.12228
2021-12-11,3.86094
2021-12-12,3.78698
2021-12-13,4.76331
2021-12-14,4.24063
2021-12-15,4.44773
2021-12-16,4.32938
2021-12-17,3.61439
2021-12-18,3.28895
2021-12-19,3.68343
2021-12-20,4.44773
2021-12-21,4.0779
2021-12-22,4.12228
2021-12-23,4.14201
2021-12-24,3.36291
2021-12-25,3.1213
2021-12-26,3.56015
2021-12-27,4.16173
2021-12-28,4.17652
2021-12-29,4.34418
2021-12-30,4.0779
2021-12-31,3.63905
2022-01-01,3.60946
2022-01-02,4.08284
2022-01-03,5.31065
2022-01-04,4.60552
2022-01-05,4.28007
2022-01-06,4.65976
2022-01-07,4.40335
2022-01-08,4.29487
2022-01-09,4.24063
2022-01-10,4.73865
2022-01-11,4.87179
2022-01-12,4.63017
2022-01-13,4.61538
2022-01-14,4.38856
2022-01-15,4.67948
2022-01-16,4.82248
2022-01-17,4.46252
2022-01-18,4.45759
2022-01-19,4.65976
2022-01-20,4.13708
2022-01-21,4.10256
2022-01-22,5.31065
2022-01-23,5.25147
2022-01-24,4.79783
2022-01-25,4.00394
2022-01-26,4.30473
2022-01-27,4.35404
2022-01-28,4.05325
2022-01-29,3.90039
2022-01-30,3.98422
2022-01-31,5.00986
2022-02-01,5.74457
2022-02-02,5.32544
2022-02-03,6.6568
2022-02-04,5.6854
2022-02-05,4.51183
2022-02-06,5.0
2022-02-07,5.45857
2022-02-08,4.83727
