date,SPDRS&P500
2021-07-10,16.01423
2021-07-11,14.94661
2021-07-12,30.24911
2021-07-13,43.06049
2021-07-14,36.29893
2021-07-15,41.99288
2021-07-16,27.40213
2021-07-17,19.57295
2021-07-18,21.70818
2021-07-19,36.29893
2021-07-20,35.94306
2021-07-21,35.23131
2021-07-22,28.82562
2021-07-23,33.80782
2021-07-24,20.64056
2021-07-25,20.64056
2021-07-26,32.74021
2021-07-27,38.07829
2021-07-28,33.09608
2021-07-29,19.92882
2021-07-30,32.74021
2021-07-31,19.21708
2021-08-01,19.21708
2021-08-02,42.34875
2021-08-03,52.66903
2021-08-04,51.60142
2021-08-05,46.97508
2021-08-06,51.24555
2021-08-07,43.06049
2021-08-08,35.94306
2021-08-09,54.09252
2021-08-10,56.58362
2021-08-11,62.98932
2021-08-12,64.41281
2021-08-13,49.11032
2021-08-14,36.29893
2021-08-15,28.46975
2021-08-16,49.11032
2021-08-17,70.10676
2021-08-18,62.98932
2021-08-19,58.36298
2021-08-20,54.09252
2021-08-21,36.6548
2021-08-22,28.11387
2021-08-23,39.85765
2021-08-24,81.85053
2021-08-25,80.07117
2021-08-26,77.58007
2021-08-27,55.87188
2021-08-28,48.75444
2021-08-29,39.1459
2021-08-30,57.65124
2021-08-31,98.22064
2021-09-01,70.46263
2021-09-02,79.35943
2021-09-03,73.66548
2021-09-04,49.46619
2021-09-05,35.23131
2021-09-06,52.66903
2021-09-07,64.05693
2021-09-08,69.03914
2021-09-09,53.02491
2021-09-10,52.31316
2021-09-11,36.29893
2021-09-12,34.1637
2021-09-13,54.44839
2021-09-14,79.00355
2021-09-15,59.78647
2021-09-16,55.87188
2021-09-17,42.34875
2021-09-18,33.09608
2021-09-19,24.19928
2021-09-20,44.12811
2021-09-21,56.9395
2021-09-22,51.95729
2021-09-23,65.12455
2021-09-24,74.37722
2021-09-25,43.41637
2021-09-26,28.82562
2021-09-27,48.75444
2021-09-28,61.20996
2021-09-29,70.10676
2021-09-30,58.00711
2021-10-01,45.90747
2021-10-02,29.53736
2021-10-03,21.70818
2021-10-04,44.12811
2021-10-05,52.66903
2021-10-06,47.68683
2021-10-07,43.77224
2021-10-08,44.12811
2021-10-09,24.55516
2021-10-10,12.09964
2021-10-11,27.758
2021-10-12,38.43416
2021-10-13,35.58718
2021-10-14,37.72241
2021-10-15,41.99288
2021-10-16,25.62277
2021-10-17,23.13167
2021-10-18,32.02846
2021-10-19,45.90747
2021-10-20,44.83985
2021-10-21,53.38078
2021-10-22,51.60142
2021-10-23,26.33451
2021-10-24,21.35231
2021-10-25,47.68683
2021-10-26,68.3274
2021-10-27,54.44839
2021-10-28,44.83985
2021-10-29,45.90747
2021-10-30,25.62277
2021-10-31,23.84341
2021-11-01,51.60142
2021-11-02,57.65124
2021-11-03,66.19217
2021-11-04,64.76868
2021-11-05,74.73309
2021-11-06,37.72241
2021-11-07,25.62277
2021-11-08,60.49822
2021-11-09,61.20996
2021-11-10,56.58362
2021-11-11,62.98932
2021-11-12,49.82206
2021-11-13,37.36654
2021-11-14,21.35231
2021-11-15,50.5338
2021-11-16,57.29537
2021-11-17,65.83629
2021-11-18,68.3274
2021-11-19,64.05693
2021-11-20,40.56939
2021-11-21,27.758
2021-11-22,64.76868
2021-11-23,100.0
2021-11-24,71.53024
2021-11-25,61.56583
2021-11-26,48.39857
2021-11-27,41.99288
2021-11-28,32.02846
2021-11-29,72.59786
2021-11-30,70.10676
2021-12-01,67.97153
2021-12-02,60.85409
2021-12-03,52.31316
2021-12-04,32.02846
2021-12-05,20.64056
2021-12-06,36.29893
2021-12-07,59.07473
2021-12-08,56.22775
2021-12-09,52.31316
2021-12-10,41.28113
2021-12-11,33.80782
2021-12-12,22.41992
2021-12-13,36.6548
2021-12-14,43.77224
2021-12-15,40.21352
2021-12-16,37.36654
2021-12-17,35.23131
2021-12-18,21.35231
2021-12-19,22.06405
2021-12-20,36.29893
2021-12-21,46.26334
2021-12-22,45.90747
2021-12-23,49.46619
2021-12-24,39.50177
2021-12-25,24.19928
2021-12-26,16.72597
2021-12-27,41.63701
2021-12-28,60.14234
2021-12-29,62.63345
2021-12-30,57.29537
2021-12-31,34.87544
2022-01-01,33.09608
2022-01-02,27.758
2022-01-03,52.66903
2022-01-04,73.3096
2022-01-05,64.41281
2022-01-06,59.78647
2022-01-07,46.97508
2022-01-08,32.74021
2022-01-09,28.46975
2022-01-10,40.56939
2022-01-11,59.07473
2022-01-12,53.02491
2022-01-13,48.39857
2022-01-14,53.02491
2022-01-15,40.21352
2022-01-16,69.75088
2022-01-17,70.46263
2022-01-18,66.54804
2022-01-19,86.12099
2022-01-20,79.35943
2022-01-21,83.27402
2022-01-22,42.34875
2022-01-23,28.82562
2022-01-24,50.88967
2022-01-25,87.54448
2022-01-26,82.2064
2022-01-27,75.44483
2022-01-28,74.37722
2022-01-29,37.72241
2022-01-30,27.758
2022-01-31,40.56939
2022-02-01,62.27758
2022-02-02,66.54804
2022-02-03,96.44128
2022-02-04,91.81494
2022-02-05,68.3274
2022-02-06,48.75444
2022-02-07,70.46263
2022-02-08,72.24199
2022-02-09,65.12455
2022-02-10,68.3274
2022-02-11,58.00711
2022-02-12,38.43416
2022-02-13,28.82562
2022-02-14,52.31316
2022-02-15,55.51601
2022-02-16,58.00711
2022-02-17,57.65124
2022-02-18,48.39857
2022-02-19,31.31672
2022-02-20,24.19928
2022-02-21,27.758
2022-02-22,50.17793
2022-02-23,45.5516
2022-02-24,72.95373
2022-02-25,70.10676
2022-02-26,35.58718
2022-02-27,22.06405
2022-02-28,43.41637
2022-03-01,50.17793
2022-03-02,36.6548
2022-03-03,46.97508
2022-03-04,37.36654
2022-03-05,29.89323
2022-03-06,20.99644
2022-03-07,22.7758
2022-03-08,40.21352
2022-03-09,33.80782
2022-03-10,33.45195
2022-03-11,33.09608
2022-03-12,26.33451
2022-03-13,15.30249
2022-03-14,25.97864
2022-03-15,34.51957
2022-03-16,40.56939
2022-03-17,38.79003
2022-03-18,43.06049
2022-03-19,33.45195
2022-03-20,23.84341
2022-03-21,43.41637
2022-03-22,55.16014
2022-03-23,43.06049
2022-03-24,39.85765
2022-03-25,53.73665
2022-03-26,25.62277
2022-03-27,19.92882
2022-03-28,36.29893
2022-03-29,24.91103
2022-03-30,51.60142
2022-03-31,44.83985
2022-04-01,48.39857
2022-04-02,27.04626
2022-04-03,23.13167
2022-04-04,40.21352
2022-04-05,46.97508
2022-04-06,41.28113
2022-04-07,35.58718
2022-04-08,32.38434
2022-04-09,45.19572
2022-04-10,40.56939
2022-04-11,32.02846
2022-04-12,43.06049
2022-04-13,42.70462
2022-04-14,44.12811
2022-04-15,30.96085
2022-04-16,15.65836
2022-04-17,15.30249
2022-04-18,19.92882
2022-04-19,22.7758
2022-04-20,25.2669
2022-04-21,25.62277
2022-04-22,24.19928
2022-04-23,22.41992
2022-04-24,10.32028
2022-04-25,28.46975
2022-04-26,33.09608
2022-04-27,28.46975
2022-04-28,29.18149
2022-04-29,26.69039
2022-04-30,18.50533
2022-05-01,17.43772
2022-05-02,32.38434
2022-05-03,17.08185
2022-05-04,28.11387
2022-05-05,27.40213
2022-05-06,34.1637
2022-05-07,18.50533
2022-05-08,16.01423
2022-05-09,28.46975
2022-05-10,41.63701
2022-05-11,37.36654
2022-05-12,28.46975
2022-05-13,24.91103
2022-05-14,19.92882
2022-05-15,10.32028
2022-05-16,24.19928
2022-05-17,23.48754
2022-05-18,19.92882
2022-05-19,28.11387
2022-05-20,21.35231
2022-05-21,13.52313
2022-05-22,11.03202
2022-05-23,14.59074
2022-05-24,24.55516
2022-05-25,20.99644
2022-05-26,24.55516
2022-05-27,18.8612
2022-05-28,8.89679
2022-05-29,9.96441
2022-05-30,21.70818
2022-05-31,24.91103
2022-06-01,20.99644
2022-06-02,17.08185
2022-06-03,24.19928
2022-06-04,8.18505
2022-06-05,11.3879
2022-06-06,16.01423
2022-06-07,10.67615
2022-06-08,22.7758
2022-06-09,18.14946
2022-06-10,16.01423
2022-06-11,14.23487
2022-06-12,7.11743
2022-06-13,23.13167
2022-06-14,25.2669
2022-06-15,29.53736
2022-06-16,22.7758
2022-06-17,25.62277
2022-06-18,15.30249
2022-06-19,11.3879
2022-06-20,18.14946
2022-06-21,22.06405
2022-06-22,25.2669
2022-06-23,16.3701
2022-06-24,22.7758
2022-06-25,6.04982
2022-06-26,4.62633
2022-06-27,11.03202
2022-06-28,14.59074
2022-06-29,7.11743
2022-06-30,8.18505
2022-07-01,12.09964
2022-07-02,3.55871
2022-07-04,5.33807
2022-07-05,3.91459
2022-07-06,11.03202
2022-07-07,10.32028
2022-07-08,9.60854
2022-07-09,4.9822
2022-07-10,4.27046
2022-07-11,9.96441
2022-07-12,12.09964
2022-07-13,8.54092
2022-07-14,13.52313
2022-07-15,10.32028
2022-07-16,4.9822
2022-07-17,4.27046
2022-07-18,9.25266
2022-07-19,14.59074
2022-07-20,12.09964
2022-07-21,12.09964
2022-07-22,12.09964
2022-07-23,5.33807
2022-07-24,3.55871
2022-07-25,10.67615
2022-07-26,7.82918
2022-07-27,12.45551
2022-07-28,7.82918
2022-07-29,7.4733
2022-07-30,6.04982
2022-07-31,2.13523
2022-08-01,13.52313
2022-08-02,8.54092
2022-08-03,14.23487
2022-08-04,20.64056
2022-08-05,8.54092
2022-08-06,4.62633
2022-08-07,5.69395
2022-08-08,6.40569
2022-08-09,8.54092
2022-08-10,13.52313
2022-08-11,11.03202
2022-08-12,8.54092
2022-08-13,3.91459
2022-08-15,11.3879
2022-08-16,12.45551
2022-08-17,17.08185
2022-08-18,11.3879
2022-08-19,13.879
2022-08-20,3.20284
2022-08-21,3.91459
2022-08-22,11.74377
2022-08-23,10.67615
2022-08-24,12.09964
2022-08-25,9.60854
2022-08-26,13.16725
2022-08-27,10.67615
2022-08-28,4.62633
2022-08-29,12.81138
2022-08-30,6.76156
2022-08-31,13.52313
2022-09-01,13.52313
2022-09-02,3.91459
2022-09-03,4.9822
2022-09-04,4.62633
2022-09-05,10.32028
2022-09-06,6.04982
2022-09-07,7.4733
2022-09-08,7.4733
2022-09-09,6.76156
2022-09-10,6.40569
2022-09-11,4.9822
2022-09-12,4.9822
2022-09-13,11.3879
2022-09-14,15.30249
2022-09-15,6.04982
2022-09-16,9.25266
2022-09-17,4.27046
2022-09-18,4.27046
2022-09-19,4.27046
2022-09-20,10.32028
2022-09-21,7.4733
2022-09-22,6.04982
2022-09-23,6.04982
2022-09-24,7.11743
2022-09-25,6.76156
2022-09-26,7.82918
2022-09-27,11.74377
2022-09-28,11.3879
2022-09-29,8.18505
2022-09-30,10.67615
2022-10-01,6.40569
2022-10-02,1.77935
2022-10-03,12.45551
2022-10-04,6.04982
2022-10-05,3.20284
2022-10-06,10.67615
2022-10-07,5.69395
2022-10-08,3.20284
2022-10-09,2.84697
2022-10-10,3.55871
2022-10-11,7.11743
