date,베트남환율
2021-10-31,5.44128
2021-11-01,8.89582
2021-11-02,8.34182
2021-11-03,9.04228
2021-11-04,8.01706
2021-11-05,7.88334
2021-11-06,5.3394
2021-11-07,5.33303
2021-11-08,8.22401
2021-11-09,10.65015
2021-11-10,8.63155
2021-11-11,8.31953
2021-11-12,7.50445
2021-11-13,5.08787
2021-11-14,4.54661
2021-11-15,8.23357
2021-11-16,7.82921
2021-11-17,7.14467
2021-11-18,6.81036
2021-11-19,7.04597
2021-11-20,5.28209
2021-11-21,4.97007
2021-11-22,7.81647
2021-11-23,7.16696
2021-11-24,7.17333
2021-11-25,7.94701
2021-11-26,7.55221
2021-11-27,5.58774
2021-11-28,5.05922
2021-11-29,8.36411
2021-11-30,8.45962
2021-12-01,9.63448
2021-12-02,8.65384
2021-12-03,8.28769
2021-12-04,5.58774
2021-12-05,5.00509
2021-12-06,10.33813
2021-12-07,11.36971
2021-12-08,10.86665
2021-12-09,9.56444
2021-12-10,9.37659
2021-12-11,5.85838
2021-12-12,5.40944
2021-12-13,9.14416
2021-12-14,8.09666
2021-12-15,8.8194
2021-12-16,8.07119
2021-12-17,7.58723
2021-12-18,5.50815
2021-12-19,5.11016
2021-12-20,9.29062
2021-12-21,9.02954
2021-12-22,7.9311
2021-12-23,8.50738
2021-12-24,7.65091
2021-12-25,5.17065
2021-12-26,5.32666
2021-12-27,8.48828
2021-12-28,8.28769
2021-12-29,7.78464
2021-12-30,8.21446
2021-12-31,6.86767
2022-01-01,5.05922
2022-01-02,5.28846
2022-01-03,8.59653
2022-01-04,9.59628
2022-01-05,10.25216
2022-01-06,10.35723
2022-01-07,9.64722
2022-01-08,7.06507
2022-01-09,6.94727
2022-01-10,11.43339
2022-01-11,10.81889
2022-01-12,10.41454
2022-01-13,10.15983
2022-01-14,10.16301
2022-01-15,7.06189
2022-01-16,6.34233
2022-01-17,10.21714
2022-01-18,10.31265
2022-01-19,8.9786
2022-01-20,9.02636
2022-01-21,9.63767
2022-01-22,7.17014
2022-01-23,6.49834
2022-01-24,10.07705
2022-01-25,10.22669
2022-01-26,10.77432
2022-01-27,10.48458
2022-01-28,11.10226
2022-01-29,6.97592
2022-01-30,7.19243
2022-01-31,5.6355
2022-02-01,6.60341
2022-02-02,7.1383
2022-02-03,7.78145
2022-02-04,7.72096
2022-02-05,6.12901
2022-02-06,6.38372
2022-02-07,9.72045
2022-02-08,9.49121
2022-02-09,9.6504
2022-02-10,10.47822
2022-02-11,9.26197
2022-02-12,6.17358
2022-02-13,5.83609
2022-02-14,9.32564
2022-02-15,9.69179
2022-02-16,9.20147
2022-02-17,9.05183
2022-02-18,8.80348
2022-02-19,6.25955
2022-02-20,5.83927
2022-02-21,9.00725
2022-02-22,8.83214
2022-02-23,8.86716
2022-02-24,10.47822
2022-02-25,9.82233
2022-02-26,6.23726
2022-02-27,5.80106
2022-02-28,9.02954
2022-03-01,8.12213
2022-03-02,9.57399
2022-03-03,8.47236
2022-03-04,9.63767
2022-03-05,7.36754
2022-03-06,7.32297
2022-03-07,12.27712
2022-03-08,12.39493
2022-03-09,8.72389
2022-03-10,11.30603
2022-03-11,10.91441
2022-03-12,8.06482
2022-03-13,7.79737
2022-03-14,11.7677
2022-03-15,12.40448
2022-03-16,12.3217
2022-03-17,14.75738
2022-03-18,13.95822
2022-03-19,10.18848
2022-03-20,9.10277
2022-03-21,13.0922
2022-03-22,12.85659
2022-03-23,12.08927
2022-03-24,12.29941
2022-03-25,11.1532
2022-03-26,8.55514
2022-03-27,8.08392
2022-03-28,12.54775
2022-03-29,11.98102
2022-03-30,12.75152
2022-03-31,11.946
2022-04-01,10.96217
2022-04-02,7.62226
2022-04-03,7.42167
2022-04-04,11.57348
