date,선물거래소
2022-08-10,15.13513
2022-08-11,22.16216
2022-08-12,18.91891
2022-08-13,15.67567
2022-08-14,14.59459
2022-08-15,9.72972
2022-08-16,18.37837
2022-08-17,24.86486
2022-08-18,31.89189
2022-08-19,17.29729
2022-08-20,11.35135
2022-08-21,18.37837
2022-08-22,17.29729
2022-08-23,21.62162
2022-08-24,23.78378
2022-08-25,22.7027
2022-08-26,22.16216
2022-08-27,9.18918
2022-08-28,4.86486
2022-08-29,21.62162
2022-08-30,18.91891
2022-08-31,17.29729
2022-09-01,18.37837
2022-09-02,21.62162
2022-09-03,18.91891
2022-09-04,10.27027
2022-09-05,16.75675
2022-09-06,22.7027
2022-09-07,21.08108
2022-09-08,20.54054
2022-09-09,5.4054
2022-09-10,12.43243
2022-09-11,5.94594
2022-09-12,11.89189
2022-09-13,18.91891
2022-09-14,22.16216
2022-09-15,16.21621
2022-09-16,17.29729
2022-09-17,15.67567
2022-09-18,7.02702
2022-09-19,28.64864
2022-09-20,21.08108
2022-09-21,28.1081
2022-09-22,21.62162
2022-09-23,14.05405
2022-09-24,6.48648
2022-09-25,13.51351
2022-09-26,25.4054
2022-09-27,21.08108
2022-09-28,25.94594
2022-09-29,21.08108
2022-09-30,22.16216
2022-10-01,26.48648
2022-10-02,12.97297
2022-10-03,18.37837
2022-10-04,30.81081
2022-10-05,38.37837
2022-10-06,30.27027
2022-10-07,20.54054
2022-10-08,21.62162
2022-10-09,18.37837
2022-10-10,21.62162
2022-10-11,27.56756
2022-10-12,25.4054
2022-10-13,23.78378
2022-10-14,21.08108
2022-10-15,18.37837
2022-10-16,18.37837
2022-10-17,24.86486
2022-10-18,23.24324
2022-10-19,21.08108
2022-10-20,21.08108
2022-10-21,14.59459
2022-10-22,10.27027
2022-10-23,7.02702
2022-10-24,25.4054
2022-10-25,17.83783
2022-10-26,15.13513
2022-10-27,21.08108
2022-10-28,21.08108
2022-10-29,12.97297
2022-10-30,9.72972
2022-10-31,19.45945
2022-11-01,25.4054
2022-11-02,22.7027
2022-11-03,28.1081
2022-11-04,15.67567
2022-11-05,14.59459
2022-11-06,8.1081
2022-11-07,28.1081
2022-11-08,27.56756
2022-11-09,45.94594
2022-11-10,38.91891
2022-11-11,36.21621
2022-11-12,16.75675
2022-11-13,25.4054
2022-11-14,38.37837
2022-11-15,28.64864
2022-11-16,34.59459
2022-11-17,33.51351
2022-11-18,21.08108
2022-11-19,11.89189
2022-11-20,19.45945
2022-11-21,25.4054
2022-11-22,25.94594
2022-11-23,28.64864
2022-11-24,27.02702
2022-11-25,30.27027
2022-11-26,14.05405
2022-11-27,10.27027
2022-11-28,18.37837
2022-11-29,17.29729
2022-11-30,30.81081
2022-12-01,20.54054
2022-12-02,16.75675
2022-12-03,3.24324
2022-12-04,10.81081
2022-12-05,18.91891
2022-12-06,24.86486
2022-12-07,24.32432
2022-12-08,30.81081
2022-12-09,20.0
2022-12-10,9.18918
2022-12-11,7.56756
2022-12-12,23.24324
2022-12-13,25.4054
2022-12-14,29.18918
2022-12-15,14.59459
2022-12-16,22.7027
2022-12-17,9.72972
2022-12-18,10.81081
2022-12-19,17.83783
2022-12-20,27.02702
2022-12-21,22.16216
2022-12-22,25.4054
2022-12-23,12.97297
2022-12-24,9.72972
2022-12-25,10.27027
2022-12-26,15.13513
2022-12-27,18.37837
2022-12-28,21.62162
2022-12-29,30.81081
2022-12-30,18.37837
2022-12-31,13.51351
2023-01-01,14.05405
2023-01-02,13.51351
2023-01-03,22.16216
2023-01-04,12.97297
2023-01-05,25.94594
2023-01-06,23.78378
2023-01-07,20.54054
2023-01-08,15.13513
2023-01-09,20.54054
2023-01-10,25.4054
2023-01-11,22.7027
2023-01-12,16.21621
2023-01-13,20.54054
2023-01-14,17.29729
2023-01-15,8.64864
2023-01-16,21.62162
2023-01-17,21.62162
2023-01-18,16.21621
2023-01-19,12.97297
2023-01-20,14.05405
2023-01-21,9.18918
2023-01-22,12.43243
2023-01-23,12.97297
2023-01-24,9.72972
2023-01-25,18.91891
2023-01-26,23.24324
2023-01-27,12.43243
2023-01-28,14.59459
2023-01-29,12.97297
2023-01-30,29.72972
2023-01-31,21.62162
2023-02-01,24.32432
2023-02-02,32.43243
2023-02-03,27.02702
2023-02-04,17.29729
2023-02-05,13.51351
2023-02-06,23.24324
2023-02-07,27.56756
2023-02-08,17.83783
2023-02-09,22.7027
2023-02-10,20.54054
2023-02-11,10.81081
2023-02-12,14.05405
2023-02-13,18.91891
2023-02-14,27.02702
2023-02-15,19.45945
2023-02-16,25.4054
2023-02-17,23.24324
2023-02-18,16.21621
2023-02-19,15.13513
2023-02-20,23.24324
2023-02-21,21.08108
2023-02-22,21.62162
2023-02-23,23.78378
2023-02-24,17.29729
2023-02-25,7.56756
2023-02-26,11.35135
2023-02-27,18.37837
2023-02-28,15.67567
2023-03-01,24.32432
2023-03-02,25.4054
2023-03-03,15.67567
2023-03-04,11.89189
2023-03-05,8.64864
2023-03-06,16.21621
2023-03-07,22.16216
2023-03-08,24.86486
2023-03-09,23.24324
2023-03-10,24.86486
2023-03-11,8.1081
2023-03-12,17.83783
2023-03-13,20.54054
2023-03-14,25.4054
2023-03-15,16.75675
2023-03-16,21.08108
2023-03-17,27.56756
2023-03-18,7.56756
2023-03-19,12.43243
2023-03-20,21.62162
2023-03-21,23.78378
2023-03-22,21.08108
2023-03-23,23.78378
2023-03-24,21.62162
2023-03-25,12.97297
2023-03-26,16.75675
2023-03-27,22.16216
2023-03-28,32.43243
2023-03-29,22.7027
2023-03-30,20.54054
2023-03-31,25.4054
2023-04-01,19.45945
2023-04-02,17.83783
2023-04-03,25.94594
2023-04-04,25.4054
2023-04-05,32.43243
2023-04-06,31.89189
2023-04-07,25.94594
2023-04-08,11.35135
2023-04-09,10.27027
2023-04-10,15.67567
2023-04-11,20.0
2023-04-12,23.78378
2023-04-13,20.54054
2023-04-14,24.32432
2023-04-15,12.97297
2023-04-16,8.1081
2023-04-17,27.56756
2023-04-18,26.48648
2023-04-19,36.21621
2023-04-20,29.18918
2023-04-21,18.37837
2023-04-22,17.29729
2023-04-23,17.29729
2023-04-24,22.16216
2023-04-25,23.78378
2023-04-26,23.24324
2023-04-27,23.24324
2023-04-28,24.32432
2023-04-29,12.97297
2023-04-30,11.35135
2023-05-01,15.13513
2023-05-02,24.32432
2023-05-03,20.54054
2023-05-04,24.86486
2023-05-05,15.13513
2023-05-06,21.08108
2023-05-07,11.35135
2023-05-08,16.21621
2023-05-09,30.27027
2023-05-10,23.24324
2023-05-11,21.62162
2023-05-12,20.0
2023-05-13,9.72972
2023-05-14,15.67567
2023-05-15,18.91891
2023-05-16,18.37837
2023-05-17,27.02702
2023-05-18,21.08108
2023-05-19,15.13513
2023-05-20,14.59459
2023-05-21,15.13513
2023-05-22,21.62162
2023-05-23,23.24324
2023-05-24,25.94594
2023-05-25,20.0
2023-05-26,20.0
2023-05-27,14.05405
2023-05-28,8.64864
2023-05-29,14.05405
2023-05-30,15.67567
2023-05-31,18.91891
2023-06-01,23.24324
2023-06-02,12.97297
2023-06-03,9.72972
2023-06-04,8.64864
2023-06-05,17.29729
2023-06-06,21.62162
2023-06-07,20.54054
2023-06-08,22.16216
2023-06-09,22.16216
2023-06-10,21.62162
2023-06-11,16.21621
2023-06-12,20.54054
2023-06-13,16.21621
2023-06-14,19.45945
2023-06-15,15.13513
2023-06-16,18.37837
2023-06-17,16.21621
2023-06-18,5.4054
2023-06-19,18.37837
2023-06-20,19.45945
2023-06-21,17.29729
2023-06-22,20.54054
2023-06-23,15.13513
2023-06-24,11.89189
2023-06-25,15.67567
2023-06-26,14.05405
