date,집에서할수있는부업
2021-10-18,36.89167
2021-10-19,43.3281
2021-10-20,41.13029
2021-10-21,42.85714
2021-10-22,34.53689
2021-10-23,24.64678
2021-10-24,28.8854
2021-10-25,47.25274
2021-10-26,44.74097
2021-10-27,42.22919
2021-10-28,42.85714
2021-10-29,41.28728
2021-10-30,26.68759
2021-10-31,27.78649
2021-11-01,45.68288
2021-11-02,47.88069
2021-11-03,45.68288
2021-11-04,41.60125
2021-11-05,41.44427
2021-11-06,23.54788
2021-11-07,26.68759
2021-11-08,46.93877
2021-11-09,46.6248
2021-11-10,47.7237
2021-11-11,40.34536
2021-11-12,40.34536
2021-11-13,24.80376
2021-11-14,31.86813
2021-11-15,47.88069
2021-11-16,42.22919
2021-11-17,43.95604
2021-11-18,46.93877
2021-11-19,38.46153
2021-11-20,26.05965
2021-11-21,30.76923
2021-11-22,44.89795
2021-11-23,54.78806
2021-11-24,48.03767
2021-11-25,51.33437
2021-11-26,44.74097
2021-11-27,34.69387
2021-11-28,38.46153
2021-11-29,52.90423
2021-11-30,52.59026
2021-12-01,57.14285
2021-12-02,45.36891
2021-12-03,38.93249
2021-12-04,31.24018
2021-12-05,41.75824
2021-12-06,62.00941
2021-12-07,52.27629
2021-12-08,47.25274
2021-12-09,49.60753
2021-12-10,46.6248
2021-12-11,40.50235
2021-12-12,40.65934
2021-12-13,53.84615
2021-12-14,57.29984
2021-12-15,60.12558
2021-12-16,56.35792
2021-12-17,46.15384
2021-12-18,37.99058
2021-12-19,51.0204
2021-12-20,51.49136
2021-12-21,53.21821
2021-12-22,48.03767
2021-12-23,45.83987
2021-12-24,32.81004
2021-12-25,28.8854
2021-12-26,43.01412
2021-12-27,53.84615
2021-12-28,58.55572
2021-12-29,56.04395
2021-12-30,50.86342
2021-12-31,36.42072
2022-01-01,37.83359
2022-01-02,51.0204
2022-01-03,62.00941
2022-01-04,68.44583
2022-01-05,68.28885
2022-01-06,66.562
2022-01-07,53.21821
2022-01-08,49.45054
2022-01-09,50.39246
2022-01-10,70.32967
2022-01-11,71.11459
2022-01-12,58.8697
2022-01-13,62.63736
2022-01-14,47.56671
2022-01-15,43.17111
2022-01-16,45.36891
2022-01-17,58.24175
2022-01-18,51.33437
2022-01-19,56.82888
2022-01-20,53.84615
2022-01-21,46.78178
2022-01-22,40.03139
2022-01-23,45.68288
2022-01-24,56.82888
2022-01-25,55.57299
2022-01-26,46.78178
2022-01-27,48.03767
2022-01-28,42.38618
2022-01-29,30.45525
2022-01-30,31.55416
2022-01-31,26.21664
2022-02-01,31.24018
2022-02-02,39.56043
2022-02-03,53.37519
2022-02-04,43.3281
2022-02-05,41.60125
2022-02-06,55.10204
2022-02-07,68.28885
2022-02-08,57.29984
2022-02-09,54.00313
2022-02-10,55.72998
2022-02-11,51.64835
2022-02-12,43.95604
2022-02-13,50.70643
2022-02-14,60.12558
2022-02-15,65.93406
2022-02-16,60.43956
2022-02-17,64.67817
2022-02-18,53.53218
2022-02-19,48.8226
2022-02-20,48.8226
2022-02-21,59.18367
2022-02-22,65.77708
2022-02-23,66.40502
2022-02-24,53.84615
2022-02-25,57.45682
2022-02-26,47.09576
2022-02-27,48.50863
2022-02-28,52.43328
2022-03-01,55.57299
2022-03-02,62.63736
2022-03-03,51.96232
2022-03-04,43.48508
2022-03-05,38.61852
2022-03-06,39.87441
2022-03-07,60.12558
2022-03-08,48.19466
2022-03-09,33.43799
2022-03-10,53.53218
2022-03-11,54.94505
2022-03-12,39.71742
2022-03-13,49.45054
2022-03-14,67.34693
2022-03-15,55.41601
2022-03-16,49.45054
2022-03-17,51.17739
2022-03-18,53.37519
2022-03-19,37.6766
2022-03-20,41.13029
2022-03-21,52.74725
2022-03-22,52.43328
2022-03-23,47.56671
2022-03-24,45.83987
2022-03-25,38.77551
2022-03-26,34.06593
2022-03-27,35.94976
2022-03-28,44.58398
2022-03-29,46.78178
2022-03-30,48.50863
2022-03-31,56.98587
2022-04-01,32.96703
2022-04-02,31.24018
2022-04-03,31.71114
2022-04-04,39.71742
2022-04-05,47.7237
2022-04-06,40.97331
2022-04-07,40.97331
