date,해외ETF
2023-01-12,20.92391
2023-01-13,7.33695
2023-01-14,6.79347
2023-01-15,3.80434
2023-01-16,6.25
2023-01-17,7.60869
2023-01-18,10.32608
2023-01-19,12.5
2023-01-20,11.68478
2023-01-21,5.16304
2023-01-22,2.44565
2023-01-23,10.05434
2023-01-24,20.10869
2023-01-25,14.67391
2023-01-26,16.84782
2023-01-27,27.71739
2023-01-28,15.21739
2023-01-29,7.33695
2023-01-30,14.67391
2023-01-31,17.3913
2023-02-01,14.13043
2023-02-02,29.8913
2023-02-03,26.90217
2023-02-04,9.23913
2023-02-05,7.06521
2023-02-06,11.41304
2023-02-07,25.0
2023-02-08,27.71739
2023-02-09,24.72826
2023-02-10,15.21739
2023-02-11,7.60869
2023-02-12,6.79347
2023-02-13,18.47826
2023-02-14,10.86956
2023-02-15,22.82608
2023-02-16,13.58695
2023-02-17,11.95652
2023-02-18,6.25
2023-02-19,5.43478
2023-02-20,9.23913
2023-02-21,13.85869
2023-02-22,13.85869
2023-02-23,13.04347
2023-02-24,13.04347
2023-02-25,8.69565
2023-02-26,3.5326
2023-02-27,11.1413
2023-02-28,16.0326
2023-03-01,11.41304
2023-03-02,10.86956
2023-03-03,20.38043
2023-03-04,13.04347
2023-03-05,7.88043
2023-03-06,12.22826
2023-03-07,13.58695
2023-03-08,11.41304
2023-03-09,10.32608
2023-03-10,7.60869
2023-03-11,2.44565
2023-03-12,3.26086
2023-03-13,7.88043
2023-03-14,10.32608
2023-03-15,14.13043
2023-03-16,15.21739
2023-03-17,16.84782
2023-03-18,5.16304
2023-03-19,6.25
2023-03-20,13.31521
2023-03-21,9.51086
2023-03-22,18.47826
2023-03-23,19.29347
2023-03-24,16.0326
2023-03-25,6.79347
2023-03-26,3.26086
2023-03-27,16.84782
2023-03-28,15.48913
2023-03-29,13.31521
2023-03-30,22.82608
2023-03-31,15.21739
2023-04-01,13.85869
2023-04-02,8.42391
2023-04-03,13.85869
2023-04-04,22.82608
2023-04-05,16.0326
2023-04-06,14.94565
2023-04-07,14.94565
2023-04-08,5.70652
2023-04-09,6.52173
2023-04-10,26.08695
2023-04-11,23.91304
2023-04-12,20.65217
2023-04-13,11.68478
2023-04-14,17.93478
2023-04-15,9.23913
2023-04-16,11.41304
2023-04-17,21.19565
2023-04-18,23.6413
2023-04-19,13.85869
2023-04-20,15.48913
2023-04-21,8.42391
2023-04-22,4.34782
2023-04-23,5.43478
2023-04-24,9.51086
2023-04-25,10.05434
2023-04-26,12.22826
2023-04-27,13.31521
2023-04-28,15.48913
2023-04-29,7.88043
2023-04-30,5.16304
2023-05-01,7.88043
2023-05-02,13.04347
2023-05-03,13.04347
2023-05-04,9.51086
2023-05-05,10.86956
2023-05-06,4.34782
2023-05-07,4.8913
2023-05-08,11.1413
2023-05-09,16.30434
2023-05-10,18.47826
2023-05-11,20.10869
2023-05-12,18.75
2023-05-13,6.52173
2023-05-14,5.16304
2023-05-15,11.95652
2023-05-16,23.36956
2023-05-17,24.18478
2023-05-18,18.75
2023-05-19,20.38043
2023-05-20,10.05434
2023-05-21,5.70652
2023-05-22,14.67391
2023-05-23,22.2826
2023-05-24,12.5
2023-05-25,19.83695
2023-05-26,22.01086
2023-05-27,9.51086
2023-05-28,3.5326
2023-05-29,7.60869
2023-05-30,17.11956
2023-05-31,22.55434
