date,메타마스크지갑
2023-03-18,11.8451
2023-03-19,10.59225
2023-03-20,14.2369
2023-03-21,18.22323
2023-03-22,16.74259
2023-03-23,14.80637
2023-03-24,14.92027
2023-03-25,12.07289
2023-03-26,11.50341
2023-03-27,15.60364
2023-03-28,14.35079
2023-03-29,15.03416
2023-03-30,14.69248
2023-03-31,16.28701
2023-04-01,14.123
2023-04-02,42.93849
2023-04-03,29.61275
2023-04-04,18.79271
2023-04-05,20.38724
2023-04-06,16.5148
2023-04-07,13.89521
2023-04-08,8.42824
2023-04-09,9.90888
2023-04-10,16.74259
2023-04-11,15.60364
2023-04-12,14.69248
2023-04-13,15.03416
2023-04-14,12.64236
2023-04-15,11.50341
2023-04-16,9.11161
2023-04-17,13.32574
2023-04-18,13.66742
2023-04-19,16.05922
2023-04-20,16.17312
2023-04-21,17.31207
2023-04-22,11.38952
2023-04-23,11.7312
2023-04-24,11.7312
2023-04-25,16.5148
2023-04-26,20.84282
2023-04-27,20.27334
2023-04-28,24.82915
2023-04-29,10.13667
2023-04-30,11.50341
2023-05-01,11.95899
2023-05-02,14.00911
2023-05-03,14.80637
2023-05-04,13.78132
2023-05-05,12.64236
2023-05-06,13.78132
2023-05-07,12.64236
2023-05-08,18.79271
2023-05-09,19.58997
2023-05-10,15.03416
2023-05-11,12.18678
2023-05-12,11.50341
2023-05-13,13.55353
2023-05-14,14.2369
2023-05-15,18.79271
2023-05-16,15.26195
2023-05-17,12.75626
2023-05-18,15.26195
2023-05-19,11.27562
2023-05-20,12.30068
2023-05-21,9.79498
2023-05-22,14.00911
2023-05-23,16.97038
2023-05-24,11.61731
2023-05-25,9.90888
2023-05-26,16.85649
2023-05-27,9.22551
2023-05-28,10.02277
2023-05-29,9.79498
2023-05-30,12.87015
2023-05-31,12.30068
2023-06-01,8.42824
2023-06-02,9.90888
2023-06-03,7.74487
2023-06-04,6.03644
2023-06-05,9.68109
2023-06-06,9.22551
2023-06-07,10.70615
2023-06-08,10.70615
2023-06-09,8.88382
2023-06-10,7.17539
2023-06-11,6.60592
2023-06-12,8.76993
2023-06-13,11.04783
2023-06-14,10.59225
2023-06-15,11.61731
2023-06-16,9.11161
2023-06-17,7.17539
2023-06-18,6.60592
2023-06-19,10.13667
2023-06-20,10.02277
2023-06-21,9.68109
2023-06-22,9.90888
2023-06-23,10.25056
2023-06-24,8.54214
2023-06-25,7.28929
2023-06-26,10.70615
2023-06-27,12.64236
2023-06-28,11.38952
2023-06-29,11.61731
2023-06-30,10.13667
2023-07-01,7.17539
2023-07-02,6.71981
2023-07-03,7.51708
2023-07-04,9.22551
2023-07-05,11.8451
2023-07-06,8.42824
2023-07-07,9.11161
2023-07-08,10.59225
2023-07-09,13.32574
2023-07-10,11.27562
2023-07-11,10.59225
2023-07-12,8.76993
2023-07-13,10.25056
2023-07-14,9.3394
2023-07-15,7.63097
2023-07-16,7.28929
2023-07-17,9.68109
2023-07-18,10.59225
2023-07-19,10.13667
2023-07-20,8.76993
2023-07-21,9.4533
2023-07-22,6.37813
2023-07-23,8.99772
2023-07-24,12.87015
2023-07-25,10.02277
2023-07-26,9.3394
2023-07-27,9.79498
2023-07-28,9.22551
2023-07-29,8.08656
2023-07-30,7.85876
2023-07-31,10.70615
2023-08-01,8.31435
2023-08-02,8.65603
2023-08-03,8.20045
2023-08-04,7.17539
2023-08-05,5.46697
