date,NH투자증권고객센터
2022-08-22,11.71548
2022-08-23,7.53138
2022-08-24,8.78661
2022-08-25,9.83263
2022-08-26,12.7615
2022-08-27,2.51046
2022-08-29,7.53138
2022-08-30,10.04184
2022-08-31,8.15899
2022-09-01,6.27615
2022-09-02,8.5774
2022-09-04,1.46443
2022-09-05,8.78661
2022-09-06,12.34309
2022-09-07,10.66945
2022-09-08,11.92468
2022-09-11,2.30125
2022-09-13,11.92468
2022-09-14,13.38912
2022-09-15,9.62343
2022-09-16,11.08786
2022-09-17,1.25523
2022-09-18,1.25523
2022-09-19,8.99581
2022-09-20,9.83263
2022-09-21,11.92468
2022-09-22,10.25104
2022-09-23,13.80753
2022-09-24,1.25523
2022-09-25,1.04602
2022-09-26,22.80334
2022-09-27,14.01673
2022-09-28,13.59832
2022-09-29,8.99581
2022-09-30,10.66945
2022-10-02,1.88284
2022-10-03,1.46443
2022-10-04,11.29707
2022-10-05,7.94979
2022-10-06,11.71548
2022-10-07,10.46025
2022-10-10,1.04602
2022-10-11,11.08786
2022-10-12,7.53138
2022-10-13,10.66945
2022-10-14,9.83263
2022-10-15,1.67364
2022-10-17,9.83263
2022-10-18,6.90376
2022-10-19,6.06694
2022-10-20,6.27615
2022-10-21,7.53138
2022-10-24,8.3682
2022-10-25,11.50627
2022-10-26,7.32217
2022-10-27,8.5774
2022-10-28,9.83263
2022-10-31,9.41422
2022-11-01,9.62343
2022-11-02,11.92468
2022-11-03,9.41422
2022-11-04,6.27615
2022-11-05,1.04602
2022-11-06,1.04602
2022-11-07,10.66945
2022-11-08,10.04184
2022-11-09,7.74058
2022-11-10,8.3682
2022-11-11,7.32217
2022-11-14,9.83263
2022-11-15,9.62343
2022-11-16,8.3682
2022-11-17,8.78661
2022-11-18,10.04184
2022-11-21,7.53138
2022-11-22,6.69456
2022-11-23,7.53138
2022-11-24,11.08786
2022-11-25,11.50627
2022-11-27,1.25523
2022-11-28,14.01673
2022-11-29,11.92468
2022-11-30,9.62343
2022-12-01,12.34309
2022-12-02,6.06694
2022-12-05,10.04184
2022-12-06,10.87866
2022-12-07,7.11297
2022-12-08,6.27615
2022-12-09,9.41422
2022-12-10,1.04602
2022-12-12,9.83263
2022-12-13,6.90376
2022-12-14,9.41422
