date,채권ETF
2022-10-10,17.56225
2022-10-11,26.86762
2022-10-12,26.6055
2022-10-13,30.53735
2022-10-14,20.96985
2022-10-15,18.87287
2022-10-16,22.80471
2022-10-17,30.66841
2022-10-18,27.26081
2022-10-19,87.15596
2022-10-20,50.06553
2022-10-21,40.49803
2022-10-22,23.98427
2022-10-23,26.47444
2022-10-24,34.4692
2022-10-25,30.53735
2022-10-26,30.66841
2022-10-27,36.43512
2022-10-28,28.44036
2022-10-29,18.21756
2022-10-30,15.20314
2022-10-31,21.23197
2022-11-01,22.54259
2022-11-02,20.18348
2022-11-03,35.91087
2022-11-04,27.91612
2022-11-05,15.20314
2022-11-06,24.9017
2022-11-07,25.55701
2022-11-08,23.85321
2022-11-09,23.85321
2022-11-10,19.7903
2022-11-11,21.88728
2022-11-12,14.41677
2022-11-13,17.038
2022-11-14,22.80471
2022-11-15,24.24639
2022-11-16,28.04718
2022-11-17,20.31454
2022-11-18,17.69331
2022-11-19,15.59633
2022-11-20,17.82437
2022-11-21,29.75098
2022-11-22,38.53211
2022-11-23,39.44954
2022-11-24,34.4692
2022-11-25,28.3093
2022-11-26,40.49803
2022-11-27,34.20707
2022-11-28,38.26998
2022-11-29,34.60026
2022-11-30,26.21231
2022-12-01,28.17824
2022-12-02,23.46002
2022-12-03,10.2228
2022-12-04,15.98951
2022-12-05,23.06684
2022-12-06,23.85321
2022-12-07,25.03276
2022-12-08,25.03276
2022-12-09,22.93577
2022-12-10,11.9266
2022-12-11,17.82437
2022-12-12,21.88728
2022-12-13,34.4692
2022-12-14,28.17824
2022-12-15,24.77064
2022-12-16,25.81913
2022-12-17,18.34862
2022-12-18,25.29488
2022-12-19,25.16382
2022-12-20,30.66841
2022-12-21,35.1245
2022-12-22,66.84141
2022-12-23,43.90563
2022-12-24,22.80471
2022-12-25,24.11533
2022-12-26,27.12975
2022-12-27,28.70249
2022-12-28,27.91612
2022-12-29,24.37745
2022-12-30,19.52817
2022-12-31,20.31454
2023-01-01,16.51376
2023-01-02,20.96985
2023-01-03,24.37745
2023-01-04,23.06684
2023-01-05,21.10091
2023-01-06,24.37745
2023-01-07,33.81389
2023-01-08,37.8768
2023-01-09,36.30406
2023-01-10,37.35255
2023-01-11,41.67758
2023-01-12,32.89646
2023-01-13,33.28964
2023-01-14,20.70773
2023-01-15,22.93577
2023-01-16,29.88204
2023-01-17,32.63433
2023-01-18,32.50327
2023-01-19,27.12975
2023-01-20,22.80471
2023-01-21,14.67889
2023-01-22,14.28571
2023-01-23,18.87287
2023-01-24,23.1979
2023-01-25,30.0131
2023-01-26,25.55701
2023-01-27,25.03276
2023-01-28,16.90694
2023-01-29,27.12975
2023-01-30,22.41153
2023-01-31,25.42595
2023-02-01,25.42595
2023-02-02,29.88204
2023-02-03,38.92529
2023-02-04,26.99868
2023-02-05,21.75622
2023-02-06,31.84796
2023-02-07,35.1245
2023-02-08,32.89646
2023-02-09,26.08125
2023-02-10,23.46002
2023-02-11,18.87287
2023-02-12,15.59633
2023-02-13,26.47444
2023-02-14,20.96985
2023-02-15,26.99868
2023-02-16,25.68807
2023-02-17,23.06684
2023-02-18,17.30013
2023-02-19,20.96985
2023-02-20,18.21756
2023-02-21,31.97903
2023-02-22,29.35779
2023-02-23,23.46002
2023-02-24,20.18348
2023-02-25,17.16906
2023-02-26,19.52817
2023-02-27,19.13499
2023-02-28,23.72214
2023-03-01,26.21231
2023-03-02,24.50851
2023-03-03,23.32896
2023-03-04,12.97509
2023-03-05,16.38269
2023-03-06,19.7903
2023-03-07,23.1979
2023-03-08,23.32896
2023-03-09,21.88728
2023-03-10,21.62516
2023-03-11,14.02359
2023-03-12,18.7418
2023-03-13,35.1245
2023-03-14,70.6422
2023-03-15,87.41808
2023-03-16,76.80209
2023-03-17,40.49803
2023-03-18,52.94888
2023-03-19,58.19134
2023-03-20,59.76408
2023-03-21,48.88597
2023-03-22,44.692
2023-03-23,54.9148
2023-03-24,52.42463
2023-03-25,35.25557
2023-03-26,100.0
2023-03-27,97.2477
2023-03-28,72.47706
2023-03-29,59.63302
2023-03-30,54.78374
2023-03-31,72.47706
2023-04-01,36.43512
2023-04-02,39.31847
2023-04-03,58.58453
2023-04-04,69.06946
2023-04-05,55.30799
2023-04-06,43.77457
2023-04-07,37.61467
2023-04-08,27.39187
2023-04-09,27.39187
