date,실시간해외선물
2022-10-10,15.29051
2022-10-11,20.7951
2022-10-12,18.65443
2022-10-13,17.43119
2022-10-14,19.26605
2022-10-15,7.64525
2022-10-16,4.89296
2022-10-17,21.40672
2022-10-18,18.96024
2022-10-19,18.04281
2022-10-20,11.62079
2022-10-21,13.76146
2022-10-22,3.97553
2022-10-23,4.58715
2022-10-24,13.14984
2022-10-25,15.29051
2022-10-26,18.96024
2022-10-27,16.81957
2022-10-28,20.48929
2022-10-29,5.50458
2022-10-30,4.58715
2022-10-31,18.04281
2022-11-01,19.57186
2022-11-02,11.31498
2022-11-03,20.48929
2022-11-04,5.81039
2022-11-05,3.0581
2022-11-06,2.14067
2022-11-07,20.48929
2022-11-08,16.20795
2022-11-09,19.57186
2022-11-10,17.43119
2022-11-11,23.5474
2022-11-12,7.03363
2022-11-13,2.44648
2022-11-14,17.12538
2022-11-15,19.87767
2022-11-16,13.76146
2022-11-17,26.6055
2022-11-18,24.46483
2022-11-19,4.28134
2022-11-21,13.76146
2022-11-22,11.9266
2022-11-23,12.53822
2022-11-24,6.72782
2022-11-25,10.39755
2022-11-26,4.28134
2022-11-27,2.75229
2022-11-28,6.42201
2022-11-29,10.09174
2022-11-30,5.50458
2022-12-01,6.72782
2022-12-02,9.48012
2022-12-03,1.52905
2022-12-04,3.36391
2022-12-05,7.95107
2022-12-06,11.00917
2022-12-07,5.81039
2022-12-08,6.72782
2022-12-09,10.70336
2022-12-10,6.1162
2022-12-11,4.28134
2022-12-12,8.56269
2022-12-13,8.25688
2022-12-14,15.59633
2022-12-15,11.31498
2022-12-16,8.25688
2022-12-17,3.97553
2022-12-18,3.66972
2022-12-19,11.00917
2022-12-20,10.70336
2022-12-21,12.23241
2022-12-22,8.56269
2022-12-23,9.78593
2022-12-24,4.89296
2022-12-25,1.52905
2022-12-26,11.31498
2022-12-27,3.66972
2022-12-28,5.19877
2022-12-29,7.33944
2022-12-30,9.48012
2022-12-31,1.52905
2023-01-01,3.36391
2023-01-02,8.25688
2023-01-03,9.78593
2023-01-04,9.78593
2023-01-05,12.23241
2023-01-06,8.25688
2023-01-07,8.56269
2023-01-08,4.89296
2023-01-09,11.00917
2023-01-10,8.8685
2023-01-11,7.03363
2023-01-12,11.00917
2023-01-13,7.64525
2023-01-14,13.76146
2023-01-15,7.03363
2023-01-16,10.70336
2023-01-17,11.31498
2023-01-18,12.23241
2023-01-19,15.29051
2023-01-20,10.09174
2023-01-21,2.14067
2023-01-22,1.52905
2023-01-23,5.19877
2023-01-24,4.28134
2023-01-25,7.03363
2023-01-26,6.72782
2023-01-27,5.81039
2023-01-28,3.97553
2023-01-29,7.03363
2023-01-30,8.56269
2023-01-31,7.95107
2023-02-01,5.81039
2023-02-02,9.48012
2023-02-03,9.48012
2023-02-04,3.36391
2023-02-05,3.36391
2023-02-06,5.50458
2023-02-07,7.33944
2023-02-08,9.17431
2023-02-09,11.9266
2023-02-10,10.09174
2023-02-11,2.44648
2023-02-13,5.50458
2023-02-14,7.95107
2023-02-15,7.64525
2023-02-16,7.95107
2023-02-17,10.09174
2023-02-18,2.14067
2023-02-19,2.75229
2023-02-20,5.19877
2023-02-21,10.70336
2023-02-22,7.03363
2023-02-23,7.95107
2023-02-24,3.97553
2023-02-25,3.66972
2023-02-26,2.75229
2023-02-27,10.09174
2023-02-28,8.25688
2023-03-01,5.19877
2023-03-02,6.1162
2023-03-03,9.17431
2023-03-04,3.97553
2023-03-05,4.89296
2023-03-06,7.33944
2023-03-07,9.48012
2023-03-08,7.64525
2023-03-09,1.83486
2023-03-10,3.36391
2023-03-11,2.75229
2023-03-12,1.83486
2023-03-13,11.31498
2023-03-14,8.25688
2023-03-15,11.31498
2023-03-16,9.78593
2023-03-17,6.1162
2023-03-18,3.36391
2023-03-20,10.70336
2023-03-21,14.06727
2023-03-22,10.09174
2023-03-23,12.53822
2023-03-24,7.95107
2023-03-27,7.64525
2023-03-28,6.42201
2023-03-29,6.72782
2023-03-30,5.19877
2023-03-31,5.81039
2023-04-01,4.28134
2023-04-03,7.95107
2023-04-04,7.64525
2023-04-05,6.72782
2023-04-06,12.53822
2023-04-07,10.09174
2023-04-08,2.44648
2023-04-10,4.58715
2023-04-11,4.28134
2023-04-12,7.64525
2023-04-13,5.19877
2023-04-14,4.89296
2023-04-17,3.36391
2023-04-18,7.33944
2023-04-19,7.33944
2023-04-20,8.8685
2023-04-21,2.44648
2023-04-22,1.52905
2023-04-24,7.95107
2023-04-25,6.72782
2023-04-26,7.95107
2023-04-27,7.33944
2023-04-28,2.14067
2023-04-29,3.36391
2023-04-30,1.83486
2023-05-01,4.89296
2023-05-02,7.03363
2023-05-03,7.03363
2023-05-04,5.19877
2023-05-05,2.75229
2023-05-06,3.66972
2023-05-08,9.78593
2023-05-09,5.19877
2023-05-10,7.95107
2023-05-11,9.17431
2023-05-12,5.81039
2023-05-13,2.14067
2023-05-14,1.83486
2023-05-15,5.50458
2023-05-16,3.0581
2023-05-17,8.56269
2023-05-18,17.737
2023-05-19,18.96024
2023-05-20,3.66972
2023-05-21,1.83486
2023-05-22,14.06727
2023-05-23,20.18348
2023-05-24,15.90214
2023-05-25,12.53822
2023-05-26,24.15902
2023-05-27,3.36391
2023-05-28,4.28134
2023-05-29,3.66972
2023-05-30,7.33944
2023-05-31,5.50458
2023-06-01,7.95107
2023-06-02,4.28134
2023-06-03,1.52905
2023-06-04,2.14067
2023-06-05,4.89296
2023-06-06,3.66972
2023-06-07,6.1162
2023-06-08,5.19877
2023-06-09,2.75229
2023-06-10,2.75229
2023-06-11,3.36391
2023-06-12,5.50458
2023-06-13,6.72782
2023-06-14,3.66972
2023-06-15,6.72782
2023-06-16,6.42201
2023-06-19,3.66972
