date,부자되는법
2022-03-03,43.57142
2022-03-04,35.23809
2022-03-05,46.90476
2022-03-06,45.23809
2022-03-07,46.66666
2022-03-08,48.33333
2022-03-09,36.90476
2022-03-10,44.28571
2022-03-11,42.85714
2022-03-12,40.71428
2022-03-13,52.85714
2022-03-14,43.09523
2022-03-15,50.95238
2022-03-16,40.47619
2022-03-17,45.95238
2022-03-18,40.71428
2022-03-19,46.19047
2022-03-20,46.19047
2022-03-21,47.85714
2022-03-22,44.5238
2022-03-23,46.19047
2022-03-24,42.38095
2022-03-25,38.33333
2022-03-26,44.04761
2022-03-27,56.42857
2022-03-28,50.95238
2022-03-29,41.19047
2022-03-30,44.5238
2022-03-31,40.23809
2022-04-01,38.57142
2022-04-02,39.7619
2022-04-03,41.19047
2022-04-04,36.42857
2022-04-05,40.47619
2022-04-06,43.80952
2022-04-07,44.04761
2022-04-08,35.95238
2022-04-09,37.85714
2022-04-10,46.66666
2022-04-11,47.14285
2022-04-12,41.90476
2022-04-13,48.33333
2022-04-14,42.38095
2022-04-15,35.71428
2022-04-16,32.14285
2022-04-17,33.09523
2022-04-18,41.90476
2022-04-19,41.90476
2022-04-20,39.7619
2022-04-21,47.38095
2022-04-22,30.47619
2022-04-23,34.28571
2022-04-24,38.80952
2022-04-25,35.71428
2022-04-26,40.0
2022-04-27,36.66666
2022-04-28,30.71428
2022-04-29,35.47619
2022-04-30,28.57142
2022-05-01,42.14285
2022-05-02,51.66666
2022-05-03,47.14285
2022-05-04,35.47619
2022-05-05,39.04761
2022-05-06,45.47619
2022-05-07,31.90476
2022-05-08,46.19047
2022-05-09,47.38095
2022-05-10,47.14285
2022-05-11,40.71428
2022-05-12,36.66666
2022-05-13,31.90476
2022-05-14,35.23809
2022-05-15,45.23809
2022-05-16,34.28571
2022-05-17,35.71428
2022-05-18,36.66666
2022-05-19,48.57142
2022-05-20,38.57142
2022-05-21,31.42857
2022-05-22,44.7619
2022-05-23,40.71428
2022-05-24,42.61904
2022-05-25,42.61904
2022-05-26,45.23809
2022-05-27,33.80952
2022-05-28,34.04761
2022-05-29,38.57142
2022-05-30,39.7619
2022-05-31,35.95238
2022-06-01,39.7619
2022-06-02,34.7619
2022-06-03,32.85714
2022-06-04,34.04761
2022-06-05,37.38095
2022-06-06,49.28571
2022-06-07,42.85714
2022-06-08,45.47619
2022-06-09,40.95238
2022-06-10,34.28571
2022-06-11,31.42857
2022-06-12,39.04761
2022-06-13,43.33333
2022-06-14,46.66666
2022-06-15,48.33333
2022-06-16,42.14285
2022-06-17,38.57142
2022-06-18,39.04761
2022-06-19,43.80952
2022-06-20,38.09523
2022-06-21,44.7619
2022-06-22,36.90476
2022-06-23,41.42857
2022-06-24,30.71428
2022-06-25,32.14285
2022-06-26,39.7619
2022-06-27,45.47619
2022-06-28,42.38095
2022-06-29,41.19047
2022-06-30,38.80952
2022-07-01,27.85714
2022-07-02,33.57142
2022-07-03,32.85714
2022-07-04,38.09523
2022-07-05,39.04761
2022-07-06,38.33333
2022-07-07,34.7619
2022-07-08,35.0
2022-07-09,31.66666
2022-07-10,41.19047
2022-07-11,43.57142
2022-07-12,38.33333
2022-07-13,36.66666
2022-07-14,32.85714
2022-07-15,35.23809
2022-07-16,30.95238
2022-07-17,45.95238
2022-07-18,40.0
2022-07-19,46.90476
2022-07-20,35.71428
2022-07-21,35.47619
2022-07-22,38.57142
2022-07-23,32.61904
2022-07-24,37.85714
2022-07-25,38.09523
2022-07-26,39.5238
2022-07-27,35.71428
2022-07-28,32.38095
2022-07-29,36.19047
2022-07-30,34.5238
2022-07-31,39.5238
2022-08-01,49.7619
2022-08-02,45.71428
2022-08-03,44.5238
2022-08-04,42.85714
2022-08-05,42.14285
2022-08-06,40.71428
2022-08-07,52.38095
2022-08-08,46.66666
2022-08-09,43.80952
2022-08-10,35.23809
2022-08-11,41.19047
2022-08-12,44.7619
2022-08-13,40.71428
2022-08-14,41.66666
2022-08-15,51.19047
2022-08-16,45.71428
2022-08-17,46.19047
2022-08-18,41.90476
2022-08-19,46.90476
2022-08-20,48.33333
2022-08-21,45.47619
2022-08-22,54.04761
2022-08-23,42.85714
2022-08-24,50.23809
2022-08-25,46.42857
2022-08-26,48.57142
2022-08-27,35.0
2022-08-28,44.04761
2022-08-29,50.0
2022-08-30,40.71428
2022-08-31,50.47619
2022-09-01,40.71428
2022-09-02,32.14285
2022-09-03,31.90476
2022-09-04,40.95238
2022-09-05,39.5238
2022-09-06,39.7619
2022-09-07,36.42857
2022-09-08,27.14285
2022-09-09,25.71428
2022-09-10,32.38095
2022-09-11,39.04761
2022-09-12,57.38095
2022-09-13,52.14285
2022-09-14,46.19047
2022-09-15,43.80952
2022-09-16,40.47619
2022-09-17,36.19047
2022-09-18,49.5238
2022-09-19,47.61904
2022-09-20,44.28571
2022-09-21,40.95238
2022-09-22,43.33333
2022-09-23,33.33333
2022-09-24,38.33333
2022-09-25,46.66666
2022-09-26,47.61904
2022-09-27,47.14285
2022-09-28,43.80952
2022-09-29,43.09523
2022-09-30,31.90476
2022-10-01,26.90476
2022-10-02,35.71428
2022-10-03,53.33333
2022-10-04,45.95238
2022-10-05,35.95238
2022-10-06,30.47619
2022-10-07,36.66666
2022-10-08,33.57142
2022-10-09,41.66666
2022-10-10,50.23809
2022-10-11,50.95238
2022-10-12,41.66666
2022-10-13,47.14285
2022-10-14,40.23809
2022-10-15,35.95238
2022-10-16,47.14285
2022-10-17,45.0
2022-10-18,46.19047
2022-10-19,44.5238
2022-10-20,39.7619
2022-10-21,35.0
2022-10-22,32.85714
2022-10-23,40.0
2022-10-24,36.42857
2022-10-25,34.5238
