date,퇴직연금디폴트옵션
2023-06-30,49.44473
2023-07-01,11.81914
2023-07-02,10.17979
2023-07-03,72.58064
2023-07-04,75.27763
2023-07-05,75.30407
2023-07-06,66.60497
2023-07-07,95.24061
2023-07-08,22.42199
2023-07-09,18.82601
2023-07-10,95.74299
2023-07-11,90.03172
2023-07-12,100.0
2023-07-13,57.90586
2023-07-14,34.05605
2023-07-15,10.04759
2023-07-16,7.42993
2023-07-17,26.33527
2023-07-18,27.18138
2023-07-19,30.8038
2023-07-20,29.71972
2023-07-21,19.53992
2023-07-22,6.1872
2023-07-23,5.94923
2023-07-24,17.68905
2023-07-25,24.35219
2023-07-26,23.29455
2023-07-27,23.05658
2023-07-28,16.28767
2023-07-29,5.52617
2023-07-30,5.12956
2023-07-31,15.468
2023-08-01,20.09518
2023-08-02,17.55684
2023-08-03,20.22739
2023-08-04,13.4056
2023-08-05,5.65838
2023-08-06,4.1248
2023-08-07,15.468
2023-08-08,16.92226
2023-08-09,14.22527
2023-08-10,12.40084
2023-08-11,11.68693
2023-08-12,2.98783
2023-08-13,2.35325
2023-08-14,11.07879
2023-08-15,3.88683
2023-08-16,17.9799
2023-08-17,15.81173
2023-08-18,9.43945
2023-08-19,5.36753
2023-08-20,2.85563
2023-08-21,10.17979
2023-08-22,13.74933
2023-08-23,14.33104
2023-08-24,15.94394
2023-08-25,9.88894
2023-08-26,3.2258
2023-08-27,2.40613
2023-08-28,12.10999
2023-08-29,11.68693
2023-08-30,11.9249
2023-08-31,13.24695
2023-09-01,23.08302
2023-09-02,4.30988
2023-09-03,2.96139
2023-09-04,14.78053
2023-09-05,17.02802
2023-09-06,19.48704
2023-09-07,12.85034
2023-09-08,10.312
2023-09-09,2.6441
2023-09-10,2.6441
2023-09-11,14.72765
2023-09-12,12.34796
2023-09-13,9.38656
2023-09-14,10.312
2023-09-15,9.80962
2023-09-16,2.98783
2023-09-17,2.22104
2023-09-18,8.88418
2023-09-19,8.56689
2023-09-20,9.43945
2023-09-21,7.90586
2023-09-22,5.65838
2023-09-23,2.14172
2023-09-24,2.56478
2023-09-25,9.20148
2023-09-26,8.77842
2023-09-27,6.1872
2023-09-28,1.40137
2023-09-29,1.71866
2023-09-30,1.45425
2023-10-01,1.40137
2023-10-02,1.63934
2023-10-03,1.87731
2023-10-04,15.75885
2023-10-05,14.27815
2023-10-06,12.13643
2023-10-07,3.43733
2023-10-08,2.82919
2023-10-09,2.40613
2023-10-10,7.82654
2023-10-11,8.72554
2023-10-12,8.03807
2023-10-13,7.11263
2023-10-14,1.50713
2023-10-15,2.1946
2023-10-16,8.48757
2023-10-17,8.64621
2023-10-18,14.83342
2023-10-19,7.98519
2023-10-20,9.06927
2023-10-21,2.51189
2023-10-22,1.7451
2023-10-23,6.10787
2023-10-24,6.95399
2023-10-25,6.98043
2023-10-26,7.6679
2023-10-27,6.6367
2023-10-28,1.82443
2023-10-29,1.66578
2023-10-30,5.57905
2023-10-31,5.65838
2023-11-01,10.23268
2023-11-02,8.43469
2023-11-03,7.98519
2023-11-04,1.98307
2023-11-05,2.45901
2023-11-06,6.53093
2023-11-07,6.61025
2023-11-08,6.34584
2023-11-09,6.98043
2023-11-10,5.94923
2023-11-11,2.37969
2023-11-12,1.58646
2023-11-13,5.49973
2023-11-14,6.42517
2023-11-15,5.79058
2023-11-16,6.26652
2023-11-17,5.44685
2023-11-18,1.85087
2023-11-19,1.58646
2023-11-20,6.3194
2023-11-21,5.89635
2023-11-22,5.57905
2023-11-23,5.94923
2023-11-24,4.91803
2023-11-25,1.45425
2023-11-26,1.50713
2023-11-27,6.16076
2023-11-28,5.52617
2023-11-29,4.91803
2023-11-30,5.7377
2023-12-01,8.19672
2023-12-02,2.45901
2023-12-03,1.63934
2023-12-04,9.12215
2023-12-05,9.33368
2023-12-06,7.72078
2023-12-07,7.13907
2023-12-08,5.20888
2023-12-09,1.69222
2023-12-10,1.69222
2023-12-11,7.93231
2023-12-12,9.91538
2023-12-13,7.40349
2023-12-14,6.39873
2023-12-15,6.45161
2023-12-16,1.79799
2023-12-17,1.50713
2023-12-18,4.46853
2023-12-19,5.63194
2023-12-20,6.79534
2023-12-21,6.10787
2023-12-22,5.26176
2023-12-23,1.48069
2023-12-24,1.1634
2023-12-25,1.26916
2023-12-26,5.63194
2023-12-27,6.90111
2023-12-28,6.66314
2023-12-29,7.00687
2023-12-30,2.24748
2023-12-31,1.48069
2024-01-01,1.53358
2024-01-02,11.31676
2024-01-03,8.17028
2024-01-04,6.90111
2024-01-05,5.68482
2024-01-06,1.53358
2024-01-07,2.11528
2024-01-08,5.12956
2024-01-09,6.02855
2024-01-10,11.02591
2024-01-11,10.52353
2024-01-12,8.19672
2024-01-13,2.03595
2024-01-14,2.1946
2024-01-15,7.61501
2024-01-16,7.42993
2024-01-17,5.68482
2024-01-18,4.78582
2024-01-19,4.15124
2024-01-20,1.93019
2024-01-21,1.29561
2024-01-22,4.73294
2024-01-23,4.44209
2024-01-24,4.20412
2024-01-25,4.30988
2024-01-26,4.23056
2024-01-27,1.77154
2024-01-28,1.7451
2024-01-29,4.33632
2024-01-30,4.01903
2024-01-31,6.74246
2024-02-01,6.34584
2024-02-02,5.23532
2024-02-03,1.21628
2024-02-04,1.37493
2024-02-05,6.42517
2024-02-06,4.89159
2024-02-07,3.91327
2024-02-08,3.06716
2024-02-09,0.84611
2024-02-10,0.66102
2024-02-11,0.60814
2024-02-12,0.7139
2024-02-13,8.32892
2024-02-14,8.80486
2024-02-15,7.50925
2024-02-16,6.87466
2024-02-17,1.48069
2024-02-18,1.45425
