date,호텔신라주가
2021-09-23,20.65708
2021-09-24,20.81488
2021-09-25,2.40652
2021-09-26,1.77092
2021-09-27,18.96068
2021-09-28,17.27304
2021-09-29,20.73598
2021-09-30,20.08065
2021-10-01,19.66422
2021-10-02,2.89747
2021-10-03,2.34953
2021-10-04,4.70784
2021-10-05,30.79822
2021-10-06,33.44803
2021-10-07,29.2399
2021-10-08,25.68491
2021-10-09,2.52268
2021-10-10,2.13693
2021-10-11,2.96541
2021-10-12,23.39674
2021-10-13,27.00214
2021-10-14,25.45478
2021-10-15,25.00767
2021-10-16,2.87336
2021-10-17,2.5446
2021-10-18,22.85977
2021-10-19,20.4905
2021-10-20,20.28667
2021-10-21,18.14097
2021-10-22,17.53605
2021-10-23,1.99228
2021-10-24,1.8542
2021-10-25,24.19672
2021-10-26,24.34795
2021-10-27,21.5776
2021-10-28,24.36549
2021-10-29,22.51786
2021-10-30,2.69802
2021-10-31,2.25529
2021-11-01,56.64971
2021-11-02,39.4731
2021-11-03,30.53302
2021-11-04,27.62898
2021-11-05,28.4443
2021-11-06,3.58786
2021-11-07,3.25253
2021-11-08,32.4486
2021-11-09,27.28268
2021-11-10,23.37044
2021-11-11,21.55569
2021-11-12,22.2417
2021-11-13,2.84267
2021-11-14,2.08652
2021-11-15,23.14688
2021-11-16,20.84995
2021-11-17,19.31135
2021-11-18,19.46039
2021-11-19,21.98088
2021-11-20,2.85144
2021-11-21,2.27501
2021-11-22,24.25809
2021-11-23,22.26581
2021-11-24,20.56722
2021-11-25,19.67737
2021-11-26,28.31499
2021-11-27,4.26072
2021-11-28,3.16924
2021-11-29,26.7742
2021-11-30,27.52158
2021-12-01,26.52873
2021-12-02,26.14079
2021-12-03,27.87664
2021-12-04,3.32485
2021-12-05,2.8361
2021-12-06,25.10849
2021-12-07,26.99118
2021-12-08,25.74847
2021-12-09,26.56818
2021-12-10,23.94029
2021-12-11,2.92596
2021-12-12,2.56213
2021-12-13,23.25647
2021-12-14,20.33489
2021-12-15,19.91189
2021-12-16,20.19462
2021-12-17,18.60342
2021-12-18,2.27282
2021-12-19,1.90242
2021-12-20,19.10533
