date,CI보험
2021-06-01,19.80564
2021-06-02,22.85978
2021-06-03,19.71309
2021-06-04,14.11383
2021-06-05,8.88477
2021-06-06,8.0981
2021-06-07,16.5664
2021-06-08,23.83155
2021-06-09,22.35076
2021-06-10,19.99074
2021-06-11,18.55622
2021-06-12,11.10596
2021-06-13,8.05182
2021-06-14,19.20407
2021-06-15,18.64877
2021-06-16,23.18371
2021-06-17,21.37899
2021-06-18,19.25034
2021-06-19,8.79222
2021-06-20,13.09578
2021-06-21,20.31466
2021-06-22,21.05506
2021-06-23,22.85978
2021-06-24,22.53586
2021-06-25,17.02915
2021-06-26,11.24479
2021-06-27,12.58676
2021-06-28,22.76723
2021-06-29,30.31004
2021-06-30,35.9093
2021-07-01,17.95465
2021-07-02,14.9005
2021-07-03,9.44007
2021-07-04,6.6173
2021-07-05,15.2707
2021-07-06,16.61267
2021-07-07,18.37112
2021-07-08,18.64877
2021-07-09,13.04951
2021-07-10,7.68162
2021-07-11,5.8769
2021-07-12,15.54835
2021-07-13,16.42757
2021-07-14,16.28875
2021-07-15,18.69504
2021-07-16,15.59463
2021-07-17,10.87459
2021-07-18,6.75613
2021-07-19,13.74363
2021-07-20,14.80795
2021-07-21,15.17815
2021-07-22,15.4558
2021-07-23,14.80795
2021-07-24,8.32947
2021-07-25,5.18278
2021-07-26,13.92873
2021-07-27,15.0856
2021-07-28,15.22443
2021-07-29,14.76168
2021-07-30,12.30911
2021-07-31,6.2471
2021-08-01,5.92318
2021-08-02,14.57658
2021-08-03,16.42757
2021-08-04,14.99305
2021-08-05,15.17815
2021-08-06,13.55853
2021-08-07,7.82045
2021-08-08,9.11614
2021-08-09,13.60481
2021-08-10,17.02915
2021-08-11,17.76955
2021-08-12,19.66682
2021-08-13,16.47385
2021-08-14,8.0981
2021-08-15,9.53262
2021-08-16,9.48634
2021-08-17,14.85423
2021-08-18,17.3068
2021-08-19,13.51226
2021-08-20,14.06756
2021-08-21,8.79222
2021-08-22,8.32947
2021-08-23,14.20638
2021-08-24,16.65895
2021-08-25,17.39935
2021-08-26,15.50208
2021-08-27,15.2707
2021-08-28,13.09578
2021-08-29,8.8385
2021-08-30,16.84405
2021-08-31,17.4919
2021-09-01,15.2707
2021-09-02,13.97501
2021-09-03,11.70754
2021-09-04,6.4322
2021-09-05,9.57889
2021-09-06,15.2707
2021-09-07,14.43776
2021-09-08,17.39935
2021-09-09,16.65895
2021-09-10,16.05738
2021-09-11,7.95927
2021-09-12,8.14437
2021-09-13,13.32716
2021-09-14,15.73345
2021-09-15,15.50208
2021-09-16,13.97501
2021-09-17,11.01341
2021-09-18,6.2471
2021-09-19,6.52475
2021-09-20,4.44238
2021-09-21,7.63535
2021-09-22,7.08005
2021-09-23,11.70754
2021-09-24,14.7154
2021-09-25,7.68162
2021-09-26,6.70985
2021-09-27,15.6409
2021-09-28,12.40166
2021-09-29,12.44794
2021-09-30,10.73577
2021-10-01,9.99537
2021-10-02,4.76631
2021-10-03,4.07218
2021-10-04,5.8769
2021-10-05,12.91068
2021-10-06,13.55853
2021-10-07,13.18833
2021-10-08,10.13419
2021-10-09,5.22906
2021-10-10,4.53493
2021-10-11,6.38593
2021-10-12,12.35539
2021-10-13,12.26284
2021-10-14,11.84636
2021-10-15,11.52244
2021-10-16,5.73808
2021-10-17,5.41416
2021-10-18,10.41184
2021-10-19,10.78204
2021-10-20,11.15224
2021-10-21,12.30911
2021-10-22,12.26284
2021-10-23,6.38593
2021-10-24,5.09023
2021-10-25,12.07774
2021-10-26,11.80009
2021-10-27,10.96714
2021-10-28,11.80009
2021-10-29,8.74595
2021-10-30,5.36788
2021-10-31,4.02591
2021-11-01,9.48634
2021-11-02,12.07774
2021-11-03,12.30911
2021-11-04,11.10596
2021-11-05,10.13419
2021-11-06,4.99768
2021-11-07,4.34983
2021-11-08,11.24479
2021-11-09,10.31929
2021-11-10,12.81813
2021-11-11,14.43776
2021-11-12,9.94909
2021-11-13,5.32161
2021-11-14,4.90513
2021-11-15,11.75381
2021-11-16,12.86441
2021-11-17,15.17815
2021-11-18,13.74363
2021-11-19,11.29106
2021-11-20,5.92318
2021-11-21,5.32161
2021-11-22,10.59694
2021-11-23,13.60481
2021-11-24,14.76168
2021-11-25,13.51226
2021-11-26,11.01341
2021-11-27,6.29338
2021-11-28,4.39611
2021-11-29,10.92086
2021-11-30,9.81027
2021-12-01,10.82832
2021-12-02,9.99537
2021-12-03,9.44007
2021-12-04,5.09023
2021-12-05,4.81258
2021-12-06,10.78204
2021-12-07,13.14206
2021-12-08,14.25266
2021-12-09,12.40166
2021-12-10,11.84636
2021-12-11,5.22906
2021-12-12,6.47848
2021-12-13,11.38361
2021-12-14,12.72559
2021-12-15,12.40166
2021-12-16,12.72559
2021-12-17,11.42989
2021-12-18,5.32161
2021-12-19,4.81258
2021-12-20,13.14206
2021-12-21,12.67931
2021-12-22,11.52244
2021-12-23,13.78991
2021-12-24,10.92086
2021-12-25,4.30356
2021-12-26,5.83063
2021-12-27,12.30911
2021-12-28,12.91068
2021-12-29,15.4558
2021-12-30,13.00323
2021-12-31,9.81027
2022-01-01,4.39611
2022-01-02,5.92318
2022-01-03,10.31929
2022-01-04,11.29106
2022-01-05,12.72559
2022-01-06,12.26284
2022-01-07,13.09578
2022-01-08,6.66358
2022-01-09,6.66358
2022-01-10,12.95696
2022-01-11,13.78991
2022-01-12,13.41971
2022-01-13,13.78991
2022-01-14,13.09578
2022-01-15,6.2471
2022-01-16,5.55298
2022-01-17,12.81813
2022-01-18,13.88246
2022-01-19,12.40166
2022-01-20,13.09578
2022-01-21,12.40166
2022-01-22,6.75613
2022-01-23,6.70985
2022-01-24,14.06756
2022-01-25,17.58445
2022-01-26,13.83618
2022-01-27,11.66126
2022-01-28,8.8385
2022-01-29,6.47848
2022-01-30,4.39611
2022-01-31,4.58121
2022-02-01,6.15455
2022-02-02,3.65571
2022-02-03,11.42989
2022-02-04,11.15224
2022-02-05,7.913
2022-02-06,7.58907
2022-02-07,12.67931
2022-02-08,12.12401
2022-02-09,13.74363
2022-02-10,13.14206
2022-02-11,12.12401
2022-02-12,7.45025
2022-02-13,5.55298
2022-02-14,12.03146
2022-02-15,12.40166
2022-02-16,12.17029
2022-02-17,12.81813
2022-02-18,10.13419
2022-02-19,5.83063
2022-02-20,7.58907
2022-02-21,10.22674
2022-02-22,13.18833
2022-02-23,12.03146
2022-02-24,12.03146
2022-02-25,9.85654
2022-02-26,10.13419
2022-02-27,6.84868
2022-02-28,9.39379
2022-03-01,6.01573
2022-03-02,8.69967
2022-03-03,8.97732
2022-03-04,8.88477
2022-03-05,6.70985
2022-03-06,3.84081
2022-03-07,9.99537
2022-03-08,10.27302
2022-03-09,4.16473
2022-03-10,8.97732
2022-03-11,8.79222
2022-03-12,5.13651
2022-03-13,4.30356
2022-03-14,11.75381
2022-03-15,11.61499
2022-03-16,11.89264
2022-03-17,10.68949
2022-03-18,11.19851
2022-03-19,6.01573
2022-03-20,4.95141
2022-03-21,11.10596
2022-03-22,12.81813
2022-03-23,11.19851
2022-03-24,12.35539
2022-03-25,10.27302
2022-03-26,5.73808
2022-03-27,5.6918
2022-03-28,12.17029
2022-03-29,11.61499
2022-03-30,13.09578
2022-03-31,8.69967
2022-04-01,6.9875
2022-04-02,4.76631
2022-04-03,3.37806
2022-04-04,8.97732
2022-04-05,11.10596
2022-04-06,8.4683
2022-04-07,10.27302
2022-04-08,8.97732
2022-04-09,4.72003
2022-04-10,3.74826
2022-04-11,9.62517
2022-04-12,8.97732
2022-04-13,10.64322
2022-04-14,10.36557
2022-04-15,9.16242
2022-04-16,5.41416
2022-04-17,4.81258
2022-04-18,10.87459
2022-04-19,12.81813
2022-04-20,11.52244
2022-04-21,10.87459
2022-04-22,9.94909
2022-04-23,4.48866
2022-04-24,4.67376
2022-04-25,11.24479
2022-04-26,9.57889
2022-04-27,9.53262
2022-04-28,9.53262
2022-04-29,8.14437
2022-04-30,4.25728
2022-05-01,3.42434
2022-05-02,8.14437
2022-05-03,8.8385
2022-05-04,8.32947
2022-05-05,3.56316
2022-05-06,7.1726
2022-05-07,4.07218
2022-05-08,3.10041
2022-05-09,9.67144
2022-05-10,10.73577
2022-05-11,11.70754
2022-05-12,11.15224
