date,부동산정보
2021-07-17,38.96103
2021-07-18,34.19913
2021-07-19,48.91774
2021-07-20,40.25974
2021-07-21,44.15584
2021-07-22,55.41125
2021-07-23,33.76623
2021-07-24,26.83982
2021-07-25,28.57142
2021-07-26,38.52813
2021-07-27,43.29004
2021-07-28,46.75324
2021-07-29,45.02164
2021-07-30,39.39393
2021-07-31,25.97402
2021-08-01,28.57142
2021-08-02,45.45454
2021-08-03,47.61904
2021-08-04,48.05194
2021-08-05,45.45454
2021-08-06,38.52813
2021-08-07,33.76623
2021-08-08,41.55844
2021-08-09,47.18614
2021-08-10,43.72294
2021-08-11,51.94805
2021-08-12,47.61904
2021-08-13,32.46753
2021-08-14,29.87012
2021-08-15,40.25974
2021-08-16,33.33333
2021-08-17,51.94805
2021-08-18,45.88744
2021-08-19,50.64935
2021-08-20,49.35064
2021-08-21,28.57142
2021-08-22,35.93073
2021-08-23,61.90476
2021-08-24,54.97835
2021-08-25,50.21645
2021-08-26,45.02164
2021-08-27,45.45454
2021-08-28,34.19913
2021-08-29,39.39393
2021-08-30,47.18614
2021-08-31,58.00865
2021-09-01,51.51515
2021-09-02,46.75324
2021-09-03,48.48484
2021-09-04,33.33333
2021-09-05,29.00432
2021-09-06,39.82683
2021-09-07,54.54545
2021-09-08,43.29004
2021-09-09,54.11255
2021-09-10,38.52813
2021-09-11,35.93073
2021-09-12,34.19913
2021-09-13,40.69264
2021-09-14,49.35064
2021-09-15,36.79653
2021-09-16,41.12554
2021-09-17,46.75324
2021-09-18,30.30303
2021-09-19,19.91341
2021-09-20,25.10822
2021-09-21,30.30303
2021-09-22,30.73593
2021-09-23,51.08225
2021-09-24,54.11255
2021-09-25,29.87012
2021-09-26,25.10822
2021-09-27,50.64935
2021-09-28,56.27705
2021-09-29,38.52813
2021-09-30,55.84415
2021-10-01,35.93073
2021-10-02,36.36363
2021-10-03,27.27272
2021-10-04,44.58874
2021-10-05,64.50216
2021-10-06,54.11255
2021-10-07,47.18614
2021-10-08,50.21645
2021-10-09,35.49783
2021-10-10,32.46753
2021-10-11,45.88744
2021-10-12,53.67965
2021-10-13,47.18614
2021-10-14,50.21645
2021-10-15,44.58874
2021-10-16,32.90043
2021-10-17,23.37662
2021-10-18,41.55844
2021-10-19,48.91774
