date,재결
2023-02-28,48.91891
2023-03-01,36.75675
2023-03-02,50.0
2023-03-03,46.75675
2023-03-04,35.67567
2023-03-05,27.83783
2023-03-06,55.94594
2023-03-07,61.08108
2023-03-08,59.18918
2023-03-09,60.54054
2023-03-10,42.16216
2023-03-11,28.91891
2023-03-12,30.81081
2023-03-13,54.05405
2023-03-14,56.75675
2023-03-15,56.21621
2023-03-16,49.18918
2023-03-17,44.59459
2023-03-18,30.0
2023-03-19,22.97297
2023-03-20,42.16216
2023-03-21,51.89189
2023-03-22,49.45945
2023-03-23,52.43243
2023-03-24,43.78378
2023-03-25,32.97297
2023-03-26,23.51351
2023-03-27,46.75675
2023-03-28,48.64864
2023-03-29,42.43243
2023-03-30,44.32432
2023-03-31,42.97297
2023-04-01,29.18918
2023-04-02,32.7027
2023-04-03,44.32432
2023-04-04,51.08108
2023-04-05,50.27027
2023-04-06,53.51351
2023-04-07,48.64864
2023-04-08,33.24324
2023-04-09,31.35135
2023-04-10,44.32432
2023-04-11,55.4054
2023-04-12,48.91891
2023-04-13,44.05405
2023-04-14,43.78378
2023-04-15,28.64864
2023-04-16,26.21621
2023-04-17,47.83783
2023-04-18,52.97297
2023-04-19,51.08108
2023-04-20,45.67567
2023-04-21,38.91891
2023-04-22,35.13513
2023-04-23,32.43243
2023-04-24,44.86486
2023-04-25,44.05405
2023-04-26,51.35135
2023-04-27,40.54054
2023-04-28,41.35135
2023-04-29,23.24324
2023-04-30,25.67567
2023-05-01,35.13513
2023-05-02,42.43243
2023-05-03,40.81081
2023-05-04,40.0
2023-05-05,22.16216
2023-05-06,28.37837
2023-05-07,23.78378
2023-05-08,37.56756
2023-05-09,48.37837
2023-05-10,45.4054
2023-05-11,42.16216
2023-05-12,52.16216
2023-05-13,25.67567
2023-05-14,24.05405
2023-05-15,48.1081
2023-05-16,50.27027
2023-05-17,44.32432
2023-05-18,46.21621
2023-05-19,44.05405
2023-05-20,27.56756
2023-05-21,33.78378
2023-05-22,49.45945
2023-05-23,48.64864
2023-05-24,48.91891
2023-05-25,43.51351
2023-05-26,38.91891
2023-05-27,27.02702
2023-05-28,27.29729
2023-05-29,35.67567
2023-05-30,52.43243
