date,간병보험
2022-05-23,10.76487
2022-05-24,11.61473
2022-05-25,13.03116
2022-05-26,14.44759
2022-05-27,8.97072
2022-05-28,8.49858
2022-05-29,8.40415
2022-05-30,10.00944
2022-05-31,13.12559
2022-06-01,7.93201
2022-06-02,9.44287
2022-06-03,8.87629
2022-06-04,7.93201
2022-06-05,5.949
2022-06-06,9.06515
2022-06-07,18.13031
2022-06-08,16.33616
2022-06-09,12.65344
2022-06-10,10.8593
2022-06-11,9.25401
2022-06-12,20.01888
2022-06-13,23.98489
2022-06-14,21.7186
2022-06-15,18.69688
2022-06-16,15.86402
2022-06-17,10.76487
2022-06-18,9.44287
2022-06-19,6.61
2022-06-20,16.33616
2022-06-21,10.95372
2022-06-22,14.06987
2022-06-23,15.20302
2022-06-24,14.35316
2022-06-25,7.45986
2022-06-26,8.59301
2022-06-27,14.91973
2022-06-28,14.54202
2022-06-29,13.59773
2022-06-30,12.08687
2022-07-01,11.04815
2022-07-02,7.64872
2022-07-03,5.19357
2022-07-04,7.64872
2022-07-05,10.8593
2022-07-06,16.52502
2022-07-07,11.61473
2022-07-08,10.00944
2022-07-09,7.83758
2022-07-10,8.02644
2022-07-11,11.89801
2022-07-12,11.89801
2022-07-13,13.88101
2022-07-14,14.91973
2022-07-15,10.67044
2022-07-16,5.85457
2022-07-17,8.40415
2022-07-18,13.59773
2022-07-19,13.12559
2022-07-20,14.8253
2022-07-21,14.25873
2022-07-22,13.59773
2022-07-23,7.17658
2022-07-24,12.8423
2022-07-25,13.88101
2022-07-26,19.45231
2022-07-27,12.93673
2022-07-28,14.44759
2022-07-29,11.42587
2022-07-30,9.72615
2022-07-31,8.49858
2022-08-01,13.03116
2022-08-02,13.5033
2022-08-03,15.86402
2022-08-04,14.25873
2022-08-05,15.95845
2022-08-06,14.91973
2022-08-07,19.73559
2022-08-08,17.37488
2022-08-09,14.1643
2022-08-10,18.69688
2022-08-11,16.90273
2022-08-12,16.24173
2022-08-13,9.82058
2022-08-14,8.68744
2022-08-15,11.5203
2022-08-16,16.52502
2022-08-17,17.09159
2022-08-18,15.10859
2022-08-19,11.80358
2022-08-20,10.48158
2022-08-21,57.12936
2022-08-22,36.07176
2022-08-23,37.96033
