date,상장주식
2021-08-18,8.13008
2021-08-19,11.3082
2021-08-20,8.42572
2021-08-21,3.0303
2021-08-22,2.88248
2021-08-23,5.83887
2021-08-24,5.46932
2021-08-25,6.72579
2021-08-26,6.0606
2021-08-27,4.21286
2021-08-28,1.92165
2021-08-29,1.47819
2021-08-30,5.3215
2021-08-31,5.61714
2021-09-01,11.75166
2021-09-02,7.83444
2021-09-03,4.28677
2021-09-04,1.5521
2021-09-05,2.73466
2021-09-06,4.95195
2021-09-07,5.91278
2021-09-08,5.09977
2021-09-09,4.5824
2021-09-10,6.20842
2021-09-11,2.51293
2021-09-12,1.10864
2021-09-13,5.02586
2021-09-14,4.28677
2021-09-15,6.0606
2021-09-16,3.84331
2021-09-17,8.13008
2021-09-18,1.47819
2021-09-19,1.40428
2021-09-20,0.96082
2021-09-21,1.40428
2021-09-22,1.25646
2021-09-23,3.99113
2021-09-24,3.91722
2021-09-25,2.2912
2021-09-26,1.62601
2021-09-27,5.61714
2021-09-28,5.76496
2021-09-29,5.46932
2021-09-30,5.02586
2021-10-01,3.17812
2021-10-02,0.59127
2021-10-03,2.43902
2021-10-04,1.33037
2021-10-05,4.06504
2021-10-06,3.91722
2021-10-07,4.43458
2021-10-08,3.62158
2021-10-09,0.96082
2021-10-10,1.69992
2021-10-11,1.99556
2021-10-12,3.69549
2021-10-13,3.7694
2021-10-14,3.25203
2021-10-15,3.54767
2021-10-16,1.40428
2021-10-17,2.14338
2021-10-18,2.51293
2021-10-19,2.95639
2021-10-20,3.32594
2021-10-21,5.83887
2021-10-22,3.99113
2021-10-23,1.84774
2021-10-24,1.47819
2021-10-25,3.91722
2021-10-26,4.5824
2021-10-27,4.28677
2021-10-28,5.02586
2021-10-29,4.13895
2021-10-30,1.10864
2021-10-31,1.62601
2021-11-01,5.76496
2021-11-02,4.80413
2021-11-03,10.42128
2021-11-04,5.46932
2021-11-05,3.54767
2021-11-06,1.47819
2021-11-07,1.77383
2021-11-08,4.36067
2021-11-09,4.36067
2021-11-10,7.76053
2021-11-11,7.02143
2021-11-12,3.54767
2021-11-13,2.36511
2021-11-14,1.77383
2021-11-15,4.06504
2021-11-16,4.36067
2021-11-17,6.35624
2021-11-18,4.95195
2021-11-19,3.62158
2021-11-20,2.88248
2021-11-21,1.92165
2021-11-22,6.0606
2021-11-23,4.80413
2021-11-24,4.65631
2021-11-25,3.69549
2021-11-26,2.36511
2021-11-27,1.10864
2021-11-28,1.99556
2021-11-29,3.32594
2021-11-30,2.66075
2021-12-01,3.10421
2021-12-02,2.95639
2021-12-03,3.10421
2021-12-04,2.06947
2021-12-05,1.47819
2021-12-06,2.36511
2021-12-07,3.10421
2021-12-08,2.21729
2021-12-09,4.28677
2021-12-10,3.69549
2021-12-11,1.5521
2021-12-12,1.99556
2021-12-13,4.50849
2021-12-14,2.66075
2021-12-15,3.69549
2021-12-16,4.06504
2021-12-17,3.47376
2021-12-18,1.10864
2021-12-19,2.14338
2021-12-20,2.95639
2021-12-21,2.66075
2021-12-22,3.0303
2021-12-23,3.39985
2021-12-24,2.51293
2021-12-25,2.2912
2021-12-26,1.77383
2021-12-27,3.17812
2021-12-28,3.25203
2021-12-29,3.10421
2021-12-30,2.95639
2021-12-31,2.14338
2022-01-01,1.10864
2022-01-02,2.73466
2022-01-03,4.50849
2022-01-04,3.32594
2022-01-05,3.7694
2022-01-06,3.7694
2022-01-07,3.39985
2022-01-08,2.2912
2022-01-09,3.17812
2022-01-10,3.69549
2022-01-11,4.50849
2022-01-12,6.65188
2022-01-13,5.61714
2022-01-14,5.24759
2022-01-15,3.7694
2022-01-16,4.36067
2022-01-17,8.20399
2022-01-18,11.97339
2022-01-19,7.46489
2022-01-20,12.49076
2022-01-21,8.72135
2022-01-22,4.36067
2022-01-23,5.17368
2022-01-24,9.0909
2022-01-25,7.16925
2022-01-26,9.23872
2022-01-27,22.91204
2022-01-28,7.09534
2022-01-29,3.62158
2022-01-30,2.14338
2022-01-31,2.80857
2022-02-01,3.0303
2022-02-02,2.14338
2022-02-03,7.24316
2022-02-04,7.46489
2022-02-05,2.66075
2022-02-06,3.25203
2022-02-07,6.72579
2022-02-08,4.87804
2022-02-09,3.99113
2022-02-10,3.47376
2022-02-11,3.62158
2022-02-12,2.21729
2022-02-13,1.5521
2022-02-14,5.3215
2022-02-15,4.5824
2022-02-16,4.06504
2022-02-17,3.91722
2022-02-18,4.28677
2022-02-19,2.2912
2022-02-20,1.33037
2022-02-21,3.7694
2022-02-22,4.50849
2022-02-23,5.46932
2022-02-24,4.21286
2022-02-25,3.47376
2022-02-26,1.18255
2022-02-27,1.5521
2022-02-28,3.32594
2022-03-01,2.43902
2022-03-02,4.06504
2022-03-03,5.54323
2022-03-04,1.99556
2022-03-05,1.62601
2022-03-06,1.5521
2022-03-07,3.39985
2022-03-08,2.51293
2022-03-09,1.5521
2022-03-10,3.25203
2022-03-11,3.47376
2022-03-12,1.03473
2022-03-13,1.25646
2022-03-14,3.32594
2022-03-15,2.36511
2022-03-16,3.10421
2022-03-17,3.0303
2022-03-18,4.50849
2022-03-19,2.06947
2022-03-20,1.40428
2022-03-21,2.88248
2022-03-22,3.10421
2022-03-23,2.66075
2022-03-24,4.65631
2022-03-25,3.25203
2022-03-26,1.5521
2022-03-27,2.2912
2022-03-28,3.84331
2022-03-29,3.99113
2022-03-30,2.73466
2022-03-31,3.39985
2022-04-01,3.62158
2022-04-02,1.92165
2022-04-03,1.5521
2022-04-04,2.58684
2022-04-05,3.10421
2022-04-06,3.32594
2022-04-07,3.10421
2022-04-08,2.66075
2022-04-09,1.62601
2022-04-10,1.18255
2022-04-11,2.80857
2022-04-12,1.92165
2022-04-13,2.73466
2022-04-14,2.58684
2022-04-15,2.06947
2022-04-16,0.59127
2022-04-17,0.44345
2022-04-18,2.43902
2022-04-19,3.0303
2022-04-20,2.66075
2022-04-21,3.47376
2022-04-22,2.21729
2022-04-23,0.813
2022-04-24,1.18255
2022-04-25,2.43902
2022-04-26,2.58684
2022-04-27,2.73466
2022-04-28,3.99113
2022-04-29,3.54767
2022-04-30,0.88691
2022-05-01,1.62601
2022-05-02,2.58684
2022-05-03,3.54767
2022-05-04,3.17812
2022-05-05,1.62601
2022-05-06,1.77383
2022-05-07,1.62601
2022-05-08,1.62601
2022-05-09,3.0303
2022-05-10,3.47376
2022-05-11,3.99113
2022-05-12,2.66075
2022-05-13,3.47376
2022-05-14,0.96082
2022-05-15,0.73909
2022-05-16,3.25203
2022-05-17,3.25203
2022-05-18,2.21729
2022-05-19,3.10421
2022-05-20,4.06504
2022-05-21,1.18255
2022-05-22,1.18255
2022-05-23,2.73466
2022-05-24,2.06947
2022-05-25,1.77383
2022-05-26,2.36511
2022-05-27,1.62601
2022-05-28,1.18255
2022-05-29,0.59127
2022-05-30,2.58684
2022-05-31,3.32594
2022-06-01,1.10864
2022-06-02,2.14338
2022-06-03,3.32594
2022-06-04,1.40428
2022-06-05,1.25646
2022-06-06,1.25646
2022-06-07,2.66075
2022-06-08,3.25203
2022-06-09,3.25203
2022-06-10,3.7694
2022-06-11,1.92165
2022-06-12,1.84774
2022-06-13,2.88248
2022-06-14,3.7694
2022-06-15,3.17812
2022-06-16,3.0303
2022-06-17,4.5824
2022-06-18,1.03473
2022-06-19,1.03473
2022-06-20,2.2912
2022-06-21,1.92165
2022-06-22,1.25646
2022-06-23,3.91722
2022-06-24,3.25203
2022-06-25,1.03473
2022-06-26,0.813
2022-06-27,2.14338
2022-06-28,2.95639
2022-06-29,4.36067
